2#apb#apb35#app3588/O  -0.324 0.780  -0.430 0.658  -0.512 0.511  -0.592 0.362  -0.669 0.213  -0.734 0.057  -0.800 -0.098  -0.873 -0.251  -0.931 -0.408  -0.967 -0.573  -0.985 -0.740  -0.989 -0.908  -0.960 -1.074  -0.843 -1.187  -0.699 -1.273  -0.540 -1.312  -0.372 -1.303  -0.222 -1.227  -0.074 -1.147  0.066 -1.052  0.204 -0.956  0.320 -0.834  0.429 -0.706  0.532 -0.572  0.631 -0.436  0.712 -0.291  0.753 -0.127  0.794 0.036  0.840 0.198  0.892 0.359  0.919 0.522  0.901 0.689  0.853 0.844  0.742 0.971  0.630 1.097  0.518 1.223  0.406 1.347  0.239 1.325  0.105 1.226  -0.004 1.099  -0.086 0.953  -0.147 0.797  -0.137 0.628  -0.097 0.465  -0.040 0.308  0.049 0.164  0.156 0.038  0.295 -0.057  0.444 -0.136  0.598 -0.205
2#apb#apb35#app3588/f  -0.617 0.414  -0.470 0.336  -0.307 0.366  -0.151 0.426  -0.001 0.501  0.141 0.590  0.249 0.709  0.318 0.861  0.387 1.014  0.457 1.166  0.526 1.318  0.596 1.471  0.616 1.627  0.497 1.512  0.409 1.370  0.347 1.215  0.300 1.054  0.252 0.894  0.191 0.738  0.131 0.582  0.075 0.424  0.021 0.265  -0.040 0.110  -0.109 -0.043  -0.178 -0.195  -0.242 -0.350  -0.305 -0.505  -0.368 -0.660  -0.438 -0.812  -0.507 -0.965  -0.551 -1.126  -0.594 -1.288  -0.634 -1.450  -0.648 -1.615  -0.519 -1.645  -0.388 -1.542  -0.273 -1.421  -0.161 -1.297  -0.052 -1.170  0.050 -1.037  0.129 -0.890  0.199 -0.738  0.250 -0.579  0.290 -0.416  0.314 -0.251  0.307 -0.084  0.259 0.074  0.187 0.225  0.094 0.364  -0.038 0.453
2#apb#apb35#app3588/f  -1.157 0.321  -1.029 0.204  -0.855 0.238  -0.681 0.293  -0.506 0.345  -0.332 0.397  -0.186 0.506  -0.037 0.612  0.115 0.713  0.237 0.845  0.346 0.992  0.454 1.139  0.562 1.286  0.632 1.450  0.565 1.535  0.459 1.388  0.407 1.213  0.346 1.041  0.283 0.870  0.214 0.701  0.144 0.532  0.077 0.363  0.011 0.193  -0.055 0.022  -0.118 -0.149  -0.181 -0.320  -0.248 -0.490  -0.316 -0.659  -0.390 -0.826  -0.469 -0.990  -0.523 -1.163  -0.559 -1.342  -0.603 -1.519  -0.524 -1.633  -0.357 -1.560  -0.201 -1.466  -0.056 -1.355  0.083 -1.237  0.211 -1.108  0.320 -0.962  0.418 -0.808  0.498 -0.645  0.544 -0.469  0.539 -0.289  0.512 -0.109  0.458 0.066  0.391 0.235  0.308 0.397  0.188 0.535  0.061 0.666
2#apb#apb35#app3588/i  -1.451 -0.528  -1.335 -0.537  -1.210 -0.503  -1.104 -0.429  -0.992 -0.363  -0.874 -0.309  -0.771 -0.230  -0.672 -0.146  -0.588 -0.048  -0.504 0.052  -0.425 0.155  -0.361 0.267  -0.310 0.387  -0.264 0.469  -0.357 0.379  -0.436 0.276  -0.508 0.168  -0.554 0.047  -0.590 -0.078  -0.612 -0.206  -0.628 -0.335  -0.636 -0.464  -0.606 -0.591  -0.535 -0.693  -0.433 -0.769  -0.307 -0.800  -0.181 -0.832  -0.051 -0.827  0.079 -0.822  0.193 -0.790  0.255 -0.676  0.318 -0.563  0.381 -0.449  0.444 -0.335  0.506 -0.221  0.569 -0.107  0.632 0.007  0.694 0.120  0.757 0.234  0.820 0.348  0.882 0.462  0.945 0.576  1.008 0.690  1.071 0.803  1.133 0.917  1.196 1.031  1.259 1.145  1.321 1.259  1.384 1.373  1.447 1.486
2#apb#apb35#app3588/c  0.607 0.553  0.557 0.445  0.520 0.332  0.484 0.219  0.538 0.147  0.628 0.223  0.693 0.320  0.734 0.431  0.749 0.549  0.762 0.667  0.769 0.785  0.752 0.903  0.683 1.000  0.594 1.072  0.483 1.114  0.365 1.129  0.253 1.097  0.144 1.051  0.040 0.993  -0.056 0.924  -0.153 0.855  -0.243 0.778  -0.328 0.694  -0.411 0.609  -0.479 0.511  -0.548 0.414  -0.617 0.317  -0.671 0.213  -0.709 0.100  -0.747 -0.013  -0.779 -0.127  -0.785 -0.246  -0.792 -0.365  -0.798 -0.484  -0.767 -0.597  -0.729 -0.710  -0.692 -0.823  -0.628 -0.920  -0.544 -1.004  -0.460 -1.089  -0.372 -1.165  -0.254 -1.185  -0.137 -1.204  -0.019 -1.224  0.098 -1.243  0.216 -1.234  0.335 -1.222  0.453 -1.209  0.571 -1.196  0.690 -1.183
2#apb#apb35#app3588/e  -1.233 -1.107  -1.087 -1.094  -0.947 -1.048  -0.812 -0.989  -0.682 -0.919  -0.552 -0.849  -0.424 -0.775  -0.296 -0.700  -0.169 -0.625  -0.043 -0.548  0.083 -0.470  0.194 -0.376  0.287 -0.261  0.379 -0.145  0.471 -0.030  0.543 0.099  0.612 0.230  0.681 0.360  0.751 0.491  0.822 0.620  0.889 0.751  0.900 0.899  0.910 1.046  0.902 1.192  0.828 1.309  0.701 1.369  0.553 1.369  0.420 1.316  0.293 1.240  0.182 1.145  0.084 1.035  -0.013 0.923  -0.107 0.808  -0.200 0.694  -0.267 0.564  -0.323 0.427  -0.380 0.290  -0.427 0.151  -0.458 0.006  -0.488 -0.139  -0.519 -0.283  -0.512 -0.429  -0.494 -0.576  -0.475 -0.723  -0.393 -0.840  -0.294 -0.950  -0.182 -1.041  -0.043 -1.090  0.097 -1.139  0.236 -1.188
2#apb#apb35#app3588/r  -1.708 -0.370  -1.590 -0.284  -1.449 -0.233  -1.310 -0.179  -1.196 -0.083  -1.082 0.013  -0.967 0.108  -0.852 0.203  -0.738 0.299  -0.624 0.395  -0.510 0.492  -0.393 0.584  -0.272 0.672  -0.151 0.759  -0.048 0.866  0.053 0.976  0.103 1.115  0.034 1.073  -0.058 0.956  -0.122 0.825  -0.116 0.677  -0.073 0.534  0.011 0.412  0.123 0.313  0.251 0.237  0.260 0.108  0.159 0.005  0.036 -0.080  -0.096 -0.150  -0.229 -0.217  -0.349 -0.305  -0.453 -0.409  -0.459 -0.545  -0.341 -0.620  -0.203 -0.675  -0.055 -0.685  0.094 -0.690  0.244 -0.695  0.391 -0.680  0.537 -0.650  0.683 -0.620  0.829 -0.590  0.974 -0.552  1.116 -0.507  1.258 -0.463  1.401 -0.418  1.532 -0.350  1.658 -0.270  1.785 -0.191  1.911 -0.111
2#apb#apb35#app3588/P  -0.114 0.358  -0.147 0.200  -0.170 0.040  -0.186 -0.121  -0.209 -0.281  -0.232 -0.441  -0.256 -0.601  -0.279 -0.761  -0.327 -0.915  -0.377 -1.068  -0.419 -1.225  -0.478 -1.374  -0.563 -1.511  -0.675 -1.522  -0.709 -1.366  -0.741 -1.208  -0.761 -1.050  -0.733 -0.891  -0.680 -0.739  -0.612 -0.593  -0.544 -0.446  -0.514 -0.288  -0.490 -0.128  -0.465 0.032  -0.407 0.181  -0.339 0.328  -0.271 0.474  -0.202 0.621  -0.112 0.755  -0.020 0.888  0.072 1.021  0.198 1.122  0.325 1.222  0.477 1.271  0.635 1.305  0.796 1.317  0.935 1.255  1.018 1.130  1.042 0.970  1.021 0.811  0.993 0.651  0.931 0.503  0.864 0.355  0.773 0.223  0.675 0.095  0.549 -0.006  0.416 -0.097  0.261 -0.142  0.103 -0.171  -0.058 -0.184
2#apb#apb35#app3588/u  -0.671 0.906  -0.740 0.769  -0.799 0.627  -0.852 0.483  -0.916 0.343  -0.982 0.205  -1.043 0.063  -1.103 -0.078  -1.164 -0.219  -1.200 -0.367  -1.222 -0.519  -1.222 -0.673  -1.182 -0.816  -1.077 -0.923  -0.931 -0.939  -0.785 -0.907  -0.660 -0.817  -0.532 -0.733  -0.392 -0.670  -0.252 -0.607  -0.130 -0.517  -0.021 -0.409  0.086 -0.299  0.189 -0.185  0.292 -0.070  0.395 0.044  0.471 0.177  0.548 0.311  0.624 0.444  0.701 0.577  0.777 0.711  0.854 0.844  0.930 0.977  1.007 1.111  0.946 1.145  0.860 1.018  0.798 0.878  0.753 0.732  0.724 0.581  0.690 0.431  0.644 0.284  0.605 0.136  0.578 -0.015  0.551 -0.167  0.525 -0.318  0.514 -0.469  0.554 -0.617  0.628 -0.751  0.741 -0.838  0.890 -0.875
2#apb#apb35#app3588/b  0.284 1.853  0.208 1.713  0.144 1.567  0.088 1.418  0.032 1.268  -0.022 1.118  -0.064 0.964  -0.106 0.810  -0.174 0.667  -0.254 0.529  -0.331 0.389  -0.402 0.246  -0.463 0.099  -0.513 -0.053  -0.581 -0.197  -0.664 -0.333  -0.627 -0.354  -0.534 -0.224  -0.438 -0.097  -0.335 0.024  -0.212 0.126  -0.099 0.238  0.004 0.360  0.109 0.480  0.233 0.575  0.379 0.638  0.532 0.679  0.681 0.652  0.767 0.520  0.818 0.370  0.834 0.212  0.820 0.053  0.792 -0.104  0.768 -0.262  0.759 -0.421  0.711 -0.565  0.612 -0.691  0.526 -0.825  0.421 -0.944  0.307 -1.056  0.184 -1.157  0.039 -1.205  -0.120 -1.216  -0.279 -1.227  -0.438 -1.227  -0.598 -1.216  -0.748 -1.164  -0.897 -1.106  -1.031 -1.024  -1.124 -0.897
2#apb#apb35#app3588/l  0.789 1.205  0.691 1.323  0.534 1.257  0.414 1.126  0.313 0.980  0.229 0.824  0.141 0.669  0.072 0.506  0.018 0.337  -0.032 0.166  -0.082 -0.005  -0.133 -0.175  -0.151 -0.352  -0.159 -0.530  -0.113 -0.697  0.011 -0.817  0.187 -0.831  0.360 -0.799  0.532 -0.753  0.371 -0.760  0.193 -0.770  0.016 -0.780  -0.162 -0.790  -0.340 -0.800  -0.517 -0.810  -0.695 -0.820  -0.873 -0.830  -1.050 -0.840  -1.228 -0.850  -1.355 -0.831  -1.186 -0.776  -1.027 -0.697  -0.870 -0.614  -0.712 -0.531  -0.560 -0.439  -0.411 -0.341  -0.271 -0.233  -0.133 -0.120  -0.007 0.005  0.119 0.131  0.237 0.264  0.355 0.397  0.470 0.533  0.584 0.669  0.689 0.813  0.786 0.962  0.873 1.117  0.955 1.275  1.031 1.436  1.097 1.596
