2#apb#apb38#app3818/T  0.213 0.696  0.116 0.689  0.120 0.542  0.131 0.395  0.149 0.248  0.164 0.102  0.164 -0.046  0.164 -0.193  0.160 -0.340  0.152 -0.487  0.143 -0.635  0.131 -0.781  0.117 -0.928  0.104 -1.075  0.104 -1.222  0.099 -1.370  0.088 -1.517  0.089 -1.663  0.052 -1.567  0.004 -1.427  -0.043 -1.288  -0.091 -1.148  -0.138 -1.008  -0.186 -0.869  -0.233 -0.729  -0.281 -0.590  -0.328 -0.450  -0.375 -0.311  -0.423 -0.171  -0.470 -0.032  -0.518 0.108  -0.565 0.248  -0.613 0.387  -0.660 0.527  -0.708 0.666  -0.778 0.766  -0.651 0.834  -0.513 0.884  -0.370 0.922  -0.228 0.961  -0.084 0.993  0.060 1.026  0.204 1.052  0.351 1.066  0.498 1.081  0.644 1.103  0.789 1.125  0.936 1.142  1.082 1.154  1.228 1.131
2#apb#apb38#app3818/h  -0.355 1.869  -0.443 1.786  -0.468 1.658  -0.476 1.526  -0.482 1.394  -0.487 1.262  -0.487 1.130  -0.487 0.998  -0.485 0.866  -0.480 0.733  -0.475 0.601  -0.469 0.469  -0.459 0.338  -0.449 0.206  -0.439 0.074  -0.423 -0.057  -0.406 -0.188  -0.390 -0.320  -0.378 -0.451  -0.367 -0.583  -0.355 -0.715  -0.355 -0.847  -0.355 -0.979  -0.355 -1.111  -0.355 -1.243  -0.321 -1.241  -0.302 -1.110  -0.281 -0.979  -0.257 -0.849  -0.225 -0.722  -0.176 -0.599  -0.124 -0.478  -0.071 -0.356  -0.008 -0.240  0.061 -0.128  0.151 -0.031  0.245 0.060  0.357 0.130  0.469 0.200  0.598 0.223  0.730 0.213  0.851 0.165  0.950 0.080  1.035 -0.021  1.103 -0.134  1.138 -0.260  1.158 -0.390  1.184 -0.520  1.190 -0.651  1.222 -0.777
2#apb#apb38#app3818/o  1.065 1.192  0.972 1.136  0.844 1.136  0.724 1.093  0.604 1.049  0.484 1.009  0.361 0.972  0.243 0.929  0.139 0.855  0.035 0.781  -0.068 0.706  -0.172 0.632  -0.275 0.556  -0.377 0.481  -0.480 0.406  -0.578 0.324  -0.668 0.234  -0.758 0.144  -0.848 0.054  -0.912 -0.055  -0.965 -0.171  -1.019 -0.286  -1.046 -0.409  -1.055 -0.536  -1.065 -0.663  -1.003 -0.767  -0.920 -0.864  -0.816 -0.936  -0.707 -1.002  -0.594 -1.045  -0.469 -1.018  -0.344 -0.991  -0.220 -0.962  -0.101 -0.918  0.018 -0.873  0.138 -0.828  0.245 -0.764  0.335 -0.674  0.425 -0.584  0.515 -0.493  0.592 -0.392  0.670 -0.291  0.748 -0.190  0.807 -0.079  0.848 0.042  0.888 0.163  0.927 0.284  0.936 0.411  0.945 0.538  0.954 0.665
2#apb#apb38#app3818/r  -0.292 -1.030  -0.321 -1.103  -0.348 -1.175  -0.370 -1.250  -0.391 -1.325  -0.398 -1.402  -0.371 -1.389  -0.328 -1.325  -0.289 -1.258  -0.270 -1.182  -0.251 -1.107  -0.232 -1.031  -0.213 -0.956  -0.194 -0.880  -0.182 -0.804  -0.177 -0.726  -0.172 -0.648  -0.167 -0.571  -0.162 -0.493  -0.156 -0.415  -0.151 -0.337  -0.146 -0.260  -0.141 -0.182  -0.136 -0.104  -0.132 -0.027  -0.132 0.051  -0.132 0.129  -0.132 0.207  -0.132 0.285  -0.115 0.360  -0.092 0.435  -0.070 0.509  -0.047 0.584  -0.022 0.658  0.003 0.731  0.050 0.793  0.098 0.854  0.146 0.916  0.195 0.976  0.257 1.023  0.318 1.071  0.380 1.119  0.441 1.167  0.504 1.213  0.566 1.260  0.628 1.307  0.703 1.322  0.780 1.330  0.858 1.337  0.935 1.344
2#apb#apb38#app3818/t  0.674 0.555  0.584 0.447  0.539 0.308  0.508 0.164  0.474 0.021  0.436 -0.121  0.387 -0.259  0.322 -0.391  0.256 -0.522  0.199 -0.658  0.147 -0.795  0.097 -0.933  0.048 -1.072  -0.001 -1.210  -0.053 -1.348  -0.106 -1.485  -0.178 -1.464  -0.229 -1.326  -0.281 -1.189  -0.332 -1.051  -0.383 -0.913  -0.435 -0.775  -0.486 -0.638  -0.537 -0.500  -0.589 -0.362  -0.640 -0.224  -0.691 -0.087  -0.743 0.051  -0.794 0.189  -0.845 0.327  -0.897 0.464  -0.948 0.602  -0.975 0.626  -0.835 0.601  -0.689 0.612  -0.543 0.629  -0.397 0.650  -0.252 0.670  -0.108 0.699  0.036 0.731  0.179 0.763  0.323 0.795  0.466 0.829  0.609 0.864  0.752 0.898  0.895 0.933  1.040 0.951  1.186 0.967  1.333 0.982  1.479 0.998
2#apb#apb38#app3818/o  0.314 1.040  0.206 0.983  0.098 0.926  -0.010 0.869  -0.118 0.812  -0.225 0.754  -0.331 0.694  -0.438 0.634  -0.544 0.574  -0.651 0.514  -0.751 0.445  -0.850 0.373  -0.949 0.302  -1.022 0.211  -1.060 0.095  -1.099 -0.021  -1.118 -0.138  -1.097 -0.258  -1.075 -0.378  -1.022 -0.485  -0.947 -0.581  -0.872 -0.677  -0.766 -0.731  -0.651 -0.771  -0.536 -0.812  -0.421 -0.853  -0.304 -0.872  -0.184 -0.851  -0.064 -0.829  0.057 -0.808  0.176 -0.785  0.291 -0.744  0.406 -0.703  0.521 -0.662  0.627 -0.605  0.723 -0.528  0.818 -0.452  0.899 -0.365  0.949 -0.253  0.998 -0.142  1.032 -0.025  1.065 0.093  1.091 0.211  1.064 0.330  1.036 0.449  1.009 0.568  0.978 0.686  0.947 0.804  0.915 0.922  0.884 1.040
2#apb#apb38#app3818/n  -0.919 0.638  -0.986 0.549  -0.954 0.414  -0.924 0.278  -0.882 0.146  -0.838 0.014  -0.807 -0.122  -0.781 -0.258  -0.760 -0.396  -0.736 -0.533  -0.679 -0.659  -0.627 -0.787  -0.616 -0.926  -0.598 -1.063  -0.556 -1.031  -0.541 -0.893  -0.540 -0.754  -0.540 -0.615  -0.540 -0.476  -0.540 -0.337  -0.555 -0.199  -0.576 -0.061  -0.559 0.073  -0.518 0.206  -0.461 0.331  -0.384 0.447  -0.292 0.551  -0.194 0.649  -0.091 0.743  0.012 0.836  0.134 0.901  0.267 0.928  0.406 0.928  0.544 0.923  0.672 0.869  0.797 0.807  0.886 0.704  0.966 0.590  1.022 0.464  1.071 0.334  1.090 0.196  1.110 0.059  1.132 -0.078  1.155 -0.216  1.138 -0.353  1.115 -0.490  1.097 -0.628  1.100 -0.766  1.120 -0.903  1.158 -1.037
2#apb#apb38#app3818/W  -1.227 0.853  -1.211 0.803  -1.175 0.663  -1.132 0.524  -1.095 0.384  -1.065 0.243  -1.035 0.101  -1.004 -0.041  -0.972 -0.182  -0.921 -0.318  -0.868 -0.453  -0.827 -0.592  -0.792 -0.733  -0.715 -0.834  -0.646 -0.711  -0.589 -0.578  -0.538 -0.443  -0.515 -0.300  -0.461 -0.166  -0.394 -0.038  -0.311 0.081  -0.235 0.205  -0.146 0.318  -0.055 0.249  0.016 0.125  0.051 -0.016  0.085 -0.157  0.118 -0.298  0.170 -0.433  0.227 -0.566  0.298 -0.693  0.399 -0.795  0.508 -0.888  0.638 -0.835  0.695 -0.707  0.739 -0.569  0.779 -0.429  0.816 -0.289  0.851 -0.148  0.886 -0.008  0.923 0.132  0.960 0.273  0.983 0.416  1.005 0.559  1.037 0.700  1.081 0.838  1.123 0.977  1.162 1.117  1.192 1.259  1.187 1.401
2#apb#apb38#app3818/i  -0.306 -0.190  -0.324 -0.283  -0.343 -0.376  -0.331 -0.468  -0.301 -0.558  -0.281 -0.650  -0.273 -0.745  -0.266 -0.840  -0.246 -0.931  -0.207 -1.018  -0.174 -1.106  -0.174 -1.201  -0.158 -1.294  -0.125 -1.379  -0.060 -1.346  -0.051 -1.251  -0.041 -1.157  -0.032 -1.062  -0.023 -0.967  -0.013 -0.873  -0.004 -0.778  0.006 -0.684  0.015 -0.589  0.024 -0.494  0.034 -0.400  0.043 -0.305  0.052 -0.210  0.062 -0.116  0.071 -0.021  0.081 0.073  0.090 0.168  0.099 0.263  0.109 0.357  0.118 0.452  0.128 0.546  0.137 0.641  0.146 0.736  0.156 0.830  0.165 0.925  0.175 1.020  0.184 1.114  0.193 1.209  0.203 1.303  0.212 1.398  0.221 1.493  0.181 1.576  0.164 1.664  0.177 1.758  0.220 1.842  0.267 1.925
2#apb#apb38#app3818/l  -0.285 1.654  -0.248 1.612  -0.232 1.545  -0.232 1.475  -0.232 1.405  -0.227 1.336  -0.216 1.267  -0.205 1.198  -0.193 1.129  -0.182 1.060  -0.166 0.992  -0.149 0.925  -0.132 0.857  -0.115 0.789  -0.099 0.722  -0.089 0.653  -0.079 0.584  -0.069 0.515  -0.059 0.446  -0.049 0.376  -0.034 0.309  -0.014 0.242  0.005 0.175  0.024 0.107  0.043 0.040  0.061 -0.027  0.070 -0.096  0.079 -0.165  0.087 -0.235  0.096 -0.304  0.105 -0.373  0.113 -0.442  0.124 -0.511  0.134 -0.580  0.145 -0.649  0.156 -0.718  0.166 -0.787  0.167 -0.857  0.167 -0.926  0.167 -0.996  0.167 -1.066  0.167 -1.136  0.167 -1.205  0.167 -1.275  0.167 -1.345  0.157 -1.413  0.138 -1.480  0.119 -1.547  0.085 -1.608  0.061 -1.670
2#apb#apb38#app3818/k  -0.540 1.195  -0.617 1.033  -0.671 0.861  -0.699 0.682  -0.723 0.502  -0.745 0.322  -0.741 0.141  -0.733 -0.040  -0.724 -0.221  -0.714 -0.402  -0.705 -0.583  -0.696 -0.764  -0.688 -0.945  -0.676 -1.125  -0.660 -1.306  -0.630 -1.485  -0.582 -1.390  -0.529 -1.216  -0.475 -1.043  -0.422 -0.870  -0.369 -0.697  -0.315 -0.524  -0.262 -0.350  -0.209 -0.177  -0.130 -0.014  -0.037 0.141  0.074 0.284  0.180 0.430  0.295 0.571  0.417 0.704  0.547 0.831  0.681 0.952  0.810 1.080  0.933 1.213  1.010 1.288  0.916 1.133  0.822 0.978  0.728 0.823  0.634 0.668  0.540 0.513  0.446 0.358  0.352 0.203  0.258 0.048  0.334 -0.114  0.453 -0.250  0.566 -0.391  0.667 -0.542  0.770 -0.691  0.876 -0.838  0.987 -0.981
