2#app#app05#app0591/a  -0.088 1.235  0.009 1.140  0.197 1.137  0.292 1.040  0.364 0.878  0.387 0.696  0.482 0.543  0.482 0.352  0.482 0.160  0.482 -0.032  0.391 -0.186  0.323 -0.349  0.255 -0.513  0.148 -0.669  0.039 -0.823  -0.097 -0.959  -0.253 -1.045  -0.424 -1.096  -0.597 -1.140  -0.789 -1.140  -0.942 -1.046  -0.943 -0.855  -1.038 -0.702  -1.038 -0.510  -1.038 -0.319  -0.993 -0.145  -0.943 0.025  -0.923 0.209  -0.848 0.370  -0.787 0.536  -0.704 0.665  -0.622 0.796  -0.468 0.868  -0.390 1.027  -0.227 0.994  -0.088 0.916  0.023 0.823  0.113 0.654  0.249 0.519  0.384 0.383  0.520 0.248  0.577 0.080  0.657 -0.079  0.792 -0.215  0.862 -0.377  0.947 -0.549  1.052 -0.699  1.145 -0.852  1.241 -0.950  1.337 -1.045
2#app#app05#app0591/q  -0.682 0.359  -0.573 0.467  -0.428 0.612  -0.320 0.721  -0.175 0.866  -0.004 0.948  0.189 0.978  0.306 0.889  0.410 0.770  0.468 0.589  0.468 0.383  0.468 0.178  0.445 -0.017  0.362 -0.188  0.280 -0.359  0.109 -0.442  -0.036 -0.587  -0.213 -0.688  -0.415 -0.702  -0.612 -0.683  -0.757 -0.538  -0.814 -0.349  -0.858 -0.154  -0.858 0.051  -0.858 0.256  -0.858 0.461  -0.858 0.667  -0.770 0.835  -0.682 1.004  -0.576 1.154  -0.459 1.066  -0.275 1.013  -0.173 0.889  -0.022 0.760  0.026 0.574  0.169 0.481  0.252 0.310  0.291 0.121  0.379 -0.048  0.416 -0.244  0.468 -0.437  0.551 -0.608  0.556 -0.811  0.556 -1.016  0.644 -1.185  0.693 -1.370  0.760 -1.552  0.869 -1.723  0.970 -1.851  1.175 -1.851
2#app#app05#app0591/u  -0.973 1.474  -0.973 1.298  -0.973 1.123  -0.973 0.947  -0.908 0.798  -0.871 0.638  -0.871 0.463  -0.871 0.287  -0.853 0.116  -0.775 -0.041  -0.769 -0.215  -0.674 -0.352  -0.667 -0.524  -0.642 -0.689  -0.565 -0.833  -0.502 -0.994  -0.400 -1.134  -0.260 -1.192  -0.167 -1.274  -0.112 -1.127  -0.056 -0.974  -0.008 -0.819  0.045 -0.665  0.147 -0.532  0.147 -0.356  0.201 -0.203  0.249 -0.047  0.249 0.128  0.285 0.289  0.351 0.437  0.351 0.613  0.351 0.788  0.351 0.964  0.351 1.139  0.351 1.226  0.362 1.055  0.452 0.917  0.461 0.743  0.540 0.586  0.554 0.414  0.636 0.272  0.656 0.105  0.740 -0.035  0.758 -0.204  0.773 -0.373  0.860 -0.513  0.860 -0.688  0.860 -0.864  0.961 -0.997  0.961 -1.173
2#app#app05#app0591/i  -0.152 0.347  -0.070 0.312  -0.070 0.195  -0.070 0.079  -0.028 -0.020  0.011 -0.120  0.079 -0.209  0.092 -0.320  0.115 -0.431  0.167 -0.535  0.173 -0.650  0.173 -0.766  0.173 -0.883  0.206 -0.986  0.255 -1.082  0.255 -1.198  0.255 -1.315  0.255 -1.431  0.310 -1.440  0.255 -1.379  0.237 -1.264  0.215 -1.150  0.193 -1.036  0.171 -0.921  0.149 -0.807  0.128 -0.692  0.106 -0.578  0.084 -0.464  0.062 -0.349  0.040 -0.235  0.019 -0.120  -0.003 -0.006  -0.025 0.108  -0.047 0.223  -0.069 0.337  -0.090 0.452  -0.112 0.566  -0.134 0.680  -0.156 0.795  -0.177 0.909  -0.199 1.024  -0.221 1.138  -0.243 1.252  -0.265 1.367  -0.286 1.481  -0.308 1.596  -0.330 1.710  -0.352 1.824  -0.374 1.939  -0.395 2.053
2#app#app05#app0591/c  0.571 1.393  0.480 1.393  0.389 1.393  0.348 1.344  0.282 1.319  0.216 1.261  0.132 1.245  0.066 1.186  0.001 1.122  -0.063 1.057  -0.127 0.993  -0.191 0.929  -0.255 0.865  -0.319 0.801  -0.361 0.720  -0.404 0.641  -0.469 0.577  -0.533 0.513  -0.545 0.428  -0.545 0.337  -0.545 0.246  -0.545 0.155  -0.545 0.065  -0.545 -0.026  -0.545 -0.117  -0.545 -0.207  -0.528 -0.295  -0.499 -0.381  -0.471 -0.467  -0.406 -0.532  -0.342 -0.596  -0.278 -0.660  -0.248 -0.738  -0.190 -0.793  -0.109 -0.834  -0.043 -0.895  0.021 -0.959  0.100 -0.988  0.184 -1.018  0.265 -1.058  0.355 -1.062  0.445 -1.062  0.532 -1.045  0.613 -1.004  0.700 -0.988  0.770 -0.938  0.850 -0.913  0.920 -0.862  0.943 -0.781  1.017 -0.765
2#app#app05#app0591/k  -0.615 1.663  -0.615 1.438  -0.533 1.247  -0.533 1.023  -0.474 0.813  -0.443 0.597  -0.341 0.406  -0.290 0.188  -0.290 -0.036  -0.229 -0.246  -0.196 -0.461  -0.127 -0.657  -0.046 -0.862  -0.046 -1.086  -0.011 -1.296  0.035 -1.502  -0.043 -1.469  -0.168 -1.282  -0.292 -1.095  -0.417 -0.908  -0.541 -0.722  -0.533 -0.601  -0.533 -0.376  -0.381 -0.215  -0.277 -0.017  -0.177 0.184  -0.076 0.385  0.024 0.585  0.129 0.782  0.285 0.944  0.391 1.141  0.515 1.328  0.594 1.487  0.470 1.300  0.345 1.113  0.221 0.926  0.096 0.740  -0.028 0.553  -0.153 0.366  -0.209 0.159  -0.192 -0.059  -0.034 -0.218  0.092 -0.400  0.253 -0.530  0.444 -0.640  0.614 -0.784  0.809 -0.855  1.000 -0.936  1.191 -1.017  1.334 -1.098
2#app#app05#app0591/b  -0.936 2.039  -0.909 1.894  -0.825 1.783  -0.754 1.640  -0.720 1.481  -0.636 1.340  -0.594 1.173  -0.507 1.032  -0.450 0.869  -0.381 0.712  -0.320 0.551  -0.287 0.384  -0.257 0.217  -0.197 0.055  -0.142 -0.104  -0.140 -0.276  -0.070 -0.432  -0.056 -0.602  -0.002 -0.766  0.002 -0.937  0.054 -1.097  0.074 -1.265  0.074 -1.415  0.074 -1.243  0.002 -1.143  -0.040 -0.981  -0.070 -0.815  -0.142 -0.673  -0.142 -0.500  -0.142 -0.328  -0.142 -0.156  -0.142 0.017  -0.123 0.181  -0.052 0.324  0.074 0.402  0.198 0.451  0.370 0.451  0.523 0.419  0.626 0.306  0.724 0.190  0.796 0.047  0.846 -0.104  0.868 -0.267  0.868 -0.440  0.796 -0.540  0.718 -0.638  0.597 -0.760  0.461 -0.849  0.289 -0.849  0.146 -0.777
2#app#app05#app0591/r  -0.636 0.638  -0.541 0.543  -0.446 0.448  -0.416 0.339  -0.337 0.284  -0.273 0.176  -0.200 0.066  -0.140 -0.054  -0.047 -0.150  -0.023 -0.274  0.061 -0.374  0.097 -0.493  0.180 -0.596  0.240 -0.716  0.323 -0.819  0.359 -0.938  0.442 -1.037  0.459 -1.165  0.505 -1.253  0.558 -1.333  0.543 -1.452  0.459 -1.402  0.399 -1.293  0.359 -1.175  0.280 -1.074  0.185 -0.979  0.160 -0.855  0.136 -0.731  0.049 -0.631  -0.011 -0.512  -0.053 -0.385  -0.079 -0.254  -0.106 -0.122  -0.132 0.009  -0.138 0.142  -0.155 0.273  -0.215 0.392  -0.238 0.521  -0.238 0.655  -0.238 0.789  -0.238 0.923  -0.238 1.057  -0.198 1.175  -0.138 1.284  -0.138 1.418  -0.138 1.552  -0.101 1.671  -0.024 1.777  0.018 1.904  0.061 2.031
2#app#app05#app0591/o  -0.845 0.946  -0.731 0.946  -0.725 1.054  -0.623 1.065  -0.509 1.065  -0.395 1.065  -0.281 1.065  -0.167 1.065  -0.053 1.065  0.061 1.065  0.156 1.020  0.237 0.939  0.318 0.859  0.398 0.778  0.483 0.707  0.589 0.699  0.591 0.586  0.671 0.505  0.752 0.424  0.828 0.342  0.828 0.228  0.828 0.114  0.828 0.000  0.828 -0.114  0.828 -0.228  0.828 -0.342  0.751 -0.408  0.649 -0.459  0.589 -0.536  0.559 -0.638  0.479 -0.718  0.398 -0.799  0.318 -0.879  0.237 -0.960  0.126 -0.967  0.012 -0.967  -0.102 -0.967  -0.216 -0.967  -0.330 -0.967  -0.444 -0.967  -0.546 -0.927  -0.641 -0.864  -0.736 -0.800  -0.830 -0.737  -0.913 -0.659  -0.965 -0.566  -0.976 -0.454  -1.012 -0.346  -1.048 -0.238  -1.084 -0.130
2#app#app05#app0591/w  -1.309 0.962  -1.309 0.791  -1.207 0.721  -1.207 0.549  -1.207 0.378  -1.106 0.248  -1.106 0.077  -1.092 -0.092  -1.038 -0.255  -0.958 -0.402  -0.903 -0.551  -0.802 -0.680  -0.738 -0.825  -0.617 -0.946  -0.452 -0.963  -0.397 -0.847  -0.337 -0.701  -0.295 -0.547  -0.295 -0.375  -0.295 -0.204  -0.295 -0.032  -0.295 0.139  -0.295 0.311  -0.205 0.445  -0.155 0.595  -0.010 0.658  0.110 0.547  0.166 0.399  0.288 0.278  0.324 0.118  0.378 -0.044  0.454 -0.193  0.515 -0.339  0.625 -0.465  0.718 -0.598  0.796 -0.737  0.856 -0.862  0.921 -0.755  0.921 -0.583  0.921 -0.412  0.921 -0.240  0.921 -0.069  0.921 0.102  0.921 0.274  0.943 0.443  0.984 0.609  1.022 0.776  1.061 0.938  1.123 1.095  1.123 1.266
2#app#app05#app0591/n  -0.892 1.272  -0.782 1.145  -0.782 0.972  -0.782 0.800  -0.716 0.654  -0.671 0.500  -0.671 0.327  -0.662 0.159  -0.561 0.028  -0.561 -0.145  -0.561 -0.317  -0.561 -0.490  -0.451 -0.617  -0.397 -0.767  -0.341 -0.916  -0.341 -1.089  -0.341 -1.262  -0.230 -1.324  -0.341 -1.365  -0.341 -1.192  -0.341 -1.020  -0.341 -0.847  -0.341 -0.675  -0.341 -0.502  -0.341 -0.329  -0.341 -0.157  -0.341 0.016  -0.326 0.183  -0.230 0.315  -0.160 0.459  -0.116 0.614  -0.010 0.742  0.074 0.831  0.137 0.941  0.211 1.039  0.372 1.051  0.542 1.049  0.588 0.895  0.710 0.773  0.763 0.622  0.834 0.467  0.911 0.312  0.983 0.156  1.036 0.006  1.093 -0.143  1.093 -0.316  1.141 -0.477  1.204 -0.635  1.204 -0.807  1.314 -0.934
