2#app#app06#app0625/!  -0.582 1.942  -0.582 1.837  -0.528 1.755  -0.515 1.656  -0.475 1.567  -0.448 1.474  -0.448 1.369  -0.414 1.272  -0.380 1.175  -0.380 1.070  -0.313 0.993  -0.313 0.889  -0.301 0.789  -0.246 0.707  -0.246 0.602  -0.179 0.525  -0.165 0.423  -0.132 0.323  -0.112 0.222  -0.055 0.141  -0.045 0.040  -0.001 -0.047  0.027 -0.137  0.089 -0.180  0.102 -0.271  0.156 -0.322  0.156 -0.427  0.156 -0.532  0.156 -0.636  0.156 -0.741  0.156 -0.846  0.156 -0.934  0.202 -0.875  0.240 -0.808  0.290 -0.754  0.382 -0.741  0.487 -0.741  0.559 -0.814  0.559 -0.918  0.559 -1.023  0.507 -1.076  0.402 -1.076  0.297 -1.076  0.223 -1.046  0.175 -0.961  0.089 -0.931  0.089 -0.826  0.109 -0.741  0.156 -0.684  0.223 -0.607
2#app#app06#app0625/@  -0.447 0.191  -0.340 0.382  -0.137 0.478  0.123 0.386  0.222 0.128  0.222 -0.170  0.080 -0.382  -0.212 -0.408  -0.480 -0.445  -0.734 -0.363  -0.829 -0.160  -0.829 0.138  -0.734 0.397  -0.638 0.655  -0.543 0.671  -0.382 0.478  -0.256 0.249  -0.160 0.046  -0.065 -0.212  0.094 -0.445  0.222 -0.634  0.446 -0.765  0.649 -0.860  0.851 -0.765  0.939 -0.526  1.082 -0.287  1.082 0.012  1.082 0.310  0.990 0.570  0.891 0.828  0.795 1.086  0.587 1.259  0.413 1.486  0.158 1.529  -0.118 1.476  -0.352 1.331  -0.447 1.072  -0.543 0.813  -0.638 0.537  -0.638 0.239  -0.638 -0.059  -0.638 -0.358  -0.559 -0.637  -0.492 -0.911  -0.408 -1.166  -0.233 -1.361  0.031 -1.438  0.238 -1.529  0.497 -1.434  0.795 -1.434
2#app#app06#app0625/#  -0.831 1.367  -0.659 1.132  -0.659 0.726  -0.659 0.320  -0.603 -0.063  -0.487 -0.421  -0.487 -0.828  -0.349 -1.176  -0.233 -0.859  -0.140 -0.464  -0.047 -0.068  0.046 0.327  0.139 0.723  0.232 1.118  0.325 1.514  0.386 1.510  0.543 1.141  0.543 0.734  0.549 0.330  0.715 -0.007  0.759 -0.395  0.886 -0.748  0.886 -1.155  0.614 -0.987  0.300 -0.729  -0.015 -0.472  -0.329 -0.215  -0.643 0.042  -0.958 0.300  -0.826 0.508  -0.487 0.576  -0.185 0.680  0.221 0.680  0.556 0.852  0.940 0.905  0.876 0.869  0.566 0.607  0.255 0.344  -0.055 0.082  -0.365 -0.181  -0.675 -0.443  -0.985 -0.705  -1.016 -0.866  -0.782 -1.037  -0.547 -1.209  -0.141 -1.209  0.196 -1.041  0.533 -0.876  0.871 -0.710  1.230 -0.522
2#app#app06#app0625/$  -0.073 1.182  -0.083 0.959  -0.185 0.827  -0.285 0.635  -0.296 0.406  -0.408 0.219  -0.296 0.031  -0.140 -0.046  0.039 -0.101  0.215 -0.158  0.337 -0.270  0.459 -0.382  0.486 -0.588  0.486 -0.822  0.486 -1.056  0.476 -1.285  0.374 -1.477  0.209 -1.611  0.039 -1.547  0.014 -1.315  -0.017 -1.083  -0.047 -0.852  -0.078 -0.620  -0.109 -0.389  -0.140 -0.157  -0.171 0.074  -0.202 0.306  -0.233 0.538  -0.264 0.769  -0.294 1.001  -0.325 1.232  -0.356 1.464  -0.387 1.695  -0.408 1.778  -0.323 1.629  -0.296 1.422  -0.222 1.220  -0.154 1.009  -0.073 0.794  -0.073 0.560  0.039 0.373  0.039 0.139  0.072 -0.080  0.150 -0.281  0.166 -0.509  0.262 -0.702  0.360 -0.913  0.374 -1.143  0.374 -1.377  0.486 -1.499
2#app#app06#app0625/%  -0.911 0.642  -0.894 0.837  -0.779 0.935  -0.618 0.884  -0.520 0.769  -0.520 0.556  -0.618 0.441  -0.716 0.327  -0.852 0.250  -1.049 0.289  -1.107 0.478  -1.107 0.691  -1.107 0.904  -1.009 1.019  -0.815 0.994  -0.606 0.953  -0.398 0.911  -0.189 0.869  -0.030 0.786  -0.030 0.573  -0.030 0.361  -0.030 0.148  -0.068 -0.059  -0.128 -0.262  -0.128 -0.475  -0.226 -0.647  -0.226 -0.860  -0.226 -1.073  -0.137 -0.981  -0.023 -0.801  0.091 -0.622  0.205 -0.442  0.320 -0.263  0.434 -0.083  0.527 0.054  0.699 0.152  0.912 0.152  1.125 0.152  1.144 -0.041  1.242 -0.214  1.242 -0.426  1.242 -0.639  1.144 -0.754  1.114 -0.955  1.027 -1.120  0.815 -1.120  0.617 -1.083  0.467 -0.932  0.369 -0.744  0.361 -0.533
2#app#app06#app0625/^  -1.507 -0.810  -1.420 -0.723  -1.334 -0.636  -1.247 -0.549  -1.232 -0.433  -1.232 -0.311  -1.161 -0.259  -1.038 -0.259  -0.957 -0.218  -0.957 -0.095  -0.945 0.016  -0.823 0.016  -0.700 0.016  -0.681 0.120  -0.681 0.243  -0.608 0.291  -0.485 0.291  -0.406 0.335  -0.406 0.458  -0.392 0.567  -0.270 0.567  -0.147 0.567  -0.024 0.567  0.098 0.567  0.144 0.643  0.144 0.766  0.191 0.842  0.313 0.842  0.420 0.826  0.420 0.703  0.420 0.580  0.420 0.458  0.420 0.335  0.499 0.291  0.621 0.291  0.695 0.243  0.695 0.120  0.708 0.003  0.795 -0.084  0.882 -0.171  0.968 -0.257  0.970 -0.379  0.970 -0.502  0.970 -0.624  0.970 -0.747  1.030 -0.810  1.153 -0.810  1.245 -0.840  1.245 -0.962  1.245 -1.085
2#app#app06#app0625/&  0.767 -1.292  0.671 -1.185  0.589 -1.017  0.480 -0.860  0.384 -0.697  0.363 -0.504  0.287 -0.333  0.180 -0.237  0.096 -0.119  -0.023 -0.022  -0.098 0.149  -0.191 0.313  -0.287 0.475  -0.324 0.662  -0.383 0.840  -0.417 1.009  -0.479 1.149  -0.423 1.296  -0.383 1.458  -0.287 1.565  -0.104 1.584  0.098 1.582  0.261 1.488  0.288 1.312  0.288 1.110  0.192 1.003  0.096 0.897  0.010 0.730  -0.093 0.625  -0.169 0.456  -0.287 0.302  -0.333 0.146  -0.383 -0.007  -0.479 -0.169  -0.479 -0.372  -0.479 -0.574  -0.479 -0.776  -0.479 -0.979  -0.479 -1.181  -0.383 -1.288  -0.215 -1.364  -0.095 -1.314  0.060 -1.232  0.192 -1.085  0.288 -0.978  0.382 -0.815  0.457 -0.643  0.554 -0.525  0.576 -0.344  0.671 -0.237
2#app#app06#app0625/*  0.381 1.469  0.381 1.149  0.381 0.829  0.381 0.509  0.196 0.266  0.178 -0.046  -0.026 -0.162  -0.026 -0.482  -0.026 -0.802  -0.131 -1.078  -0.229 -1.357  -0.229 -1.677  -0.266 -1.579  -0.321 -1.264  -0.377 -0.949  -0.432 -0.634  -0.488 -0.319  -0.544 -0.004  -0.599 0.311  -0.655 0.625  -0.710 0.940  -0.766 1.255  -0.821 1.570  -0.636 1.659  -0.636 1.339  -0.462 1.091  -0.380 0.806  -0.154 0.580  0.072 0.353  0.298 0.127  0.381 -0.158  0.607 -0.384  0.788 -0.629  0.915 -0.896  1.000 -1.176  1.093 -1.105  0.831 -0.921  0.569 -0.738  0.307 -0.554  0.045 -0.371  -0.217 -0.188  -0.479 -0.004  -0.741 0.179  -0.639 0.248  -0.320 0.248  -0.067 0.410  0.236 0.451  0.555 0.451  0.788 0.364  0.992 0.248
2#app#app06#app0625/(  0.200 1.714  0.200 1.634  0.174 1.566  0.118 1.510  0.077 1.448  0.077 1.368  0.037 1.306  -0.019 1.250  -0.046 1.182  -0.046 1.102  -0.046 1.023  -0.046 0.944  -0.046 0.865  -0.095 0.806  -0.151 0.750  -0.168 0.678  -0.168 0.599  -0.168 0.519  -0.168 0.440  -0.168 0.361  -0.168 0.282  -0.168 0.203  -0.168 0.123  -0.168 0.044  -0.168 -0.035  -0.168 -0.114  -0.168 -0.194  -0.168 -0.273  -0.168 -0.352  -0.168 -0.431  -0.168 -0.510  -0.168 -0.590  -0.168 -0.669  -0.159 -0.739  -0.080 -0.739  -0.046 -0.784  -0.046 -0.863  -0.046 -0.942  -0.008 -0.984  0.071 -0.984  0.077 -1.057  0.098 -1.128  0.154 -1.184  0.215 -1.229  0.294 -1.229  0.322 -1.280  0.330 -1.352  0.409 -1.352  0.488 -1.352  0.567 -1.352
2#app#app06#app0625/)  -0.712 1.482  -0.712 1.403  -0.662 1.372  -0.602 1.353  -0.602 1.273  -0.533 1.263  -0.492 1.224  -0.486 1.147  -0.430 1.090  -0.373 1.034  -0.317 0.978  -0.261 0.921  -0.204 0.865  -0.148 0.809  -0.092 0.752  -0.053 0.689  -0.053 0.609  -0.053 0.529  -0.022 0.463  0.035 0.406  0.057 0.336  0.070 0.262  0.126 0.205  0.166 0.142  0.166 0.063  0.217 0.004  0.274 -0.052  0.276 -0.131  0.276 -0.210  0.276 -0.290  0.276 -0.370  0.276 -0.449  0.301 -0.519  0.357 -0.575  0.386 -0.643  0.386 -0.722  0.386 -0.802  0.386 -0.882  0.357 -0.933  0.278 -0.933  0.276 -1.011  0.276 -1.091  0.263 -1.165  0.207 -1.221  0.166 -1.284  0.166 -1.364  0.116 -1.423  0.059 -1.479  0.003 -1.535  -0.053 -1.592
2#app#app06#app0625/`  -1.207 1.199  -1.116 1.199  -1.025 1.199  -0.934 1.199  -0.884 1.158  -0.884 1.067  -0.884 0.976  -0.884 0.885  -0.826 0.818  -0.761 0.754  -0.697 0.689  -0.632 0.625  -0.568 0.560  -0.562 0.472  -0.562 0.381  -0.562 0.290  -0.529 0.231  -0.438 0.231  -0.347 0.231  -0.256 0.231  -0.165 0.231  -0.074 0.231  0.017 0.231  0.084 0.207  0.084 0.116  0.084 0.025  0.084 -0.066  0.150 -0.091  0.241 -0.091  0.332 -0.091  0.406 -0.108  0.406 -0.199  0.406 -0.290  0.406 -0.381  0.406 -0.472  0.406 -0.563  0.406 -0.654  0.415 -0.736  0.506 -0.736  0.597 -0.736  0.688 -0.736  0.765 -0.772  0.829 -0.836  0.893 -0.901  0.958 -0.965  1.022 -1.030  1.051 -1.109  1.051 -1.200  1.051 -1.291  1.051 -1.382
