2#app#app06#app0644/{  -0.057 1.671  -0.097 1.621  -0.128 1.550  -0.156 1.473  -0.206 1.404  -0.212 1.318  -0.255 1.246  -0.304 1.177  -0.332 1.099  -0.354 1.019  -0.354 0.930  -0.328 0.852  -0.300 0.774  -0.236 0.711  -0.173 0.648  -0.110 0.585  -0.057 0.546  -0.026 0.514  -0.057 0.438  -0.082 0.359  -0.107 0.280  -0.138 0.203  -0.156 0.122  -0.206 0.082  -0.162 0.037  -0.122 -0.013  -0.053 -0.062  -0.008 -0.106  0.042 -0.146  0.091 -0.186  0.091 -0.275  0.091 -0.364  0.091 -0.453  0.091 -0.543  0.074 -0.625  0.042 -0.701  0.042 -0.790  0.042 -0.879  0.042 -0.969  0.080 -1.042  0.109 -1.119  0.141 -1.195  0.215 -1.239  0.284 -1.295  0.350 -1.350  0.424 -1.386  0.488 -1.449  0.565 -1.477  0.646 -1.498  0.735 -1.498
2#app#app06#app0644/B  -0.373 1.238  -0.349 1.032  -0.294 0.833  -0.265 0.627  -0.171 0.437  -0.136 0.233  -0.122 0.024  -0.057 -0.173  0.022 -0.352  0.022 -0.565  0.101 -0.744  0.101 -0.956  0.066 -1.134  -0.097 -1.015  -0.215 -0.851  -0.324 -0.679  -0.406 -0.483  -0.453 -0.279  -0.490 -0.073  -0.532 0.133  -0.592 0.331  -0.611 0.539  -0.611 0.751  -0.611 0.963  -0.543 1.148  -0.479 1.343  -0.373 1.516  -0.200 1.555  -0.046 1.441  0.022 1.239  0.101 1.060  0.101 0.848  0.066 0.650  0.022 0.456  -0.057 0.276  -0.125 0.131  0.064 0.131  0.197 0.052  0.366 -0.054  0.516 -0.204  0.662 -0.357  0.757 -0.547  0.818 -0.744  0.892 -0.926  0.889 -1.137  0.813 -1.318  0.712 -1.492  0.573 -1.611  0.392 -1.687  0.259 -1.608
2#app#app06#app0644/r  -0.032 0.578  -0.036 0.453  -0.127 0.363  -0.152 0.246  -0.152 0.118  -0.152 -0.009  -0.074 -0.104  -0.032 -0.214  -0.032 -0.342  -0.032 -0.469  0.031 -0.571  0.103 -0.672  0.144 -0.793  0.184 -0.914  0.242 -1.024  0.331 -1.115  0.340 -1.233  0.451 -1.249  0.474 -1.354  0.542 -1.354  0.426 -1.328  0.335 -1.238  0.331 -1.112  0.326 -0.987  0.236 -0.897  0.145 -0.806  0.055 -0.716  -0.032 -0.625  -0.032 -0.497  -0.038 -0.371  -0.086 -0.252  -0.133 -0.134  -0.180 -0.016  -0.228 0.103  -0.273 0.222  -0.273 0.349  -0.273 0.477  -0.273 0.604  -0.273 0.732  -0.273 0.859  -0.273 0.987  -0.273 1.114  -0.273 1.242  -0.243 1.362  -0.186 1.477  -0.152 1.596  -0.126 1.717  -0.069 1.832  -0.001 1.938  0.089 2.028
2#app#app06#app0644/a  -0.449 0.850  -0.255 0.850  -0.061 0.850  0.083 0.800  0.150 0.672  0.260 0.589  0.260 0.395  0.312 0.213  0.399 0.039  0.437 -0.146  0.437 -0.340  0.437 -0.534  0.437 -0.728  0.313 -0.871  0.176 -1.008  0.083 -1.163  0.027 -1.334  -0.117 -1.456  -0.311 -1.456  -0.489 -1.417  -0.626 -1.280  -0.638 -1.090  -0.775 -0.953  -0.804 -0.771  -0.804 -0.577  -0.804 -0.383  -0.804 -0.189  -0.804 0.005  -0.804 0.199  -0.804 0.393  -0.739 0.560  -0.627 0.708  -0.590 0.887  -0.452 1.024  -0.437 1.204  -0.243 1.204  -0.049 1.204  0.083 1.142  0.139 0.971  0.260 0.827  0.288 0.644  0.425 0.507  0.562 0.370  0.615 0.198  0.711 0.044  0.849 -0.094  0.986 -0.231  1.123 -0.368  1.308 -0.392  1.324 -0.569
2#app#app06#app0644/c  0.171 1.086  0.171 1.167  0.171 1.247  0.171 1.327  0.171 1.407  0.108 1.425  0.028 1.425  0.002 1.371  0.002 1.290  0.002 1.210  0.002 1.130  0.002 1.050  0.002 0.969  0.002 0.889  0.002 0.809  0.002 0.729  0.002 0.648  -0.006 0.571  -0.063 0.515  -0.119 0.458  -0.168 0.397  -0.168 0.317  -0.168 0.237  -0.168 0.157  -0.168 0.076  -0.168 -0.004  -0.168 -0.084  -0.168 -0.164  -0.168 -0.245  -0.168 -0.325  -0.168 -0.405  -0.168 -0.485  -0.168 -0.566  -0.168 -0.646  -0.168 -0.726  -0.145 -0.797  -0.088 -0.854  -0.032 -0.911  0.002 -0.977  0.002 -1.057  0.002 -1.138  0.002 -1.218  0.013 -1.293  0.070 -1.350  0.126 -1.407  0.188 -1.451  0.268 -1.451  0.349 -1.451  0.429 -1.451  0.509 -1.451
2#app#app06#app0644/e  -0.252 0.051  -0.108 0.051  -0.068 0.156  -0.068 0.300  -0.068 0.445  -0.068 0.589  -0.010 0.720  0.055 0.849  0.117 0.979  0.117 1.124  0.117 1.268  0.047 1.343  -0.089 1.322  -0.191 1.219  -0.252 1.100  -0.270 0.974  -0.415 0.974  -0.437 0.851  -0.495 0.731  -0.597 0.629  -0.621 0.494  -0.621 0.350  -0.621 0.205  -0.621 0.060  -0.717 -0.044  -0.806 -0.152  -0.806 -0.297  -0.806 -0.441  -0.747 -0.561  -0.645 -0.663  -0.621 -0.798  -0.550 -0.871  -0.415 -0.894  -0.312 -0.996  -0.193 -1.056  -0.048 -1.056  0.096 -1.056  0.205 -0.968  0.309 -0.871  0.453 -0.871  0.565 -0.792  0.667 -0.690  0.811 -0.687  0.955 -0.687  1.082 -0.644  1.184 -0.542  1.286 -0.440  1.389 -0.338  1.491 -0.236  1.593 -0.133
2#app#app06#app0644/Y  0.457 1.501  0.457 1.339  0.457 1.177  0.448 1.018  0.376 0.873  0.364 0.714  0.364 0.552  0.364 0.390  0.349 0.230  0.310 0.073  0.271 -0.084  0.270 -0.245  0.270 -0.407  0.270 -0.569  0.270 -0.731  0.270 -0.893  0.270 -1.055  0.195 -1.185  0.177 -1.340  0.177 -1.501  0.239 -1.638  0.270 -1.738  0.239 -1.582  0.183 -1.430  0.127 -1.278  0.071 -1.126  0.016 -0.974  -0.040 -0.822  -0.096 -0.671  -0.151 -0.519  -0.207 -0.367  -0.263 -0.215  -0.319 -0.063  -0.374 0.089  -0.430 0.241  -0.486 0.393  -0.541 0.545  -0.597 0.697  -0.653 0.849  -0.708 1.001  -0.755 1.154  -0.661 1.221  -0.519 1.172  -0.405 1.057  -0.289 0.998  -0.215 0.867  -0.100 0.753  0.014 0.638  0.084 0.505  0.177 0.382
2#app#app06#app0644/o  -0.571 0.446  -0.571 0.548  -0.518 0.597  -0.419 0.601  -0.373 0.692  -0.328 0.783  -0.282 0.874  -0.270 0.973  -0.244 1.048  -0.142 1.048  -0.120 1.127  -0.089 1.199  0.012 1.199  0.114 1.199  0.216 1.199  0.318 1.199  0.332 1.111  0.332 1.010  0.332 0.908  0.332 0.806  0.332 0.704  0.332 0.603  0.332 0.501  0.332 0.399  0.332 0.297  0.332 0.196  0.332 0.094  0.332 -0.008  0.332 -0.110  0.332 -0.211  0.329 -0.312  0.283 -0.403  0.238 -0.494  0.192 -0.585  0.181 -0.685  0.181 -0.786  0.181 -0.888  0.123 -0.966  0.051 -1.038  0.031 -1.131  0.014 -1.226  -0.058 -1.298  -0.130 -1.370  -0.202 -1.442  -0.275 -1.510  -0.377 -1.510  -0.462 -1.469  -0.534 -1.397  -0.571 -1.311  -0.571 -1.209
2#app#app06#app0644/u  -1.085 1.293  -1.010 1.142  -0.945 0.990  -0.945 0.822  -0.945 0.655  -0.945 0.487  -0.945 0.319  -0.931 0.157  -0.813 0.039  -0.805 -0.126  -0.805 -0.293  -0.754 -0.440  -0.665 -0.571  -0.665 -0.739  -0.665 -0.906  -0.541 -0.951  -0.418 -1.057  -0.264 -1.091  -0.140 -0.987  -0.104 -0.834  -0.101 -0.667  0.018 -0.549  0.036 -0.389  0.036 -0.221  0.036 -0.053  0.036 0.115  0.036 0.282  0.036 0.450  0.036 0.618  0.074 0.770  0.177 0.895  0.177 1.063  0.255 1.152  0.317 1.047  0.411 0.918  0.457 0.769  0.457 0.602  0.569 0.480  0.597 0.324  0.607 0.161  0.726 0.042  0.745 -0.118  0.864 -0.236  0.944 -0.383  1.018 -0.533  1.018 -0.701  1.076 -0.811  1.158 -0.896  1.271 -0.951  1.298 -1.091
2#app#app06#app0644/r  -0.211 1.070  -0.211 0.932  -0.211 0.794  -0.211 0.656  -0.113 0.558  -0.073 0.437  -0.073 0.299  -0.073 0.162  -0.037 0.032  0.025 -0.091  0.065 -0.220  0.065 -0.357  0.065 -0.495  0.099 -0.619  0.197 -0.717  0.203 -0.852  0.203 -0.990  0.294 -1.090  0.341 -1.208  0.373 -1.339  0.435 -1.462  0.439 -1.550  0.341 -1.511  0.313 -1.385  0.216 -1.287  0.203 -1.154  0.149 -1.029  0.088 -0.906  0.065 -0.773  0.026 -0.645  -0.036 -0.521  -0.073 -0.392  -0.090 -0.257  -0.134 -0.126  -0.177 0.005  -0.211 0.137  -0.211 0.275  -0.211 0.413  -0.211 0.551  -0.211 0.689  -0.211 0.826  -0.211 0.964  -0.211 1.102  -0.211 1.240  -0.211 1.378  -0.211 1.516  -0.178 1.621  -0.058 1.650  0.003 1.774  0.065 1.897
2#app#app06#app0644/s  0.070 1.823  0.070 1.705  0.070 1.586  0.004 1.495  -0.060 1.404  -0.060 1.285  -0.061 1.167  -0.099 1.054  -0.136 0.942  -0.174 0.830  -0.235 0.732  -0.319 0.649  -0.403 0.565  -0.453 0.467  -0.469 0.352  -0.522 0.247  -0.575 0.141  -0.653 0.053  -0.715 -0.040  -0.715 -0.158  -0.715 -0.277  -0.715 -0.395  -0.715 -0.288  -0.614 -0.270  -0.521 -0.208  -0.438 -0.124  -0.354 -0.040  -0.249 -0.008  -0.137 0.019  -0.031 0.072  0.076 0.122  0.194 0.122  0.280 0.044  0.364 -0.040  0.448 -0.124  0.531 -0.208  0.594 -0.300  0.594 -0.419  0.594 -0.537  0.594 -0.656  0.594 -0.774  0.594 -0.892  0.594 -1.011  0.594 -1.129  0.594 -1.248  0.594 -1.366  0.594 -1.485  0.569 -1.578  0.463 -1.591  0.463 -1.709
