2#app#app06#app0661/f  -0.188 0.182  -0.188 0.328  -0.129 0.149  -0.048 -0.027  0.013 -0.219  0.051 -0.412  0.142 -0.593  0.212 -0.783  0.299 -0.966  0.336 -1.160  0.402 -1.347  0.481 -1.533  0.510 -1.731  0.412 -1.698  0.284 -1.542  0.192 -1.364  0.161 -1.166  0.161 -0.963  0.161 -0.761  -0.009 -0.664  -0.188 -0.571  -0.253 -0.379  -0.304 -0.185  -0.304 0.018  -0.304 0.220  -0.304 0.423  -0.304 0.626  -0.304 0.828  -0.304 1.031  -0.259 1.215  -0.188 1.398  -0.023 1.509  0.137 1.611  0.316 1.693  0.506 1.685  0.416 1.504  0.325 1.323  0.234 1.142  0.144 0.960  0.053 0.779  -0.037 0.598  -0.128 0.417  -0.219 0.235  -0.309 0.054  -0.400 -0.127  -0.478 -0.311  -0.481 -0.400  -0.302 -0.342  -0.099 -0.342  0.103 -0.342
2#app#app06#app0661/a  -0.262 0.921  -0.069 0.921  0.124 0.921  0.306 0.896  0.453 0.786  0.618 0.720  0.688 0.556  0.795 0.408  0.824 0.227  0.824 0.034  0.732 -0.120  0.688 -0.295  0.556 -0.432  0.468 -0.604  0.362 -0.762  0.203 -0.842  0.050 -0.938  -0.126 -0.978  -0.263 -1.114  -0.455 -1.114  -0.648 -1.114  -0.840 -1.114  -1.006 -1.048  -1.076 -0.884  -1.182 -0.736  -1.211 -0.555  -1.211 -0.363  -1.153 -0.184  -1.076 -0.009  -1.042 0.175  -0.955 0.348  -0.828 0.490  -0.692 0.626  -0.652 0.802  -0.508 0.921  -0.316 0.921  -0.123 0.921  0.070 0.921  0.145 0.804  0.183 0.650  0.348 0.583  0.417 0.418  0.485 0.242  0.582 0.078  0.718 -0.059  0.824 -0.208  0.924 -0.300  0.981 -0.435  1.095 -0.514  1.231 -0.571
2#app#app06#app0661/i  -0.081 0.043  -0.081 -0.062  -0.081 -0.167  -0.081 -0.271  -0.081 -0.376  -0.052 -0.468  0.018 -0.544  0.051 -0.643  0.085 -0.743  0.120 -0.841  0.166 -0.934  0.209 -1.029  0.221 -1.128  0.295 -1.202  0.305 -1.303  0.375 -1.378  0.385 -1.341  0.359 -1.240  0.333 -1.138  0.307 -1.037  0.281 -0.936  0.255 -0.835  0.229 -0.734  0.202 -0.632  0.176 -0.531  0.150 -0.430  0.124 -0.329  0.098 -0.227  0.072 -0.126  0.046 -0.025  0.020 0.076  -0.007 0.177  -0.033 0.279  -0.059 0.380  -0.085 0.481  -0.111 0.582  -0.137 0.683  -0.163 0.785  -0.189 0.886  -0.215 0.987  -0.242 1.088  -0.268 1.190  -0.294 1.291  -0.320 1.392  -0.346 1.493  -0.370 1.595  -0.370 1.699  -0.387 1.797  -0.461 1.871  -0.370 1.876
2#app#app06#app0661/l  -0.275 1.547  -0.223 1.599  -0.202 1.578  -0.202 1.505  -0.202 1.433  -0.202 1.360  -0.202 1.287  -0.202 1.215  -0.202 1.142  -0.202 1.069  -0.202 0.997  -0.202 0.924  -0.202 0.851  -0.202 0.779  -0.202 0.706  -0.202 0.633  -0.202 0.561  -0.202 0.488  -0.202 0.415  -0.184 0.347  -0.152 0.282  -0.129 0.214  -0.129 0.142  -0.129 0.069  -0.122 -0.002  -0.099 -0.071  -0.076 -0.140  -0.056 -0.210  -0.056 -0.282  -0.053 -0.355  -0.031 -0.424  -0.008 -0.493  0.015 -0.561  0.047 -0.627  0.080 -0.692  0.090 -0.762  0.135 -0.806  0.200 -0.839  0.235 -0.890  0.235 -0.963  0.254 -1.030  0.294 -1.090  0.334 -1.151  0.375 -1.211  0.424 -1.264  0.454 -1.324  0.454 -1.397  0.475 -1.461  0.527 -1.512  0.527 -1.585
2#app#app06#app0661/e  -0.178 -0.195  -0.061 -0.096  0.097 -0.096  0.155 0.004  0.313 0.004  0.429 0.109  0.570 0.179  0.691 0.277  0.814 0.326  0.898 0.400  1.012 0.502  1.073 0.599  1.196 0.683  1.184 0.824  1.056 0.897  0.898 0.897  0.741 0.897  0.583 0.897  0.434 0.856  0.292 0.789  0.142 0.739  -0.009 0.698  -0.167 0.698  -0.310 0.632  -0.451 0.562  -0.592 0.491  -0.733 0.421  -0.853 0.321  -0.994 0.279  -1.106 0.167  -1.217 0.056  -1.269 -0.080  -1.269 -0.238  -1.267 -0.395  -1.170 -0.513  -1.104 -0.636  -0.973 -0.723  -0.835 -0.790  -0.688 -0.833  -0.543 -0.889  -0.385 -0.889  -0.227 -0.889  -0.069 -0.889  0.089 -0.889  0.246 -0.889  0.404 -0.889  0.562 -0.889  0.720 -0.887  0.861 -0.816  1.012 -0.790
2#app#app06#app0661/d  0.032 2.096  0.046 2.096  0.032 1.949  -0.055 1.824  -0.055 1.663  -0.055 1.502  -0.055 1.341  -0.055 1.180  -0.051 1.020  -0.024 0.861  0.002 0.702  0.029 0.543  0.032 0.382  0.089 0.235  0.161 0.091  0.207 -0.059  0.207 -0.220  0.228 -0.373  0.295 -0.506  0.382 -0.631  0.446 -0.766  0.585 -0.818  0.699 -0.822  0.732 -0.674  0.718 -0.527  0.644 -0.439  0.510 -0.350  0.379 -0.259  0.307 -0.114  0.166 -0.069  0.022 0.003  -0.122 0.075  -0.280 0.085  -0.441 0.085  -0.570 0.007  -0.710 -0.045  -0.824 -0.159  -0.842 -0.312  -0.842 -0.473  -0.828 -0.628  -0.755 -0.759  -0.637 -0.820  -0.508 -0.913  -0.359 -0.964  -0.198 -0.964  -0.042 -0.997  0.111 -1.048  0.271 -1.051  0.417 -1.016  0.557 -0.964
2#app#app06#app0661/w  -1.193 0.625  -1.295 0.678  -1.193 0.724  -1.154 0.586  -1.091 0.457  -1.008 0.338  -0.990 0.191  -0.934 0.060  -0.825 -0.049  -0.786 -0.187  -0.786 -0.341  -0.713 -0.465  -0.673 -0.596  -0.583 -0.660  -0.500 -0.780  -0.456 -0.901  -0.379 -0.823  -0.278 -0.771  -0.278 -0.617  -0.278 -0.462  -0.218 -0.333  -0.176 -0.196  -0.176 -0.042  -0.176 -0.083  -0.074 -0.135  -0.003 -0.260  0.028 -0.401  0.071 -0.537  0.129 -0.668  0.247 -0.713  0.356 -0.822  0.434 -0.857  0.502 -0.731  0.536 -0.591  0.576 -0.454  0.638 -0.325  0.638 -0.171  0.688 -0.037  0.740 0.095  0.740 0.249  0.740 0.404  0.783 0.551  0.831 0.697  0.896 0.837  0.943 0.980  0.943 1.134  1.049 1.245  1.118 1.383  1.238 1.439  1.350 1.337
2#app#app06#app0661/i  -0.384 0.338  -0.283 0.325  -0.283 0.211  -0.283 0.097  -0.267 -0.014  -0.231 -0.122  -0.195 -0.230  -0.183 -0.341  -0.183 -0.455  -0.183 -0.569  -0.183 -0.683  -0.183 -0.797  -0.183 -0.911  -0.183 -1.024  -0.183 -1.138  -0.183 -1.252  -0.183 -1.366  -0.177 -1.474  -0.080 -1.455  -0.067 -1.342  -0.053 -1.229  -0.040 -1.116  -0.027 -1.003  -0.013 -0.890  -0.000 -0.777  0.013 -0.664  0.027 -0.551  0.040 -0.438  0.053 -0.325  0.066 -0.212  0.080 -0.099  0.093 0.014  0.106 0.127  0.120 0.240  0.133 0.353  0.146 0.467  0.160 0.580  0.173 0.693  0.186 0.806  0.199 0.919  0.213 1.032  0.226 1.145  0.239 1.258  0.253 1.371  0.266 1.484  0.279 1.597  0.293 1.710  0.306 1.823  0.319 1.936  0.220 1.949
2#app#app06#app0661/z  -0.980 1.057  -1.074 1.178  -0.925 1.245  -0.710 1.245  -0.495 1.245  -0.280 1.245  -0.065 1.245  0.122 1.175  0.327 1.151  0.508 1.070  0.615 0.954  0.522 0.777  0.437 0.597  0.284 0.445  0.172 0.264  0.035 0.101  -0.118 -0.051  -0.270 -0.203  -0.355 -0.383  -0.511 -0.478  -0.605 -0.655  -0.605 -0.870  -0.511 -0.991  -0.316 -1.015  -0.136 -1.101  0.071 -1.121  0.256 -1.195  0.471 -1.195  0.686 -1.195  0.897 -1.200  1.022 -1.289  0.970 -1.187  0.810 -1.043  0.649 -0.900  0.489 -0.756  0.328 -0.613  0.168 -0.469  0.008 -0.326  -0.153 -0.182  -0.313 -0.039  -0.473 0.105  -0.634 0.248  -0.759 0.306  -0.582 0.400  -0.367 0.400  -0.152 0.400  0.063 0.400  0.278 0.400  0.494 0.400  0.709 0.400
2#app#app06#app0661/a  -0.110 0.481  0.090 0.481  0.291 0.481  0.352 0.620  0.553 0.620  0.721 0.588  0.814 0.481  0.859 0.326  0.859 0.126  0.760 -0.033  0.618 -0.175  0.575 -0.357  0.433 -0.499  0.292 -0.640  0.143 -0.765  -0.032 -0.825  -0.200 -0.903  -0.356 -1.011  -0.543 -1.042  -0.743 -1.042  -0.943 -1.042  -1.079 -0.977  -1.205 -0.903  -1.217 -0.715  -1.217 -0.515  -1.217 -0.314  -1.217 -0.114  -1.105 0.039  -1.079 0.229  -0.993 0.343  -0.874 0.475  -0.775 0.647  -0.621 0.758  -0.451 0.832  -0.309 0.974  -0.135 1.035  0.065 1.035  0.266 1.035  0.327 0.896  0.444 0.813  0.547 0.655  0.587 0.471  0.677 0.292  0.721 0.102  0.837 -0.050  0.859 -0.241  0.859 -0.441  0.874 -0.626  0.998 -0.703  0.998 -0.903
2#app#app06#app0661/r  -0.319 0.365  -0.200 0.365  -0.183 0.264  -0.183 0.146  -0.183 0.028  -0.183 -0.090  -0.183 -0.208  -0.183 -0.326  -0.183 -0.444  -0.183 -0.562  -0.183 -0.680  -0.183 -0.798  -0.183 -0.917  -0.183 -1.035  -0.183 -1.153  -0.183 -1.271  -0.183 -1.389  -0.105 -1.474  -0.048 -1.494  -0.048 -1.376  -0.048 -1.258  -0.048 -1.140  -0.048 -1.022  -0.048 -0.903  -0.048 -0.785  -0.048 -0.667  -0.048 -0.549  -0.048 -0.431  -0.048 -0.313  -0.048 -0.195  -0.048 -0.077  -0.048 0.041  -0.048 0.159  -0.026 0.272  0.027 0.378  0.079 0.483  0.088 0.599  0.088 0.717  0.088 0.835  0.088 0.953  0.109 1.063  0.192 1.146  0.256 1.244  0.309 1.349  0.359 1.456  0.359 1.574  0.435 1.660  0.494 1.754  0.511 1.854  0.629 1.854
