2#app#app07#app0778/A  -0.311 -0.971  -0.311 -0.765  -0.311 -0.559  -0.303 -0.354  -0.238 -0.159  -0.165 0.019  -0.103 0.206  -0.048 0.400  0.044 0.584  0.136 0.768  0.195 0.960  0.245 1.154  0.337 1.338  0.410 1.530  0.449 1.730  0.533 1.899  0.533 1.693  0.533 1.487  0.449 1.301  0.449 1.095  0.374 0.907  0.364 0.703  0.364 0.497  0.364 0.291  0.364 0.085  0.364 -0.121  0.364 -0.326  0.364 -0.532  0.364 -0.738  0.422 -0.886  0.533 -1.031  0.605 -1.136  0.407 -1.082  0.208 -1.028  0.009 -0.974  -0.189 -0.920  -0.388 -0.866  -0.586 -0.811  -0.785 -0.757  -0.984 -0.703  -1.182 -0.649  -1.178 -0.549  -1.001 -0.479  -0.831 -0.393  -0.630 -0.380  -0.459 -0.295  -0.254 -0.295  -0.048 -0.295  0.158 -0.295  0.364 -0.295
2#app#app07#app0778/s  1.114 1.065  0.971 1.065  0.827 1.065  0.683 1.065  0.540 1.065  0.396 1.065  0.267 1.003  0.139 0.939  0.009 0.877  -0.127 0.832  -0.263 0.787  -0.400 0.741  -0.537 0.704  -0.681 0.704  -0.786 0.610  -0.893 0.523  -1.037 0.523  -1.144 0.434  -1.220 0.342  -1.077 0.342  -0.968 0.257  -0.864 0.162  -0.721 0.162  -0.611 0.080  -0.508 -0.019  -0.364 -0.019  -0.221 -0.019  -0.085 -0.052  0.043 -0.116  0.172 -0.180  0.311 -0.200  0.455 -0.200  0.591 -0.218  0.692 -0.320  0.794 -0.421  0.895 -0.523  0.934 -0.651  0.881 -0.742  0.742 -0.753  0.640 -0.854  0.525 -0.923  0.391 -0.933  0.391 -1.076  0.275 -1.103  0.131 -1.103  -0.012 -1.103  -0.154 -1.107  -0.256 -1.209  -0.368 -1.284  -0.512 -1.284
2#app#app07#app0778/m  -0.984 0.080  -0.814 0.046  -0.814 -0.159  -0.814 -0.363  -0.912 -0.527  -0.984 -0.702  -0.984 -0.906  -1.154 -0.941  -1.154 -1.073  -1.154 -0.869  -1.079 -0.695  -0.984 -0.530  -0.984 -0.326  -0.886 -0.162  -0.814 0.013  -0.717 0.177  -0.644 0.351  -0.548 0.516  -0.474 0.690  -0.379 0.855  -0.304 1.028  -0.171 1.099  -0.016 0.981  0.035 0.798  0.035 0.593  0.035 0.389  0.035 0.184  0.035 -0.020  0.035 -0.225  0.035 -0.429  0.070 -0.260  0.274 -0.260  0.375 -0.156  0.513 -0.090  0.622 0.064  0.714 0.247  0.746 0.420  0.885 0.486  0.956 0.661  1.119 0.760  1.225 0.660  1.225 0.456  1.106 0.301  1.055 0.118  1.055 -0.087  1.055 -0.291  1.055 -0.496  1.055 -0.700  1.190 -0.769  1.225 -0.939
2#app#app07#app0778/a  0.245 1.065  0.073 1.065  0.043 0.923  -0.069 0.863  -0.217 0.805  -0.338 0.683  -0.478 0.583  -0.621 0.488  -0.764 0.392  -0.907 0.297  -1.037 0.186  -1.159 0.065  -1.168 -0.104  -1.260 -0.238  -1.370 -0.364  -1.370 -0.536  -1.370 -0.708  -1.242 -0.752  -1.070 -0.752  -0.898 -0.752  -0.726 -0.752  -0.557 -0.746  -0.435 -0.625  -0.313 -0.503  -0.192 -0.381  -0.033 -0.348  0.139 -0.348  0.245 -0.283  0.270 -0.121  0.392 0.000  0.447 0.149  0.447 0.321  0.447 0.494  0.443 0.661  0.271 0.661  0.245 0.515  0.362 0.459  0.447 0.373  0.504 0.258  0.649 0.231  0.649 0.059  0.818 0.056  0.913 -0.069  0.990 -0.222  1.084 -0.348  1.256 -0.349  1.378 -0.471  1.517 -0.550  1.659 -0.580  1.659 -0.752
2#app#app07#app0778/l  -1.037 -1.274  -0.923 -1.235  -0.868 -1.105  -0.759 -0.997  -0.651 -0.889  -0.543 -0.781  -0.435 -0.673  -0.327 -0.565  -0.213 -0.464  -0.077 -0.396  0.045 -0.306  0.153 -0.198  0.261 -0.090  0.329 0.034  0.397 0.159  0.505 0.267  0.613 0.375  0.671 0.505  0.671 0.657  0.671 0.810  0.671 0.963  0.671 1.116  0.671 1.269  0.615 1.399  0.486 1.457  0.334 1.457  0.215 1.423  0.163 1.291  0.055 1.183  -0.053 1.075  -0.161 0.967  -0.240 0.847  -0.240 0.694  -0.324 0.576  -0.354 0.435  -0.354 0.282  -0.354 0.129  -0.354 -0.023  -0.354 -0.176  -0.354 -0.329  -0.301 -0.470  -0.232 -0.606  -0.164 -0.743  -0.078 -0.867  -0.012 -0.993  0.087 -1.047  0.199 -1.144  0.307 -1.252  0.415 -1.360  0.557 -1.388
2#app#app07#app0778/l  -1.053 -1.071  -0.945 -1.179  -0.803 -1.164  -0.694 -1.056  -0.586 -0.947  -0.476 -0.842  -0.336 -0.812  -0.217 -0.727  -0.085 -0.676  0.023 -0.568  0.093 -0.443  0.159 -0.317  0.267 -0.209  0.376 -0.101  0.484 0.008  0.551 0.133  0.551 0.287  0.551 0.440  0.551 0.593  0.551 0.747  0.551 0.900  0.551 1.053  0.551 1.206  0.551 1.360  0.506 1.494  0.381 1.564  0.228 1.564  0.114 1.470  0.037 1.339  -0.022 1.199  -0.049 1.052  -0.117 0.915  -0.186 0.778  -0.253 0.641  -0.302 0.495  -0.350 0.350  -0.366 0.199  -0.366 0.046  -0.335 -0.100  -0.267 -0.237  -0.251 -0.387  -0.251 -0.540  -0.194 -0.670  -0.137 -0.799  -0.058 -0.920  -0.022 -1.058  0.111 -1.089  0.219 -1.198  0.328 -1.306  0.436 -1.415
2#app#app07#app0778/,  0.886 1.420  0.886 1.348  0.886 1.275  0.859 1.214  0.807 1.163  0.756 1.111  0.705 1.059  0.673 0.994  0.641 0.930  0.608 0.865  0.576 0.800  0.543 0.735  0.527 0.666  0.527 0.593  0.525 0.523  0.460 0.490  0.395 0.458  0.330 0.425  0.265 0.393  0.200 0.360  0.152 0.311  0.120 0.246  0.087 0.181  0.055 0.116  0.022 0.051  -0.010 -0.013  -0.061 -0.065  -0.113 -0.116  -0.164 -0.167  -0.206 -0.226  -0.238 -0.291  -0.271 -0.355  -0.303 -0.420  -0.336 -0.485  -0.368 -0.550  -0.419 -0.602  -0.470 -0.653  -0.522 -0.704  -0.573 -0.756  -0.624 -0.807  -0.676 -0.858  -0.727 -0.910  -0.727 -0.982  -0.727 -1.055  -0.744 -1.123  -0.777 -1.188  -0.809 -1.253  -0.842 -1.318  -0.874 -1.383  -0.907 -1.448
2#app#app07#app0778/g  0.443 1.281  0.320 1.225  0.200 1.142  0.083 1.055  -0.020 0.952  -0.124 0.848  -0.227 0.745  -0.292 0.614  -0.348 0.491  -0.360 0.350  -0.246 0.278  -0.100 0.278  0.018 0.345  0.128 0.432  0.232 0.535  0.288 0.658  0.309 0.795  0.353 0.924  0.376 1.060  0.376 1.206  0.443 1.143  0.443 0.997  0.463 0.859  0.509 0.732  0.509 0.586  0.509 0.440  0.457 0.306  0.443 0.163  0.402 0.024  0.376 -0.118  0.343 -0.256  0.309 -0.395  0.272 -0.532  0.186 -0.648  0.116 -0.776  0.051 -0.906  -0.014 -1.037  -0.093 -1.160  -0.183 -1.272  -0.309 -1.343  -0.426 -1.427  -0.563 -1.463  -0.683 -1.528  -0.809 -1.479  -0.828 -1.341  -0.828 -1.195  -0.763 -1.064  -0.661 -0.960  -0.584 -0.838  -0.494 -0.725
2#app#app07#app0778/r  -0.588 -1.099  -0.588 -1.201  -0.588 -1.304  -0.609 -1.386  -0.712 -1.386  -0.731 -1.303  -0.731 -1.200  -0.730 -1.099  -0.627 -1.099  -0.588 -1.035  -0.588 -0.932  -0.588 -0.830  -0.588 -0.727  -0.557 -0.637  -0.484 -0.564  -0.412 -0.492  -0.339 -0.419  -0.301 -0.332  -0.301 -0.229  -0.301 -0.126  -0.301 -0.024  -0.301 0.079  -0.301 0.182  -0.301 0.285  -0.265 0.373  -0.193 0.445  -0.157 0.533  -0.157 0.636  -0.157 0.739  -0.157 0.842  -0.124 0.911  -0.022 0.911  0.081 0.911  0.184 0.911  0.287 0.911  0.390 0.911  0.417 0.836  0.451 0.768  0.554 0.768  0.629 0.700  0.701 0.627  0.803 0.624  0.848 0.566  0.865 0.481  0.968 0.481  1.070 0.481  1.162 0.454  1.235 0.381  1.319 0.337  1.422 0.337
2#app#app07#app0778/e  0.506 0.505  0.612 0.505  0.647 0.576  0.684 0.645  0.787 0.648  0.787 0.754  0.787 0.860  0.748 0.926  0.647 0.931  0.647 1.037  0.570 1.067  0.464 1.067  0.358 1.067  0.252 1.067  0.146 1.067  0.053 1.036  -0.022 0.961  -0.096 0.886  -0.171 0.811  -0.246 0.736  -0.321 0.661  -0.337 0.562  -0.359 0.461  -0.406 0.366  -0.454 0.271  -0.515 0.186  -0.590 0.111  -0.618 0.017  -0.618 -0.089  -0.618 -0.195  -0.618 -0.301  -0.618 -0.407  -0.618 -0.513  -0.618 -0.619  -0.618 -0.725  -0.547 -0.760  -0.478 -0.796  -0.476 -0.902  -0.401 -0.977  -0.323 -1.048  -0.229 -1.095  -0.134 -1.143  -0.037 -1.182  0.069 -1.182  0.148 -1.245  0.223 -1.320  0.329 -1.322  0.435 -1.322  0.541 -1.322  0.647 -1.322
2#app#app07#app0778/e  -0.410 -0.414  -0.305 -0.308  -0.185 -0.236  -0.054 -0.216  -0.054 -0.067  0.045 0.042  0.163 0.120  0.309 0.128  0.415 0.234  0.521 0.340  0.627 0.446  0.733 0.551  0.839 0.657  0.945 0.763  1.015 0.884  0.998 1.027  0.892 1.133  0.766 1.189  0.616 1.189  0.466 1.189  0.316 1.189  0.206 1.093  0.091 1.011  -0.056 1.007  -0.123 0.873  -0.190 0.739  -0.272 0.615  -0.378 0.509  -0.410 0.373  -0.486 0.299  -0.622 0.265  -0.728 0.159  -0.767 0.026  -0.767 -0.124  -0.767 -0.274  -0.767 -0.424  -0.767 -0.574  -0.674 -0.685  -0.568 -0.791  -0.462 -0.897  -0.410 -1.025  -0.362 -1.126  -0.232 -1.147  -0.232 -1.296  -0.091 -1.305  0.059 -1.305  0.124 -1.390  0.181 -1.483  0.330 -1.483  0.480 -1.483
