2#app#app07#app0798/a  0.678 1.245  0.486 1.245  0.294 1.245  0.121 1.199  -0.037 1.118  -0.101 0.990  -0.270 0.935  -0.432 0.862  -0.497 0.735  -0.599 0.645  -0.738 0.583  -0.824 0.411  -0.854 0.227  -0.898 0.053  -0.982 -0.104  -0.988 -0.294  -1.109 -0.435  -1.109 -0.627  -1.094 -0.813  -0.982 -0.958  -0.912 -1.122  -0.745 -1.180  -0.553 -1.180  -0.361 -1.180  -0.187 -1.102  -0.007 -1.053  0.057 -0.925  0.225 -0.867  0.295 -0.704  0.406 -0.558  0.452 -0.385  0.550 -0.234  0.550 -0.042  0.550 0.150  0.550 0.342  0.512 0.518  0.423 0.673  0.423 0.865  0.423 0.923  0.423 0.731  0.423 0.539  0.425 0.348  0.511 0.176  0.550 -0.007  0.578 -0.187  0.678 -0.338  0.793 -0.414  0.842 -0.579  0.997 -0.670  1.061 -0.797
2#app#app07#app0798/q  0.149 1.049  -0.012 1.049  -0.174 1.049  -0.335 1.049  -0.470 0.985  -0.564 0.909  -0.643 0.827  -0.722 0.745  -0.802 0.663  -0.881 0.535  -0.881 0.373  -0.881 0.212  -0.881 0.051  -0.802 -0.077  -0.732 -0.210  -0.574 -0.219  -0.413 -0.219  -0.252 -0.219  -0.091 -0.219  -0.010 -0.139  0.070 -0.056  0.130 0.080  0.149 0.233  0.228 0.362  0.228 0.523  0.228 0.684  0.228 0.845  0.228 1.006  0.228 1.088  0.228 0.927  0.228 0.766  0.228 0.604  0.264 0.458  0.307 0.315  0.307 0.154  0.326 0.000  0.387 -0.136  0.387 -0.297  0.466 -0.426  0.466 -0.587  0.466 -0.748  0.466 -0.909  0.466 -1.071  0.466 -1.232  0.466 -1.393  0.466 -1.554  0.466 -1.715  0.466 -1.877  0.466 -2.038  0.466 -2.199
2#app#app07#app0798/u  -1.056 1.475  -1.056 1.316  -1.056 1.158  -1.056 1.000  -0.996 0.866  -0.919 0.740  -0.919 0.582  -0.919 0.423  -0.919 0.265  -0.919 0.107  -0.919 -0.052  -0.890 -0.198  -0.782 -0.312  -0.764 -0.462  -0.652 -0.574  -0.637 -0.726  -0.525 -0.838  -0.508 -0.990  -0.357 -1.005  -0.246 -1.117  -0.093 -1.125  0.018 -1.013  0.168 -0.992  0.186 -0.846  0.298 -0.734  0.314 -0.583  0.384 -0.441  0.451 -0.298  0.451 -0.140  0.451 0.018  0.451 0.177  0.451 0.335  0.532 0.460  0.588 0.595  0.588 0.753  0.588 0.911  0.588 1.057  0.588 0.899  0.588 0.741  0.588 0.583  0.588 0.424  0.588 0.266  0.588 0.108  0.698 -0.005  0.725 -0.152  0.825 -0.269  0.862 -0.412  0.919 -0.557  0.990 -0.699  1.136 -0.718
2#app#app07#app0798/i  -0.259 0.037  -0.183 -0.038  -0.158 -0.134  -0.158 -0.241  -0.158 -0.347  -0.158 -0.454  -0.158 -0.560  -0.089 -0.638  -0.057 -0.732  -0.057 -0.838  -0.057 -0.945  -0.002 -1.029  0.045 -1.116  0.045 -1.223  0.045 -1.330  0.045 -1.436  0.045 -1.417  0.045 -1.310  0.045 -1.203  0.045 -1.097  0.045 -0.990  0.045 -0.883  0.045 -0.777  0.045 -0.670  0.045 -0.563  0.045 -0.457  0.045 -0.350  0.045 -0.244  0.045 -0.137  0.045 -0.030  0.045 0.076  0.045 0.183  0.045 0.290  0.045 0.396  0.045 0.503  0.045 0.610  0.045 0.716  0.045 0.823  0.045 0.929  0.045 1.036  0.045 1.143  0.045 1.249  0.045 1.356  0.045 1.463  0.045 1.569  0.045 1.676  0.019 1.757  -0.057 1.788  -0.031 1.833  0.045 1.757
2#app#app07#app0798/c  0.558 0.882  0.558 0.762  0.590 0.675  0.662 0.627  0.617 0.616  0.558 0.711  0.521 0.815  0.430 0.882  0.322 0.911  0.234 0.985  0.114 0.985  -0.005 0.985  -0.124 0.985  -0.243 0.985  -0.353 0.944  -0.460 0.890  -0.548 0.811  -0.632 0.726  -0.684 0.628  -0.728 0.527  -0.787 0.433  -0.823 0.328  -0.890 0.237  -0.890 0.118  -0.890 -0.002  -0.890 -0.121  -0.890 -0.240  -0.818 -0.330  -0.787 -0.436  -0.722 -0.529  -0.638 -0.613  -0.542 -0.670  -0.477 -0.724  -0.407 -0.774  -0.297 -0.812  -0.190 -0.866  -0.073 -0.877  0.046 -0.877  0.165 -0.877  0.285 -0.877  0.404 -0.877  0.523 -0.877  0.643 -0.877  0.762 -0.877  0.880 -0.872  0.987 -0.818  1.090 -0.760  1.174 -0.676  1.279 -0.620  1.386 -0.567
2#app#app07#app0798/k  -1.189 1.799  -1.183 1.568  -1.079 1.359  -1.073 1.128  -0.969 0.919  -0.882 0.722  -0.859 0.499  -0.785 0.296  -0.668 0.097  -0.597 -0.112  -0.486 -0.309  -0.419 -0.531  -0.317 -0.722  -0.309 -0.952  -0.309 -1.185  -0.257 -1.154  -0.168 -0.938  -0.080 -0.722  0.008 -0.507  0.096 -0.291  0.185 -0.075  0.273 0.140  0.361 0.356  0.449 0.572  0.538 0.787  0.626 1.003  0.682 1.054  0.572 0.866  0.415 0.763  0.318 0.589  0.132 0.478  0.044 0.282  -0.088 0.103  -0.199 -0.084  -0.309 -0.207  -0.242 -0.157  -0.137 0.051  -0.033 0.260  0.022 0.259  0.126 0.050  0.210 -0.149  0.352 -0.323  0.462 -0.446  0.572 -0.569  0.700 -0.749  0.865 -0.914  0.973 -1.061  1.096 -1.171  1.219 -1.281  1.342 -1.391
2#app#app07#app0798/b  -1.057 0.850  -1.015 0.674  -0.965 0.501  -0.914 0.337  -0.816 0.182  -0.771 0.009  -0.687 -0.142  -0.687 -0.327  -0.595 -0.474  -0.595 -0.659  -0.595 -0.844  -0.595 -1.030  -0.595 -1.215  -0.595 -1.154  -0.595 -0.969  -0.595 -0.784  -0.595 -0.599  -0.507 -0.450  -0.502 -0.266  -0.441 -0.106  -0.410 0.066  -0.310 0.210  -0.225 0.360  -0.225 0.545  -0.132 0.692  -0.047 0.842  0.042 0.942  0.135 1.035  0.282 1.127  0.467 1.127  0.653 1.127  0.800 1.035  0.892 0.942  1.048 0.872  1.163 0.788  1.163 0.602  1.163 0.417  1.163 0.232  1.118 0.065  1.045 -0.075  0.978 -0.193  0.894 -0.344  0.730 -0.430  0.641 -0.537  0.500 -0.645  0.369 -0.776  0.211 -0.841  0.053 -0.907  -0.132 -0.907  -0.317 -0.907
2#app#app07#app0798/r  -0.498 1.096  -0.498 0.953  -0.498 0.810  -0.498 0.666  -0.475 0.533  -0.374 0.431  -0.363 0.293  -0.363 0.149  -0.363 0.006  -0.363 -0.137  -0.363 -0.280  -0.339 -0.414  -0.238 -0.515  -0.136 -0.616  -0.093 -0.741  -0.093 -0.885  -0.093 -1.028  -0.018 -1.140  0.042 -1.259  0.042 -1.402  0.042 -1.545  -0.017 -1.546  -0.093 -1.435  -0.093 -1.291  -0.093 -1.148  -0.093 -1.005  -0.141 -0.882  -0.228 -0.774  -0.228 -0.631  -0.228 -0.488  -0.196 -0.358  -0.095 -0.256  -0.093 -0.114  -0.093 0.029  -0.093 0.173  -0.093 0.316  -0.066 0.448  0.035 0.549  0.137 0.650  0.177 0.777  0.244 0.893  0.345 0.994  0.446 1.095  0.582 1.103  0.597 1.231  0.734 1.248  0.835 1.349  0.971 1.366  1.114 1.366  1.258 1.366
2#app#app07#app0798/o  -0.079 1.012  -0.227 1.012  -0.360 0.976  -0.464 0.871  -0.568 0.766  -0.587 0.626  -0.692 0.521  -0.796 0.417  -0.813 0.276  -0.813 0.128  -0.851 -0.004  -0.935 -0.117  -0.935 -0.265  -0.878 -0.390  -0.813 -0.510  -0.756 -0.635  -0.651 -0.739  -0.546 -0.844  -0.442 -0.948  -0.337 -1.053  -0.209 -1.124  -0.076 -1.189  0.072 -1.189  0.220 -1.189  0.368 -1.189  0.485 -1.114  0.589 -1.009  0.694 -0.905  0.777 -0.791  0.833 -0.700  0.899 -0.618  0.899 -0.470  0.899 -0.322  0.899 -0.174  0.899 -0.026  0.837 0.096  0.777 0.219  0.714 0.341  0.654 0.464  0.591 0.586  0.532 0.709  0.442 0.767  0.410 0.883  0.310 0.990  0.171 1.012  0.023 1.012  -0.124 1.012  -0.272 1.012  -0.324 0.915  -0.446 0.890
2#app#app07#app0798/w  -1.234 0.928  -1.234 0.777  -1.234 0.626  -1.234 0.475  -1.234 0.324  -1.210 0.182  -1.114 0.071  -1.114 -0.080  -1.060 -0.208  -0.993 -0.332  -0.993 -0.483  -0.874 -0.515  -0.852 -0.656  -0.742 -0.756  -0.591 -0.756  -0.512 -0.683  -0.409 -0.635  -0.382 -0.506  -0.276 -0.399  -0.169 -0.292  -0.152 -0.148  -0.152 0.003  -0.152 0.154  -0.082 0.276  -0.031 0.247  -0.031 0.096  -0.016 -0.049  0.089 -0.157  0.112 -0.298  0.219 -0.405  0.326 -0.512  0.433 -0.619  0.577 -0.635  0.728 -0.635  0.879 -0.635  0.931 -0.536  1.023 -0.423  1.051 -0.284  1.051 -0.133  1.051 0.018  1.051 0.170  1.051 0.321  1.051 0.472  1.051 0.623  1.051 0.774  1.051 0.925  0.931 0.956  0.872 1.048  0.810 1.138  0.690 1.168
2#app#app07#app0798/n  -0.856 0.301  -0.856 0.151  -0.843 0.008  -0.737 -0.098  -0.717 -0.238  -0.717 -0.387  -0.717 -0.537  -0.650 -0.670  -0.583 -0.804  -0.577 -0.951  -0.577 -1.100  -0.577 -1.220  -0.577 -1.071  -0.577 -0.922  -0.577 -0.772  -0.577 -0.623  -0.577 -0.474  -0.577 -0.325  -0.577 -0.176  -0.577 -0.026  -0.577 0.123  -0.466 0.161  -0.437 0.282  -0.437 0.431  -0.437 0.580  -0.371 0.713  -0.304 0.847  -0.202 0.955  -0.096 1.060  0.021 1.138  0.170 1.138  0.319 1.138  0.400 1.070  0.478 0.999  0.601 0.937  0.707 0.831  0.812 0.726  0.819 0.580  0.925 0.474  0.959 0.339  0.959 0.190  0.959 0.041  0.959 -0.109  0.959 -0.258  0.959 -0.407  0.972 -0.551  1.078 -0.656  1.098 -0.797  1.098 -0.946  1.098 -1.095
