2#app#app08#app0896/A  -0.231 1.423  -0.231 1.156  -0.267 0.896  -0.335 0.641  -0.431 0.397  -0.500 0.140  -0.544 -0.121  -0.544 -0.388  -0.544 -0.654  -0.612 -0.904  -0.648 -1.162  -0.648 -1.429  -0.555 -1.602  -0.440 -1.390  -0.440 -1.123  -0.340 -0.881  -0.301 -0.629  -0.231 -0.392  -0.231 -0.126  -0.231 0.141  -0.172 0.393  -0.127 0.649  -0.127 0.915  -0.127 1.182  -0.127 1.448  -0.022 1.671  -0.022 1.742  0.082 1.501  0.142 1.259  0.251 1.021  0.353 0.776  0.426 0.527  0.545 0.289  0.617 0.039  0.753 -0.187  0.894 -0.410  0.996 -0.638  1.125 -0.851  1.139 -0.939  0.892 -0.837  0.646 -0.736  0.400 -0.635  0.153 -0.533  -0.093 -0.432  -0.339 -0.330  -0.499 -0.246  -0.232 -0.246  0.018 -0.206  0.257 -0.142  0.499 -0.037
2#app#app08#app0896/s  0.269 0.902  0.149 0.902  0.059 0.974  -0.034 1.039  -0.153 1.039  -0.273 1.039  -0.393 1.039  -0.513 1.039  -0.633 1.039  -0.752 1.039  -0.861 1.012  -0.945 0.927  -0.971 0.818  -0.906 0.764  -0.833 0.716  -0.804 0.626  -0.687 0.618  -0.603 0.533  -0.507 0.463  -0.400 0.409  -0.293 0.356  -0.175 0.351  -0.081 0.287  0.004 0.202  0.088 0.118  0.190 0.075  0.310 0.075  0.417 0.054  0.471 -0.053  0.524 -0.160  0.597 -0.253  0.682 -0.338  0.802 -0.338  0.820 -0.440  0.820 -0.560  0.820 -0.679  0.820 -0.799  0.790 -0.889  0.682 -0.901  0.682 -1.021  0.568 -1.027  0.459 -1.070  0.352 -1.123  0.242 -1.165  0.124 -1.171  0.040 -1.256  -0.061 -1.303  -0.181 -1.303  -0.300 -1.303  -0.420 -1.303
2#app#app08#app0896/m  -1.158 0.738  -1.101 0.564  -1.042 0.392  -1.042 0.194  -0.925 0.113  -0.925 -0.084  -0.862 -0.255  -0.805 -0.428  -0.693 -0.579  -0.690 -0.775  -0.577 -0.925  -0.577 -1.119  -0.577 -0.922  -0.598 -0.730  -0.686 -0.554  -0.809 -0.406  -0.809 -0.209  -0.809 -0.012  -0.809 0.185  -0.809 0.383  -0.757 0.558  -0.586 0.622  -0.410 0.571  -0.270 0.431  -0.131 0.292  0.010 0.154  0.186 0.066  0.254 -0.093  0.352 -0.249  0.352 -0.447  0.352 -0.644  0.352 -0.704  0.247 -0.551  0.236 -0.358  0.236 -0.161  0.236 0.037  0.352 0.186  0.352 0.383  0.469 0.532  0.545 0.698  0.725 0.738  0.922 0.738  1.099 0.688  1.239 0.549  1.378 0.409  1.517 0.270  1.630 0.119  1.747 0.038  1.805 -0.134  1.863 -0.308
2#app#app08#app0896/a  0.493 1.158  0.321 1.158  0.149 1.158  -0.024 1.158  -0.188 1.141  -0.310 1.019  -0.397 0.872  -0.474 0.718  -0.599 0.612  -0.753 0.535  -0.834 0.413  -0.874 0.250  -0.951 0.096  -1.000 -0.064  -1.000 -0.236  -1.000 -0.409  -1.000 -0.581  -1.000 -0.753  -1.000 -0.925  -0.902 -0.999  -0.729 -0.999  -0.557 -0.999  -0.385 -0.999  -0.337 -0.875  -0.245 -0.741  -0.123 -0.619  -0.005 -0.496  -0.005 -0.324  0.008 -0.157  0.129 -0.035  0.161 0.124  0.161 0.297  0.161 0.469  0.161 0.641  0.161 0.813  0.161 0.668  0.161 0.496  0.282 0.374  0.327 0.220  0.408 0.081  0.530 -0.040  0.652 -0.162  0.774 -0.284  0.895 -0.406  1.028 -0.501  1.200 -0.501  1.373 -0.501  1.528 -0.541  1.650 -0.662  1.820 -0.667
2#app#app08#app0896/l  -0.413 1.630  -0.413 1.555  -0.413 1.479  -0.413 1.403  -0.413 1.327  -0.413 1.251  -0.413 1.175  -0.342 1.170  -0.266 1.170  -0.260 1.101  -0.260 1.025  -0.260 0.950  -0.260 0.874  -0.260 0.798  -0.260 0.722  -0.239 0.649  -0.215 0.578  -0.191 0.506  -0.167 0.434  -0.143 0.362  -0.119 0.290  -0.106 0.216  -0.106 0.140  -0.092 0.068  -0.058 -0.000  -0.024 -0.068  0.010 -0.136  0.044 -0.204  0.047 -0.279  0.047 -0.355  0.094 -0.411  0.148 -0.464  0.201 -0.518  0.201 -0.594  0.201 -0.670  0.201 -0.746  0.201 -0.822  0.201 -0.898  0.201 -0.974  0.273 -0.977  0.349 -0.977  0.354 -1.048  0.354 -1.124  0.403 -1.179  0.456 -1.233  0.507 -1.288  0.507 -1.363  0.507 -1.439  0.507 -1.515  0.507 -1.591
2#app#app08#app0896/l  -0.292 1.681  -0.292 1.608  -0.292 1.535  -0.292 1.462  -0.292 1.389  -0.292 1.316  -0.292 1.243  -0.292 1.171  -0.292 1.098  -0.254 1.040  -0.202 0.989  -0.151 0.937  -0.141 0.868  -0.141 0.795  -0.141 0.723  -0.141 0.650  -0.141 0.577  -0.141 0.504  -0.141 0.431  -0.141 0.358  -0.141 0.285  -0.141 0.212  -0.125 0.143  -0.093 0.078  -0.060 0.012  -0.027 -0.053  0.005 -0.118  0.010 -0.190  0.010 -0.263  0.010 -0.336  0.010 -0.409  0.047 -0.466  0.099 -0.517  0.150 -0.569  0.160 -0.638  0.160 -0.711  0.160 -0.784  0.160 -0.857  0.195 -0.915  0.247 -0.967  0.298 -1.018  0.311 -1.086  0.311 -1.159  0.311 -1.232  0.311 -1.305  0.331 -1.373  0.364 -1.438  0.396 -1.503  0.429 -1.568  0.462 -1.634
2#app#app08#app0896/,  0.156 1.708  0.156 1.636  0.156 1.564  0.156 1.492  0.156 1.420  0.156 1.348  0.156 1.277  0.156 1.205  0.156 1.133  0.156 1.061  0.156 0.989  0.156 0.917  0.156 0.845  0.156 0.774  0.156 0.702  0.156 0.630  0.156 0.558  0.156 0.486  0.156 0.414  0.156 0.343  0.156 0.271  0.156 0.199  0.156 0.127  0.156 0.055  0.105 0.004  0.054 -0.047  0.003 -0.097  -0.010 -0.164  -0.010 -0.236  -0.010 -0.308  -0.010 -0.379  -0.010 -0.451  -0.010 -0.523  -0.010 -0.595  -0.037 -0.660  -0.069 -0.725  -0.101 -0.789  -0.133 -0.853  -0.165 -0.917  -0.175 -0.987  -0.175 -1.059  -0.188 -1.128  -0.220 -1.192  -0.252 -1.256  -0.284 -1.320  -0.316 -1.385  -0.353 -1.446  -0.404 -1.496  -0.455 -1.547  -0.505 -1.598
2#app#app08#app0896/g  -0.143 1.112  -0.228 1.197  -0.317 1.168  -0.381 1.112  -0.411 1.017  -0.490 0.930  -0.509 0.814  -0.563 0.706  -0.578 0.590  -0.663 0.505  -0.664 0.385  -0.664 0.265  -0.565 0.243  -0.458 0.275  -0.373 0.360  -0.288 0.445  -0.230 0.542  -0.166 0.622  -0.058 0.676  -0.056 0.795  -0.011 0.897  0.031 1.000  0.031 0.930  0.049 0.814  0.103 0.706  0.118 0.590  0.118 0.469  0.155 0.360  0.222 0.260  0.289 0.160  0.291 0.041  0.291 -0.080  0.359 -0.172  0.408 -0.279  0.446 -0.394  0.465 -0.511  0.465 -0.631  0.465 -0.751  0.465 -0.872  0.465 -0.992  0.465 -1.112  0.465 -1.232  0.465 -1.353  0.419 -1.454  0.334 -1.539  0.291 -1.642  0.207 -1.710  0.098 -1.755  -0.023 -1.755  -0.143 -1.755
2#app#app08#app0896/r  -1.042 0.584  -0.909 0.584  -0.879 0.481  -0.828 0.370  -0.734 0.276  -0.717 0.150  -0.637 0.098  -0.555 0.047  -0.555 -0.085  -0.555 -0.218  -0.555 -0.351  -0.488 -0.456  -0.395 -0.550  -0.393 -0.681  -0.393 -0.814  -0.393 -0.947  -0.393 -1.079  -0.393 -1.212  -0.393 -1.345  -0.278 -1.362  -0.231 -1.277  -0.231 -1.144  -0.231 -1.012  -0.231 -0.879  -0.139 -0.784  -0.068 -0.681  -0.068 -0.548  -0.068 -0.415  -0.068 -0.283  -0.068 -0.150  -0.068 -0.018  -0.056 0.110  0.038 0.204  0.094 0.313  0.111 0.439  0.204 0.533  0.256 0.644  0.286 0.746  0.418 0.747  0.418 0.880  0.522 0.909  0.655 0.909  0.787 0.909  0.920 0.909  1.053 0.909  1.185 0.909  1.318 0.909  1.450 0.909  1.583 0.909  1.716 0.909
2#app#app08#app0896/e  -1.446 0.288  -1.446 0.117  -1.446 -0.054  -1.369 -0.192  -1.248 -0.313  -1.079 -0.316  -0.908 -0.316  -0.738 -0.316  -0.567 -0.316  -0.396 -0.316  -0.229 -0.307  -0.108 -0.187  0.012 -0.066  0.133 0.055  0.291 0.086  0.433 0.154  0.554 0.275  0.719 0.288  0.768 0.409  0.768 0.580  0.768 0.751  0.768 0.921  0.768 1.092  0.768 1.263  0.629 1.294  0.459 1.294  0.366 1.217  0.319 1.093  0.157 1.078  0.081 0.926  0.004 0.773  -0.072 0.620  -0.148 0.467  -0.225 0.315  -0.238 0.147  -0.238 -0.023  -0.238 -0.194  -0.238 -0.365  -0.221 -0.518  -0.050 -0.518  -0.037 -0.676  0.053 -0.809  0.164 -0.934  0.164 -1.104  0.318 -1.122  0.366 -1.244  0.458 -1.323  0.628 -1.323  0.799 -1.323  0.970 -1.323
2#app#app08#app0896/e  -0.224 0.270  -0.329 0.164  -0.383 0.037  -0.383 -0.112  -0.328 -0.206  -0.179 -0.206  -0.040 -0.181  0.065 -0.076  0.203 -0.048  0.323 0.023  0.435 0.111  0.580 0.121  0.685 0.227  0.728 0.358  0.807 0.428  0.887 0.497  0.887 0.647  0.887 0.796  0.887 0.945  0.887 1.094  0.866 1.222  0.717 1.222  0.568 1.222  0.419 1.222  0.311 1.122  0.205 1.016  0.100 0.911  -0.005 0.806  -0.094 0.688  -0.161 0.555  -0.229 0.423  -0.335 0.317  -0.440 0.212  -0.541 0.105  -0.541 -0.044  -0.644 -0.151  -0.700 -0.277  -0.700 -0.426  -0.700 -0.575  -0.700 -0.724  -0.700 -0.873  -0.700 -1.022  -0.691 -1.168  -0.586 -1.273  -0.480 -1.379  -0.371 -1.476  -0.223 -1.477  -0.117 -1.583  -0.012 -1.688  0.093 -1.794
