2#app#app11#app1197/A  -0.050 1.491  -0.050 1.276  -0.132 1.079  -0.174 0.873  -0.238 0.684  -0.301 0.493  -0.397 0.300  -0.438 0.094  -0.535 -0.099  -0.567 -0.309  -0.635 -0.514  -0.670 -0.724  -0.670 -0.940  -0.670 -1.156  -0.651 -1.102  -0.622 -0.888  -0.593 -0.674  -0.564 -0.461  -0.535 -0.247  -0.506 -0.033  -0.476 0.181  -0.447 0.395  -0.418 0.609  -0.389 0.823  -0.360 1.037  -0.331 1.251  -0.301 1.465  -0.174 1.427  -0.063 1.257  0.074 1.098  0.074 0.882  0.212 0.720  0.308 0.527  0.349 0.321  0.446 0.128  0.475 -0.083  0.543 -0.288  0.663 -0.461  0.728 -0.650  0.818 -0.828  0.874 -0.988  1.047 -1.093  1.066 -1.301  0.996 -1.220  0.900 -1.027  0.803 -0.834  0.707 -0.641  0.506 -0.616  0.290 -0.616  0.074 -0.616
2#app#app11#app1197/c  1.111 0.719  1.002 0.719  0.893 0.719  0.848 0.782  0.848 0.891  0.831 0.982  0.722 0.982  0.614 0.982  0.505 0.982  0.396 0.982  0.322 0.947  0.322 0.839  0.322 0.730  0.225 0.719  0.116 0.719  0.008 0.719  -0.101 0.719  -0.209 0.719  -0.318 0.719  -0.426 0.719  -0.466 0.650  -0.466 0.542  -0.482 0.440  -0.559 0.363  -0.636 0.286  -0.713 0.210  -0.729 0.108  -0.729 -0.001  -0.729 -0.109  -0.729 -0.218  -0.729 -0.326  -0.729 -0.435  -0.729 -0.543  -0.688 -0.635  -0.611 -0.712  -0.534 -0.789  -0.458 -0.865  -0.381 -0.942  -0.304 -1.019  -0.227 -1.096  -0.129 -1.120  -0.021 -1.120  0.088 -1.120  0.197 -1.120  0.305 -1.120  0.414 -1.120  0.522 -1.120  0.631 -1.120  0.739 -1.120  0.848 -1.120
2#app#app11#app1197/q  0.661 0.828  0.521 0.828  0.423 0.870  0.361 0.947  0.304 1.030  0.200 1.066  0.061 1.066  -0.079 1.066  -0.205 1.033  -0.309 0.947  -0.409 0.908  -0.469 0.828  -0.585 0.771  -0.647 0.657  -0.720 0.591  -0.766 0.497  -0.847 0.391  -0.885 0.267  -0.778 0.234  -0.676 0.144  -0.548 0.115  -0.408 0.115  -0.269 0.115  -0.129 0.115  -0.008 0.160  0.091 0.259  0.185 0.359  0.212 0.472  0.304 0.519  0.304 0.522  0.304 0.383  0.304 0.243  0.296 0.107  0.197 0.008  0.185 -0.126  0.185 -0.266  0.185 -0.405  0.185 -0.545  0.185 -0.685  0.185 -0.824  0.185 -0.964  0.185 -1.103  0.185 -1.243  0.217 -1.375  0.280 -1.500  0.304 -1.634  0.304 -1.773  0.393 -1.876  0.423 -2.003  0.423 -2.143
2#app#app11#app1197/u  -0.944 0.792  -0.944 0.685  -0.944 0.577  -0.944 0.470  -0.983 0.379  -1.059 0.303  -1.131 0.226  -1.131 0.118  -1.131 0.011  -1.131 -0.096  -1.090 -0.187  -1.014 -0.262  -0.944 -0.341  -0.944 -0.448  -0.919 -0.545  -0.843 -0.621  -0.767 -0.697  -0.664 -0.707  -0.556 -0.707  -0.449 -0.707  -0.354 -0.679  -0.278 -0.603  -0.202 -0.527  -0.097 -0.520  0.010 -0.520  0.117 -0.520  0.225 -0.520  0.332 -0.520  0.367 -0.448  0.367 -0.340  0.467 -0.332  0.568 -0.319  0.644 -0.243  0.720 -0.167  0.742 -0.069  0.742 0.039  0.846 0.042  0.930 0.066  0.930 0.173  0.930 0.281  0.930 0.388  0.930 0.495  0.930 0.603  1.035 0.605  1.117 0.630  1.117 0.737  1.117 0.845  1.117 0.952  1.117 1.059  1.117 1.167
2#app#app11#app1197/i  -0.025 1.731  -0.025 1.660  -0.025 1.588  -0.025 1.516  -0.025 1.444  -0.025 1.373  -0.025 1.301  -0.025 1.229  -0.025 1.158  -0.025 1.086  -0.025 1.014  -0.025 0.943  -0.025 0.871  -0.025 0.799  -0.025 0.727  -0.025 0.656  -0.025 0.584  -0.025 0.512  -0.025 0.441  -0.025 0.369  -0.025 0.297  -0.025 0.226  -0.025 0.154  -0.025 0.082  -0.025 0.011  -0.025 -0.061  -0.025 -0.133  -0.025 -0.205  -0.025 -0.276  -0.025 -0.348  -0.025 -0.420  -0.025 -0.491  -0.025 -0.563  -0.025 -0.635  -0.025 -0.706  -0.025 -0.778  -0.025 -0.850  -0.025 -0.922  -0.025 -0.993  -0.025 -1.065  -0.025 -1.137  -0.025 -1.208  -0.025 -1.280  -0.025 -1.352  0.007 -1.392  0.078 -1.392  0.150 -1.392  0.222 -1.392  0.293 -1.392  0.365 -1.392
2#app#app11#app1197/r  -0.547 0.248  -0.408 0.248  -0.328 0.189  -0.328 0.050  -0.328 -0.089  -0.328 -0.227  -0.328 -0.366  -0.260 -0.477  -0.162 -0.575  -0.109 -0.692  -0.109 -0.831  -0.109 -0.970  -0.109 -1.109  -0.109 -1.248  -0.109 -1.387  -0.109 -1.483  -0.109 -1.344  -0.166 -1.229  -0.264 -1.131  -0.328 -1.018  -0.328 -0.879  -0.328 -0.740  -0.347 -0.609  -0.445 -0.511  -0.543 -0.413  -0.547 -0.276  -0.547 -0.137  -0.547 0.002  -0.547 0.141  -0.547 0.280  -0.547 0.419  -0.456 0.467  -0.328 0.478  -0.328 0.617  -0.259 0.686  -0.120 0.686  0.019 0.686  0.144 0.720  0.242 0.818  0.345 0.905  0.484 0.905  0.623 0.905  0.762 0.905  0.901 0.905  1.024 0.943  1.122 1.041  1.227 1.124  1.366 1.124  1.505 1.124  1.644 1.124
2#app#app11#app1197/e  -0.838 -0.288  -0.671 -0.288  -0.504 -0.288  -0.337 -0.288  -0.208 -0.195  -0.076 -0.109  0.091 -0.109  0.235 -0.086  0.246 0.070  0.414 0.070  0.414 0.236  0.569 0.249  0.694 0.350  0.772 0.485  0.804 0.639  0.923 0.757  0.951 0.912  0.951 1.080  0.878 1.216  0.754 1.322  0.589 1.318  0.471 1.200  0.327 1.143  0.235 1.067  0.171 0.964  0.019 0.927  -0.099 0.809  -0.217 0.691  -0.335 0.573  -0.454 0.454  -0.572 0.336  -0.659 0.205  -0.682 0.047  -0.800 -0.071  -0.838 -0.222  -0.838 -0.390  -0.838 -0.557  -0.838 -0.724  -0.809 -0.884  -0.734 -1.034  -0.659 -1.183  -0.491 -1.183  -0.324 -1.183  -0.157 -1.183  0.010 -1.183  0.177 -1.183  0.345 -1.183  0.512 -1.183  0.654 -1.122  0.772 -1.004
2#app#app11#app1197/2  -0.968 0.558  -0.846 0.560  -0.842 0.683  -0.755 0.771  -0.667 0.858  -0.569 0.921  -0.483 0.959  -0.442 1.043  -0.361 1.086  -0.315 1.164  -0.191 1.164  -0.067 1.164  0.057 1.164  0.164 1.123  0.255 1.043  0.366 1.030  0.382 0.921  0.487 0.903  0.487 0.779  0.487 0.655  0.487 0.530  0.466 0.415  0.378 0.327  0.291 0.240  0.245 0.135  0.183 0.073  0.124 0.008  0.076 -0.097  -0.012 -0.184  -0.100 -0.272  -0.119 -0.388  -0.219 -0.412  -0.240 -0.515  -0.315 -0.608  -0.361 -0.713  -0.361 -0.837  -0.361 -0.961  -0.295 -1.019  -0.240 -1.088  -0.189 -1.191  -0.094 -1.261  0.030 -1.261  0.154 -1.261  0.278 -1.261  0.392 -1.236  0.479 -1.148  0.600 -1.140  0.724 -1.140  0.848 -1.140  0.972 -1.140
2#app#app11#app1197/%  -0.387 0.721  -0.497 0.819  -0.705 0.819  -0.814 0.721  -0.981 0.624  -1.072 0.506  -1.072 0.299  -0.971 0.135  -0.763 0.135  -0.592 0.223  -0.485 0.329  -0.339 0.476  -0.193 0.623  -0.192 0.830  -0.215 1.015  -0.324 1.112  -0.439 1.117  -0.232 1.140  -0.026 1.163  0.180 1.186  0.386 1.209  0.323 1.041  0.245 0.865  0.168 0.690  0.101 0.510  0.013 0.339  -0.020 0.138  -0.070 -0.063  -0.094 -0.267  -0.105 -0.473  -0.192 -0.659  -0.192 -0.867  -0.192 -1.074  -0.192 -1.282  -0.074 -1.227  0.081 -1.089  0.236 -0.951  0.391 -0.813  0.546 -0.675  0.670 -0.549  0.560 -0.647  0.492 -0.787  0.492 -0.995  0.559 -1.136  0.766 -1.136  0.883 -1.046  0.986 -0.940  1.095 -0.843  1.177 -0.716  1.079 -0.549
2#app#app11#app1197/M  -0.762 0.722  -0.762 0.499  -0.762 0.277  -0.762 0.055  -0.762 -0.167  -0.795 -0.375  -0.880 -0.562  -0.880 -0.784  -0.828 -0.985  -0.762 -1.159  -0.762 -0.937  -0.762 -0.715  -0.762 -0.493  -0.762 -0.271  -0.762 -0.049  -0.762 0.174  -0.762 0.396  -0.762 0.618  -0.762 0.840  -0.762 0.854  -0.644 0.681  -0.625 0.466  -0.468 0.309  -0.347 0.127  -0.289 -0.082  -0.171 -0.255  -0.076 -0.438  0.019 -0.578  0.123 -0.697  0.183 -0.535  0.213 -0.342  0.302 -0.209  0.302 0.012  0.420 0.117  0.484 0.313  0.538 0.513  0.631 0.696  0.656 0.908  0.774 1.012  0.802 0.930  0.892 0.745  1.011 0.572  1.023 0.355  1.129 0.177  1.208 -0.027  1.307 -0.225  1.365 -0.434  1.483 -0.538  1.616 -0.697  1.720 -0.815
2#app#app11#app1197/I  -0.310 1.672  -0.310 1.599  -0.310 1.525  -0.310 1.452  -0.310 1.378  -0.310 1.305  -0.310 1.231  -0.303 1.160  -0.251 1.108  -0.199 1.056  -0.148 1.004  -0.096 0.952  -0.057 0.895  -0.057 0.822  -0.057 0.748  -0.057 0.675  -0.057 0.601  -0.057 0.528  -0.057 0.454  -0.057 0.381  -0.057 0.307  -0.057 0.234  -0.057 0.160  -0.057 0.087  -0.057 0.013  -0.057 -0.060  -0.057 -0.134  -0.057 -0.207  -0.057 -0.281  -0.057 -0.354  -0.057 -0.428  -0.057 -0.501  -0.057 -0.575  -0.025 -0.635  0.027 -0.687  0.079 -0.739  0.131 -0.791  0.183 -0.843  0.196 -0.911  0.196 -0.984  0.196 -1.058  0.212 -1.125  0.264 -1.177  0.316 -1.229  0.368 -1.281  0.420 -1.333  0.449 -1.394  0.449 -1.467  0.449 -1.541  0.449 -1.614
