2#app#app12#app1218/A  -0.528 -0.660  -0.484 -0.487  -0.446 -0.313  -0.414 -0.138  -0.383 0.038  -0.352 0.213  -0.320 0.389  -0.289 0.564  -0.258 0.740  -0.226 0.915  -0.195 1.091  -0.164 1.266  -0.132 1.442  -0.076 1.604  -0.040 1.767  0.100 1.753  0.100 1.574  0.100 1.396  0.133 1.226  0.169 1.056  0.169 0.878  0.169 0.700  0.169 0.521  0.220 0.355  0.239 0.181  0.285 0.014  0.309 -0.159  0.351 -0.327  0.378 -0.499  0.428 -0.669  0.448 -0.844  0.518 -0.993  0.547 -1.167  0.588 -1.339  0.651 -1.490  0.581 -1.344  0.502 -1.185  0.422 -1.025  0.342 -0.866  0.262 -0.707  0.309 -0.604  0.213 -0.521  0.035 -0.521  -0.143 -0.521  -0.321 -0.521  -0.500 -0.521  -0.678 -0.521  -0.856 -0.521  -0.988 -0.632  -0.946 -0.590
2#app#app12#app1218/s  0.153 1.204  0.247 1.204  0.114 1.165  -0.002 1.083  -0.134 1.039  -0.212 0.921  -0.279 0.839  -0.401 0.771  -0.507 0.665  -0.613 0.559  -0.728 0.473  -0.861 0.434  -0.943 0.318  -0.987 0.186  -1.104 0.108  -1.187 0.040  -1.091 -0.014  -0.942 -0.013  -0.836 0.093  -0.692 0.108  -0.553 0.133  -0.443 0.230  -0.293 0.230  -0.163 0.278  -0.044 0.351  0.106 0.351  0.256 0.351  0.406 0.351  0.556 0.351  0.706 0.351  0.856 0.351  0.885 0.231  1.006 0.202  1.006 0.053  1.006 -0.097  0.928 -0.215  0.885 -0.347  0.885 -0.497  0.868 -0.640  0.762 -0.746  0.656 -0.852  0.550 -0.958  0.444 -1.064  0.338 -1.170  0.232 -1.276  0.115 -1.354  -0.028 -1.384  -0.162 -1.451  -0.306 -1.476  -0.456 -1.476
2#app#app12#app1218/t  0.024 1.845  0.024 1.678  0.024 1.511  0.024 1.344  0.024 1.177  0.079 1.023  0.142 0.871  0.142 0.704  0.142 0.537  0.142 0.370  0.142 0.203  0.142 0.036  0.142 -0.131  0.142 -0.298  0.142 -0.465  0.142 -0.632  0.142 -0.799  0.142 -0.966  0.142 -1.133  0.142 -1.300  0.142 -1.467  0.142 -1.634  0.102 -1.640  0.024 -1.492  -0.054 -1.344  -0.132 -1.197  -0.210 -1.049  -0.288 -0.902  -0.366 -0.754  -0.445 -0.606  -0.523 -0.459  -0.601 -0.311  -0.679 -0.164  -0.757 -0.016  -0.835 0.132  -0.913 0.279  -0.785 0.302  -0.618 0.302  -0.451 0.302  -0.298 0.337  -0.166 0.421  0.001 0.421  0.153 0.486  0.307 0.540  0.474 0.540  0.599 0.640  0.759 0.658  0.926 0.658  1.092 0.659  1.211 0.777
2#app#app12#app1218/h  -0.413 2.028  -0.413 1.858  -0.413 1.687  -0.413 1.516  -0.413 1.346  -0.413 1.175  -0.413 1.005  -0.413 0.834  -0.413 0.663  -0.413 0.493  -0.413 0.322  -0.413 0.151  -0.413 -0.019  -0.413 -0.190  -0.413 -0.360  -0.413 -0.531  -0.413 -0.702  -0.413 -0.872  -0.413 -1.043  -0.413 -1.214  -0.413 -1.384  -0.413 -1.326  -0.413 -1.156  -0.353 -1.010  -0.289 -0.866  -0.289 -0.695  -0.254 -0.539  -0.165 -0.405  -0.165 -0.235  -0.165 -0.064  -0.104 0.046  -0.041 0.153  -0.011 0.294  0.083 0.371  0.170 0.505  0.291 0.626  0.445 0.666  0.579 0.628  0.663 0.542  0.702 0.411  0.702 0.240  0.702 0.070  0.719 -0.094  0.826 -0.220  0.826 -0.391  0.826 -0.562  0.939 -0.686  0.950 -0.852  0.950 -1.022  0.950 -1.193
2#app#app12#app1218/e  -1.193 -0.255  -1.065 -0.383  -1.022 -0.526  -0.841 -0.526  -0.659 -0.526  -0.517 -0.487  -0.432 -0.390  -0.251 -0.390  -0.205 -0.255  -0.024 -0.255  0.118 -0.160  0.246 -0.032  0.294 0.129  0.407 0.264  0.436 0.434  0.517 0.596  0.617 0.744  0.699 0.891  0.699 1.073  0.699 1.254  0.699 1.435  0.585 1.502  0.429 1.477  0.358 1.367  0.294 1.250  0.179 1.117  0.050 0.988  -0.078 0.860  -0.112 0.693  -0.238 0.564  -0.367 0.436  -0.495 0.308  -0.623 0.180  -0.652 0.011  -0.652 -0.170  -0.652 -0.351  -0.652 -0.533  -0.615 -0.698  -0.498 -0.834  -0.417 -0.997  -0.279 -1.066  -0.098 -1.066  0.084 -1.066  0.265 -1.066  0.446 -1.066  0.627 -1.066  0.777 -0.989  0.934 -0.931  1.072 -0.828  1.105 -0.661
2#app#app12#app1218/f  0.806 0.782  0.801 0.924  0.740 1.053  0.726 1.190  0.643 1.304  0.562 1.420  0.478 1.528  0.377 1.569  0.234 1.569  0.174 1.462  0.084 1.356  0.018 1.241  -0.047 1.124  -0.113 1.009  -0.113 0.866  -0.178 0.750  -0.178 0.607  -0.178 0.464  -0.178 0.321  -0.178 0.178  -0.178 0.035  -0.178 -0.108  -0.178 -0.251  -0.178 -0.394  -0.151 -0.534  -0.123 -0.675  -0.113 -0.817  -0.067 -0.949  -0.047 -1.087  0.019 -1.203  0.019 -1.346  0.075 -1.438  -0.018 -1.329  -0.111 -1.221  -0.204 -1.112  -0.297 -1.004  -0.390 -0.895  -0.483 -0.787  -0.576 -0.678  -0.669 -0.569  -0.612 -0.530  -0.506 -0.493  -0.392 -0.464  -0.249 -0.464  -0.106 -0.464  0.037 -0.464  0.114 -0.399  0.257 -0.399  0.347 -0.345  0.478 -0.333
2#app#app12#app1218/u  -0.533 1.758  -0.533 1.645  -0.533 1.532  -0.533 1.419  -0.533 1.306  -0.533 1.193  -0.533 1.080  -0.533 0.967  -0.533 0.854  -0.533 0.741  -0.533 0.628  -0.533 0.515  -0.533 0.402  -0.533 0.289  -0.533 0.176  -0.533 0.063  -0.533 -0.050  -0.533 -0.163  -0.533 -0.276  -0.533 -0.389  -0.533 -0.502  -0.533 -0.615  -0.498 -0.692  -0.385 -0.692  -0.370 -0.790  -0.322 -0.856  -0.209 -0.856  -0.206 -0.966  -0.146 -1.019  -0.033 -1.019  0.080 -1.019  0.171 -0.968  0.251 -0.888  0.351 -0.856  0.459 -0.844  0.539 -0.764  0.616 -0.682  0.666 -0.581  0.717 -0.480  0.767 -0.379  0.774 -0.267  0.808 -0.168  0.888 -0.088  0.937 0.004  0.937 0.117  0.937 0.230  0.937 0.343  0.941 0.455  1.020 0.535  1.100 0.614
2#app#app12#app1218/m  -1.181 0.768  -1.181 0.532  -1.094 0.333  -1.065 0.109  -1.028 -0.119  -0.948 -0.336  -0.948 -0.572  -0.948 -0.807  -0.948 -1.043  -0.948 -0.904  -0.895 -0.690  -0.832 -0.480  -0.832 -0.244  -0.806 -0.019  -0.716 0.180  -0.637 0.383  -0.600 0.603  -0.483 0.791  -0.383 0.985  -0.201 1.117  -0.019 1.064  0.038 0.885  0.098 0.708  0.098 0.473  0.214 0.285  0.214 0.049  0.214 -0.187  0.214 -0.423  0.214 -0.659  0.214 -0.895  0.214 -1.131  0.244 -1.061  0.330 -0.861  0.331 -0.626  0.446 -0.437  0.446 -0.201  0.446 0.034  0.563 0.222  0.590 0.447  0.679 0.646  0.759 0.849  0.980 0.885  1.028 0.696  1.028 0.460  1.144 0.272  1.144 0.037  1.144 -0.199  1.144 -0.435  1.258 -0.624  1.260 -0.859
2#app#app12#app1218/e  -0.738 -0.722  -0.580 -0.722  -0.434 -0.692  -0.320 -0.586  -0.171 -0.565  -0.059 -0.453  0.053 -0.341  0.165 -0.229  0.277 -0.117  0.388 -0.005  0.490 0.111  0.490 0.269  0.531 0.410  0.626 0.529  0.626 0.687  0.626 0.845  0.689 0.977  0.763 1.105  0.763 1.263  0.666 1.324  0.626 1.205  0.486 1.188  0.328 1.188  0.170 1.188  0.081 1.119  -0.010 1.051  -0.168 1.051  -0.287 0.956  -0.329 0.815  -0.414 0.693  -0.465 0.556  -0.542 0.429  -0.602 0.296  -0.602 0.138  -0.602 -0.021  -0.602 -0.179  -0.602 -0.337  -0.602 -0.495  -0.554 -0.633  -0.465 -0.755  -0.427 -0.897  -0.329 -1.015  -0.288 -1.132  -0.148 -1.176  -0.056 -1.296  -0.006 -1.405  0.152 -1.405  0.310 -1.405  0.468 -1.405  0.626 -1.405
2#app#app12#app1218/s  0.490 1.493  0.409 1.412  0.313 1.367  0.211 1.340  0.130 1.259  0.049 1.178  -0.032 1.097  -0.112 1.017  -0.216 0.991  -0.311 0.944  -0.391 0.863  -0.472 0.782  -0.553 0.702  -0.634 0.621  -0.641 0.509  -0.734 0.488  -0.766 0.407  -0.766 0.292  -0.708 0.237  -0.593 0.237  -0.479 0.237  -0.365 0.237  -0.251 0.237  -0.136 0.237  -0.022 0.237  0.092 0.237  0.179 0.171  0.268 0.111  0.364 0.093  0.371 -0.014  0.485 -0.014  0.490 -0.124  0.490 -0.238  0.490 -0.353  0.490 -0.467  0.490 -0.581  0.490 -0.695  0.490 -0.810  0.468 -0.915  0.388 -0.996  0.364 -1.100  0.295 -1.145  0.239 -1.203  0.205 -1.304  0.125 -1.384  0.044 -1.465  -0.047 -1.522  -0.161 -1.522  -0.264 -1.533  -0.264 -1.647
2#app#app12#app1218/c  1.005 0.620  1.005 0.711  1.005 0.803  0.987 0.887  0.922 0.952  0.857 1.016  0.793 1.081  0.716 1.118  0.625 1.118  0.533 1.118  0.461 1.072  0.396 1.007  0.332 0.942  0.267 0.877  0.179 0.869  0.134 0.823  0.124 0.735  0.060 0.670  -0.005 0.606  -0.070 0.541  -0.134 0.476  -0.199 0.412  -0.255 0.340  -0.296 0.259  -0.337 0.177  -0.386 0.101  -0.450 0.036  -0.488 -0.040  -0.488 -0.131  -0.488 -0.223  -0.488 -0.314  -0.502 -0.402  -0.543 -0.484  -0.584 -0.566  -0.613 -0.651  -0.613 -0.742  -0.613 -0.834  -0.613 -0.925  -0.599 -1.011  -0.534 -1.076  -0.470 -1.140  -0.405 -1.205  -0.331 -1.246  -0.239 -1.246  -0.148 -1.246  -0.056 -1.246  0.028 -1.228  0.092 -1.163  0.167 -1.122  0.258 -1.122
