2#app#app13#app1368/A  -0.279 1.179  -0.379 0.960  -0.398 0.708  -0.406 0.450  -0.517 0.216  -0.517 -0.044  -0.596 -0.286  -0.635 -0.537  -0.723 -0.776  -0.754 -1.029  -0.754 -1.289  -0.791 -1.232  -0.754 -0.987  -0.675 -0.760  -0.635 -0.516  -0.517 -0.305  -0.517 -0.045  -0.417 0.192  -0.263 0.396  -0.181 0.642  -0.160 0.899  -0.063 1.136  0.000 1.382  0.077 1.624  0.257 1.773  0.352 1.579  0.433 1.338  0.505 1.107  0.552 0.866  0.552 0.606  0.552 0.346  0.552 0.086  0.552 -0.174  0.552 -0.434  0.552 -0.695  0.552 -0.955  0.671 -1.166  0.671 -1.426  0.789 -1.299  0.759 -1.054  0.554 -0.894  0.349 -0.734  0.143 -0.574  -0.062 -0.415  -0.267 -0.255  -0.153 -0.127  0.064 -0.022  0.269 0.110  0.433 0.207  0.671 0.229
2#app#app13#app1368/s  0.446 1.523  0.330 1.523  0.281 1.455  0.262 1.357  0.146 1.357  0.055 1.296  -0.028 1.214  -0.110 1.132  -0.192 1.049  -0.299 1.026  -0.381 0.992  -0.381 0.875  -0.483 0.861  -0.547 0.808  -0.547 0.691  -0.547 0.575  -0.547 0.458  -0.547 0.342  -0.547 0.226  -0.483 0.135  -0.401 0.053  -0.292 0.034  -0.176 0.034  -0.059 0.034  0.057 0.034  0.173 0.034  0.290 0.034  0.406 0.034  0.500 -0.021  0.583 -0.103  0.612 -0.207  0.612 -0.324  0.612 -0.440  0.612 -0.557  0.580 -0.660  0.497 -0.742  0.446 -0.838  0.446 -0.954  0.335 -0.959  0.237 -1.003  0.154 -1.085  0.115 -1.186  0.103 -1.290  -0.013 -1.290  -0.130 -1.290  -0.246 -1.290  -0.363 -1.290  -0.479 -1.290  -0.547 -1.241  -0.547 -1.125
2#app#app13#app1368/m  -1.367 0.446  -1.367 0.285  -1.367 0.123  -1.367 -0.038  -1.367 -0.199  -1.303 -0.334  -1.224 -0.462  -1.176 -0.604  -1.055 -0.699  -0.938 -0.654  -0.894 -0.511  -0.795 -0.391  -0.795 -0.230  -0.754 -0.086  -0.652 0.033  -0.627 0.184  -0.513 0.298  -0.500 0.454  -0.386 0.568  -0.234 0.589  -0.116 0.483  -0.079 0.337  -0.079 0.176  -0.079 0.015  -0.079 -0.147  -0.079 -0.308  -0.039 -0.453  0.064 -0.571  0.097 -0.699  0.207 -0.647  0.276 -0.556  0.350 -0.468  0.397 -0.318  0.469 -0.174  0.570 -0.050  0.636 0.084  0.697 0.220  0.779 0.347  0.823 0.490  0.922 0.610  0.962 0.732  1.123 0.732  1.209 0.657  1.275 0.523  1.352 0.393  1.352 0.232  1.352 0.071  1.352 -0.090  1.477 -0.126  1.495 -0.270
2#app#app13#app1368/a  0.086 1.427  -0.051 1.427  -0.188 1.427  -0.325 1.427  -0.459 1.423  -0.459 1.286  -0.462 1.151  -0.559 1.054  -0.656 0.957  -0.731 0.851  -0.731 0.714  -0.731 0.577  -0.731 0.440  -0.731 0.302  -0.731 0.165  -0.731 0.028  -0.731 -0.109  -0.731 -0.246  -0.731 -0.383  -0.731 -0.520  -0.731 -0.657  -0.702 -0.782  -0.605 -0.879  -0.508 -0.976  -0.391 -1.025  -0.254 -1.025  -0.117 -1.025  0.020 -1.025  0.086 -0.954  0.086 -0.817  0.159 -0.753  0.296 -0.753  0.359 -0.678  0.359 -0.541  0.413 -0.426  0.510 -0.329  0.607 -0.232  0.631 -0.105  0.631 0.032  0.735 0.065  0.872 0.065  0.904 0.171  0.904 0.308  0.904 0.230  0.904 0.092  0.904 -0.045  0.904 -0.182  0.982 -0.286  1.079 -0.383  1.176 -0.480
2#app#app13#app1368/l  -0.324 1.575  -0.324 1.501  -0.324 1.428  -0.276 1.402  -0.203 1.402  -0.151 1.380  -0.151 1.307  -0.151 1.233  -0.151 1.159  -0.151 1.086  -0.151 1.012  -0.151 0.939  -0.151 0.865  -0.151 0.792  -0.151 0.718  -0.105 0.664  -0.053 0.612  -0.001 0.560  0.022 0.495  0.022 0.422  0.022 0.348  0.022 0.275  0.022 0.201  0.022 0.128  0.022 0.054  0.022 -0.019  0.022 -0.093  0.022 -0.167  0.022 -0.240  0.022 -0.314  0.022 -0.387  0.022 -0.461  0.022 -0.534  0.022 -0.608  0.027 -0.680  0.079 -0.732  0.131 -0.784  0.183 -0.836  0.195 -0.904  0.195 -0.978  0.195 -1.051  0.195 -1.125  0.195 -1.198  0.195 -1.272  0.195 -1.345  0.195 -1.419  0.195 -1.492  0.195 -1.566  0.195 -1.640  0.195 -1.713
2#app#app13#app1368/l  -0.184 1.715  -0.184 1.642  -0.184 1.569  -0.184 1.496  -0.184 1.423  -0.184 1.350  -0.184 1.277  -0.184 1.203  -0.184 1.130  -0.184 1.057  -0.184 0.984  -0.184 0.911  -0.184 0.838  -0.184 0.765  -0.184 0.692  -0.184 0.618  -0.184 0.545  -0.184 0.472  -0.184 0.399  -0.184 0.326  -0.184 0.253  -0.184 0.180  -0.167 0.114  -0.116 0.062  -0.064 0.010  -0.012 -0.042  0.040 -0.093  0.042 -0.165  0.042 -0.239  0.042 -0.312  0.042 -0.385  0.042 -0.458  0.042 -0.531  0.081 -0.588  0.133 -0.640  0.185 -0.691  0.236 -0.743  0.268 -0.803  0.268 -0.876  0.268 -0.949  0.268 -1.022  0.268 -1.096  0.268 -1.169  0.268 -1.242  0.268 -1.315  0.268 -1.388  0.268 -1.461  0.268 -1.534  0.268 -1.608  0.268 -1.681
2#app#app13#app1368/,  0.139 1.711  0.139 1.636  0.139 1.562  0.139 1.487  0.139 1.412  0.139 1.338  0.139 1.263  0.139 1.189  0.139 1.114  0.139 1.039  0.139 0.965  0.139 0.890  0.139 0.815  0.109 0.753  0.056 0.701  0.003 0.648  -0.050 0.595  -0.103 0.542  -0.155 0.489  -0.170 0.421  -0.170 0.346  -0.170 0.272  -0.170 0.197  -0.170 0.123  -0.170 0.048  -0.170 -0.027  -0.170 -0.101  -0.170 -0.176  -0.170 -0.251  -0.170 -0.325  -0.170 -0.400  -0.170 -0.474  -0.170 -0.549  -0.170 -0.624  -0.170 -0.698  -0.163 -0.770  -0.110 -0.823  -0.057 -0.875  -0.005 -0.928  0.048 -0.981  0.101 -1.034  0.139 -1.093  0.139 -1.167  0.139 -1.242  0.139 -1.317  0.139 -1.391  0.139 -1.466  0.139 -1.540  0.139 -1.615  0.139 -1.690
2#app#app13#app1368/g  0.194 1.074  0.039 1.074  -0.116 1.074  -0.272 1.074  -0.427 1.074  -0.459 0.951  -0.564 0.839  -0.708 0.812  -0.822 0.712  -0.852 0.569  -0.858 0.420  -0.982 0.389  -0.982 0.234  -0.982 0.078  -0.908 -0.046  -0.776 -0.103  -0.621 -0.103  -0.466 -0.103  -0.443 0.036  -0.304 0.105  -0.198 0.195  -0.155 0.332  -0.036 0.420  0.120 0.420  0.194 0.501  0.269 0.625  0.379 0.735  0.502 0.812  0.637 0.762  0.717 0.641  0.717 0.485  0.717 0.330  0.717 0.175  0.717 0.019  0.717 -0.136  0.717 -0.291  0.717 -0.447  0.717 -0.602  0.717 -0.757  0.607 -0.867  0.587 -1.014  0.480 -1.125  0.456 -1.270  0.441 -1.411  0.297 -1.439  0.184 -1.541  0.029 -1.541  -0.109 -1.500  -0.219 -1.390  -0.329 -1.280
2#app#app13#app1368/r  -0.441 -0.097  -0.441 -0.196  -0.441 -0.295  -0.441 -0.395  -0.441 -0.494  -0.441 -0.594  -0.441 -0.693  -0.441 -0.792  -0.441 -0.892  -0.441 -0.991  -0.441 -1.090  -0.441 -1.190  -0.441 -1.289  -0.342 -1.290  -0.243 -1.290  -0.242 -1.192  -0.242 -1.093  -0.242 -0.993  -0.242 -0.894  -0.173 -0.823  -0.102 -0.753  -0.043 -0.678  -0.043 -0.579  -0.043 -0.479  -0.043 -0.380  -0.032 -0.285  0.038 -0.215  0.108 -0.145  0.156 -0.065  0.156 0.034  0.156 0.134  0.156 0.233  0.156 0.332  0.156 0.432  0.170 0.528  0.214 0.617  0.259 0.706  0.303 0.795  0.348 0.883  0.355 0.981  0.355 1.080  0.355 1.180  0.355 1.279  0.414 1.354  0.484 1.425  0.554 1.495  0.554 1.594  0.554 1.694  0.653 1.694  0.753 1.694
2#app#app13#app1368/e  -0.885 -0.181  -0.885 -0.354  -0.767 -0.408  -0.595 -0.408  -0.422 -0.408  -0.250 -0.408  -0.091 -0.350  0.063 -0.273  0.217 -0.196  0.385 -0.181  0.472 -0.096  0.504 0.045  0.676 0.045  0.699 0.195  0.699 0.367  0.699 0.539  0.699 0.711  0.699 0.884  0.699 1.056  0.699 1.228  0.699 1.400  0.528 1.402  0.356 1.402  0.184 1.402  0.020 1.394  0.020 1.222  -0.070 1.087  -0.192 0.965  -0.313 0.843  -0.433 0.720  -0.433 0.548  -0.433 0.376  -0.433 0.203  -0.442 0.035  -0.564 -0.087  -0.659 -0.220  -0.659 -0.392  -0.659 -0.564  -0.586 -0.706  -0.465 -0.828  -0.433 -0.987  -0.381 -1.138  -0.259 -1.260  -0.109 -1.313  0.064 -1.313  0.236 -1.313  0.408 -1.313  0.472 -1.205  0.526 -1.086  0.699 -1.086
2#app#app13#app1368/e  -0.961 -0.575  -0.810 -0.575  -0.660 -0.575  -0.509 -0.575  -0.359 -0.575  -0.221 -0.545  -0.115 -0.439  -0.008 -0.333  0.098 -0.226  0.205 -0.120  0.311 -0.013  0.417 0.093  0.524 0.199  0.630 0.306  0.696 0.429  0.696 0.579  0.782 0.694  0.888 0.800  0.933 0.932  0.932 1.083  0.826 1.189  0.719 1.295  0.579 1.319  0.428 1.319  0.278 1.319  0.155 1.251  0.049 1.145  -0.014 1.020  -0.014 0.870  -0.103 0.756  -0.209 0.650  -0.251 0.516  -0.255 0.368  -0.361 0.261  -0.467 0.155  -0.487 0.013  -0.487 -0.138  -0.487 -0.288  -0.487 -0.439  -0.487 -0.589  -0.487 -0.739  -0.487 -0.890  -0.487 -1.040  -0.387 -1.149  -0.280 -1.255  -0.251 -1.394  -0.229 -1.522  -0.078 -1.522  0.072 -1.522  0.223 -1.522
2#app#app13#app1368/n  -0.794 1.022  -0.794 0.881  -0.794 0.739  -0.837 0.616  -0.937 0.516  -0.976 0.390  -0.976 0.249  -0.976 0.107  -0.976 -0.034  -0.976 -0.176  -0.976 -0.317  -0.976 -0.459  -0.976 -0.600  -0.976 -0.742  -0.888 -0.796  -0.794 -0.843  -0.787 -0.977  -0.646 -0.977  -0.504 -0.977  -0.383 -0.929  -0.283 -0.829  -0.207 -0.712  -0.144 -0.585  -0.080 -0.459  -0.067 -0.320  -0.017 -0.200  0.084 -0.100  0.115 0.029  0.155 0.154  0.255 0.254  0.297 0.378  0.297 0.520  0.299 0.659  0.440 0.659  0.478 0.762  0.541 0.841  0.683 0.841  0.824 0.841  0.842 0.717  0.901 0.600  1.001 0.500  1.024 0.368  1.024 0.226  1.044 0.093  1.144 -0.007  1.206 -0.123  1.206 -0.265  1.206 -0.406  1.287 -0.514  1.387 -0.614
2#app#app13#app1368/a  0.792 1.086  0.645 1.086  0.498 1.086  0.351 1.086  0.204 1.086  0.057 1.086  -0.071 1.040  -0.175 0.936  -0.300 0.882  -0.442 0.872  -0.546 0.768  -0.636 0.658  -0.636 0.511  -0.746 0.475  -0.840 0.421  -0.840 0.274  -0.840 0.127  -0.901 0.006  -1.005 -0.098  -1.044 -0.229  -1.044 -0.376  -1.044 -0.523  -1.044 -0.670  -0.995 -0.797  -0.892 -0.901  -0.766 -0.953  -0.619 -0.953  -0.472 -0.953  -0.356 -0.877  -0.253 -0.773  -0.149 -0.670  -0.045 -0.566  0.059 -0.462  0.163 -0.358  0.303 -0.341  0.431 -0.294  0.535 -0.190  0.588 -0.065  0.603 0.067  0.749 0.067  0.896 0.067  1.043 0.067  1.190 0.067  1.199 -0.071  1.199 -0.218  1.176 -0.341  1.029 -0.341  0.996 -0.455  0.996 -0.602  0.996 -0.749
2#app#app13#app1368/n  -0.927 0.942  -0.927 0.797  -0.927 0.652  -0.927 0.507  -0.927 0.362  -0.927 0.217  -0.927 0.072  -0.927 -0.073  -0.927 -0.218  -0.927 -0.363  -0.927 -0.508  -0.927 -0.653  -0.914 -0.793  -0.811 -0.895  -0.708 -0.998  -0.575 -1.025  -0.435 -1.020  -0.435 -0.875  -0.435 -0.730  -0.435 -0.585  -0.393 -0.450  -0.328 -0.320  -0.263 -0.191  -0.199 -0.061  -0.102 0.046  0.001 0.148  0.057 0.270  0.057 0.415  0.057 0.560  0.063 0.702  0.166 0.805  0.268 0.908  0.399 0.942  0.544 0.942  0.689 0.942  0.795 0.903  0.795 0.758  0.854 0.637  0.956 0.535  1.041 0.425  1.041 0.280  1.041 0.135  1.041 -0.010  1.041 -0.155  1.041 -0.300  1.041 -0.445  1.041 -0.590  1.041 -0.735  1.041 -0.880  1.041 -1.025
2#app#app13#app1368/d  -0.398 0.070  -0.556 0.070  -0.685 0.041  -0.685 -0.116  -0.725 -0.257  -0.828 -0.372  -0.828 -0.530  -0.828 -0.687  -0.828 -0.845  -0.828 -1.002  -0.828 -1.160  -0.731 -1.220  -0.685 -1.332  -0.559 -1.363  -0.401 -1.363  -0.387 -1.220  -0.237 -1.202  -0.125 -1.090  -0.068 -0.945  -0.018 -0.796  0.032 -0.646  0.102 -0.505  0.173 -0.364  0.175 -0.207  0.191 -0.057  0.303 0.055  0.318 0.206  0.318 0.364  0.318 0.521  0.318 0.679  0.318 0.836  0.318 0.994  0.318 1.152  0.318 1.309  0.318 1.467  0.318 1.624  0.318 1.510  0.323 1.355  0.434 1.243  0.461 1.097  0.461 0.939  0.461 0.782  0.461 0.624  0.461 0.467  0.495 0.323  0.605 0.211  0.605 0.053  0.605 -0.104  0.637 -0.249  0.748 -0.360
2#app#app13#app1368/h  -0.791 1.351  -0.791 1.222  -0.791 1.093  -0.791 0.964  -0.791 0.835  -0.791 0.706  -0.791 0.576  -0.791 0.447  -0.791 0.318  -0.791 0.189  -0.791 0.060  -0.791 -0.070  -0.791 -0.199  -0.791 -0.328  -0.791 -0.457  -0.791 -0.586  -0.791 -0.716  -0.791 -0.845  -0.789 -0.972  -0.660 -0.972  -0.558 -0.906  -0.467 -0.815  -0.375 -0.723  -0.287 -0.630  -0.229 -0.514  -0.172 -0.399  -0.127 -0.280  -0.127 -0.151  -0.041 -0.057  0.050 0.034  0.141 0.126  0.233 0.217  0.324 0.308  0.416 0.400  0.507 0.491  0.623 0.522  0.753 0.522  0.882 0.522  1.011 0.522  1.109 0.447  1.201 0.356  1.201 0.227  1.201 0.098  1.201 -0.031  1.201 -0.160  1.201 -0.290  1.201 -0.419  1.201 -0.548  1.201 -0.677  1.201 -0.806
2#app#app13#app1368/i  -0.032 0.434  -0.032 0.312  -0.032 0.190  -0.032 0.067  -0.032 -0.055  -0.032 -0.177  -0.032 -0.299  -0.153 -0.301  -0.275 -0.301  -0.277 -0.421  -0.277 -0.543  -0.277 -0.665  -0.277 -0.787  -0.277 -0.910  -0.277 -1.032  -0.193 -1.119  -0.107 -1.206  -0.032 -1.297  -0.032 -1.419  -0.031 -1.509  -0.023 -1.387  -0.014 -1.265  -0.005 -1.143  0.004 -1.021  0.012 -0.899  0.021 -0.778  0.030 -0.656  0.038 -0.534  0.047 -0.412  0.056 -0.290  0.064 -0.168  0.073 -0.046  0.082 0.075  0.091 0.197  0.099 0.319  0.108 0.441  0.117 0.563  0.125 0.685  0.134 0.807  0.143 0.929  0.152 1.050  0.160 1.172  0.169 1.294  0.178 1.416  0.186 1.538  0.195 1.660  0.204 1.782  0.212 1.903  0.090 1.903  -0.032 1.903
2#app#app13#app1368/d  -0.269 0.192  -0.437 0.192  -0.440 0.359  -0.604 0.363  -0.611 0.201  -0.771 0.192  -0.782 0.035  -0.782 -0.134  -0.890 -0.258  -0.953 -0.401  -0.953 -0.570  -0.953 -0.739  -0.953 -0.907  -0.953 -1.076  -0.903 -1.225  -0.784 -1.344  -0.616 -1.347  -0.448 -1.347  -0.326 -1.233  -0.207 -1.113  -0.098 -0.990  -0.092 -0.822  -0.016 -0.671  0.059 -0.520  0.170 -0.395  0.244 -0.257  0.272 -0.095  0.347 0.056  0.415 0.209  0.415 0.378  0.415 0.547  0.415 0.715  0.421 0.882  0.540 1.001  0.586 1.151  0.586 1.320  0.586 1.489  0.586 1.463  0.586 1.294  0.586 1.126  0.586 0.957  0.586 0.788  0.586 0.619  0.586 0.450  0.586 0.282  0.643 0.136  0.757 0.015  0.757 -0.154  0.757 -0.323  0.757 -0.492
2#app#app13#app1368/e  -0.970 -0.778  -0.970 -0.928  -0.970 -1.077  -0.828 -1.085  -0.678 -1.085  -0.568 -0.990  -0.462 -0.884  -0.356 -0.778  -0.250 -0.672  -0.144 -0.566  -0.034 -0.471  0.116 -0.471  0.263 -0.466  0.369 -0.360  0.475 -0.254  0.581 -0.148  0.687 -0.042  0.793 0.064  0.872 0.180  0.872 0.330  0.872 0.480  0.872 0.630  0.872 0.779  0.872 0.929  0.861 1.074  0.755 1.180  0.650 1.286  0.535 1.371  0.385 1.371  0.242 1.355  0.136 1.249  0.030 1.143  -0.076 1.037  -0.181 0.931  -0.287 0.825  -0.356 0.704  -0.356 0.554  -0.356 0.405  -0.356 0.255  -0.356 0.105  -0.356 -0.044  -0.356 -0.194  -0.356 -0.344  -0.356 -0.494  -0.356 -0.643  -0.356 -0.793  -0.356 -0.943  -0.356 -1.093  -0.356 -1.242  -0.356 -1.392
2#app#app13#app1368/o  -0.083 1.062  -0.192 0.953  -0.314 0.875  -0.458 0.865  -0.458 0.711  -0.588 0.688  -0.645 0.590  -0.645 0.437  -0.667 0.292  -0.776 0.183  -0.832 0.052  -0.832 -0.102  -0.832 -0.255  -0.832 -0.409  -0.832 -0.563  -0.832 -0.717  -0.832 -0.871  -0.811 -1.016  -0.702 -1.125  -0.572 -1.182  -0.418 -1.182  -0.264 -1.182  -0.110 -1.182  0.044 -1.182  0.170 -1.116  0.279 -1.007  0.428 -0.995  0.478 -0.891  0.528 -0.758  0.637 -0.649  0.746 -0.540  0.852 -0.431  0.852 -0.277  0.852 -0.123  0.852 0.031  0.852 0.185  0.852 0.339  0.852 0.493  0.852 0.647  0.772 0.768  0.665 0.877  0.665 1.031  0.542 1.062  0.388 1.062  0.251 1.022  0.142 0.914  0.104 0.776  0.037 0.688  -0.083 0.655  -0.083 0.501
2#app#app13#app1368/u  -0.870 0.845  -0.870 0.735  -0.870 0.626  -0.870 0.517  -0.870 0.408  -0.870 0.298  -0.870 0.189  -0.870 0.080  -0.870 -0.029  -0.854 -0.132  -0.777 -0.209  -0.699 -0.286  -0.630 -0.367  -0.630 -0.476  -0.630 -0.586  -0.630 -0.695  -0.630 -0.804  -0.575 -0.890  -0.498 -0.968  -0.421 -1.045  -0.324 -1.075  -0.215 -1.075  -0.119 -1.044  -0.041 -0.966  0.036 -0.889  0.113 -0.812  0.190 -0.735  0.268 -0.657  0.330 -0.574  0.330 -0.464  0.330 -0.355  0.407 -0.278  0.484 -0.201  0.561 -0.123  0.613 -0.028  0.662 0.070  0.711 0.168  0.760 0.265  0.809 0.363  0.810 0.472  0.810 0.581  0.810 0.691  0.810 0.800  0.810 0.909  0.810 1.018  0.810 1.128  0.810 1.237  0.810 1.346  0.810 1.455  0.810 1.565
