2#app#app14#app1423/!  -0.091 1.335  -0.016 1.335  0.060 1.335  0.071 1.399  0.071 1.475  0.071 1.444  0.071 1.368  0.071 1.293  0.071 1.217  0.071 1.142  0.071 1.067  0.071 0.991  0.071 0.916  0.071 0.841  0.071 0.765  0.071 0.690  0.071 0.615  0.071 0.539  0.026 0.482  -0.027 0.429  -0.080 0.375  -0.091 0.305  -0.091 0.229  -0.091 0.154  -0.091 0.079  -0.091 0.003  -0.091 -0.072  -0.091 -0.148  -0.091 -0.223  -0.091 -0.298  -0.091 -0.374  -0.091 -0.449  -0.091 -0.524  -0.091 -0.600  -0.091 -0.675  -0.091 -0.750  -0.091 -0.826  -0.091 -0.901  -0.058 -0.963  -0.005 -1.016  0.048 -1.069  0.071 -1.136  0.071 -1.211  0.071 -1.286  0.071 -1.362  0.071 -1.437  0.071 -1.513  0.071 -1.588  0.071 -1.663  0.071 -1.739
2#app#app14#app1423/@  0.085 0.262  0.262 0.352  0.261 0.617  -0.006 0.617  -0.270 0.615  -0.335 0.375  -0.447 0.154  -0.447 -0.112  -0.447 -0.379  -0.426 -0.625  -0.159 -0.625  0.049 -0.483  0.123 -0.270  0.262 -0.142  0.262 0.125  0.262 0.133  0.108 -0.070  0.085 -0.327  0.085 -0.594  0.126 -0.844  0.315 -0.927  0.530 -0.802  0.619 -0.623  0.795 -0.429  0.871 -0.194  0.972 0.031  0.972 0.298  0.972 0.564  0.821 0.769  0.771 1.019  0.652 1.258  0.483 1.461  0.235 1.504  -0.032 1.504  -0.291 1.484  -0.447 1.282  -0.542 1.054  -0.692 0.838  -0.802 0.597  -0.802 0.330  -0.802 0.063  -0.802 -0.204  -0.802 -0.471  -0.802 -0.737  -0.659 -0.945  -0.596 -1.186  -0.408 -1.374  -0.219 -1.563  -0.004 -1.689  0.262 -1.689
2#app#app14#app1423/#  1.130 0.488  0.805 0.488  0.481 0.488  0.156 0.488  -0.169 0.488  -0.494 0.488  -0.819 0.488  -0.835 0.380  -0.771 0.698  -0.707 1.017  -0.655 1.225  -0.655 0.900  -0.557 0.591  -0.456 0.283  -0.456 -0.042  -0.456 -0.367  -0.456 -0.692  -0.456 -1.016  -0.456 -1.341  -0.456 -1.666  -0.358 -1.892  -0.133 -1.705  0.047 -1.435  0.227 -1.164  0.407 -0.894  0.588 -0.624  0.768 -0.354  0.932 -0.136  0.776 -0.306  0.452 -0.306  0.127 -0.306  -0.198 -0.306  -0.503 -0.353  -0.602 -0.407  -0.446 -0.122  -0.290 0.164  -0.135 0.449  0.021 0.734  0.176 1.019  0.332 1.304  0.487 1.589  0.535 1.453  0.535 1.128  0.499 0.812  0.354 0.521  0.337 0.200  0.337 -0.125  0.337 -0.449  0.337 -0.774  0.337 -1.099
2#app#app14#app1423/$  0.903 0.720  0.525 0.720  0.214 0.558  -0.072 0.465  -0.235 0.250  -0.397 0.034  -0.235 -0.182  -0.072 -0.398  0.124 -0.581  0.214 -0.821  0.019 -1.140  -0.249 -1.408  -0.560 -1.562  -0.520 -1.501  -0.453 -1.128  -0.385 -0.756  -0.317 -0.383  -0.250 -0.011  -0.182 0.361  -0.114 0.734  -0.047 1.106  0.021 1.478  0.089 1.851  0.090 1.488  0.021 1.139  -0.072 0.799  -0.072 0.420  -0.158 0.062  -0.235 -0.298  -0.303 -0.649  -0.397 -0.988  -0.397 -1.366  -0.390 -1.694  -0.286 -1.330  -0.182 -0.966  -0.078 -0.602  0.026 -0.238  0.130 0.126  0.234 0.490  0.337 0.854  0.441 1.218  0.545 1.581  0.578 1.437  0.416 1.126  0.416 0.747  0.416 0.369  0.416 -0.010  0.283 -0.357  0.114 -0.695  0.090 -1.068
2#app#app14#app1423/%  -0.692 0.680  -0.545 0.787  -0.397 0.980  -0.286 1.123  -0.102 1.053  -0.102 0.799  -0.102 0.544  -0.249 0.438  -0.287 0.199  -0.467 0.019  -0.689 -0.058  -0.692 0.193  -0.692 0.447  -0.692 0.702  -0.564 0.828  -0.458 0.984  -0.205 1.009  0.048 1.035  0.301 1.060  0.554 1.085  0.807 1.111  0.932 1.252  0.765 1.104  0.604 0.911  0.490 0.683  0.312 0.503  0.132 0.323  -0.014 0.118  -0.127 -0.109  -0.241 -0.337  -0.397 -0.528  -0.397 -0.782  -0.545 -0.975  -0.545 -1.230  -0.462 -1.337  -0.244 -1.207  -0.026 -1.076  0.192 -0.945  0.341 -0.752  0.448 -0.542  0.637 -0.550  0.784 -0.656  0.784 -0.911  0.732 -1.144  0.553 -1.323  0.325 -1.387  0.194 -1.264  0.046 -1.157  0.046 -0.903  0.194 -0.797
2#app#app14#app1423/^  -1.214 -1.242  -1.214 -1.103  -1.214 -0.963  -1.097 -0.940  -0.957 -0.940  -0.912 -0.846  -0.912 -0.707  -0.862 -0.589  -0.763 -0.490  -0.665 -0.391  -0.611 -0.274  -0.611 -0.135  -0.582 -0.008  -0.483 0.091  -0.385 0.190  -0.286 0.288  -0.188 0.387  -0.089 0.485  -0.008 0.591  -0.008 0.730  -0.007 0.869  0.092 0.968  0.190 1.066  0.289 1.165  0.294 1.302  0.294 1.442  0.294 1.361  0.294 1.221  0.294 1.082  0.294 0.943  0.294 0.803  0.294 0.664  0.294 0.525  0.294 0.385  0.294 0.246  0.294 0.107  0.294 -0.033  0.430 -0.036  0.569 -0.036  0.595 -0.150  0.595 -0.289  0.595 -0.428  0.595 -0.568  0.595 -0.707  0.595 -0.846  0.640 -0.940  0.780 -0.940  0.896 -0.963  0.896 -1.103  0.896 -1.242
2#app#app14#app1423/&  0.455 -1.690  0.332 -1.567  0.209 -1.444  0.156 -1.293  0.021 -1.197  -0.049 -1.087  -0.137 -0.950  -0.193 -0.789  -0.236 -0.625  -0.334 -0.492  -0.334 -0.319  -0.433 -0.186  -0.432 -0.012  -0.355 0.144  -0.243 0.275  -0.190 0.427  -0.067 0.550  -0.014 0.702  0.109 0.825  0.232 0.948  0.355 1.071  0.507 1.124  0.630 1.247  0.695 1.368  0.835 1.452  0.948 1.413  0.926 1.248  0.849 1.106  0.820 0.944  0.697 0.821  0.553 0.727  0.410 0.632  0.287 0.510  0.129 0.465  -0.027 0.387  -0.094 0.255  -0.247 0.173  -0.370 0.050  -0.517 -0.013  -0.575 -0.155  -0.698 -0.278  -0.760 -0.408  -0.828 -0.514  -0.828 -0.688  -0.729 -0.763  -0.594 -0.802  -0.421 -0.802  -0.272 -0.864  -0.137 -0.924  -0.038 -1.000
2#app#app14#app1423/*  1.213 1.243  0.867 1.069  0.497 0.994  0.215 0.741  -0.059 0.467  -0.332 0.194  -0.606 -0.080  -0.880 -0.354  -1.154 -0.628  -1.270 -0.967  -0.946 -0.830  -0.599 -0.657  -0.253 -0.484  0.093 -0.310  0.440 -0.137  0.786 0.036  1.132 0.209  1.165 0.001  0.778 0.001  0.390 0.001  0.003 0.001  -0.384 0.001  -0.771 0.001  -0.910 0.250  -1.021 0.525  -1.021 0.913  -0.805 0.778  -0.532 0.505  -0.258 0.231  0.016 -0.043  0.290 -0.317  0.564 -0.590  0.717 -0.914  0.656 -0.688  0.580 -0.309  0.504 0.071  0.428 0.451  0.352 0.830  0.276 1.210  0.119 1.491  -0.028 1.251  -0.028 0.864  -0.028 0.477  -0.028 0.090  -0.028 -0.297  -0.028 -0.684  -0.028 -1.072  -0.028 -1.459  -0.028 -1.846  -0.028 -2.233
2#app#app14#app1423/(  0.781 1.364  0.781 1.285  0.781 1.207  0.704 1.204  0.626 1.204  0.547 1.204  0.468 1.204  0.410 1.154  0.355 1.098  0.301 1.041  0.301 0.963  0.301 0.884  0.245 0.828  0.189 0.772  0.130 0.724  0.052 0.724  -0.019 0.716  -0.019 0.637  -0.019 0.559  -0.019 0.480  -0.021 0.401  -0.056 0.331  -0.091 0.260  -0.126 0.190  -0.161 0.119  -0.179 0.045  -0.179 -0.034  -0.205 -0.102  -0.261 -0.158  -0.317 -0.213  -0.339 -0.283  -0.339 -0.362  -0.339 -0.440  -0.339 -0.519  -0.339 -0.598  -0.339 -0.677  -0.339 -0.756  -0.339 -0.834  -0.339 -0.913  -0.339 -0.992  -0.339 -1.071  -0.339 -1.150  -0.316 -1.219  -0.260 -1.274  -0.205 -1.330  -0.160 -1.394  -0.125 -1.464  -0.090 -1.535  -0.054 -1.605  -0.019 -1.676
2#app#app14#app1423/)  -0.682 1.383  -0.601 1.383  -0.523 1.373  -0.465 1.316  -0.408 1.258  -0.350 1.200  -0.292 1.142  -0.234 1.085  -0.153 1.084  -0.078 1.073  -0.042 1.000  -0.005 0.927  0.031 0.854  0.070 0.785  0.152 0.785  0.215 0.766  0.215 0.685  0.238 0.612  0.295 0.555  0.353 0.497  0.365 0.420  0.365 0.339  0.365 0.257  0.365 0.175  0.365 0.094  0.365 0.012  0.365 -0.070  0.365 -0.151  0.365 -0.233  0.365 -0.315  0.365 -0.396  0.318 -0.459  0.261 -0.516  0.206 -0.576  0.160 -0.644  0.115 -0.712  0.070 -0.780  0.024 -0.848  -0.021 -0.916  -0.066 -0.984  -0.084 -1.060  -0.084 -1.142  -0.129 -1.205  -0.186 -1.263  -0.244 -1.320  -0.302 -1.378  -0.360 -1.436  -0.417 -1.494  -0.475 -1.551  -0.533 -1.609
2#app#app14#app1423/`  -1.014 1.231  -1.014 1.153  -1.014 1.075  -1.014 0.997  -0.994 0.939  -0.916 0.939  -0.839 0.939  -0.761 0.939  -0.722 0.900  -0.722 0.822  -0.722 0.744  -0.722 0.666  -0.681 0.606  -0.626 0.551  -0.571 0.496  -0.515 0.440  -0.460 0.385  -0.395 0.355  -0.317 0.355  -0.239 0.355  -0.162 0.355  -0.100 0.317  -0.045 0.262  0.010 0.207  0.065 0.152  0.120 0.097  0.175 0.041  0.230 -0.014  0.285 -0.069  0.340 -0.124  0.395 -0.179  0.445 -0.236  0.445 -0.314  0.445 -0.392  0.445 -0.469  0.464 -0.539  0.519 -0.594  0.574 -0.649  0.629 -0.704  0.684 -0.759  0.737 -0.815  0.737 -0.893  0.737 -0.971  0.737 -1.049  0.753 -1.120  0.808 -1.175  0.863 -1.230  0.918 -1.285  0.973 -1.340  1.028 -1.395
