2#app#app18#app1850/!  -0.185 1.790  -0.185 1.921  -0.281 1.956  -0.351 1.895  -0.351 1.764  -0.351 1.633  -0.351 1.502  -0.351 1.371  -0.351 1.240  -0.351 1.110  -0.351 0.979  -0.351 0.848  -0.351 0.717  -0.351 0.586  -0.351 0.455  -0.351 0.324  -0.351 0.193  -0.351 0.062  -0.351 -0.068  -0.351 -0.199  -0.351 -0.330  -0.257 -0.367  -0.185 -0.308  -0.168 -0.218  -0.076 -0.311  0.017 -0.403  0.109 -0.496  0.202 -0.588  0.295 -0.681  0.387 -0.773  0.477 -0.865  0.346 -0.865  0.312 -0.767  0.312 -0.636  0.340 -0.533  0.471 -0.533  0.478 -0.656  0.478 -0.787  0.425 -0.865  0.312 -0.883  0.312 -1.014  0.198 -1.031  0.147 -0.951  0.147 -0.821  0.156 -0.699  0.287 -0.699  0.418 -0.699  0.408 -0.699  0.312 -0.734  0.312 -0.865
2#app#app18#app1850/@  0.180 0.006  0.086 0.175  -0.007 0.343  -0.158 0.232  -0.326 0.138  -0.456 0.006  -0.652 -0.152  -0.663 -0.409  -0.660 -0.668  -0.398 -0.668  -0.136 -0.668  0.011 -0.554  0.158 -0.353  0.180 -0.100  0.023 0.006  0.011 -0.243  0.180 -0.337  0.279 -0.500  0.517 -0.476  0.600 -0.248  0.685 -0.022  0.854 0.072  0.854 0.334  0.854 0.596  0.854 0.858  0.782 1.090  0.685 1.312  0.517 1.405  0.373 1.523  0.111 1.523  -0.151 1.523  -0.343 1.354  -0.495 1.244  -0.639 1.042  -0.705 0.807  -0.832 0.598  -0.832 0.336  -0.832 0.074  -0.832 -0.188  -0.832 -0.450  -0.801 -0.699  -0.663 -0.904  -0.550 -1.119  -0.311 -1.174  -0.049 -1.174  0.213 -1.174  0.475 -1.174  0.722 -1.137  0.929 -1.005  1.191 -1.005
2#app#app18#app1850/#  -0.629 1.400  -0.629 0.990  -0.846 0.670  -0.886 0.277  -0.886 -0.133  -0.886 -0.543  -0.886 -0.953  -0.688 -1.165  -0.448 -0.863  -0.238 -0.512  -0.027 -0.160  0.184 0.191  0.395 0.543  0.606 0.894  0.817 1.246  1.072 1.238  0.970 0.948  0.910 0.563  0.910 0.153  0.792 -0.139  0.653 -0.410  0.653 -0.820  0.604 -1.122  0.292 -0.855  -0.019 -0.589  -0.330 -0.322  -0.641 -0.055  -0.952 0.212  -0.982 0.374  -0.589 0.414  -0.269 0.631  0.141 0.631  0.551 0.631  0.961 0.631  0.976 0.555  0.595 0.402  0.215 0.250  -0.166 0.098  -0.546 -0.054  -0.927 -0.206  -1.307 -0.359  -1.344 -0.652  -0.934 -0.652  -0.524 -0.652  -0.114 -0.652  0.140 -0.496  0.449 -0.395  0.859 -0.395  1.269 -0.395  1.679 -0.395
2#app#app18#app1850/$  0.322 0.634  0.123 0.441  -0.076 0.247  -0.452 0.232  -0.646 0.033  -0.426 -0.140  -0.043 -0.162  0.278 -0.333  0.477 -0.527  0.515 -0.881  0.350 -1.107  0.151 -1.301  -0.161 -1.495  -0.554 -1.495  -0.839 -1.388  -0.743 -1.011  -0.619 -0.639  -0.495 -0.267  -0.371 0.105  -0.247 0.477  -0.123 0.850  0.001 1.222  0.125 1.594  0.128 1.219  -0.065 0.906  -0.065 0.514  -0.065 0.122  -0.259 -0.190  -0.259 -0.583  -0.320 -0.914  -0.452 -1.174  -0.364 -1.051  -0.234 -0.681  -0.103 -0.311  0.028 0.059  0.158 0.429  0.289 0.799  0.419 1.169  0.550 1.539  0.680 1.909  0.709 1.682  0.515 1.370  0.515 0.978  0.481 0.600  0.322 0.274  0.322 -0.119  0.322 -0.511  0.139 -0.720  0.128 -1.102  -0.065 -1.301
2#app#app18#app1850/%  -0.873 0.775  -0.990 0.641  -1.212 0.570  -1.275 0.344  -1.261 0.105  -1.010 0.105  -0.758 0.105  -0.574 0.269  -0.470 0.478  -0.470 0.730  -0.470 0.982  -0.553 1.066  -0.322 1.165  -0.090 1.264  0.141 1.363  0.334 1.403  0.308 1.178  0.190 1.044  0.066 0.916  0.066 0.665  -0.068 0.468  -0.138 0.233  -0.202 -0.004  -0.202 -0.255  -0.336 -0.452  -0.341 -0.699  -0.470 -0.821  -0.604 -1.017  -0.579 -1.213  -0.393 -1.043  -0.207 -0.874  -0.021 -0.704  0.166 -0.535  0.352 -0.366  0.538 -0.196  0.725 -0.027  0.815 0.105  0.697 -0.029  0.602 -0.185  0.468 -0.303  0.468 -0.555  0.468 -0.807  0.532 -1.032  0.755 -1.101  1.004 -1.098  1.125 -0.967  1.138 -0.729  1.076 -0.503  0.988 -0.297  0.870 -0.163
2#app#app18#app1850/^  -1.115 -0.691  -1.115 -0.563  -1.115 -0.434  -1.115 -0.306  -1.085 -0.189  -0.995 -0.098  -0.904 -0.008  -0.813 0.083  -0.722 0.174  -0.642 0.270  -0.642 0.398  -0.616 0.516  -0.526 0.607  -0.435 0.698  -0.406 0.814  -0.406 0.943  -0.297 0.962  -0.170 0.964  -0.170 1.092  -0.170 1.176  -0.170 1.048  -0.127 0.962  0.001 0.962  0.066 0.899  0.066 0.770  0.066 0.642  0.066 0.513  0.172 0.490  0.300 0.490  0.302 0.364  0.302 0.235  0.302 0.107  0.302 -0.022  0.302 -0.150  0.362 -0.219  0.491 -0.219  0.539 -0.300  0.539 -0.428  0.539 -0.557  0.539 -0.685  0.661 -0.691  0.775 -0.706  0.775 -0.834  0.775 -0.963  0.775 -1.091  0.815 -1.203  0.906 -1.294  0.996 -1.385  1.011 -1.508  1.011 -1.636
2#app#app18#app1850/&  -0.025 0.228  0.146 0.314  -0.026 0.399  -0.258 0.338  -0.470 0.228  -0.710 0.211  -0.710 -0.047  -0.691 -0.285  -0.434 -0.285  -0.177 -0.285  0.081 -0.285  -0.040 -0.300  -0.233 -0.456  -0.454 -0.543  -0.636 -0.725  -0.710 -0.951  -0.471 -0.969  -0.213 -0.969  0.044 -0.969  0.146 -0.814  0.387 -0.798  0.488 -0.642  0.641 -0.558  0.574 -0.310  0.508 -0.061  0.442 0.188  0.376 0.436  0.309 0.685  0.243 0.933  0.177 1.182  0.110 1.430  0.044 1.679  -0.022 1.927  0.072 1.939  -0.025 1.780  -0.025 1.522  -0.025 1.265  -0.025 1.008  -0.025 0.751  -0.014 0.494  0.022 0.239  0.058 -0.015  0.095 -0.270  0.131 -0.525  0.146 -0.781  0.146 -1.038  0.255 -1.250  0.317 -1.482  0.317 -1.739  0.146 -1.825
2#app#app18#app1850/*  -0.458 0.748  -0.651 0.830  -0.458 0.524  -0.300 0.204  -0.164 -0.125  0.108 -0.397  0.294 -0.605  0.316 -0.969  0.524 -0.823  0.559 -0.439  0.594 -0.055  0.629 0.329  0.664 0.713  0.699 1.096  0.549 0.942  0.244 0.748  0.122 0.484  -0.063 0.176  -0.199 -0.153  -0.335 -0.482  -0.608 -0.755  -0.782 -0.991  -0.974 -1.185  -1.038 -1.506  -1.083 -1.254  -1.137 -0.873  -1.192 -0.491  -1.122 -0.218  -0.736 -0.218  -0.382 -0.143  -0.045 -0.025  0.340 -0.025  0.725 -0.025  1.111 -0.025  1.273 -0.200  1.101 0.145  0.928 0.490  0.756 0.834  0.584 1.179  0.411 1.524  0.316 1.544  0.145 1.328  0.003 1.016  -0.071 0.661  -0.071 0.275  -0.264 -0.030  -0.264 -0.415  -0.264 -0.801  -0.263 -1.185  -0.071 -1.378
2#app#app18#app1850/(  0.442 1.589  0.354 1.589  0.266 1.587  0.203 1.524  0.140 1.462  0.093 1.392  0.093 1.304  0.076 1.223  0.013 1.160  -0.049 1.097  -0.081 1.022  -0.081 0.933  -0.102 0.849  -0.142 0.770  -0.181 0.691  -0.221 0.612  -0.255 0.531  -0.255 0.443  -0.255 0.354  -0.255 0.266  -0.267 0.182  -0.330 0.119  -0.393 0.057  -0.430 -0.017  -0.430 -0.105  -0.430 -0.194  -0.430 -0.282  -0.430 -0.371  -0.430 -0.460  -0.399 -0.535  -0.336 -0.598  -0.273 -0.660  -0.255 -0.742  -0.255 -0.830  -0.189 -0.853  -0.101 -0.853  -0.081 -0.922  -0.081 -1.010  -0.009 -1.027  0.079 -1.027  0.168 -1.027  0.257 -1.027  0.345 -1.027  0.434 -1.027  0.522 -1.027  0.611 -1.027  0.700 -1.027  0.788 -1.027  0.877 -1.027  0.965 -1.027
2#app#app18#app1850/)  -0.432 1.210  -0.529 1.210  -0.590 1.246  -0.590 1.343  -0.518 1.368  -0.432 1.357  -0.432 1.260  -0.385 1.210  -0.288 1.210  -0.273 1.127  -0.252 1.052  -0.155 1.052  -0.115 0.994  -0.115 0.897  -0.049 0.827  0.020 0.759  0.043 0.671  0.045 0.575  0.114 0.507  0.182 0.438  0.201 0.349  0.208 0.254  0.276 0.186  0.345 0.117  0.359 0.026  0.370 -0.067  0.439 -0.135  0.508 -0.204  0.517 -0.297  0.517 -0.394  0.517 -0.491  0.476 -0.571  0.408 -0.640  0.359 -0.717  0.359 -0.814  0.295 -0.846  0.201 -0.850  0.201 -0.947  0.162 -1.005  0.065 -1.005  0.043 -1.080  0.029 -1.163  -0.068 -1.163  -0.166 -1.163  -0.263 -1.163  -0.273 -1.249  -0.299 -1.321  -0.396 -1.321  -0.370 -1.321  -0.273 -1.321
2#app#app18#app1850/`  -0.558 0.534  -0.558 0.628  -0.558 0.721  -0.558 0.814  -0.646 0.819  -0.739 0.819  -0.833 0.819  -0.842 0.903  -0.842 0.996  -0.842 1.089  -0.786 1.047  -0.720 0.981  -0.654 0.915  -0.588 0.849  -0.558 0.768  -0.558 0.675  -0.558 0.582  -0.512 0.534  -0.418 0.534  -0.325 0.534  -0.273 0.493  -0.273 0.400  -0.273 0.307  -0.247 0.224  -0.181 0.158  -0.115 0.092  -0.050 0.026  0.016 -0.039  0.082 -0.105  0.148 -0.171  0.214 -0.237  0.280 -0.303  0.346 -0.369  0.412 -0.435  0.478 -0.501  0.544 -0.567  0.579 -0.645  0.579 -0.739  0.579 -0.832  0.618 -0.887  0.711 -0.887  0.804 -0.887  0.864 -0.920  0.864 -1.014  0.864 -1.107  0.884 -1.192  0.950 -1.257  1.016 -1.323  1.082 -1.389  1.148 -1.455
