2#app#app18#app1865/[  0.735 1.063  0.842 1.063  0.857 0.971  0.857 1.017  0.797 1.063  0.690 1.063  0.583 1.063  0.476 1.063  0.369 1.063  0.262 1.063  0.246 0.972  0.170 0.940  0.064 0.940  -0.030 0.909  -0.106 0.834  -0.207 0.818  -0.244 0.748  -0.298 0.696  -0.366 0.657  -0.390 0.574  -0.488 0.565  -0.488 0.458  -0.488 0.352  -0.488 0.245  -0.488 0.138  -0.488 0.031  -0.488 -0.076  -0.488 -0.183  -0.488 -0.290  -0.488 -0.397  -0.488 -0.504  -0.488 -0.611  -0.488 -0.718  -0.488 -0.824  -0.488 -0.931  -0.488 -1.038  -0.482 -1.139  -0.375 -1.139  -0.268 -1.139  -0.161 -1.139  -0.074 -1.091  0.002 -1.017  0.109 -1.017  0.216 -1.017  0.323 -1.017  0.430 -1.017  0.536 -1.017  0.643 -1.017  0.750 -1.017  0.857 -1.017
2#app#app18#app1865/(  0.446 1.552  0.355 1.552  0.268 1.544  0.203 1.480  0.139 1.415  0.075 1.351  0.011 1.287  -0.054 1.222  -0.118 1.158  -0.182 1.094  -0.237 1.026  -0.237 0.935  -0.254 0.851  -0.319 0.787  -0.383 0.723  -0.408 0.642  -0.408 0.551  -0.408 0.460  -0.408 0.369  -0.408 0.278  -0.408 0.188  -0.408 0.097  -0.408 0.006  -0.408 -0.085  -0.408 -0.176  -0.408 -0.267  -0.408 -0.358  -0.408 -0.449  -0.379 -0.528  -0.315 -0.592  -0.250 -0.656  -0.237 -0.742  -0.237 -0.832  -0.154 -0.840  -0.063 -0.840  0.028 -0.840  0.105 -0.854  0.105 -0.945  0.130 -1.011  0.221 -1.011  0.312 -1.011  0.402 -1.011  0.493 -1.011  0.584 -1.011  0.675 -1.011  0.766 -1.011  0.788 -0.942  0.788 -0.851  0.868 -0.840  0.959 -0.840
2#app#app18#app1865/6  0.065 1.701  -0.083 1.701  -0.209 1.647  -0.314 1.543  -0.376 1.421  -0.376 1.273  -0.376 1.125  -0.439 1.040  -0.586 1.040  -0.596 0.902  -0.596 0.754  -0.596 0.606  -0.696 0.500  -0.801 0.395  -0.816 0.254  -0.816 0.106  -0.816 -0.042  -0.816 -0.189  -0.776 -0.321  -0.672 -0.425  -0.596 -0.542  -0.596 -0.689  -0.480 -0.721  -0.345 -0.752  -0.240 -0.857  -0.127 -0.941  0.020 -0.941  0.168 -0.941  0.316 -0.941  0.464 -0.941  0.580 -0.865  0.685 -0.761  0.789 -0.656  0.894 -0.552  0.998 -0.447  1.103 -0.343  1.165 -0.221  1.165 -0.073  1.030 -0.061  0.882 -0.061  0.734 -0.061  0.587 -0.061  0.439 -0.061  0.291 -0.061  0.285 -0.202  0.215 -0.281  0.068 -0.281  0.065 -0.425  0.065 -0.573  0.065 -0.721
2#app#app18#app1865/)  -0.667 1.597  -0.667 1.516  -0.657 1.438  -0.600 1.380  -0.542 1.323  -0.484 1.265  -0.427 1.207  -0.369 1.150  -0.311 1.092  -0.253 1.034  -0.196 0.976  -0.138 0.919  -0.080 0.861  -0.069 0.784  -0.069 0.703  -0.013 0.644  0.045 0.587  0.102 0.529  0.160 0.471  0.218 0.413  0.231 0.337  0.231 0.256  0.285 0.197  0.343 0.139  0.380 0.073  0.380 -0.009  0.380 -0.090  0.380 -0.172  0.380 -0.254  0.380 -0.335  0.380 -0.417  0.380 -0.498  0.380 -0.580  0.380 -0.661  0.380 -0.743  0.360 -0.816  0.302 -0.874  0.244 -0.932  0.187 -0.989  0.129 -1.047  0.067 -1.095  -0.014 -1.095  -0.069 -1.122  -0.069 -1.204  -0.109 -1.245  -0.191 -1.245  -0.218 -1.299  -0.218 -1.381  -0.286 -1.394  -0.368 -1.394
2#app#app18#app1865/(  0.324 0.958  0.416 0.958  0.483 0.982  0.483 1.074  0.483 1.165  0.483 1.257  0.410 1.276  0.319 1.276  0.227 1.276  0.165 1.246  0.165 1.154  0.127 1.078  0.062 1.014  0.006 0.945  0.006 0.853  -0.031 0.798  -0.123 0.798  -0.153 0.737  -0.153 0.646  -0.153 0.554  -0.166 0.467  -0.231 0.402  -0.296 0.338  -0.312 0.253  -0.312 0.161  -0.312 0.069  -0.312 -0.022  -0.312 -0.114  -0.312 -0.206  -0.312 -0.298  -0.312 -0.389  -0.312 -0.481  -0.312 -0.573  -0.291 -0.655  -0.226 -0.720  -0.161 -0.785  -0.153 -0.874  -0.153 -0.965  -0.153 -1.057  -0.116 -1.111  -0.024 -1.111  0.006 -1.173  0.006 -1.265  0.006 -1.357  0.025 -1.430  0.117 -1.430  0.208 -1.430  0.300 -1.430  0.392 -1.430  0.483 -1.430
2#app#app18#app1865/7  -1.277 0.696  -1.167 0.696  -1.057 0.696  -0.947 0.696  -0.837 0.696  -0.727 0.696  -0.617 0.696  -0.507 0.696  -0.397 0.696  -0.287 0.696  -0.177 0.696  -0.067 0.696  0.043 0.696  0.153 0.696  0.263 0.696  0.373 0.696  0.483 0.696  0.593 0.696  0.703 0.696  0.813 0.696  0.923 0.696  0.817 0.696  0.707 0.696  0.628 0.620  0.550 0.542  0.473 0.464  0.395 0.387  0.317 0.309  0.239 0.231  0.162 0.153  0.084 0.076  0.044 -0.018  0.044 -0.128  0.044 -0.238  0.044 -0.348  0.044 -0.458  0.044 -0.568  0.044 -0.678  0.044 -0.788  0.044 -0.898  0.044 -1.008  0.020 -1.112  -0.029 -1.210  -0.078 -1.309  -0.127 -1.407  -0.176 -1.506  -0.176 -1.616  -0.176 -1.725  -0.176 -1.835  -0.176 -1.945
2#app#app18#app1865/)  -0.665 1.275  -0.753 1.275  -0.707 1.275  -0.619 1.275  -0.556 1.250  -0.552 1.166  -0.464 1.166  -0.397 1.116  -0.333 1.057  -0.246 1.057  -0.229 0.985  -0.179 0.948  -0.120 0.918  -0.114 0.833  -0.052 0.771  0.019 0.730  0.104 0.723  0.166 0.661  0.207 0.590  0.211 0.503  0.250 0.424  0.290 0.346  0.337 0.273  0.399 0.210  0.425 0.133  0.425 0.045  0.425 -0.043  0.425 -0.131  0.425 -0.219  0.425 -0.307  0.425 -0.395  0.425 -0.483  0.425 -0.571  0.425 -0.658  0.382 -0.729  0.320 -0.791  0.258 -0.853  0.207 -0.920  0.207 -1.008  0.148 -1.072  0.081 -1.122  -0.007 -1.122  -0.070 -1.181  -0.137 -1.231  -0.225 -1.231  -0.229 -1.315  -0.292 -1.340  -0.338 -1.382  -0.317 -1.449  -0.229 -1.449
2#app#app18#app1865/(  0.044 0.577  0.145 0.577  0.178 0.646  0.178 0.747  0.178 0.848  0.178 0.950  0.228 1.031  0.299 1.103  0.313 1.199  0.313 1.300  0.313 1.370  0.313 1.269  0.229 1.251  0.178 1.200  0.166 1.104  0.094 1.032  0.044 0.952  0.044 0.850  -0.026 0.778  -0.091 0.703  -0.091 0.602  -0.091 0.500  -0.122 0.412  -0.194 0.340  -0.226 0.252  -0.226 0.150  -0.226 0.049  -0.226 -0.053  -0.226 -0.154  -0.243 -0.248  -0.315 -0.320  -0.361 -0.403  -0.361 -0.504  -0.361 -0.606  -0.361 -0.707  -0.361 -0.808  -0.357 -0.908  -0.285 -0.980  -0.226 -1.057  -0.226 -1.159  -0.165 -1.235  -0.094 -1.307  0.007 -1.309  0.044 -1.374  0.075 -1.444  0.177 -1.444  0.278 -1.444  0.380 -1.444  0.481 -1.444  0.582 -1.444
2#app#app18#app1865/8  -0.137 1.186  -0.046 1.186  -0.137 1.297  -0.283 1.312  -0.358 1.186  -0.560 1.186  -0.615 1.040  -0.722 0.945  -0.722 0.743  -0.679 0.559  -0.521 0.455  -0.429 0.345  -0.269 0.295  -0.123 0.162  0.010 0.093  0.134 0.016  0.190 -0.130  0.302 -0.219  0.404 -0.379  0.448 -0.562  0.483 -0.749  0.595 -0.905  0.595 -1.106  0.448 -1.162  0.448 -1.363  0.330 -1.446  0.274 -1.593  0.073 -1.593  -0.088 -1.495  -0.270 -1.446  -0.283 -1.258  -0.352 -1.085  -0.429 -0.915  -0.429 -0.713  -0.429 -0.512  -0.429 -0.310  -0.283 -0.255  -0.206 -0.130  -0.043 -0.037  0.137 0.016  0.285 0.145  0.448 0.193  0.535 0.309  0.595 0.450  0.595 0.652  0.519 0.823  0.448 0.995  0.338 1.151  0.195 1.293  0.010 1.332
2#app#app18#app1865/)  -0.563 1.239  -0.563 1.326  -0.618 1.359  -0.660 1.359  -0.573 1.359  -0.563 1.281  -0.531 1.207  -0.469 1.145  -0.393 1.120  -0.325 1.101  -0.325 1.014  -0.272 0.948  -0.211 0.886  -0.149 0.825  -0.087 0.763  -0.026 0.701  0.034 0.639  0.034 0.552  0.075 0.482  0.137 0.420  0.198 0.358  0.260 0.297  0.272 0.214  0.289 0.131  0.328 0.053  0.367 -0.025  0.392 -0.106  0.392 -0.193  0.453 -0.255  0.511 -0.318  0.511 -0.406  0.511 -0.493  0.511 -0.580  0.511 -0.667  0.452 -0.730  0.392 -0.792  0.392 -0.879  0.351 -0.950  0.290 -1.012  0.228 -1.073  0.166 -1.135  0.085 -1.148  0.008 -1.174  -0.054 -1.235  -0.127 -1.268  -0.215 -1.268  -0.302 -1.268  -0.389 -1.268  -0.412 -1.268  -0.325 -1.268
2#app#app18#app1865/(  0.161 1.294  0.161 1.380  0.161 1.465  0.161 1.551  0.161 1.499  0.148 1.418  0.088 1.358  0.027 1.297  0.024 1.213  0.003 1.136  -0.058 1.076  -0.113 1.013  -0.113 0.928  -0.113 0.842  -0.113 0.756  -0.167 0.693  -0.227 0.633  -0.250 0.556  -0.250 0.471  -0.250 0.385  -0.250 0.300  -0.250 0.214  -0.250 0.128  -0.250 0.043  -0.250 -0.043  -0.250 -0.128  -0.250 -0.214  -0.250 -0.300  -0.250 -0.385  -0.250 -0.471  -0.250 -0.556  -0.250 -0.642  -0.250 -0.727  -0.194 -0.758  -0.113 -0.762  -0.113 -0.847  -0.075 -0.895  0.011 -0.895  0.024 -0.967  0.039 -1.047  0.100 -1.107  0.160 -1.168  0.245 -1.168  0.331 -1.168  0.417 -1.168  0.502 -1.168  0.571 -1.185  0.571 -1.271  0.622 -1.305  0.708 -1.305
