2#app#app18#app1878/8  0.061 1.276  -0.120 1.253  -0.166 1.096  -0.369 1.096  -0.480 1.003  -0.596 0.915  -0.660 0.776  -0.823 0.735  -0.840 0.549  -0.840 0.346  -0.788 0.195  -0.607 0.141  -0.456 0.014  -0.267 -0.019  -0.123 -0.163  0.021 -0.307  0.208 -0.346  0.241 -0.517  0.421 -0.540  0.458 -0.707  0.601 -0.767  0.601 -0.970  0.601 -1.174  0.510 -1.339  0.421 -1.506  0.319 -1.608  0.116 -1.608  -0.044 -1.503  -0.120 -1.331  -0.204 -1.162  -0.300 -0.999  -0.300 -0.795  -0.300 -0.592  -0.162 -0.526  -0.120 -0.365  0.061 -0.342  0.080 -0.146  0.224 -0.003  0.421 0.014  0.421 0.217  0.421 0.421  0.490 0.555  0.601 0.647  0.520 0.817  0.421 0.980  0.421 1.183  0.311 1.276  0.107 1.276  -0.096 1.276  -0.300 1.276
2#app#app18#app1878/:  -0.449 1.152  -0.379 1.222  -0.310 1.291  -0.241 1.360  -0.245 1.399  -0.343 1.399  -0.441 1.399  -0.358 1.399  -0.260 1.399  -0.202 1.360  -0.202 1.261  -0.202 1.163  -0.183 1.067  -0.161 0.971  -0.140 0.876  -0.119 0.780  -0.098 0.684  -0.076 0.588  -0.055 0.492  -0.034 0.396  -0.012 0.301  0.009 0.205  0.030 0.109  0.051 0.013  0.073 -0.083  0.094 -0.178  0.115 -0.274  0.137 -0.370  0.158 -0.466  0.179 -0.562  0.200 -0.658  0.222 -0.753  0.243 -0.849  0.264 -0.945  0.286 -1.041  0.246 -1.119  0.176 -1.188  0.107 -1.258  0.045 -1.308  0.045 -1.210  0.045 -1.112  0.104 -1.072  0.202 -1.072  0.293 -1.064  0.293 -0.966  0.293 -0.868  0.254 -0.864  0.184 -0.933  0.115 -1.003  0.045 -1.072
2#app#app18#app1878/4  -0.653 0.993  -0.849 0.993  -0.898 0.846  -0.898 0.649  -0.898 0.452  -0.899 0.257  -1.096 0.257  -1.144 0.108  -1.144 -0.088  -1.107 -0.270  -0.968 -0.409  -0.801 -0.479  -0.604 -0.479  -0.408 -0.479  -0.211 -0.479  -0.015 -0.479  0.084 -0.381  0.133 -0.234  0.330 -0.234  0.526 -0.234  0.575 -0.382  0.575 -0.380  0.575 -0.184  0.575 0.013  0.575 0.210  0.575 0.406  0.575 0.603  0.575 0.799  0.575 0.996  0.575 1.192  0.575 1.389  0.503 1.413  0.364 1.274  0.329 1.091  0.329 0.895  0.329 0.698  0.329 0.502  0.329 0.305  0.329 0.109  0.329 -0.088  0.329 -0.285  0.329 -0.481  0.329 -0.678  0.329 -0.874  0.258 -1.041  0.119 -1.180  0.084 -1.362  0.084 -1.559  0.084 -1.756  0.084 -1.952
2#app#app18#app1878/&  -0.047 0.392  0.075 0.392  -0.186 0.392  -0.447 0.392  -0.621 0.305  -0.778 0.201  -0.778 0.009  -0.517 0.009  -0.257 0.009  0.004 0.009  0.023 0.009  -0.047 -0.181  -0.287 -0.231  -0.430 -0.433  -0.430 -0.694  -0.239 -0.763  -0.162 -0.948  0.099 -0.948  0.360 -0.948  0.620 -0.948  0.673 -0.791  0.602 -0.540  0.530 -0.289  0.458 -0.038  0.387 0.213  0.315 0.464  0.243 0.715  0.172 0.965  0.100 1.216  0.028 1.467  -0.043 1.718  -0.047 1.596  -0.172 1.732  -0.236 1.540  -0.047 1.468  -0.047 1.207  -0.047 0.946  0.016 0.711  0.144 0.504  0.144 0.243  0.144 -0.018  0.144 -0.279  0.144 -0.540  0.144 -0.801  0.144 -1.062  0.144 -1.323  -0.047 -1.392  -0.047 -1.653  -0.040 -1.911  0.144 -2.096
2#app#app18#app1878/4  -0.691 0.948  -0.858 0.948  -0.927 0.848  -0.927 0.680  -0.927 0.512  -0.927 0.344  -0.927 0.177  -0.927 0.009  -0.927 -0.159  -0.833 -0.233  -0.665 -0.233  -0.497 -0.233  -0.329 -0.233  -0.161 -0.233  0.007 -0.233  0.174 -0.233  0.342 -0.233  0.491 -0.214  0.491 -0.046  0.491 0.122  0.491 0.290  0.491 0.458  0.491 0.626  0.491 0.794  0.491 0.962  0.491 1.130  0.491 1.297  0.459 1.388  0.340 1.270  0.254 1.137  0.254 0.969  0.254 0.801  0.254 0.633  0.254 0.465  0.254 0.298  0.254 0.130  0.254 -0.038  0.254 -0.206  0.254 -0.374  0.254 -0.542  0.254 -0.710  0.254 -0.878  0.254 -1.046  0.229 -1.203  0.111 -1.322  0.018 -1.451  0.018 -1.619  0.018 -1.787  0.086 -1.887  0.254 -1.887
2#app#app18#app1878/:  -0.410 1.265  -0.410 1.348  -0.410 1.431  -0.410 1.489  -0.410 1.406  -0.410 1.323  -0.385 1.265  -0.303 1.265  -0.220 1.265  -0.167 1.229  -0.152 1.147  -0.137 1.065  -0.122 0.984  -0.108 0.902  -0.093 0.821  -0.078 0.739  -0.063 0.657  -0.048 0.576  -0.033 0.494  -0.019 0.413  -0.004 0.331  0.011 0.249  0.026 0.168  0.041 0.086  0.056 0.005  0.070 -0.077  0.085 -0.159  0.100 -0.240  0.115 -0.322  0.130 -0.403  0.145 -0.485  0.159 -0.566  0.174 -0.648  0.189 -0.730  0.204 -0.811  0.219 -0.893  0.234 -0.974  0.248 -1.056  0.263 -1.138  0.278 -1.219  0.293 -1.301  0.253 -1.337  0.171 -1.337  0.088 -1.337  0.063 -1.279  0.063 -1.196  0.063 -1.113  0.134 -1.100  0.217 -1.100  0.300 -1.100
2#app#app18#app1878/2  -0.783 1.079  -0.650 1.079  -0.595 1.158  -0.570 1.267  -0.436 1.267  -0.303 1.267  -0.169 1.267  -0.035 1.267  0.099 1.267  0.233 1.267  0.346 1.247  0.346 1.113  0.346 0.979  0.346 0.845  0.346 0.711  0.258 0.614  0.164 0.519  0.158 0.388  0.086 0.326  -0.030 0.309  -0.030 0.175  -0.127 0.137  -0.248 0.108  -0.343 0.013  -0.407 -0.094  -0.407 -0.228  -0.530 -0.239  -0.595 -0.307  -0.595 -0.441  -0.595 -0.575  -0.595 -0.709  -0.556 -0.804  -0.423 -0.804  -0.407 -0.922  -0.343 -0.992  -0.219 -0.983  -0.219 -0.849  -0.130 -0.804  0.004 -0.804  0.138 -0.804  0.271 -0.804  0.405 -0.804  0.539 -0.804  0.673 -0.804  0.723 -0.888  0.752 -0.992  0.886 -0.992  1.020 -0.992  1.099 -1.047  1.099 -1.180
2#app#app18#app1878/&  0.377 0.381  0.549 0.381  0.247 0.381  -0.056 0.381  -0.358 0.381  -0.661 0.381  -0.809 0.226  -1.029 0.143  -0.761 0.143  -0.491 0.063  -0.254 -0.094  0.048 -0.094  0.351 -0.094  0.140 -0.133  0.035 -0.331  -0.267 -0.331  -0.501 -0.497  -0.774 -0.568  -0.809 -0.836  -0.713 -1.043  -0.411 -1.043  -0.108 -1.043  0.194 -1.043  0.497 -1.043  0.584 -0.860  0.534 -0.562  0.484 -0.263  0.435 0.035  0.385 0.333  0.335 0.632  0.286 0.930  0.236 1.228  0.186 1.527  0.162 1.804  0.377 1.717  0.269 1.674  0.140 1.684  0.140 1.382  0.140 1.079  0.140 0.777  0.140 0.474  0.106 0.175  0.056 -0.124  0.006 -0.422  -0.044 -0.720  -0.093 -1.019  0.140 -1.084  0.140 -1.386  0.140 -1.689  0.140 -1.991
2#app#app18#app1878/2  -0.791 0.854  -0.942 0.854  -1.019 0.854  -0.868 0.854  -0.717 0.854  -0.566 0.854  -0.415 0.854  -0.264 0.854  -0.156 0.958  -0.050 1.064  0.079 1.119  0.230 1.119  0.348 1.040  0.455 0.934  0.573 0.854  0.724 0.854  0.748 0.801  0.641 0.694  0.535 0.587  0.535 0.436  0.497 0.323  0.346 0.323  0.217 0.270  0.110 0.163  0.003 0.056  -0.104 -0.050  -0.210 -0.157  -0.317 -0.264  -0.424 -0.371  -0.533 -0.472  -0.684 -0.472  -0.791 -0.516  -0.791 -0.667  -0.791 -0.818  -0.791 -0.969  -0.673 -1.003  -0.522 -1.003  -0.371 -1.003  -0.220 -1.003  -0.069 -1.003  0.082 -1.003  0.233 -1.003  0.384 -1.003  0.535 -1.003  0.642 -0.897  0.748 -0.790  0.878 -0.738  1.029 -0.738  1.180 -0.738  1.331 -0.738
2#app#app18#app1878/:  -0.055 1.154  -0.141 1.240  -0.226 1.325  -0.312 1.411  -0.348 1.377  -0.348 1.256  -0.329 1.154  -0.208 1.154  -0.087 1.154  -0.144 1.154  -0.265 1.154  -0.348 1.116  -0.348 0.995  -0.348 0.874  -0.240 0.861  -0.119 0.861  -0.055 0.804  -0.055 0.683  -0.055 0.562  -0.055 0.441  -0.055 0.320  0.021 0.275  0.142 0.275  0.238 0.250  0.238 0.129  0.238 0.008  0.238 -0.113  0.238 -0.234  0.193 -0.310  0.072 -0.310  -0.049 -0.310  -0.055 -0.425  -0.055 -0.546  -0.010 -0.648  0.076 -0.734  0.161 -0.819  0.238 -0.909  0.238 -1.030  0.238 -1.151  0.238 -1.272  0.238 -1.393  0.215 -1.459  0.129 -1.374  0.044 -1.288  -0.042 -1.202  0.047 -1.189  0.168 -1.189  0.238 -1.240  0.238 -1.361  0.238 -1.482
2#app#app18#app1878/1  -1.103 0.817  -1.103 0.977  -0.998 1.032  -0.838 1.032  -0.678 1.032  -0.673 1.187  -0.572 1.247  -0.412 1.247  -0.252 1.247  -0.092 1.247  0.068 1.247  0.186 1.205  0.186 1.045  0.186 0.885  0.186 0.725  0.186 0.565  0.186 0.405  0.044 0.387  -0.028 0.299  -0.028 0.139  -0.028 -0.021  -0.028 -0.181  0.030 -0.317  0.143 -0.430  0.286 -0.473  0.358 -0.480  0.200 -0.507  0.042 -0.533  -0.116 -0.559  -0.274 -0.585  -0.432 -0.612  -0.590 -0.638  -0.748 -0.664  -0.870 -0.688  -0.710 -0.688  -0.550 -0.688  -0.390 -0.688  -0.230 -0.688  -0.070 -0.688  0.090 -0.688  0.250 -0.688  0.410 -0.688  0.570 -0.688  0.730 -0.688  0.891 -0.688  1.051 -0.688  1.211 -0.688  1.371 -0.688  1.476 -0.743  1.476 -0.903
