2#app#app25#app2547/v  -0.546 1.060  -0.546 0.926  -0.546 0.792  -0.546 0.658  -0.546 0.524  -0.546 0.390  -0.609 0.282  -0.704 0.187  -0.725 0.062  -0.725 -0.072  -0.725 -0.206  -0.725 -0.340  -0.725 -0.474  -0.725 -0.608  -0.725 -0.742  -0.725 -0.876  -0.725 -1.010  -0.725 -1.144  -0.711 -1.264  -0.577 -1.264  -0.474 -1.192  -0.379 -1.097  -0.367 -0.968  -0.294 -0.907  -0.169 -0.887  -0.074 -0.792  -0.010 -0.685  -0.010 -0.551  0.050 -0.431  0.110 -0.311  0.170 -0.191  0.264 -0.096  0.348 0.003  0.348 0.137  0.348 0.271  0.408 0.345  0.527 0.360  0.527 0.494  0.527 0.628  0.587 0.702  0.706 0.717  0.706 0.851  0.779 0.808  0.874 0.713  0.969 0.787  1.064 0.881  1.198 0.881  1.332 0.881  1.466 0.881  1.600 0.881
2#app#app25#app2547/e  -0.495 0.153  -0.495 -0.021  -0.321 -0.021  -0.147 -0.021  0.027 -0.021  0.201 -0.021  0.375 -0.021  0.549 -0.021  0.723 -0.021  0.896 -0.018  1.019 0.105  1.142 0.228  1.240 0.362  1.240 0.536  1.203 0.673  1.066 0.710  1.028 0.846  0.854 0.846  0.680 0.846  0.506 0.846  0.344 0.875  0.221 0.998  0.056 1.020  -0.076 0.919  -0.220 0.846  -0.373 0.795  -0.496 0.672  -0.619 0.549  -0.742 0.426  -0.842 0.294  -0.842 0.120  -0.875 -0.021  -1.016 -0.054  -1.050 -0.194  -1.189 -0.229  -1.189 -0.403  -1.153 -0.541  -0.990 -0.567  -0.867 -0.690  -0.703 -0.715  -0.570 -0.813  -0.427 -0.888  -0.273 -0.937  -0.150 -1.060  0.023 -1.062  0.197 -1.062  0.371 -1.062  0.545 -1.062  0.719 -1.062  0.893 -1.062
2#app#app25#app2547/x  -1.094 1.165  -0.937 1.204  -0.937 1.244  -0.821 1.165  -0.624 1.165  -0.622 0.971  -0.547 0.850  -0.351 0.850  -0.199 0.742  -0.061 0.603  0.078 0.464  0.164 0.304  0.164 0.108  0.164 -0.089  0.188 -0.275  0.321 -0.416  0.289 -0.598  0.164 -0.743  0.164 -0.939  0.262 -1.038  0.418 -1.134  0.589 -1.195  0.785 -1.195  0.981 -1.195  1.091 -1.128  1.044 -0.938  0.996 -0.747  0.949 -0.557  0.901 -0.367  0.853 -0.176  0.806 0.014  0.758 0.204  0.711 0.395  0.663 0.585  0.551 0.693  0.355 0.693  0.207 0.578  0.028 0.535  -0.011 0.378  -0.191 0.338  -0.308 0.191  -0.357 0.015  -0.508 -0.094  -0.622 -0.175  -0.743 -0.251  -0.939 -0.251  -1.094 -0.292  -1.174 -0.408  -1.252 -0.527  -1.252 -0.723
2#app#app25#app2547/i  -0.072 0.131  -0.072 0.019  -0.144 -0.063  -0.195 -0.154  -0.216 -0.257  -0.295 -0.336  -0.398 -0.358  -0.439 -0.429  -0.482 -0.523  -0.561 -0.602  -0.561 -0.714  -0.663 -0.724  -0.683 -0.816  -0.683 -0.928  -0.683 -1.040  -0.623 -1.091  -0.511 -1.091  -0.439 -1.131  -0.409 -1.213  -0.310 -1.195  -0.271 -1.090  -0.231 -0.986  -0.192 -0.881  -0.153 -0.776  -0.113 -0.671  -0.074 -0.566  -0.035 -0.461  0.004 -0.357  0.044 -0.252  0.083 -0.147  0.122 -0.042  0.162 0.063  0.201 0.167  0.240 0.272  0.280 0.377  0.319 0.482  0.358 0.587  0.398 0.692  0.437 0.796  0.476 0.901  0.515 1.006  0.555 1.111  0.594 1.216  0.633 1.320  0.673 1.425  0.712 1.530  0.751 1.635  0.763 1.720  0.651 1.720  0.539 1.720
2#app#app25#app2547/n  0.504 1.940  0.504 1.742  0.504 1.543  0.504 1.345  0.468 1.161  0.328 1.021  0.256 0.852  0.256 0.653  0.256 0.455  0.059 0.453  0.008 0.306  0.008 0.107  -0.040 -0.043  -0.239 -0.043  -0.437 -0.043  -0.487 -0.191  -0.558 -0.361  -0.698 -0.501  -0.735 -0.684  -0.832 -0.787  -0.983 -0.833  -0.983 -1.032  -1.179 -1.034  -1.085 -1.034  -0.983 -0.937  -0.935 -0.787  -0.737 -0.787  -0.735 -0.589  -0.735 -0.391  -0.637 -0.291  -0.487 -0.242  -0.487 -0.043  -0.347 0.097  -0.193 0.205  0.005 0.205  0.008 0.400  0.154 0.453  0.353 0.453  0.551 0.453  0.750 0.453  0.752 0.257  0.899 0.205  1.000 0.107  1.000 -0.091  1.000 -0.290  1.000 -0.488  1.000 -0.687  0.901 -0.787  0.752 -0.836  0.752 -1.034
2#app#app25#app2547/g  0.948 1.165  0.830 1.267  0.670 1.267  0.510 1.267  0.350 1.267  0.292 1.165  0.231 1.066  0.120 0.951  0.026 0.830  0.026 0.670  0.129 0.612  0.227 0.550  0.388 0.550  0.545 0.557  0.666 0.653  0.743 0.735  0.842 0.854  0.808 0.718  0.743 0.584  0.654 0.461  0.577 0.321  0.538 0.170  0.480 0.024  0.392 -0.108  0.279 -0.221  0.231 -0.362  0.164 -0.506  0.071 -0.634  -0.042 -0.747  -0.156 -0.861  -0.269 -0.974  -0.412 -1.015  -0.542 -1.089  -0.702 -1.089  -0.862 -1.089  -1.022 -1.089  -1.183 -1.089  -1.279 -1.062  -1.166 -0.949  -1.040 -0.853  -0.896 -0.782  -0.779 -0.679  -0.691 -0.606  -0.599 -0.484  -0.485 -0.371  -0.367 -0.269  -0.207 -0.269  -0.085 -0.176  0.071 -0.167  0.231 -0.167
2#app#app25#app2547/d  0.205 0.065  0.123 0.197  -0.092 0.197  -0.306 0.197  -0.521 0.197  -0.735 0.197  -0.921 0.129  -1.073 -0.023  -1.250 -0.087  -1.250 -0.301  -1.379 -0.462  -1.382 -0.675  -1.382 -0.890  -1.272 -0.993  -1.057 -0.993  -0.843 -0.993  -0.628 -0.993  -0.546 -0.861  -0.368 -0.773  -0.217 -0.621  -0.065 -0.470  0.087 -0.318  0.238 -0.166  0.337 0.007  0.480 0.087  0.576 0.278  0.620 0.479  0.771 0.631  0.866 0.806  0.998 0.888  1.078 1.070  1.263 1.130  1.173 1.255  1.091 1.123  0.998 1.001  0.849 0.858  0.734 0.759  0.602 0.677  0.470 0.594  0.388 0.461  0.315 0.307  0.205 0.138  0.073 0.056  0.009 -0.132  -0.060 -0.318  -0.060 -0.532  -0.042 -0.729  0.173 -0.729  0.255 -0.861  0.469 -0.861
2#app#app25#app2547/a  1.172 0.966  0.932 0.966  0.691 0.966  0.451 0.966  0.210 0.966  -0.030 0.966  -0.115 0.811  -0.296 0.751  -0.537 0.751  -0.772 0.739  -0.942 0.569  -0.974 0.342  -1.188 0.316  -1.211 0.085  -1.381 -0.085  -1.403 -0.317  -1.382 -0.536  -1.188 -0.583  -1.116 -0.751  -0.875 -0.751  -0.635 -0.751  -0.438 -0.644  -0.330 -0.449  -0.217 -0.321  0.023 -0.321  0.099 -0.157  0.234 0.028  0.441 0.108  0.528 0.261  0.707 0.322  0.743 0.527  0.759 0.751  0.957 0.709  0.957 0.469  0.864 0.322  0.623 0.322  0.528 0.177  0.357 0.108  0.117 0.108  0.091 -0.107  -0.115 -0.141  -0.115 -0.381  -0.115 -0.622  -0.037 -0.829  0.133 -0.999  0.303 -1.169  0.540 -1.180  0.780 -1.180  1.002 -1.135  1.172 -0.965
2#app#app25#app2547/f  1.242 1.320  1.069 1.320  0.896 1.320  0.723 1.320  0.590 1.220  0.552 1.063  0.414 1.028  0.363 0.905  0.276 0.819  0.154 0.767  0.138 0.611  0.138 0.438  0.138 0.264  0.261 0.215  0.296 0.077  0.414 0.021  0.414 -0.152  0.414 -0.326  0.414 -0.499  0.355 -0.614  0.276 -0.708  0.184 -0.843  0.031 -0.890  -0.001 -1.032  -0.040 -1.166  -0.213 -1.166  -0.277 -1.276  -0.421 -1.304  -0.595 -1.304  -0.691 -1.228  -0.803 -1.166  -0.967 -1.157  -0.953 -0.986  -0.899 -0.822  -0.844 -0.657  -0.789 -0.493  -0.734 -0.329  -0.679 -0.164  -0.625 0.000  -0.570 0.165  -0.515 0.329  -0.460 0.493  -0.385 0.629  -0.212 0.629  -0.038 0.629  0.135 0.629  0.276 0.597  0.343 0.491  0.517 0.491  0.690 0.491
2#app#app25#app2547/t  1.157 1.182  0.958 1.182  0.770 1.157  0.629 1.016  0.437 1.000  0.423 0.810  0.282 0.669  0.141 0.529  -0.028 0.456  -0.114 0.343  -0.206 0.182  -0.347 0.041  -0.477 -0.104  -0.477 -0.303  -0.477 -0.502  -0.524 -0.682  -0.658 -0.825  -0.658 -1.024  -0.614 -1.179  -0.415 -1.179  -0.239 -1.235  -0.092 -1.360  0.107 -1.360  0.306 -1.360  0.505 -1.360  0.704 -1.360  0.732 -1.271  0.619 -1.107  0.506 -0.943  0.392 -0.780  0.279 -0.616  0.166 -0.452  0.053 -0.289  -0.061 -0.125  -0.174 0.039  -0.287 0.202  -0.401 0.366  -0.514 0.529  -0.627 0.693  -0.741 0.857  -0.815 1.000  -0.658 0.958  -0.599 0.819  -0.400 0.819  -0.201 0.819  -0.002 0.819  0.197 0.819  0.396 0.819  0.431 0.655  0.613 0.637
2#app#app25#app2547/j  0.609 0.757  0.580 0.627  0.507 0.514  0.507 0.371  0.421 0.264  0.405 0.128  0.405 -0.015  0.305 -0.057  0.304 -0.198  0.223 -0.260  0.202 -0.382  0.202 -0.525  0.130 -0.638  0.100 -0.768  -0.000 -0.869  -0.103 -0.910  -0.183 -0.972  -0.224 -1.074  -0.367 -1.074  -0.480 -1.146  -0.610 -1.176  -0.753 -1.176  -0.896 -1.176  -0.917 -1.055  -0.917 -0.912  -0.917 -0.769  -0.817 -0.668  -0.674 -0.667  -0.532 -0.667  -0.456 -0.559  -0.392 -0.431  -0.328 -0.303  -0.265 -0.176  -0.201 -0.048  -0.137 0.080  -0.073 0.207  -0.009 0.335  0.055 0.463  0.118 0.590  0.182 0.718  0.246 0.846  0.310 0.973  0.374 1.101  0.437 1.229  0.501 1.356  0.565 1.484  0.629 1.612  0.693 1.739  0.638 1.702  0.609 1.571
