2#app#app25#app2575/!  0.598 1.941  0.598 1.826  0.538 1.735  0.457 1.654  0.452 1.541  0.452 1.426  0.452 1.310  0.452 1.195  0.452 1.080  0.351 1.066  0.306 0.996  0.306 0.881  0.306 0.766  0.306 0.650  0.306 0.535  0.243 0.483  0.128 0.483  0.015 0.482  0.015 0.366  -0.009 0.255  -0.041 0.144  -0.072 0.033  -0.104 -0.077  -0.135 -0.188  -0.167 -0.299  -0.199 -0.409  -0.230 -0.520  -0.262 -0.631  -0.338 -0.683  -0.423 -0.713  -0.423 -0.828  -0.423 -0.943  -0.506 -0.975  -0.568 -1.028  -0.546 -1.120  -0.431 -1.120  -0.316 -1.120  -0.200 -1.120  -0.085 -1.120  0.015 -1.105  0.015 -0.990  0.015 -0.875  0.015 -0.760  0.015 -0.645  0.007 -0.537  -0.108 -0.537  -0.223 -0.537  -0.277 -0.599  -0.307 -0.683  -0.423 -0.683
2#app#app25#app2575/@  0.625 0.139  0.465 0.278  0.306 0.416  0.049 0.458  -0.173 0.383  -0.388 0.299  -0.527 0.139  -0.665 -0.021  -0.812 -0.172  -0.812 -0.471  -0.543 -0.500  -0.311 -0.660  -0.172 -0.819  -0.014 -0.679  0.146 -0.447  0.306 -0.308  0.465 -0.170  0.316 -0.021  0.306 -0.309  0.146 -0.448  0.232 -0.660  0.512 -0.613  0.625 -0.362  0.836 -0.181  0.945 0.009  1.064 0.258  1.104 0.540  1.147 0.820  1.264 1.070  1.152 1.257  0.854 1.257  0.555 1.257  0.257 1.257  -0.042 1.257  -0.180 1.097  -0.479 1.097  -0.618 0.937  -0.726 0.704  -0.824 0.447  -0.972 0.210  -0.972 -0.089  -0.972 -0.387  -0.990 -0.678  -1.132 -0.918  -0.961 -1.139  -0.662 -1.139  -0.364 -1.139  -0.065 -1.139  0.233 -1.139  0.465 -0.979
2#app#app25#app2575/#  0.152 1.584  -0.157 1.275  -0.346 0.917  -0.528 0.655  -0.653 0.270  -0.731 -0.115  -0.868 -0.415  -1.078 -0.665  -1.143 -0.914  -0.799 -0.644  -0.456 -0.374  -0.113 -0.104  0.231 0.165  0.574 0.435  0.918 0.705  1.057 0.904  0.972 0.535  0.784 0.177  0.491 -0.139  0.322 -0.505  0.152 -0.871  0.042 -1.001  -0.235 -0.663  -0.511 -0.325  -0.788 0.013  -1.064 0.351  -1.341 0.689  -1.000 0.734  -0.563 0.734  -0.194 0.570  0.240 0.564  0.507 0.394  0.774 0.225  1.171 0.185  1.477 0.055  1.788 0.048  1.354 0.002  0.920 -0.043  0.485 -0.089  0.051 -0.135  -0.383 -0.181  -0.817 -0.226  -1.252 -0.272  -1.068 -0.285  -0.651 -0.333  -0.335 -0.625  0.066 -0.710  0.468 -0.795  0.904 -0.795  1.171 -0.965
2#app#app25#app2575/$  0.034 2.086  0.034 1.811  0.034 1.535  0.034 1.260  0.034 0.985  0.034 0.709  0.034 0.434  0.034 0.159  0.034 -0.117  0.034 -0.392  0.034 -0.668  -0.097 -0.889  -0.169 -1.134  -0.157 -1.326  -0.076 -1.063  0.005 -0.800  0.086 -0.537  0.167 -0.273  0.248 -0.010  0.329 0.253  0.410 0.516  0.491 0.779  0.572 1.043  0.609 1.274  0.334 1.274  0.237 1.095  -0.014 1.070  -0.289 1.070  -0.373 0.879  -0.373 0.725  -0.373 0.734  -0.373 0.459  -0.373 0.183  -0.226 0.055  -0.153 -0.148  0.034 -0.236  0.194 -0.351  0.461 -0.372  0.643 -0.572  0.553 -0.758  0.440 -0.920  0.237 -0.992  0.133 -1.164  0.034 -1.340  -0.214 -1.367  -0.373 -1.250  -0.562 -1.164  -0.634 -0.961  -0.779 -0.830  -0.982 -0.758
2#app#app25#app2575/%  0.176 1.209  -0.054 1.209  -0.232 1.082  -0.456 1.069  -0.666 1.049  -0.666 0.819  -0.607 0.648  -0.377 0.648  -0.245 0.745  -0.113 0.920  0.036 1.007  0.204 1.069  0.434 1.069  0.664 1.069  0.878 1.052  0.983 0.928  0.963 0.788  0.775 0.685  0.712 0.482  0.529 0.367  0.345 0.256  0.147 0.142  -0.039 0.012  -0.241 -0.054  -0.446 -0.115  -0.643 -0.194  -0.733 -0.335  -0.917 -0.445  -1.087 -0.523  -0.952 -0.642  -0.727 -0.687  -0.501 -0.732  -0.497 -0.756  -0.569 -0.939  -0.574 -1.036  -0.484 -1.177  -0.254 -1.177  -0.164 -1.317  0.066 -1.317  0.296 -1.317  0.464 -1.169  0.597 -0.994  0.729 -0.896  0.737 -0.674  0.737 -0.444  0.737 -0.214  0.527 -0.194  0.297 -0.194  0.176 -0.303  0.036 -0.475
2#app#app25#app2575/^  -1.319 -1.011  -1.319 -0.898  -1.319 -0.786  -1.254 -0.739  -1.142 -0.739  -1.047 -0.721  -1.047 -0.609  -1.047 -0.497  -0.965 -0.467  -0.852 -0.467  -0.776 -0.431  -0.776 -0.319  -0.776 -0.207  -0.776 -0.095  -0.776 0.018  -0.738 0.114  -0.658 0.194  -0.579 0.273  -0.498 0.348  -0.386 0.348  -0.273 0.348  -0.182 0.398  -0.103 0.478  -0.023 0.557  0.063 0.620  0.175 0.620  0.288 0.620  0.374 0.683  0.453 0.762  0.533 0.841  0.624 0.892  0.736 0.892  0.849 0.892  0.855 0.786  0.855 0.673  0.855 0.561  0.855 0.449  0.855 0.337  0.855 0.224  0.855 0.112  0.855 -0.000  0.855 -0.112  0.855 -0.225  0.855 -0.337  0.855 -0.449  0.855 -0.562  0.855 -0.674  0.855 -0.786  0.855 -0.898  0.855 -1.011
2#app#app25#app2575/&  0.217 -1.695  0.217 -1.502  0.217 -1.308  0.217 -1.114  0.099 -1.038  0.086 -0.859  0.086 -0.665  0.086 -0.472  0.086 -0.278  0.086 -0.084  0.086 0.109  0.086 0.303  0.086 0.496  0.086 0.690  0.086 0.883  0.086 1.077  0.162 1.194  0.222 1.331  0.359 1.467  0.502 1.588  0.696 1.588  0.742 1.441  0.742 1.247  0.736 1.057  0.611 0.915  0.532 0.800  0.470 0.669  0.297 0.618  0.217 0.458  0.086 0.395  0.013 0.275  -0.181 0.275  -0.308 0.209  -0.399 0.053  -0.571 0.007  -0.638 -0.119  -0.702 -0.248  -0.834 -0.311  -0.834 -0.504  -0.965 -0.566  -0.965 -0.760  -0.839 -0.901  -0.648 -0.907  -0.571 -1.023  -0.400 -1.012  -0.239 -0.905  -0.078 -0.798  0.104 -0.738  0.292 -0.691  0.480 -0.644
2#app#app25#app2575/*  0.317 1.622  0.317 1.174  0.074 0.969  0.074 0.521  0.074 0.073  -0.169 -0.132  -0.169 -0.580  -0.169 -1.029  -0.169 -1.477  -0.413 -1.682  -0.553 -1.467  -0.735 -1.058  -0.917 -0.648  -1.099 -0.239  -1.281 0.171  -1.195 0.406  -0.747 0.406  -0.298 0.406  0.150 0.406  0.355 0.162  0.803 0.162  1.047 -0.184  1.290 -0.259  1.510 -0.068  1.118 0.150  0.727 0.367  0.335 0.585  -0.057 0.803  -0.449 1.020  -0.656 0.925  -0.483 0.649  -0.413 0.272  -0.345 -0.148  -0.028 -0.465  0.117 -0.854  0.482 -1.054  0.601 -0.686  0.651 -0.241  0.700 0.205  0.750 0.650  0.799 1.095  0.804 0.728  0.560 0.523  0.229 0.406  0.024 0.162  -0.180 -0.081  -0.565 -0.233  -0.733 -0.567  -0.938 -0.811  -1.143 -1.054
2#app#app25#app2575/(  0.954 1.368  0.867 1.368  0.814 1.334  0.814 1.247  0.765 1.180  0.704 1.118  0.629 1.088  0.542 1.088  0.477 1.032  0.416 0.970  0.354 0.909  0.292 0.847  0.253 0.776  0.253 0.689  0.187 0.667  0.113 0.655  0.113 0.567  0.066 0.527  -0.022 0.527  -0.085 0.470  -0.147 0.408  -0.168 0.329  -0.172 0.246  -0.259 0.246  -0.308 0.208  -0.308 0.121  -0.308 0.033  -0.308 -0.054  -0.308 -0.141  -0.346 -0.213  -0.408 -0.274  -0.448 -0.345  -0.448 -0.432  -0.448 -0.519  -0.448 -0.606  -0.448 -0.694  -0.448 -0.781  -0.448 -0.868  -0.392 -0.932  -0.330 -0.994  -0.308 -1.072  -0.305 -1.156  -0.218 -1.156  -0.168 -1.193  -0.168 -1.281  -0.168 -1.368  -0.149 -1.436  -0.062 -1.436  -0.028 -1.489  -0.028 -1.577
2#app#app25#app2575/)  -0.201 1.554  -0.119 1.554  -0.036 1.554  0.046 1.554  0.079 1.505  0.079 1.422  0.079 1.340  0.079 1.257  0.079 1.175  0.108 1.104  0.167 1.046  0.219 0.985  0.219 0.903  0.219 0.820  0.219 0.738  0.219 0.655  0.219 0.573  0.219 0.490  0.219 0.408  0.219 0.325  0.219 0.242  0.219 0.160  0.219 0.077  0.219 -0.005  0.219 -0.088  0.219 -0.170  0.219 -0.253  0.219 -0.335  0.219 -0.418  0.219 -0.500  0.186 -0.550  0.104 -0.550  0.079 -0.607  0.079 -0.690  0.021 -0.748  -0.038 -0.807  -0.061 -0.879  -0.061 -0.962  -0.135 -0.970  -0.201 -0.987  -0.201 -1.069  -0.243 -1.111  -0.325 -1.111  -0.408 -1.111  -0.482 -1.119  -0.482 -1.201  -0.515 -1.251  -0.597 -1.251  -0.622 -1.309  -0.622 -1.391
2#app#app25#app2575/`  -0.552 1.693  -0.552 1.602  -0.552 1.510  -0.552 1.418  -0.552 1.327  -0.552 1.235  -0.552 1.144  -0.552 1.052  -0.552 0.960  -0.552 0.869  -0.552 0.777  -0.552 0.685  -0.552 0.594  -0.552 0.502  -0.552 0.410  -0.460 0.410  -0.368 0.410  -0.277 0.410  -0.185 0.410  -0.093 0.410  -0.002 0.410  0.090 0.410  0.090 0.319  0.090 0.227  0.090 0.136  0.090 0.044  0.090 -0.048  0.090 -0.139  0.090 -0.231  0.090 -0.323  0.090 -0.414  0.090 -0.506  0.090 -0.597  0.090 -0.689  0.090 -0.781  0.090 -0.872  0.181 -0.872  0.273 -0.872  0.365 -0.872  0.456 -0.872  0.548 -0.872  0.640 -0.872  0.731 -0.872  0.731 -0.964  0.731 -1.056  0.731 -1.147  0.731 -1.239  0.731 -1.330  0.731 -1.422  0.731 -1.514
