2#app#app31#app3152/[  1.052 0.965  1.052 1.092  0.927 1.094  0.924 1.218  0.801 1.222  0.796 1.100  0.675 1.094  0.667 0.975  0.550 0.965  0.457 0.883  0.349 0.837  0.222 0.837  0.112 0.795  0.021 0.709  -0.105 0.709  -0.231 0.707  -0.231 0.580  -0.358 0.580  -0.485 0.580  -0.612 0.580  -0.492 0.580  -0.487 0.458  -0.487 0.332  -0.487 0.205  -0.487 0.078  -0.487 -0.049  -0.487 -0.176  -0.568 -0.270  -0.615 -0.377  -0.615 -0.504  -0.656 -0.614  -0.744 -0.704  -0.744 -0.831  -0.744 -0.958  -0.744 -1.085  -0.619 -1.087  -0.492 -1.087  -0.365 -1.087  -0.238 -1.087  -0.146 -1.002  -0.037 -0.959  0.071 -0.914  0.164 -0.830  0.291 -0.830  0.417 -0.830  0.539 -0.825  0.543 -0.702  0.667 -0.705  0.669 -0.830  0.796 -0.830
2#app#app31#app3152/(  0.571 1.451  0.479 1.451  0.411 1.427  0.411 1.335  0.363 1.291  0.270 1.291  0.178 1.291  0.092 1.286  0.092 1.194  0.070 1.110  0.005 1.045  -0.060 0.980  -0.068 0.891  -0.077 0.803  -0.143 0.737  -0.208 0.672  -0.228 0.589  -0.228 0.496  -0.228 0.404  -0.248 0.332  -0.340 0.332  -0.388 0.288  -0.388 0.195  -0.388 0.103  -0.388 0.011  -0.388 -0.081  -0.388 -0.173  -0.388 -0.266  -0.388 -0.358  -0.388 -0.450  -0.388 -0.542  -0.388 -0.634  -0.388 -0.727  -0.367 -0.810  -0.301 -0.875  -0.236 -0.940  -0.147 -0.948  -0.068 -0.961  -0.068 -1.054  -0.031 -1.108  0.062 -1.108  0.154 -1.108  0.246 -1.108  0.338 -1.108  0.430 -1.108  0.523 -1.108  0.615 -1.108  0.707 -1.108  0.799 -1.108  0.891 -1.108
2#app#app31#app3152/1  0.280 1.519  0.280 1.446  0.280 1.372  0.280 1.299  0.280 1.225  0.240 1.192  0.167 1.192  0.093 1.192  0.020 1.192  -0.047 1.185  -0.047 1.112  -0.047 1.038  -0.047 0.965  -0.047 0.892  -0.047 0.818  -0.047 0.745  -0.047 0.671  -0.047 0.598  -0.047 0.524  -0.047 0.451  -0.047 0.377  -0.047 0.304  -0.047 0.231  -0.047 0.157  -0.047 0.084  -0.047 0.010  -0.047 -0.063  -0.047 -0.137  -0.047 -0.210  -0.047 -0.284  -0.047 -0.357  -0.047 -0.431  -0.047 -0.504  -0.047 -0.577  -0.047 -0.651  -0.047 -0.724  -0.047 -0.798  -0.047 -0.871  -0.047 -0.945  -0.047 -1.018  -0.047 -1.092  -0.047 -1.165  -0.047 -1.239  -0.047 -1.312  -0.047 -1.385  -0.047 -1.459  -0.047 -1.532  -0.047 -1.606  -0.047 -1.679  -0.047 -1.753
2#app#app31#app3152/)  -0.503 1.469  -0.425 1.469  -0.378 1.437  -0.378 1.358  -0.315 1.344  -0.241 1.332  -0.186 1.276  -0.130 1.221  -0.075 1.165  -0.020 1.110  -0.003 1.038  0.003 0.962  0.058 0.907  0.114 0.852  0.122 0.776  0.136 0.704  0.192 0.649  0.247 0.593  0.247 0.515  0.247 0.436  0.247 0.358  0.247 0.280  0.247 0.201  0.247 0.123  0.247 0.044  0.247 -0.034  0.247 -0.112  0.232 -0.187  0.197 -0.257  0.162 -0.328  0.127 -0.398  0.122 -0.475  0.122 -0.553  0.122 -0.632  0.084 -0.695  0.029 -0.750  -0.003 -0.815  -0.003 -0.894  -0.003 -0.972  -0.003 -1.050  -0.003 -1.129  -0.038 -1.193  -0.094 -1.248  -0.158 -1.282  -0.236 -1.282  -0.253 -1.344  -0.253 -1.422  -0.253 -1.501  -0.207 -1.532  -0.128 -1.532
2#app#app31#app3152/(  0.143 1.690  0.143 1.603  0.118 1.527  0.057 1.466  -0.004 1.405  -0.065 1.343  -0.127 1.282  -0.133 1.198  -0.151 1.119  -0.213 1.058  -0.271 0.996  -0.271 0.910  -0.271 0.823  -0.271 0.737  -0.323 0.672  -0.384 0.610  -0.409 0.534  -0.409 0.448  -0.409 0.361  -0.409 0.275  -0.409 0.188  -0.409 0.102  -0.409 0.015  -0.409 -0.071  -0.409 -0.158  -0.407 -0.244  -0.346 -0.305  -0.285 -0.366  -0.271 -0.447  -0.260 -0.529  -0.199 -0.590  -0.138 -0.651  -0.133 -0.736  -0.105 -0.794  -0.018 -0.794  0.068 -0.794  0.143 -0.806  0.143 -0.892  0.190 -0.932  0.276 -0.932  0.354 -0.969  0.431 -1.007  0.509 -1.046  0.590 -1.070  0.676 -1.070  0.763 -1.070  0.849 -1.070  0.936 -1.070  0.971 -1.018  0.971 -0.932
2#app#app31#app3152/2  -0.957 1.378  -0.856 1.277  -0.756 1.177  -0.641 1.110  -0.499 1.110  -0.357 1.110  -0.215 1.110  -0.073 1.110  0.070 1.110  0.182 1.040  0.283 0.939  0.379 0.837  0.379 0.695  0.362 0.559  0.262 0.459  0.161 0.358  0.061 0.258  -0.040 0.157  -0.140 0.057  -0.276 0.042  -0.418 0.042  -0.423 -0.096  -0.436 -0.225  -0.578 -0.225  -0.711 -0.247  -0.812 -0.347  -0.912 -0.448  -0.957 -0.571  -0.957 -0.713  -0.861 -0.760  -0.719 -0.760  -0.577 -0.760  -0.435 -0.760  -0.293 -0.760  -0.150 -0.760  -0.008 -0.760  0.134 -0.760  0.276 -0.760  0.379 -0.720  0.379 -0.578  0.435 -0.493  0.578 -0.493  0.720 -0.493  0.862 -0.493  1.004 -0.493  1.146 -0.493  1.288 -0.493  1.430 -0.493  1.573 -0.493  1.715 -0.493
2#app#app31#app3152/)  -0.493 1.424  -0.418 1.424  -0.343 1.424  -0.269 1.424  -0.206 1.394  -0.153 1.341  -0.100 1.288  -0.047 1.235  0.006 1.182  0.022 1.114  0.022 1.039  0.074 0.985  0.127 0.932  0.151 0.868  0.151 0.793  0.151 0.718  0.151 0.643  0.151 0.568  0.151 0.493  0.151 0.418  0.151 0.343  0.151 0.268  0.151 0.194  0.151 0.119  0.151 0.044  0.151 -0.031  0.151 -0.106  0.151 -0.181  0.151 -0.256  0.151 -0.331  0.151 -0.406  0.151 -0.481  0.151 -0.555  0.151 -0.630  0.103 -0.686  0.050 -0.739  0.022 -0.802  0.022 -0.877  0.022 -0.952  0.021 -1.026  -0.032 -1.079  -0.085 -1.132  -0.107 -1.198  -0.107 -1.273  -0.153 -1.328  -0.206 -1.381  -0.236 -1.444  -0.236 -1.519  -0.236 -1.594  -0.236 -1.669
2#app#app31#app3152/(  0.563 1.602  0.507 1.546  0.451 1.490  0.395 1.434  0.339 1.378  0.283 1.322  0.273 1.247  0.273 1.168  0.218 1.112  0.162 1.056  0.106 1.000  0.050 0.943  -0.006 0.887  -0.018 0.813  -0.018 0.734  -0.018 0.654  -0.025 0.578  -0.081 0.522  -0.137 0.466  -0.163 0.398  -0.163 0.318  -0.163 0.239  -0.163 0.160  -0.212 0.101  -0.268 0.045  -0.308 -0.018  -0.308 -0.097  -0.308 -0.176  -0.308 -0.255  -0.308 -0.335  -0.308 -0.414  -0.308 -0.493  -0.308 -0.572  -0.308 -0.652  -0.308 -0.731  -0.308 -0.810  -0.293 -0.883  -0.237 -0.939  -0.181 -0.995  -0.125 -1.051  -0.069 -1.107  -0.013 -1.163  0.043 -1.219  0.099 -1.275  0.167 -1.303  0.246 -1.303  0.326 -1.303  0.405 -1.303  0.418 -1.369  0.418 -1.448
2#app#app31#app3152/3  -0.526 1.435  -0.526 1.285  -0.436 1.226  -0.286 1.226  -0.137 1.226  0.013 1.226  0.162 1.226  0.309 1.224  0.309 1.074  0.309 0.925  0.276 0.808  0.127 0.808  -0.022 0.808  -0.153 0.763  -0.259 0.658  -0.365 0.552  -0.470 0.446  -0.597 0.391  -0.723 0.391  -0.574 0.391  -0.526 0.289  -0.484 0.182  -0.334 0.182  -0.185 0.182  -0.035 0.182  0.110 0.172  0.216 0.067  0.326 -0.027  0.476 -0.027  0.625 -0.027  0.727 -0.075  0.727 -0.224  0.727 -0.374  0.727 -0.523  0.708 -0.653  0.558 -0.653  0.518 -0.763  0.468 -0.862  0.319 -0.862  0.210 -0.961  0.105 -1.067  -0.043 -1.071  -0.168 -1.130  -0.274 -1.236  -0.317 -1.368  -0.346 -1.488  -0.495 -1.488  -0.407 -1.488  -0.258 -1.488  -0.108 -1.488
2#app#app31#app3152/)  -0.299 1.688  -0.299 1.612  -0.299 1.536  -0.299 1.459  -0.245 1.405  -0.191 1.351  -0.184 1.277  -0.184 1.201  -0.184 1.125  -0.136 1.068  -0.082 1.014  -0.070 0.943  -0.061 0.869  -0.027 0.800  0.008 0.732  0.042 0.664  0.044 0.588  0.055 0.513  0.079 0.441  0.103 0.368  0.127 0.296  0.151 0.223  0.159 0.148  0.159 0.072  0.159 -0.005  0.196 -0.065  0.250 -0.119  0.273 -0.186  0.273 -0.263  0.273 -0.339  0.273 -0.415  0.273 -0.492  0.273 -0.568  0.273 -0.645  0.269 -0.719  0.215 -0.773  0.161 -0.827  0.159 -0.903  0.133 -0.969  0.079 -1.023  0.025 -1.077  -0.029 -1.131  -0.083 -1.185  -0.137 -1.239  -0.184 -1.295  -0.184 -1.372  -0.232 -1.401  -0.305 -1.407  -0.359 -1.461  -0.413 -1.515
2#app#app31#app3152/(  0.430 1.554  0.430 1.476  0.418 1.411  0.340 1.411  0.287 1.387  0.287 1.309  0.261 1.242  0.206 1.187  0.151 1.132  0.096 1.077  0.041 1.022  -0.000 0.961  -0.000 0.884  -0.014 0.809  -0.049 0.740  -0.084 0.670  -0.118 0.601  -0.159 0.535  -0.213 0.480  -0.268 0.425  -0.287 0.355  -0.287 0.277  -0.287 0.200  -0.287 0.122  -0.287 0.044  -0.287 -0.033  -0.287 -0.111  -0.287 -0.189  -0.287 -0.267  -0.287 -0.344  -0.287 -0.422  -0.287 -0.500  -0.287 -0.578  -0.287 -0.655  -0.287 -0.733  -0.238 -0.790  -0.183 -0.845  -0.128 -0.900  -0.073 -0.955  -0.018 -1.010  0.037 -1.065  0.092 -1.120  0.147 -1.175  0.202 -1.230  0.257 -1.285  0.312 -1.340  0.367 -1.395  0.422 -1.450  0.496 -1.458  0.574 -1.458
