2#app#app32#app3230/f  0.437 1.044  0.437 1.188  0.437 1.333  0.437 1.477  0.388 1.573  0.273 1.630  0.128 1.630  0.016 1.552  -0.051 1.435  -0.101 1.303  -0.101 1.158  -0.101 1.014  -0.101 0.869  -0.101 0.725  -0.101 0.580  -0.101 0.436  -0.101 0.291  -0.101 0.147  -0.052 0.014  -0.051 -0.131  -0.003 -0.255  0.020 -0.396  0.046 -0.536  0.046 -0.681  0.046 -0.825  0.046 -0.970  0.046 -1.114  0.046 -1.259  0.046 -1.403  0.046 -1.548  0.046 -1.692  0.011 -1.558  -0.025 -1.418  -0.061 -1.278  -0.097 -1.138  -0.133 -0.998  -0.169 -0.858  -0.205 -0.718  -0.241 -0.578  -0.277 -0.438  -0.313 -0.298  -0.349 -0.158  -0.385 -0.018  -0.334 -0.032  -0.207 0.008  -0.088 0.072  0.047 0.115  0.176 0.180  0.293 0.261  0.437 0.261
2#app#app32#app3230/e  -0.622 0.006  -0.478 0.006  -0.333 0.006  -0.231 0.108  -0.104 0.150  0.040 0.150  0.184 0.150  0.329 0.150  0.448 0.091  0.534 0.029  0.534 0.174  0.534 0.318  0.534 0.462  0.534 0.607  0.534 0.751  0.534 0.895  0.534 1.040  0.511 1.161  0.389 1.184  0.366 1.306  0.222 1.306  0.084 1.290  -0.018 1.188  -0.151 1.161  -0.189 1.054  -0.236 0.921  -0.301 0.792  -0.384 0.677  -0.478 0.571  -0.478 0.427  -0.478 0.282  -0.478 0.138  -0.478 -0.006  -0.478 -0.151  -0.478 -0.295  -0.478 -0.439  -0.478 -0.584  -0.469 -0.725  -0.367 -0.827  -0.333 -0.957  -0.265 -1.073  -0.163 -1.175  -0.061 -1.277  -0.044 -1.415  0.076 -1.439  0.185 -1.524  0.305 -1.583  0.432 -1.626  0.534 -1.728  0.678 -1.728
2#app#app32#app3230/w  -1.098 0.614  -1.201 0.723  -1.201 0.765  -1.128 0.643  -1.098 0.504  -1.098 0.351  -1.051 0.210  -0.983 0.074  -0.915 -0.062  -0.892 -0.208  -0.859 -0.347  -0.789 -0.470  -0.789 -0.622  -0.742 -0.727  -0.590 -0.727  -0.553 -0.594  -0.479 -0.473  -0.479 -0.321  -0.376 -0.211  -0.342 -0.074  -0.273 0.050  -0.273 0.202  -0.273 0.354  -0.273 0.309  -0.273 0.157  -0.273 0.005  -0.273 -0.148  -0.211 -0.274  -0.075 -0.314  -0.038 -0.446  0.083 -0.521  0.207 -0.588  0.345 -0.624  0.497 -0.624  0.649 -0.624  0.785 -0.559  0.909 -0.473  1.016 -0.366  1.124 -0.258  1.257 -0.211  1.274 -0.077  1.274 0.075  1.274 0.228  1.274 0.380  1.267 0.531  1.219 0.675  1.171 0.819  1.137 0.957  1.068 1.081  1.068 1.233
2#app#app32#app3230/q  0.128 0.291  0.205 0.404  0.205 0.549  0.205 0.694  0.205 0.840  0.205 0.985  0.205 1.130  0.205 1.275  0.152 1.368  0.007 1.368  -0.051 1.265  -0.154 1.163  -0.228 1.040  -0.315 0.925  -0.387 0.800  -0.475 0.688  -0.564 0.579  -0.569 0.435  -0.634 0.305  -0.641 0.162  -0.641 0.017  -0.530 -0.017  -0.385 -0.017  -0.267 0.050  -0.180 0.114  -0.071 0.169  -0.021 0.291  0.102 0.342  0.160 0.444  0.229 0.521  0.282 0.429  0.282 0.284  0.282 0.139  0.282 -0.006  0.282 -0.152  0.282 -0.297  0.282 -0.442  0.268 -0.584  0.205 -0.714  0.205 -0.859  0.205 -1.005  0.205 -1.150  0.171 -1.281  0.128 -1.408  0.128 -1.554  0.128 -1.699  0.051 -1.812  0.051 -1.957  0.060 -2.094  0.128 -2.017
2#app#app32#app3230/u  -0.717 0.935  -0.717 1.054  -0.717 0.983  -0.717 0.864  -0.717 0.746  -0.717 0.627  -0.717 0.508  -0.717 0.390  -0.717 0.271  -0.717 0.153  -0.717 0.034  -0.717 -0.085  -0.717 -0.203  -0.717 -0.322  -0.717 -0.441  -0.668 -0.539  -0.584 -0.623  -0.574 -0.738  -0.574 -0.856  -0.574 -0.975  -0.541 -1.061  -0.423 -1.061  -0.304 -1.061  -0.289 -0.957  -0.209 -0.918  -0.091 -0.918  -0.004 -0.886  0.004 -0.776  0.123 -0.776  0.184 -0.684  0.238 -0.578  0.296 -0.475  0.380 -0.392  0.424 -0.291  0.447 -0.182  0.531 -0.098  0.597 -0.001  0.650 0.105  0.703 0.211  0.784 0.297  0.862 0.385  0.915 0.491  0.968 0.598  0.994 0.710  0.994 0.829  1.002 0.944  1.086 1.028  1.136 1.126  1.136 1.244  1.136 1.363
2#app#app32#app3230/i  0.108 0.338  0.108 0.223  0.108 0.108  0.029 0.026  -0.036 -0.067  -0.087 -0.169  -0.124 -0.276  -0.124 -0.390  -0.124 -0.505  -0.145 -0.611  -0.226 -0.692  -0.239 -0.801  -0.239 -0.916  -0.239 -1.031  -0.239 -1.146  -0.239 -1.260  -0.239 -1.375  -0.239 -1.490  -0.225 -1.432  -0.205 -1.319  -0.186 -1.206  -0.166 -1.093  -0.147 -0.980  -0.127 -0.867  -0.108 -0.754  -0.088 -0.641  -0.069 -0.527  -0.049 -0.414  -0.030 -0.301  -0.010 -0.188  0.009 -0.075  0.029 0.038  0.048 0.151  0.068 0.264  0.087 0.377  0.107 0.490  0.126 0.603  0.146 0.717  0.165 0.830  0.185 0.943  0.204 1.056  0.224 1.169  0.243 1.282  0.263 1.395  0.282 1.508  0.302 1.621  0.321 1.734  0.338 1.845  0.224 1.846  0.224 1.961
2#app#app32#app3230/p  -0.228 0.942  -0.228 0.761  -0.233 0.581  -0.299 0.415  -0.299 0.234  -0.335 0.059  -0.370 -0.117  -0.370 -0.298  -0.370 -0.479  -0.370 -0.661  -0.370 -0.842  -0.370 -1.023  -0.370 -1.204  -0.370 -1.385  -0.370 -1.566  -0.370 -1.748  -0.363 -1.690  -0.354 -1.509  -0.344 -1.328  -0.335 -1.147  -0.325 -0.966  -0.316 -0.785  -0.306 -0.604  -0.297 -0.423  -0.287 -0.242  -0.278 -0.061  -0.268 0.120  -0.258 0.300  -0.249 0.481  -0.239 0.662  -0.230 0.843  -0.158 0.954  -0.051 1.049  0.078 1.177  0.235 1.244  0.404 1.295  0.585 1.295  0.764 1.290  0.892 1.162  0.971 1.013  0.971 0.832  0.971 0.651  0.904 0.490  0.830 0.331  0.768 0.175  0.620 0.096  0.492 -0.031  0.343 -0.109  0.164 -0.116  -0.017 -0.116
2#app#app32#app3230/s  0.015 1.243  -0.072 1.157  -0.182 1.127  -0.305 1.127  -0.400 1.061  -0.487 0.974  -0.574 0.888  -0.661 0.801  -0.764 0.738  -0.874 0.683  -0.991 0.661  -1.090 0.604  -1.149 0.506  -1.117 0.397  -1.030 0.312  -0.907 0.312  -0.785 0.312  -0.662 0.312  -0.539 0.312  -0.417 0.312  -0.294 0.312  -0.171 0.312  -0.049 0.312  0.074 0.312  0.196 0.312  0.298 0.261  0.393 0.196  0.506 0.170  0.592 0.084  0.679 -0.003  0.788 -0.037  0.886 -0.094  0.946 -0.192  0.946 -0.315  0.946 -0.438  0.946 -0.560  0.946 -0.683  0.876 -0.735  0.829 -0.812  0.771 -0.910  0.673 -0.968  0.564 -1.001  0.476 -1.085  0.356 -1.092  0.269 -1.179  0.156 -1.201  0.033 -1.201  -0.089 -1.201  -0.212 -1.201  -0.335 -1.201
2#app#app32#app3230/g  -0.190 0.381  -0.106 0.451  0.020 0.479  0.090 0.605  0.159 0.730  0.230 0.855  0.230 1.009  0.230 1.163  0.204 1.291  0.120 1.361  -0.018 1.323  -0.129 1.217  -0.266 1.146  -0.358 1.025  -0.434 0.891  -0.519 0.763  -0.618 0.646  -0.680 0.506  -0.680 0.352  -0.680 0.198  -0.623 0.101  -0.539 0.031  -0.385 0.031  -0.259 0.101  -0.175 0.171  -0.050 0.241  0.020 0.366  0.090 0.491  0.198 0.483  0.307 0.374  0.370 0.246  0.440 0.120  0.461 -0.030  0.509 -0.177  0.515 -0.329  0.580 -0.468  0.580 -0.622  0.580 -0.777  0.580 -0.931  0.534 -1.066  0.488 -1.205  0.440 -1.348  0.322 -1.429  0.184 -1.498  0.062 -1.580  -0.093 -1.580  -0.247 -1.580  -0.401 -1.580  -0.485 -1.510  -0.610 -1.440
2#app#app32#app3230/a  0.573 -0.203  0.573 -0.036  0.573 0.132  0.573 0.299  0.573 0.466  0.573 0.634  0.573 0.801  0.573 0.968  0.564 1.132  0.446 1.250  0.425 1.409  0.267 1.418  0.109 1.397  -0.009 1.279  -0.128 1.160  -0.246 1.042  -0.364 0.924  -0.474 0.799  -0.549 0.649  -0.606 0.496  -0.648 0.346  -0.766 0.227  -0.884 0.109  -0.901 -0.051  -1.017 -0.171  -1.048 -0.325  -1.048 -0.492  -1.048 -0.659  -1.014 -0.792  -0.847 -0.792  -0.679 -0.792  -0.512 -0.792  -0.345 -0.792  -0.217 -0.698  -0.071 -0.645  -0.017 -0.532  0.077 -0.404  0.195 -0.285  0.314 -0.167  0.435 -0.055  0.573 -0.085  0.573 -0.252  0.573 -0.419  0.573 -0.587  0.573 -0.754  0.573 -0.921  0.573 -1.088  0.588 -1.250  0.706 -1.368  0.720 -1.529
2#app#app32#app3230/l  0.406 1.650  0.374 1.586  0.342 1.522  0.310 1.458  0.278 1.394  0.273 1.324  0.273 1.252  0.242 1.188  0.210 1.124  0.178 1.060  0.146 0.996  0.139 0.925  0.139 0.854  0.139 0.782  0.139 0.711  0.139 0.639  0.139 0.567  0.139 0.496  0.128 0.427  0.096 0.363  0.064 0.299  0.032 0.234  0.006 0.169  0.006 0.097  0.006 0.026  0.006 -0.046  -0.017 -0.108  -0.068 -0.159  -0.118 -0.209  -0.128 -0.277  -0.128 -0.349  -0.128 -0.420  -0.128 -0.492  -0.128 -0.563  -0.128 -0.635  -0.128 -0.707  -0.136 -0.777  -0.159 -0.845  -0.181 -0.913  -0.204 -0.981  -0.227 -1.049  -0.249 -1.117  -0.261 -1.186  -0.261 -1.258  -0.261 -1.330  -0.261 -1.401  -0.261 -1.473  -0.261 -1.544  -0.261 -1.616  -0.261 -1.688
