2#app#app32#app3264/[  0.558 1.208  0.458 1.208  0.357 1.208  0.257 1.208  0.157 1.208  0.057 1.208  -0.043 1.208  -0.143 1.208  -0.243 1.208  -0.343 1.208  -0.443 1.208  -0.506 1.170  -0.506 1.070  -0.506 0.970  -0.497 0.872  -0.453 0.783  -0.408 0.693  -0.399 0.595  -0.376 0.499  -0.344 0.404  -0.312 0.309  -0.293 0.212  -0.293 0.112  -0.293 0.012  -0.293 -0.088  -0.293 -0.188  -0.288 -0.286  -0.217 -0.357  -0.187 -0.445  -0.187 -0.545  -0.155 -0.632  -0.084 -0.702  -0.080 -0.801  -0.080 -0.901  -0.080 -1.001  -0.027 -1.079  0.026 -1.157  0.046 -1.238  0.132 -1.225  0.139 -1.132  0.239 -1.131  0.329 -1.086  0.418 -1.042  0.496 -0.980  0.571 -0.919  0.669 -0.914  0.740 -0.843  0.827 -0.812  0.912 -0.777  0.983 -0.706
2#app#app32#app3264/O  -0.500 0.363  -0.500 0.496  -0.561 0.569  -0.603 0.660  -0.622 0.775  -0.755 0.775  -0.809 0.695  -0.858 0.574  -0.912 0.453  -0.912 0.320  -0.912 0.187  -0.912 0.053  -0.912 -0.080  -0.912 -0.213  -0.912 -0.346  -0.912 -0.480  -0.876 -0.598  -0.782 -0.693  -0.688 -0.787  -0.594 -0.881  -0.499 -0.975  -0.366 -0.975  -0.233 -0.975  -0.099 -0.975  0.034 -0.975  0.162 -0.952  0.281 -0.893  0.384 -0.810  0.500 -0.769  0.616 -0.711  0.727 -0.637  0.837 -0.563  0.859 -0.439  0.953 -0.344  1.043 -0.248  1.043 -0.115  1.043 0.018  1.043 0.151  1.026 0.278  0.940 0.375  0.910 0.496  0.837 0.599  0.794 0.715  0.700 0.809  0.595 0.877  0.482 0.925  0.387 1.019  0.281 1.083  0.147 1.083  0.014 1.083
2#app#app32#app3264/R  -0.628 0.542  -0.527 0.430  -0.516 0.226  -0.516 0.012  -0.516 -0.202  -0.516 -0.416  -0.516 -0.630  -0.516 -0.845  -0.516 -1.059  -0.516 -1.244  -0.516 -1.029  -0.516 -0.815  -0.516 -0.601  -0.516 -0.387  -0.516 -0.173  -0.516 0.041  -0.516 0.256  -0.516 0.470  -0.516 0.684  -0.516 0.898  -0.516 1.112  -0.439 1.294  -0.239 1.330  -0.025 1.330  0.189 1.330  0.403 1.330  0.605 1.276  0.805 1.217  0.834 1.032  0.834 0.818  0.834 0.604  0.698 0.474  0.607 0.317  0.423 0.243  0.272 0.092  0.087 0.020  -0.097 -0.052  -0.278 -0.133  -0.315 -0.133  -0.178 -0.210  -0.052 -0.372  0.100 -0.524  0.175 -0.703  0.366 -0.799  0.497 -0.956  0.626 -1.050  0.801 -1.146  0.969 -1.258  1.172 -1.269  1.284 -1.371
2#app#app32#app3264/E  -0.616 1.033  -0.732 1.149  -0.732 0.918  -0.848 0.735  -0.848 0.504  -0.848 0.273  -0.868 0.045  -0.942 -0.174  -0.964 -0.402  -0.964 -0.633  -0.853 -0.818  -0.647 -0.923  -0.536 -1.055  -0.305 -1.055  -0.073 -1.055  0.158 -1.055  0.389 -1.055  0.612 -1.020  0.824 -0.939  1.007 -0.823  1.238 -0.823  1.355 -0.708  1.471 -0.593  1.250 -0.532  1.026 -0.472  0.803 -0.413  0.580 -0.353  0.356 -0.293  0.133 -0.234  -0.090 -0.174  -0.235 -0.094  -0.038 -0.011  0.079 0.103  0.308 0.105  0.491 0.221  0.722 0.221  0.604 0.270  0.382 0.334  0.159 0.397  -0.063 0.461  -0.285 0.524  -0.508 0.588  -0.730 0.651  -0.772 0.761  -0.575 0.843  -0.387 0.973  -0.170 1.033  0.013 1.149  0.244 1.149  0.427 1.265
2#app#app32#app3264/L  0.104 1.664  0.205 1.664  0.179 1.611  0.107 1.539  0.104 1.439  0.104 1.338  0.074 1.249  0.002 1.177  -0.053 1.093  -0.098 1.003  -0.144 0.912  -0.189 0.821  -0.235 0.730  -0.280 0.640  -0.281 0.538  -0.332 0.458  -0.404 0.387  -0.409 0.287  -0.409 0.186  -0.450 0.126  -0.537 0.111  -0.537 0.010  -0.537 -0.092  -0.537 -0.193  -0.537 -0.294  -0.537 -0.396  -0.537 -0.497  -0.537 -0.599  -0.537 -0.700  -0.537 -0.802  -0.533 -0.899  -0.432 -0.899  -0.331 -0.899  -0.229 -0.899  -0.128 -0.899  -0.026 -0.899  0.075 -0.899  0.177 -0.899  0.273 -0.879  0.364 -0.834  0.455 -0.788  0.552 -0.771  0.643 -0.745  0.714 -0.673  0.803 -0.643  0.905 -0.643  1.004 -0.640  1.076 -0.568  1.156 -0.515  1.257 -0.515
2#app#app32#app3264/S  0.190 1.200  0.068 1.200  -0.054 1.200  -0.175 1.196  -0.261 1.110  -0.371 1.080  -0.469 1.022  -0.556 0.936  -0.642 0.849  -0.652 0.731  -0.762 0.719  -0.852 0.640  -0.938 0.553  -1.024 0.467  -1.111 0.381  -1.133 0.268  -1.067 0.173  -0.967 0.118  -0.845 0.118  -0.723 0.118  -0.600 0.118  -0.478 0.118  -0.356 0.118  -0.234 0.118  -0.112 0.118  0.011 0.118  0.133 0.118  0.236 0.072  0.327 -0.002  0.450 -0.002  0.566 -0.017  0.652 -0.103  0.738 -0.190  0.825 -0.276  0.911 -0.362  1.032 -0.364  1.032 -0.486  1.032 -0.609  1.026 -0.729  0.940 -0.815  0.853 -0.901  0.757 -0.964  0.645 -0.989  0.559 -1.076  0.440 -1.084  0.430 -1.196  0.316 -1.204  0.194 -1.204  0.072 -1.204  -0.051 -1.204
2#app#app32#app3264/E  -0.537 1.397  -0.537 1.185  -0.537 0.973  -0.580 0.771  -0.671 0.581  -0.671 0.370  -0.671 0.158  -0.671 -0.054  -0.671 -0.266  -0.671 -0.478  -0.671 -0.689  -0.570 -0.859  -0.420 -1.009  -0.267 -1.079  -0.139 -1.162  0.073 -1.162  0.284 -1.162  0.496 -1.162  0.708 -1.162  0.888 -1.085  0.822 -0.983  0.623 -0.910  0.424 -0.838  0.225 -0.766  0.026 -0.693  -0.173 -0.621  -0.372 -0.549  -0.499 -0.489  -0.288 -0.489  -0.132 -0.354  0.080 -0.354  0.276 -0.285  0.472 -0.220  0.684 -0.220  0.757 -0.153  0.625 0.012  0.492 0.178  0.360 0.343  0.228 0.509  0.096 0.674  -0.037 0.839  -0.169 1.005  -0.267 1.073  -0.267 1.124  -0.132 1.202  0.014 1.274  0.175 1.397  0.387 1.397  0.598 1.397  0.810 1.397
2#app#app32#app3264/{  0.294 1.520  0.178 1.520  0.067 1.509  -0.015 1.427  -0.097 1.345  -0.138 1.246  -0.185 1.149  -0.276 1.088  -0.354 1.051  -0.400 0.980  -0.462 0.927  -0.506 0.829  -0.570 0.740  -0.537 0.656  -0.462 0.616  -0.414 0.548  -0.298 0.548  -0.182 0.548  -0.066 0.548  0.050 0.548  0.166 0.548  0.254 0.480  0.336 0.398  0.402 0.310  0.402 0.194  0.402 0.078  0.402 -0.038  0.402 -0.154  0.374 -0.264  0.322 -0.367  0.256 -0.461  0.186 -0.548  0.169 -0.657  0.087 -0.739  -0.026 -0.747  -0.034 -0.855  -0.150 -0.855  -0.246 -0.875  -0.273 -0.963  -0.354 -0.999  -0.324 -1.102  -0.240 -1.179  -0.128 -1.190  -0.046 -1.272  0.064 -1.287  0.179 -1.287  0.284 -1.336  0.388 -1.388  0.502 -1.395  0.618 -1.395
2#app#app32#app3264/y  -0.268 1.202  -0.332 1.213  -0.343 1.052  -0.407 0.912  -0.418 0.751  -0.418 0.585  -0.387 0.450  -0.268 0.497  -0.161 0.600  -0.096 0.718  -0.022 0.866  0.033 1.019  0.108 1.154  0.184 1.289  0.184 1.455  0.184 1.385  0.184 1.219  0.259 1.084  0.259 0.918  0.259 0.752  0.259 0.586  0.264 0.421  0.291 0.257  0.318 0.093  0.334 -0.072  0.334 -0.238  0.334 -0.404  0.334 -0.570  0.334 -0.736  0.334 -0.902  0.334 -1.068  0.313 -1.225  0.259 -1.369  0.185 -1.504  0.144 -1.660  0.022 -1.731  -0.114 -1.659  -0.179 -1.519  -0.192 -1.359  -0.268 -1.224  -0.268 -1.058  -0.268 -0.892  -0.268 -0.726  -0.268 -0.560  -0.268 -0.394  -0.268 -0.228  -0.216 -0.071  -0.192 0.092  -0.116 0.226  -0.042 0.375
2#app#app32#app3264/o  -0.229 0.959  -0.119 0.959  -0.229 0.919  -0.270 0.787  -0.358 0.675  -0.383 0.533  -0.466 0.408  -0.549 0.284  -0.618 0.156  -0.618 0.007  -0.646 -0.136  -0.713 -0.269  -0.748 -0.411  -0.748 -0.560  -0.748 -0.709  -0.747 -0.858  -0.641 -0.964  -0.618 -1.103  -0.488 -1.123  -0.462 -1.246  -0.313 -1.246  -0.164 -1.246  -0.015 -1.246  0.135 -1.246  0.248 -1.159  0.353 -1.053  0.459 -0.948  0.549 -0.836  0.578 -0.699  0.679 -0.591  0.698 -0.450  0.803 -0.344  0.809 -0.197  0.809 -0.048  0.809 0.102  0.809 0.251  0.809 0.400  0.809 0.549  0.718 0.661  0.679 0.794  0.598 0.910  0.493 1.015  0.373 1.088  0.224 1.088  0.075 1.088  -0.074 1.088  -0.224 1.088  -0.369 1.078  -0.474 0.972  -0.488 0.829
2#app#app32#app3264/u  -1.074 0.966  -1.074 0.853  -1.032 0.751  -0.982 0.650  -0.943 0.547  -0.943 0.435  -0.943 0.323  -0.943 0.211  -0.943 0.098  -0.943 -0.014  -0.913 -0.114  -0.833 -0.193  -0.812 -0.297  -0.767 -0.390  -0.688 -0.470  -0.681 -0.579  -0.622 -0.667  -0.539 -0.739  -0.427 -0.739  -0.345 -0.812  -0.257 -0.870  -0.145 -0.870  -0.032 -0.870  0.080 -0.870  0.192 -0.870  0.305 -0.870  0.403 -0.836  0.482 -0.756  0.587 -0.739  0.679 -0.690  0.759 -0.611  0.762 -0.500  0.762 -0.388  0.762 -0.275  0.762 -0.163  0.762 -0.051  0.762 0.061  0.762 0.174  0.762 0.286  0.762 0.398  0.762 0.511  0.762 0.623  0.762 0.735  0.762 0.847  0.762 0.960  0.667 1.013  0.566 1.063  0.499 1.134  0.499 1.247  0.499 1.359
