2#app#app32#app3271/[  0.752 1.268  0.660 1.268  0.631 1.205  0.596 1.146  0.509 1.141  0.509 1.049  0.440 1.024  0.348 1.024  0.258 1.017  0.193 0.952  0.120 0.902  0.028 0.902  -0.065 0.902  -0.158 0.902  -0.250 0.902  -0.343 0.902  -0.253 0.902  -0.223 0.841  -0.223 0.748  -0.223 0.655  -0.223 0.563  -0.223 0.470  -0.223 0.377  -0.223 0.285  -0.223 0.192  -0.223 0.099  -0.223 0.007  -0.223 -0.086  -0.223 -0.178  -0.223 -0.271  -0.223 -0.364  -0.223 -0.456  -0.223 -0.549  -0.223 -0.642  -0.223 -0.734  -0.223 -0.827  -0.223 -0.919  -0.223 -1.012  -0.223 -1.105  -0.223 -1.197  -0.223 -1.290  -0.158 -1.356  -0.089 -1.413  0.003 -1.413  0.096 -1.413  0.175 -1.381  0.241 -1.316  0.323 -1.291  0.387 -1.262  0.387 -1.170
2#app#app32#app3271/(  0.524 1.522  0.452 1.522  0.379 1.522  0.371 1.459  0.371 1.387  0.371 1.314  0.371 1.242  0.350 1.175  0.318 1.110  0.286 1.046  0.253 0.981  0.221 0.917  0.189 0.852  0.156 0.788  0.124 0.723  0.092 0.658  0.065 0.593  0.065 0.521  0.063 0.449  0.031 0.384  -0.001 0.320  -0.033 0.255  -0.066 0.190  -0.088 0.124  -0.088 0.051  -0.088 -0.021  -0.088 -0.093  -0.088 -0.165  -0.088 -0.237  -0.088 -0.309  -0.088 -0.382  -0.088 -0.454  -0.130 -0.508  -0.181 -0.559  -0.232 -0.610  -0.241 -0.679  -0.241 -0.751  -0.241 -0.824  -0.241 -0.896  -0.241 -0.968  -0.241 -1.040  -0.241 -1.112  -0.241 -1.184  -0.241 -1.257  -0.241 -1.329  -0.241 -1.401  -0.241 -1.473  -0.241 -1.545  -0.241 -1.617  -0.241 -1.690
2#app#app32#app3271/6  -0.146 2.029  -0.146 1.895  -0.213 1.789  -0.308 1.695  -0.318 1.565  -0.318 1.431  -0.318 1.298  -0.319 1.164  -0.362 1.037  -0.404 0.910  -0.446 0.783  -0.489 0.656  -0.491 0.523  -0.491 0.389  -0.491 0.255  -0.491 0.121  -0.491 -0.013  -0.491 -0.146  -0.491 -0.280  -0.491 -0.414  -0.491 -0.548  -0.491 -0.682  -0.403 -0.728  -0.318 -0.777  -0.318 -0.911  -0.318 -1.045  -0.212 -1.072  -0.078 -1.072  0.056 -1.072  0.189 -1.072  0.287 -0.984  0.386 -0.900  0.519 -0.900  0.621 -0.822  0.716 -0.728  0.810 -0.633  0.888 -0.531  0.888 -0.398  0.888 -0.264  0.888 -0.130  0.845 -0.039  0.712 -0.039  0.578 -0.039  0.444 -0.039  0.310 -0.039  0.199 -0.061  0.199 -0.195  0.093 -0.263  -0.026 -0.323  -0.146 -0.383
2#app#app32#app3271/)  -0.707 1.483  -0.633 1.483  -0.563 1.472  -0.511 1.419  -0.458 1.367  -0.419 1.304  -0.386 1.237  -0.352 1.171  -0.319 1.104  -0.310 1.032  -0.310 0.957  -0.260 0.903  -0.207 0.851  -0.177 0.789  -0.177 0.714  -0.177 0.640  -0.177 0.565  -0.131 0.510  -0.079 0.457  -0.033 0.400  0.000 0.333  0.034 0.266  0.067 0.200  0.097 0.132  0.120 0.061  0.144 -0.010  0.168 -0.081  0.191 -0.151  0.215 -0.222  0.221 -0.295  0.221 -0.370  0.253 -0.437  0.286 -0.503  0.319 -0.570  0.353 -0.637  0.353 -0.711  0.353 -0.786  0.353 -0.860  0.353 -0.934  0.353 -1.009  0.320 -1.070  0.267 -1.122  0.221 -1.178  0.221 -1.252  0.221 -1.327  0.221 -1.401  0.179 -1.434  0.105 -1.434  0.088 -1.492  0.088 -1.566
2#app#app32#app3271/(  0.703 1.414  0.628 1.414  0.561 1.394  0.507 1.340  0.451 1.292  0.376 1.292  0.337 1.255  0.337 1.179  0.290 1.123  0.237 1.070  0.183 1.016  0.130 0.963  0.093 0.902  0.093 0.826  0.055 0.766  0.002 0.713  -0.029 0.650  -0.029 0.574  -0.029 0.499  -0.036 0.425  -0.070 0.357  -0.103 0.289  -0.137 0.221  -0.151 0.149  -0.151 0.073  -0.151 -0.002  -0.163 -0.075  -0.197 -0.143  -0.231 -0.210  -0.265 -0.278  -0.273 -0.352  -0.273 -0.427  -0.273 -0.503  -0.273 -0.579  -0.273 -0.654  -0.273 -0.730  -0.273 -0.806  -0.273 -0.881  -0.237 -0.942  -0.183 -0.995  -0.151 -1.058  -0.151 -1.134  -0.151 -1.209  -0.142 -1.281  -0.088 -1.335  -0.035 -1.388  -0.029 -1.461  -0.014 -1.531  0.039 -1.584  0.093 -1.638
2#app#app32#app3271/7  -0.963 0.610  -0.873 0.610  -0.831 0.657  -0.826 0.743  -0.736 0.743  -0.698 0.795  -0.688 0.876  -0.598 0.876  -0.525 0.916  -0.461 0.979  -0.383 1.009  -0.293 1.009  -0.203 1.009  -0.112 1.009  -0.022 1.009  0.068 1.009  0.141 0.967  0.205 0.904  0.233 0.825  0.238 0.737  0.302 0.674  0.366 0.610  0.366 0.520  0.366 0.430  0.366 0.339  0.366 0.249  0.366 0.159  0.366 0.069  0.366 -0.021  0.366 -0.111  0.366 -0.201  0.366 -0.292  0.346 -0.379  0.318 -0.464  0.289 -0.550  0.261 -0.635  0.233 -0.721  0.233 -0.811  0.233 -0.901  0.233 -0.991  0.233 -1.081  0.195 -1.156  0.131 -1.220  0.100 -1.297  0.100 -1.387  0.100 -1.477  0.064 -1.552  0.000 -1.616  -0.033 -1.692  -0.033 -1.783
2#app#app32#app3271/)  -0.607 1.585  -0.554 1.532  -0.502 1.480  -0.467 1.414  -0.434 1.348  -0.401 1.281  -0.355 1.224  -0.302 1.172  -0.250 1.119  -0.197 1.067  -0.171 1.003  -0.171 0.929  -0.171 0.855  -0.141 0.793  -0.089 0.740  -0.062 0.677  -0.062 0.603  -0.062 0.528  -0.044 0.458  -0.010 0.392  0.023 0.326  0.056 0.259  0.089 0.193  0.122 0.126  0.155 0.060  0.155 -0.014  0.155 -0.089  0.158 -0.162  0.191 -0.229  0.224 -0.295  0.258 -0.362  0.264 -0.434  0.264 -0.509  0.264 -0.583  0.264 -0.657  0.264 -0.731  0.264 -0.806  0.264 -0.880  0.264 -0.954  0.264 -1.029  0.264 -1.103  0.236 -1.165  0.183 -1.218  0.155 -1.280  0.155 -1.354  0.081 -1.354  0.046 -1.394  0.043 -1.467  -0.010 -1.520  -0.062 -1.572
2#app#app32#app3271/(  0.661 1.470  0.589 1.470  0.521 1.459  0.470 1.408  0.419 1.357  0.402 1.292  0.402 1.220  0.374 1.154  0.341 1.089  0.309 1.025  0.277 0.960  0.272 0.889  0.269 0.818  0.218 0.767  0.167 0.716  0.116 0.664  0.065 0.613  0.014 0.562  -0.005 0.493  -0.023 0.423  -0.040 0.353  -0.058 0.283  -0.075 0.212  -0.093 0.142  -0.110 0.072  -0.118 0.001  -0.118 -0.071  -0.142 -0.138  -0.175 -0.203  -0.207 -0.267  -0.239 -0.332  -0.248 -0.402  -0.248 -0.474  -0.248 -0.547  -0.248 -0.619  -0.248 -0.691  -0.248 -0.763  -0.248 -0.836  -0.248 -0.908  -0.248 -0.980  -0.248 -1.053  -0.248 -1.125  -0.248 -1.197  -0.248 -1.269  -0.248 -1.342  -0.248 -1.414  -0.248 -1.486  -0.221 -1.547  -0.169 -1.598  -0.118 -1.649
2#app#app32#app3271/8  -0.040 1.616  -0.224 1.568  -0.312 1.401  -0.416 1.240  -0.519 1.067  -0.584 0.879  -0.584 0.675  -0.584 0.471  -0.497 0.304  -0.448 0.121  -0.246 0.119  -0.042 0.119  0.096 0.185  0.229 0.255  0.368 0.400  0.368 0.603  0.368 0.807  0.368 1.010  0.267 1.172  0.094 1.190  0.069 0.988  0.043 0.786  0.018 0.584  -0.007 0.382  -0.032 0.180  -0.141 0.019  -0.285 -0.125  -0.429 -0.269  -0.573 -0.413  -0.584 -0.612  -0.703 -0.697  -0.720 -0.883  -0.720 -1.087  -0.671 -1.241  -0.502 -1.324  -0.320 -1.377  -0.117 -1.377  0.087 -1.377  0.273 -1.336  0.438 -1.241  0.601 -1.144  0.776 -1.093  0.812 -0.897  0.903 -0.715  0.912 -0.514  0.831 -0.344  0.776 -0.163  0.719 -0.017  0.515 -0.017  0.368 0.119
2#app#app32#app3271/)  -0.867 1.201  -0.790 1.201  -0.713 1.201  -0.636 1.201  -0.559 1.201  -0.482 1.201  -0.405 1.201  -0.349 1.180  -0.349 1.103  -0.277 1.098  -0.214 1.066  -0.159 1.011  -0.142 0.942  -0.142 0.865  -0.142 0.788  -0.088 0.733  -0.033 0.679  0.021 0.624  0.069 0.566  0.087 0.491  0.106 0.416  0.125 0.342  0.143 0.267  0.162 0.192  0.169 0.116  0.169 0.039  0.169 -0.038  0.169 -0.115  0.202 -0.178  0.256 -0.233  0.272 -0.303  0.272 -0.380  0.272 -0.457  0.272 -0.534  0.272 -0.611  0.272 -0.688  0.272 -0.765  0.272 -0.842  0.272 -0.919  0.272 -0.996  0.272 -1.073  0.272 -1.150  0.272 -1.227  0.258 -1.298  0.204 -1.353  0.157 -1.412  0.122 -1.481  0.088 -1.550  0.065 -1.622  0.065 -1.699
2#app#app32#app3271/(  0.702 1.427  0.628 1.427  0.555 1.427  0.500 1.381  0.448 1.329  0.396 1.277  0.390 1.205  0.390 1.132  0.350 1.075  0.298 1.023  0.246 0.971  0.194 0.919  0.142 0.867  0.090 0.814  0.038 0.762  -0.014 0.710  -0.066 0.658  -0.078 0.590  -0.078 0.516  -0.078 0.442  -0.078 0.369  -0.078 0.295  -0.078 0.221  -0.078 0.148  -0.078 0.074  -0.088 0.003  -0.121 -0.063  -0.154 -0.129  -0.187 -0.194  -0.219 -0.260  -0.234 -0.331  -0.234 -0.404  -0.234 -0.478  -0.234 -0.551  -0.234 -0.625  -0.234 -0.699  -0.234 -0.772  -0.234 -0.846  -0.234 -0.919  -0.234 -0.993  -0.234 -1.067  -0.234 -1.140  -0.234 -1.214  -0.206 -1.281  -0.173 -1.347  -0.140 -1.413  -0.107 -1.478  -0.078 -1.545  -0.078 -1.619  -0.078 -1.692
