2#app#app32#app3274/{  0.294 1.375  0.204 1.397  0.159 1.466  0.047 1.466  0.022 1.377  -0.068 1.355  -0.098 1.255  -0.178 1.175  -0.250 1.092  -0.250 0.979  -0.289 0.882  -0.369 0.802  -0.431 0.715  -0.478 0.650  -0.522 0.580  -0.522 0.467  -0.499 0.377  -0.386 0.377  -0.273 0.377  -0.160 0.377  -0.138 0.468  -0.068 0.425  -0.068 0.312  -0.068 0.199  0.009 0.119  0.116 0.105  0.229 0.105  0.342 0.105  0.385 0.036  0.385 -0.077  0.385 -0.190  0.353 -0.290  0.294 -0.378  0.257 -0.476  0.204 -0.566  0.162 -0.662  0.069 -0.711  0.022 -0.777  0.022 -0.890  0.003 -0.983  -0.068 -1.025  -0.068 -1.137  -0.068 -1.250  -0.056 -1.358  0.024 -1.438  0.104 -1.518  0.183 -1.598  0.263 -1.677  0.363 -1.709  0.476 -1.709
2#app#app32#app3274/B  -0.306 1.263  -0.418 1.147  -0.472 0.932  -0.529 0.717  -0.529 0.490  -0.529 0.262  -0.529 0.034  -0.476 -0.181  -0.418 -0.395  -0.418 -0.623  -0.342 -0.819  -0.260 -1.013  -0.197 -1.165  -0.218 -0.938  -0.238 -0.711  -0.259 -0.485  -0.279 -0.258  -0.300 -0.031  -0.321 0.196  -0.341 0.423  -0.362 0.649  -0.383 0.876  -0.403 1.103  -0.350 1.263  -0.234 1.374  -0.006 1.374  0.197 1.316  0.391 1.234  0.474 1.041  0.585 0.925  0.577 0.706  0.474 0.581  0.350 0.470  0.251 0.283  0.140 0.166  0.028 0.050  0.020 0.037  0.247 0.037  0.474 0.036  0.478 -0.190  0.585 -0.374  0.697 -0.555  0.697 -0.783  0.697 -1.011  0.662 -1.224  0.580 -1.418  0.419 -1.579  0.258 -1.740  0.033 -1.746  -0.195 -1.746
2#app#app32#app3274/r  -0.218 0.348  -0.218 0.227  -0.218 0.105  -0.218 -0.016  -0.218 -0.137  -0.218 -0.259  -0.218 -0.380  -0.218 -0.501  -0.218 -0.623  -0.218 -0.744  -0.218 -0.865  -0.218 -0.987  -0.218 -1.108  -0.187 -1.216  -0.101 -1.302  -0.047 -1.401  -0.047 -1.523  -0.047 -1.408  -0.047 -1.287  -0.056 -1.168  -0.111 -1.059  -0.165 -0.951  -0.218 -0.842  -0.218 -0.721  -0.218 -0.599  -0.218 -0.478  -0.218 -0.357  -0.218 -0.235  -0.218 -0.114  -0.218 0.007  -0.218 0.129  -0.218 0.250  -0.218 0.371  -0.218 0.493  -0.150 0.586  -0.064 0.672  -0.047 0.786  -0.013 0.893  0.072 0.979  0.158 1.065  0.244 1.151  0.293 1.252  0.296 1.371  0.417 1.371  0.539 1.371  0.660 1.371  0.781 1.371  0.903 1.371  1.024 1.371  1.145 1.371
2#app#app32#app3274/a  0.635 1.124  0.531 1.228  0.427 1.332  0.323 1.436  0.190 1.473  0.043 1.473  -0.062 1.431  -0.073 1.288  -0.177 1.184  -0.281 1.080  -0.385 0.976  -0.411 0.840  -0.470 0.717  -0.574 0.613  -0.644 0.484  -0.710 0.352  -0.760 0.217  -0.760 0.070  -0.760 -0.077  -0.760 -0.225  -0.760 -0.372  -0.760 -0.519  -0.760 -0.666  -0.760 -0.813  -0.760 -0.961  -0.661 -1.067  -0.545 -1.142  -0.397 -1.142  -0.250 -1.142  -0.142 -1.047  -0.038 -0.943  0.066 -0.839  0.194 -0.793  0.325 -0.754  0.429 -0.650  0.460 -0.516  0.537 -0.445  0.635 -0.396  0.635 -0.248  0.635 -0.101  0.635 0.046  0.635 0.193  0.635 0.165  0.635 0.018  0.635 -0.129  0.635 -0.277  0.635 -0.424  0.635 -0.571  0.705 -0.689  0.809 -0.793
2#app#app32#app3274/c  0.595 1.027  0.655 1.086  0.715 1.146  0.723 1.227  0.694 1.283  0.610 1.283  0.525 1.283  0.448 1.264  0.389 1.204  0.329 1.144  0.269 1.085  0.209 1.025  0.150 0.965  0.090 0.905  0.050 0.832  0.012 0.756  -0.026 0.680  -0.058 0.603  -0.085 0.522  -0.111 0.442  -0.138 0.362  -0.165 0.282  -0.199 0.205  -0.237 0.130  -0.275 0.054  -0.320 -0.016  -0.380 -0.076  -0.428 -0.140  -0.428 -0.225  -0.428 -0.309  -0.428 -0.394  -0.428 -0.478  -0.428 -0.563  -0.428 -0.647  -0.428 -0.732  -0.428 -0.816  -0.428 -0.901  -0.428 -0.985  -0.393 -1.055  -0.334 -1.115  -0.263 -1.148  -0.178 -1.148  -0.102 -1.183  -0.027 -1.221  0.049 -1.259  0.129 -1.276  0.214 -1.276  0.298 -1.276  0.383 -1.276  0.467 -1.276
2#app#app32#app3274/e  -1.206 -0.117  -1.026 -0.117  -0.847 -0.117  -0.712 -0.007  -0.566 0.075  -0.386 0.075  -0.207 0.075  -0.027 0.075  0.151 0.067  0.312 -0.013  0.473 -0.094  0.647 -0.117  0.827 -0.117  0.976 -0.191  1.107 -0.309  1.285 -0.308  1.158 -0.181  1.004 -0.117  0.902 -0.039  0.902 0.141  0.864 0.305  0.737 0.432  0.711 0.601  0.618 0.742  0.519 0.881  0.491 1.033  0.327 1.049  0.323 1.225  0.144 1.225  -0.036 1.225  -0.169 1.112  -0.296 0.985  -0.423 0.857  -0.439 0.684  -0.542 0.547  -0.631 0.404  -0.631 0.224  -0.631 0.044  -0.631 -0.135  -0.631 -0.315  -0.631 -0.495  -0.631 -0.675  -0.631 -0.855  -0.631 -1.034  -0.533 -1.173  -0.439 -1.315  -0.404 -1.459  -0.248 -1.482  -0.236 -1.650  -0.056 -1.650
2#app#app32#app3274/Y  -0.490 1.090  -0.490 0.928  -0.474 0.773  -0.414 0.636  -0.414 0.474  -0.414 0.312  -0.364 0.161  -0.265 0.036  -0.257 -0.123  -0.142 -0.237  -0.081 -0.374  0.034 -0.488  0.039 -0.488  0.081 -0.331  0.124 -0.175  0.166 -0.019  0.208 0.138  0.250 0.294  0.292 0.451  0.334 0.607  0.376 0.763  0.418 0.920  0.460 1.076  0.503 1.233  0.545 1.389  0.490 1.461  0.425 1.327  0.383 1.176  0.293 1.044  0.226 0.900  0.189 0.744  0.171 0.585  0.120 0.431  0.069 0.278  0.038 0.121  0.038 -0.041  -0.001 -0.198  -0.037 -0.356  -0.037 -0.518  -0.073 -0.674  -0.113 -0.830  -0.127 -0.989  -0.179 -1.143  -0.188 -1.303  -0.252 -1.450  -0.263 -1.610  -0.263 -1.772  -0.263 -1.934  -0.331 -2.068  -0.339 -2.226
2#app#app32#app3274/o  -0.137 0.890  -0.237 0.990  -0.353 1.052  -0.462 1.021  -0.473 0.890  -0.614 0.890  -0.717 0.797  -0.787 0.685  -0.797 0.546  -0.860 0.419  -0.923 0.293  -0.950 0.158  -0.950 0.016  -0.922 -0.113  -0.822 -0.213  -0.787 -0.340  -0.787 -0.482  -0.752 -0.609  -0.652 -0.709  -0.625 -0.839  -0.543 -0.899  -0.420 -0.941  -0.320 -1.041  -0.187 -1.061  -0.045 -1.061  0.096 -1.061  0.238 -1.061  0.371 -1.041  0.471 -0.941  0.571 -0.841  0.671 -0.741  0.810 -0.736  0.838 -0.623  0.838 -0.482  0.888 -0.361  0.988 -0.261  1.001 -0.125  1.001 0.016  1.001 0.158  0.974 0.293  0.911 0.419  0.848 0.546  0.753 0.650  0.644 0.727  0.506 0.735  0.406 0.835  0.287 0.890  0.146 0.890  0.004 0.890  -0.137 0.890
2#app#app32#app3274/u  -1.007 0.931  -1.007 0.818  -1.007 0.705  -1.007 0.593  -1.007 0.480  -1.007 0.367  -1.007 0.254  -1.007 0.141  -1.007 0.028  -0.934 -0.054  -0.854 -0.134  -0.774 -0.214  -0.695 -0.294  -0.642 -0.385  -0.642 -0.498  -0.642 -0.611  -0.630 -0.711  -0.517 -0.711  -0.420 -0.750  -0.341 -0.830  -0.254 -0.894  -0.141 -0.894  -0.028 -0.894  0.085 -0.894  0.197 -0.894  0.310 -0.894  0.423 -0.894  0.453 -0.810  0.462 -0.701  0.542 -0.622  0.622 -0.542  0.635 -0.434  0.635 -0.321  0.635 -0.209  0.635 -0.096  0.635 0.017  0.714 0.097  0.794 0.177  0.818 0.280  0.818 0.393  0.818 0.506  0.818 0.619  0.818 0.732  0.775 0.834  0.724 0.935  0.674 1.036  0.635 1.140  0.635 1.253  0.635 1.366  0.635 1.479
2#app#app32#app3274/r  -0.640 0.611  -0.640 0.494  -0.640 0.378  -0.640 0.261  -0.640 0.145  -0.640 0.028  -0.640 -0.089  -0.640 -0.205  -0.640 -0.322  -0.640 -0.439  -0.612 -0.543  -0.529 -0.626  -0.447 -0.708  -0.364 -0.791  -0.359 -0.905  -0.359 -1.022  -0.359 -1.138  -0.359 -1.255  -0.359 -1.346  -0.359 -1.229  -0.359 -1.113  -0.301 -1.020  -0.219 -0.937  -0.136 -0.855  -0.077 -0.763  -0.077 -0.646  -0.077 -0.530  -0.077 -0.413  -0.077 -0.296  -0.040 -0.195  0.043 -0.113  0.125 -0.030  0.204 0.054  0.204 0.170  0.204 0.287  0.256 0.382  0.339 0.464  0.421 0.547  0.497 0.634  0.549 0.738  0.601 0.843  0.653 0.947  0.705 1.051  0.758 1.156  0.835 1.242  0.917 1.324  1.000 1.407  1.096 1.455  1.213 1.455  1.329 1.455
2#app#app32#app3274/s  0.158 1.197  0.081 1.274  -0.004 1.331  -0.110 1.328  -0.110 1.219  -0.196 1.197  -0.305 1.197  -0.403 1.171  -0.480 1.094  -0.512 0.998  -0.551 0.929  -0.656 0.919  -0.732 0.842  -0.780 0.753  -0.780 0.644  -0.780 0.535  -0.780 0.426  -0.726 0.340  -0.649 0.263  -0.542 0.259  -0.433 0.259  -0.340 0.221  -0.263 0.145  -0.171 0.089  -0.074 0.040  0.023 -0.009  0.101 -0.085  0.185 -0.143  0.294 -0.144  0.370 -0.221  0.447 -0.298  0.524 -0.375  0.618 -0.411  0.694 -0.444  0.694 -0.553  0.694 -0.662  0.759 -0.743  0.828 -0.824  0.828 -0.932  0.761 -1.013  0.680 -1.080  0.571 -1.080  0.491 -1.149  0.409 -1.214  0.300 -1.214  0.191 -1.214  0.082 -1.214  -0.026 -1.214  -0.135 -1.214  -0.244 -1.214
