2#app#app33#app3322/i  0.019 -0.034  0.019 -0.136  0.019 -0.238  0.019 -0.340  0.019 -0.442  0.019 -0.544  0.019 -0.645  0.019 -0.747  0.019 -0.849  0.019 -0.951  0.019 -1.053  0.019 -1.155  0.028 -1.248  0.112 -1.265  0.112 -1.367  0.110 -1.400  0.104 -1.299  0.098 -1.197  0.091 -1.095  0.085 -0.993  0.079 -0.892  0.073 -0.790  0.067 -0.688  0.061 -0.586  0.054 -0.485  0.048 -0.383  0.042 -0.281  0.036 -0.180  0.030 -0.078  0.024 0.024  0.017 0.126  0.011 0.227  0.005 0.329  -0.001 0.431  -0.007 0.533  -0.013 0.634  -0.020 0.736  -0.026 0.838  -0.032 0.939  -0.038 1.041  -0.044 1.143  -0.050 1.245  -0.057 1.346  -0.063 1.448  -0.069 1.550  -0.078 1.650  -0.150 1.722  -0.245 1.740  -0.262 1.825  -0.355 1.834
2#app#app33#app3322/n  -0.802 0.801  -0.802 0.653  -0.802 0.504  -0.761 0.363  -0.714 0.222  -0.697 0.076  -0.697 -0.072  -0.697 -0.220  -0.686 -0.364  -0.592 -0.473  -0.592 -0.622  -0.592 -0.770  -0.592 -0.918  -0.532 -1.042  -0.487 -1.172  -0.511 -1.086  -0.592 -1.019  -0.592 -0.871  -0.592 -0.722  -0.592 -0.574  -0.592 -0.426  -0.592 -0.277  -0.539 -0.142  -0.487 -0.005  -0.453 0.135  -0.387 0.267  -0.321 0.400  -0.278 0.538  -0.235 0.677  -0.166 0.808  -0.061 0.912  0.046 1.011  0.194 1.011  0.343 1.011  0.481 0.986  0.586 0.881  0.691 0.776  0.786 0.665  0.853 0.532  0.944 0.418  0.981 0.285  1.006 0.147  1.111 0.042  1.190 -0.074  1.190 -0.222  1.277 -0.334  1.295 -0.475  1.295 -0.623  1.369 -0.741  1.400 -0.877
2#app#app33#app3322/o  -0.657 0.486  -0.540 0.516  -0.540 0.662  -0.540 0.809  -0.543 0.953  -0.657 0.920  -0.657 0.774  -0.657 0.627  -0.696 0.487  -0.742 0.348  -0.774 0.206  -0.774 0.060  -0.774 -0.087  -0.774 -0.233  -0.774 -0.380  -0.774 -0.526  -0.697 -0.641  -0.657 -0.771  -0.654 -0.915  -0.540 -0.948  -0.496 -1.076  -0.380 -1.148  -0.233 -1.148  -0.087 -1.148  0.058 -1.141  0.189 -1.075  0.326 -1.032  0.449 -0.976  0.553 -0.872  0.656 -0.769  0.760 -0.665  0.862 -0.561  0.928 -0.430  0.977 -0.295  0.977 -0.148  0.977 -0.001  0.977 0.145  0.977 0.292  0.977 0.438  0.907 0.556  0.803 0.659  0.744 0.781  0.679 0.901  0.553 0.953  0.407 0.953  0.260 0.953  0.116 0.938  -0.023 0.892  -0.162 0.845  -0.307 0.836
2#app#app33#app3322/n  -1.061 1.217  -0.951 1.107  -0.924 0.962  -0.828 0.846  -0.828 0.690  -0.758 0.563  -0.711 0.427  -0.711 0.271  -0.711 0.116  -0.671 -0.031  -0.602 -0.170  -0.579 -0.318  -0.477 -0.432  -0.477 -0.588  -0.477 -0.743  -0.477 -0.899  -0.477 -1.055  -0.387 -1.121  -0.360 -1.226  -0.360 -1.070  -0.360 -0.914  -0.360 -0.758  -0.360 -0.602  -0.360 -0.447  -0.360 -0.291  -0.360 -0.135  -0.320 0.011  -0.250 0.151  -0.243 0.305  -0.199 0.443  -0.089 0.553  0.010 0.671  0.080 0.810  0.201 0.866  0.357 0.866  0.513 0.866  0.641 0.800  0.751 0.690  0.842 0.566  0.912 0.427  0.982 0.287  1.043 0.146  1.084 0.007  1.160 -0.117  1.160 -0.273  1.249 -0.392  1.276 -0.537  1.276 -0.692  1.276 -0.848  1.276 -1.004
2#app#app33#app3322/e  -1.182 0.076  -1.070 -0.035  -0.924 -0.022  -0.809 0.085  -0.668 0.155  -0.520 0.195  -0.362 0.195  -0.204 0.195  -0.047 0.195  0.111 0.195  0.226 0.298  0.377 0.314  0.535 0.314  0.692 0.314  0.836 0.328  0.836 0.486  0.836 0.644  0.826 0.798  0.717 0.910  0.675 1.026  0.541 1.083  0.409 1.144  0.251 1.144  0.123 1.114  0.054 1.026  -0.103 1.026  -0.180 0.894  -0.260 0.761  -0.372 0.649  -0.470 0.532  -0.496 0.381  -0.566 0.239  -0.589 0.087  -0.589 -0.071  -0.589 -0.228  -0.589 -0.386  -0.524 -0.528  -0.470 -0.673  -0.416 -0.809  -0.296 -0.910  -0.165 -0.997  -0.033 -1.085  0.084 -1.189  0.195 -1.301  0.334 -1.348  0.488 -1.356  0.600 -1.466  0.758 -1.466  0.915 -1.466  1.073 -1.466
2#app#app33#app3322/c  0.519 0.661  0.519 0.756  0.519 0.852  0.460 0.923  0.418 1.002  0.418 1.097  0.393 1.169  0.316 1.187  0.303 1.270  0.207 1.270  0.112 1.269  0.044 1.202  -0.024 1.134  -0.091 1.066  -0.134 0.980  -0.177 0.895  -0.212 0.806  -0.242 0.715  -0.272 0.624  -0.306 0.534  -0.349 0.449  -0.392 0.363  -0.435 0.277  -0.477 0.192  -0.497 0.101  -0.497 0.005  -0.497 -0.091  -0.497 -0.187  -0.497 -0.283  -0.497 -0.378  -0.497 -0.474  -0.492 -0.569  -0.449 -0.654  -0.406 -0.740  -0.395 -0.833  -0.337 -0.893  -0.251 -0.936  -0.167 -0.982  -0.088 -1.035  -0.008 -1.088  0.072 -1.141  0.159 -1.168  0.255 -1.168  0.351 -1.168  0.447 -1.168  0.542 -1.168  0.638 -1.168  0.734 -1.168  0.830 -1.168  0.926 -1.168
2#app#app33#app3322/l  -0.200 1.512  -0.200 1.583  -0.200 1.555  -0.180 1.491  -0.129 1.441  -0.107 1.378  -0.107 1.307  -0.107 1.235  -0.107 1.163  -0.107 1.091  -0.107 1.020  -0.107 0.948  -0.107 0.876  -0.107 0.805  -0.107 0.733  -0.107 0.661  -0.107 0.589  -0.107 0.518  -0.107 0.446  -0.101 0.375  -0.079 0.307  -0.056 0.239  -0.033 0.171  -0.013 0.102  -0.013 0.031  -0.013 -0.041  -0.013 -0.113  -0.013 -0.184  -0.013 -0.256  -0.013 -0.328  -0.013 -0.400  -0.003 -0.469  0.029 -0.533  0.061 -0.597  0.080 -0.665  0.080 -0.736  0.080 -0.808  0.080 -0.880  0.080 -0.951  0.090 -1.019  0.140 -1.070  0.173 -1.128  0.173 -1.200  0.173 -1.271  0.211 -1.327  0.262 -1.378  0.267 -1.448  0.267 -1.520  0.267 -1.591  0.267 -1.663
2#app#app33#app3322/a  0.467 -0.429  0.467 -0.259  0.467 -0.090  0.467 0.080  0.467 0.250  0.467 0.420  0.467 0.590  0.467 0.759  0.467 0.929  0.467 1.099  0.441 1.258  0.349 1.390  0.258 1.469  0.088 1.469  -0.060 1.416  -0.160 1.281  -0.236 1.130  -0.351 1.006  -0.431 0.857  -0.507 0.705  -0.583 0.553  -0.694 0.426  -0.779 0.281  -0.837 0.125  -0.837 -0.045  -0.937 -0.173  -0.956 -0.335  -0.956 -0.505  -0.956 -0.675  -0.914 -0.827  -0.837 -0.966  -0.758 -1.102  -0.604 -1.141  -0.434 -1.141  -0.293 -1.071  -0.143 -1.022  -0.018 -0.915  0.137 -0.879  0.257 -0.759  0.377 -0.639  0.486 -0.511  0.562 -0.359  0.586 -0.195  0.586 -0.122  0.586 -0.292  0.705 -0.343  0.705 -0.513  0.721 -0.667  0.823 -0.734  0.942 -0.785
2#app#app33#app3322/w  -0.933 1.152  -1.031 1.066  -1.031 0.883  -1.031 0.699  -1.031 0.516  -1.031 0.332  -1.031 0.149  -1.026 -0.033  -0.944 -0.197  -0.890 -0.361  -0.835 -0.521  -0.793 -0.695  -0.697 -0.848  -0.541 -0.903  -0.541 -0.719  -0.463 -0.554  -0.425 -0.380  -0.345 -0.215  -0.345 -0.032  -0.247 0.111  -0.247 0.294  -0.238 0.474  -0.149 0.620  -0.117 0.791  -0.051 0.769  -0.051 0.585  -0.051 0.402  -0.051 0.218  -0.051 0.035  -0.051 -0.149  -0.046 -0.331  0.012 -0.505  0.097 -0.662  0.163 -0.808  0.316 -0.881  0.489 -0.906  0.673 -0.906  0.820 -0.819  0.960 -0.746  1.027 -0.578  1.112 -0.430  1.125 -0.252  1.149 -0.074  1.223 0.092  1.223 0.275  1.223 0.458  1.223 0.642  1.223 0.825  1.125 0.968  1.125 1.152
2#app#app33#app3322/e  -0.759 -0.094  -0.753 0.038  -0.618 0.047  -0.520 0.145  -0.392 0.170  -0.285 0.247  -0.170 0.302  -0.031 0.302  0.108 0.302  0.223 0.359  0.330 0.434  0.468 0.434  0.607 0.434  0.745 0.434  0.884 0.434  0.959 0.498  0.959 0.637  0.959 0.775  0.876 0.831  0.827 0.920  0.759 1.031  0.647 1.095  0.509 1.095  0.430 1.035  0.364 0.963  0.246 0.911  0.149 0.813  0.051 0.715  -0.047 0.617  -0.128 0.507  -0.190 0.383  -0.265 0.268  -0.362 0.170  -0.406 0.039  -0.450 -0.093  -0.494 -0.224  -0.495 -0.362  -0.495 -0.501  -0.495 -0.639  -0.495 -0.778  -0.495 -0.917  -0.495 -1.055  -0.495 -1.194  -0.495 -1.332  -0.456 -1.455  -0.358 -1.553  -0.260 -1.651  -0.162 -1.749  -0.064 -1.847  0.034 -1.945
2#app#app33#app3322/d  0.503 1.924  0.475 1.777  0.411 1.638  0.411 1.485  0.411 1.331  0.411 1.178  0.411 1.024  0.411 0.871  0.411 0.717  0.435 0.567  0.484 0.422  0.503 0.271  0.503 0.118  0.503 -0.036  0.504 -0.188  0.595 -0.305  0.595 -0.458  0.595 -0.497  0.503 -0.435  0.503 -0.281  0.503 -0.128  0.449 0.013  0.411 0.157  0.319 0.273  0.228 0.388  0.141 0.455  -0.012 0.455  -0.166 0.455  -0.310 0.416  -0.441 0.338  -0.540 0.221  -0.625 0.094  -0.723 -0.020  -0.860 -0.089  -0.935 -0.219  -1.027 -0.340  -1.057 -0.481  -1.057 -0.635  -1.057 -0.788  -0.978 -0.909  -0.867 -1.013  -0.714 -1.013  -0.564 -1.044  -0.415 -1.082  -0.264 -1.105  -0.111 -1.105  0.043 -1.105  0.196 -1.105  0.350 -1.105  0.503 -1.105
