2#app#app34#app3460/k  -0.882 1.911  -0.797 1.792  -0.763 1.623  -0.720 1.426  -0.656 1.233  -0.644 1.031  -0.644 0.828  -0.575 0.653  -0.525 0.470  -0.525 0.266  -0.525 0.062  -0.525 -0.141  -0.444 -0.311  -0.406 -0.499  -0.406 -0.703  -0.406 -0.906  -0.385 -1.023  -0.294 -0.841  -0.203 -0.659  -0.112 -0.477  -0.021 -0.294  0.070 -0.112  0.161 0.070  0.253 0.252  0.344 0.434  0.435 0.616  0.526 0.799  0.617 0.981  0.666 0.984  0.623 0.798  0.547 0.626  0.428 0.541  0.324 0.380  0.265 0.201  0.121 0.057  -0.023 -0.087  -0.098 -0.231  -0.168 -0.365  -0.267 -0.469  -0.103 -0.469  0.092 -0.491  0.190 -0.654  0.331 -0.729  0.475 -0.873  0.547 -1.047  0.666 -1.132  0.773 -1.291  0.853 -1.421  0.904 -1.506  0.904 -1.302
2#app#app34#app3460/e  -0.504 0.051  -0.351 0.051  -0.239 0.151  -0.114 0.216  0.025 0.250  0.133 0.358  0.276 0.382  0.429 0.382  0.554 0.448  0.666 0.547  0.818 0.548  0.818 0.701  0.719 0.812  0.653 0.938  0.619 1.077  0.511 1.185  0.368 1.208  0.215 1.208  0.062 1.208  -0.008 1.126  -0.078 1.043  -0.173 0.985  -0.218 0.878  -0.338 0.845  -0.353 0.698  -0.461 0.590  -0.504 0.455  -0.560 0.325  -0.668 0.217  -0.669 0.065  -0.669 -0.088  -0.669 -0.241  -0.669 -0.394  -0.669 -0.547  -0.669 -0.699  -0.592 -0.775  -0.504 -0.840  -0.504 -0.993  -0.464 -1.106  -0.319 -1.125  -0.211 -1.233  -0.074 -1.271  0.079 -1.271  0.232 -1.271  0.385 -1.271  0.538 -1.271  0.653 -1.234  0.678 -1.106  0.831 -1.106  0.984 -1.106
2#app#app34#app3460/e  -0.202 0.154  -0.202 0.299  -0.072 0.313  0.072 0.313  0.216 0.313  0.275 0.399  0.346 0.473  0.490 0.473  0.635 0.473  0.771 0.492  0.873 0.594  0.911 0.723  0.857 0.845  0.755 0.947  0.612 0.950  0.593 1.075  0.482 1.109  0.338 1.109  0.193 1.109  0.069 1.061  -0.033 0.959  -0.174 0.950  -0.202 0.833  -0.303 0.791  -0.361 0.704  -0.412 0.580  -0.514 0.478  -0.520 0.336  -0.606 0.228  -0.679 0.114  -0.679 -0.031  -0.679 -0.175  -0.679 -0.319  -0.679 -0.464  -0.679 -0.608  -0.567 -0.641  -0.520 -0.738  -0.520 -0.882  -0.452 -0.959  -0.361 -1.012  -0.322 -1.118  -0.202 -1.142  -0.193 -1.277  -0.048 -1.277  0.055 -1.375  0.175 -1.436  0.319 -1.436  0.463 -1.436  0.608 -1.436  0.752 -1.436
2#app#app34#app3460/p  -0.610 1.096  -0.610 0.890  -0.576 0.698  -0.489 0.528  -0.489 0.321  -0.430 0.129  -0.368 -0.063  -0.368 -0.269  -0.285 -0.441  -0.247 -0.631  -0.247 -0.837  -0.190 -1.020  -0.126 -1.200  -0.126 -1.406  -0.095 -1.600  -0.005 -1.769  -0.005 -1.646  -0.005 -1.440  -0.097 -1.326  -0.126 -1.149  -0.126 -0.942  -0.126 -0.736  -0.247 -0.651  -0.247 -0.445  -0.247 -0.238  -0.306 -0.056  -0.368 0.124  -0.368 0.330  -0.368 0.537  -0.361 0.740  -0.247 0.899  -0.155 1.067  -0.095 1.249  0.074 1.339  0.232 1.455  0.414 1.405  0.559 1.259  0.627 1.096  0.722 0.985  0.861 0.836  0.964 0.672  0.964 0.466  0.964 0.260  0.826 0.111  0.722 -0.052  0.578 -0.115  0.372 -0.115  0.165 -0.115  -0.041 -0.115  -0.247 -0.115
2#app#app34#app3460/v  -1.292 1.277  -1.171 1.277  -1.125 1.203  -1.105 1.090  -1.020 1.005  -0.958 0.910  -0.958 0.790  -0.883 0.701  -0.797 0.615  -0.712 0.530  -0.627 0.445  -0.624 0.326  -0.575 0.226  -0.489 0.141  -0.458 0.033  -0.437 -0.079  -0.352 -0.164  -0.267 -0.249  -0.182 -0.334  -0.124 -0.431  -0.124 -0.551  -0.124 -0.672  -0.077 -0.773  0.008 -0.858  0.043 -0.964  0.043 -1.084  0.043 -1.205  0.142 -1.226  0.210 -1.173  0.214 -1.055  0.300 -0.970  0.377 -0.881  0.377 -0.761  0.437 -0.665  0.522 -0.580  0.544 -0.468  0.544 -0.348  0.544 -0.227  0.627 -0.141  0.710 -0.055  0.710 0.065  0.745 0.177  0.799 0.285  0.852 0.393  0.877 0.507  0.877 0.628  0.877 0.748  0.970 0.776  1.044 0.822  1.044 0.943
2#app#app34#app3460/e  -0.764 -0.385  -0.589 -0.374  -0.568 -0.211  -0.382 -0.211  -0.241 -0.167  -0.186 -0.037  -0.020 0.010  0.112 0.138  0.297 0.138  0.456 0.164  0.493 0.312  0.679 0.312  0.847 0.354  0.978 0.485  1.154 0.495  1.134 0.661  0.979 0.691  0.938 0.835  0.805 0.887  0.742 1.009  0.557 1.009  0.371 1.009  0.186 1.009  0.001 1.009  -0.184 1.009  -0.241 0.881  -0.380 0.835  -0.522 0.728  -0.589 0.571  -0.690 0.486  -0.764 0.375  -0.886 0.312  -0.938 0.179  -0.938 -0.006  -0.938 -0.191  -0.938 -0.377  -0.936 -0.561  -0.805 -0.692  -0.764 -0.860  -0.667 -1.005  -0.513 -1.082  -0.328 -1.082  -0.143 -1.082  0.042 -1.082  0.227 -1.082  0.413 -1.082  0.598 -1.082  0.783 -1.082  0.968 -1.082  1.154 -1.082
2#app#app34#app3460/x  -1.568 1.190  -1.365 1.188  -1.221 1.044  -1.077 0.899  -0.933 0.755  -0.789 0.611  -0.645 0.467  -0.568 0.295  -0.479 0.146  -0.297 0.055  -0.126 -0.051  0.018 -0.196  0.032 -0.394  0.165 -0.542  0.341 -0.609  0.431 -0.722  0.549 -0.809  0.631 -0.930  0.756 -1.009  0.831 -1.138  0.811 -1.077  0.780 -0.876  0.749 -0.674  0.718 -0.473  0.687 -0.272  0.656 -0.070  0.625 0.131  0.594 0.333  0.563 0.534  0.532 0.735  0.501 0.937  0.470 1.138  0.439 1.340  0.431 1.238  0.321 1.080  0.231 0.913  0.231 0.709  0.171 0.531  0.032 0.385  0.024 0.184  -0.120 0.040  -0.168 -0.144  -0.266 -0.307  -0.368 -0.469  -0.368 -0.672  -0.436 -0.809  -0.568 -0.880  -0.568 -1.084  -0.624 -1.264  -0.768 -1.408
2#app#app34#app3460/i  -0.406 0.169  -0.289 0.169  -0.231 0.111  -0.231 -0.005  -0.149 -0.088  -0.067 -0.170  -0.056 -0.282  -0.056 -0.398  -0.056 -0.514  -0.056 -0.630  -0.056 -0.747  -0.056 -0.863  0.045 -0.878  0.118 -0.921  0.118 -1.037  0.118 -1.153  0.118 -1.270  0.118 -1.386  0.218 -1.402  0.286 -1.360  0.269 -1.245  0.252 -1.130  0.235 -1.015  0.217 -0.900  0.200 -0.785  0.183 -0.670  0.166 -0.555  0.148 -0.440  0.131 -0.325  0.114 -0.210  0.097 -0.096  0.079 0.019  0.062 0.134  0.045 0.249  0.028 0.364  0.010 0.479  -0.007 0.594  -0.024 0.709  -0.041 0.824  -0.059 0.939  -0.076 1.054  -0.093 1.169  -0.110 1.284  -0.128 1.399  -0.145 1.514  -0.162 1.629  -0.179 1.744  -0.196 1.859  -0.214 1.974  -0.231 2.089
2#app#app34#app3460/n  -0.976 0.401  -0.830 0.401  -0.823 0.263  -0.823 0.117  -0.823 -0.028  -0.741 -0.140  -0.670 -0.256  -0.670 -0.402  -0.670 -0.547  -0.670 -0.693  -0.670 -0.839  -0.661 -0.975  -0.517 -0.977  -0.517 -1.122  -0.517 -1.268  -0.517 -1.148  -0.517 -1.002  -0.517 -0.857  -0.517 -0.711  -0.517 -0.566  -0.517 -0.420  -0.517 -0.274  -0.517 -0.129  -0.517 0.017  -0.517 0.162  -0.475 0.291  -0.372 0.394  -0.364 0.536  -0.274 0.644  -0.171 0.747  -0.068 0.850  0.073 0.860  0.219 0.860  0.364 0.860  0.510 0.860  0.553 0.758  0.648 0.707  0.794 0.707  0.940 0.707  1.012 0.634  1.078 0.554  1.165 0.496  1.165 0.350  1.165 0.205  1.202 0.095  1.318 0.066  1.318 -0.079  1.318 -0.225  1.318 -0.371  1.318 -0.516
2#app#app34#app3460/g  0.160 0.990  0.074 1.052  0.035 1.161  -0.027 1.247  -0.097 1.169  -0.237 1.161  -0.354 1.130  -0.420 1.009  -0.525 0.955  -0.594 0.836  -0.697 0.781  -0.707 0.637  -0.782 0.520  -0.770 0.377  -0.697 0.260  -0.621 0.143  -0.525 0.085  -0.415 0.048  -0.267 0.048  -0.119 0.048  -0.006 0.133  0.122 0.181  0.166 0.310  0.246 0.425  0.246 0.573  0.246 0.721  0.195 0.818  0.160 0.706  0.160 0.558  0.207 0.429  0.246 0.297  0.246 0.149  0.278 0.015  0.331 -0.111  0.331 -0.259  0.350 -0.399  0.417 -0.519  0.417 -0.667  0.482 -0.788  0.503 -0.928  0.503 -1.076  0.503 -1.224  0.503 -1.372  0.424 -1.487  0.331 -1.597  0.253 -1.666  0.140 -1.751  -0.008 -1.751  -0.139 -1.710  -0.268 -1.666
2#app#app34#app3460/m  -0.989 0.418  -0.989 0.240  -0.989 0.062  -0.989 -0.117  -0.989 -0.295  -0.989 -0.473  -0.989 -0.651  -0.926 -0.803  -0.884 -0.964  -0.884 -1.142  -0.884 -1.001  -0.884 -0.823  -0.884 -0.645  -0.884 -0.466  -0.862 -0.297  -0.778 -0.154  -0.778 0.025  -0.778 0.203  -0.673 0.337  -0.576 0.418  -0.503 0.523  -0.430 0.628  -0.252 0.628  -0.095 0.576  0.061 0.523  0.063 0.347  0.169 0.274  0.169 0.096  0.204 -0.074  0.274 -0.235  0.274 -0.414  0.274 -0.467  0.274 -0.288  0.274 -0.110  0.274 0.068  0.301 0.235  0.427 0.361  0.484 0.515  0.635 0.569  0.789 0.628  0.967 0.628  1.137 0.607  1.280 0.523  1.353 0.418  1.431 0.318  1.479 0.160  1.536 0.005  1.536 -0.173  1.569 -0.319  1.642 -0.424
