2#app#app35#app3555/A  0.088 1.520  -0.040 1.392  -0.091 1.180  -0.161 0.968  -0.270 0.768  -0.270 0.535  -0.294 0.307  -0.360 0.089  -0.383 -0.138  -0.449 -0.356  -0.471 -0.584  -0.539 -0.801  -0.628 -0.997  -0.692 -1.167  -0.628 -1.049  -0.628 -0.816  -0.539 -0.604  -0.539 -0.371  -0.539 -0.138  -0.536 0.095  -0.462 0.316  -0.449 0.547  -0.449 0.781  -0.449 1.014  -0.449 1.247  -0.340 1.451  -0.135 1.520  -0.002 1.368  0.124 1.180  0.228 0.971  0.364 0.786  0.450 0.569  0.536 0.353  0.561 0.125  0.654 -0.088  0.715 -0.311  0.797 -0.525  0.831 -0.746  0.894 -0.953  0.984 -1.149  0.954 -1.326  0.760 -1.197  0.566 -1.067  0.372 -0.938  0.178 -0.809  -0.017 -0.679  -0.091 -0.665  0.101 -0.616  0.303 -0.540  0.446 -0.450
2#app#app35#app3555/s  0.217 1.160  0.081 1.160  -0.055 1.160  -0.157 1.076  -0.267 1.014  -0.364 0.975  -0.394 0.869  -0.524 0.854  -0.621 0.758  -0.717 0.662  -0.819 0.578  -0.946 0.569  -0.946 0.433  -1.082 0.433  -1.181 0.344  -1.236 0.230  -1.236 0.094  -1.198 -0.003  -1.061 -0.003  -0.925 -0.003  -0.789 -0.003  -0.653 -0.003  -0.517 -0.003  -0.381 -0.003  -0.245 -0.003  -0.108 -0.003  0.028 -0.003  0.164 -0.003  0.300 -0.003  0.436 -0.003  0.553 -0.049  0.649 -0.145  0.784 -0.148  0.920 -0.148  1.023 -0.228  1.089 -0.337  1.113 -0.463  1.209 -0.559  1.234 -0.685  1.234 -0.821  1.151 -0.875  1.015 -0.875  0.879 -0.875  0.743 -0.875  0.607 -0.875  0.471 -0.875  0.335 -0.875  0.198 -0.875  0.062 -0.875  -0.074 -0.875
2#app#app35#app3555/m  -1.233 0.650  -1.233 0.486  -1.233 0.322  -1.145 0.195  -1.059 0.057  -0.989 -0.090  -0.989 -0.254  -0.989 -0.418  -0.895 -0.543  -0.867 -0.696  -0.867 -0.860  -0.867 -0.852  -0.867 -0.688  -0.867 -0.524  -0.867 -0.360  -0.867 -0.196  -0.831 -0.047  -0.732 0.079  -0.680 0.235  -0.628 0.390  -0.597 0.528  -0.433 0.528  -0.269 0.528  -0.114 0.507  0.008 0.406  0.110 0.344  0.184 0.210  0.232 0.066  0.243 -0.093  0.354 -0.211  0.354 -0.375  0.354 -0.539  0.354 -0.440  0.391 -0.291  0.477 -0.162  0.477 0.002  0.566 0.129  0.599 0.279  0.711 0.396  0.827 0.512  0.985 0.528  1.149 0.528  1.209 0.425  1.312 0.303  1.341 0.151  1.457 0.036  1.573 -0.080  1.576 -0.243  1.576 -0.407  1.698 -0.449
2#app#app35#app3555/a  0.474 0.546  0.474 0.700  0.344 0.724  0.220 0.799  0.109 0.903  -0.045 0.903  -0.200 0.903  -0.354 0.903  -0.482 0.839  -0.591 0.730  -0.743 0.724  -0.861 0.638  -0.970 0.529  -1.080 0.420  -1.168 0.296  -1.237 0.158  -1.306 0.020  -1.310 -0.134  -1.310 -0.288  -1.242 -0.414  -1.133 -0.523  -0.979 -0.524  -0.863 -0.615  -0.745 -0.703  -0.590 -0.703  -0.436 -0.703  -0.322 -0.606  -0.201 -0.524  -0.047 -0.524  0.107 -0.524  0.117 -0.380  0.237 -0.346  0.363 -0.278  0.473 -0.169  0.474 -0.015  0.565 0.102  0.652 0.220  0.652 0.361  0.652 0.207  0.652 0.053  0.652 -0.102  0.715 -0.230  0.824 -0.339  0.975 -0.346  1.129 -0.346  1.284 -0.346  1.366 -0.418  1.414 -0.524  1.568 -0.524  1.722 -0.524
2#app#app35#app3555/l  -0.242 1.694  -0.242 1.623  -0.242 1.551  -0.242 1.480  -0.242 1.408  -0.242 1.337  -0.242 1.265  -0.242 1.194  -0.242 1.123  -0.242 1.051  -0.242 0.980  -0.236 0.909  -0.213 0.841  -0.190 0.774  -0.168 0.706  -0.145 0.638  -0.123 0.570  -0.115 0.500  -0.115 0.429  -0.115 0.357  -0.112 0.286  -0.080 0.223  -0.048 0.159  -0.016 0.095  0.013 0.030  0.013 -0.041  0.013 -0.113  0.013 -0.184  0.013 -0.256  0.013 -0.327  0.036 -0.393  0.068 -0.457  0.100 -0.521  0.132 -0.585  0.140 -0.654  0.140 -0.726  0.140 -0.797  0.149 -0.865  0.200 -0.915  0.250 -0.966  0.268 -1.030  0.268 -1.102  0.268 -1.173  0.268 -1.245  0.268 -1.316  0.268 -1.388  0.268 -1.459  0.294 -1.520  0.345 -1.570  0.395 -1.621
2#app#app35#app3555/l  -0.366 1.673  -0.366 1.600  -0.366 1.526  -0.366 1.452  -0.359 1.380  -0.326 1.315  -0.293 1.249  -0.260 1.183  -0.227 1.117  -0.227 1.044  -0.227 0.970  -0.227 0.896  -0.216 0.827  -0.164 0.775  -0.112 0.723  -0.087 0.660  -0.087 0.586  -0.087 0.513  -0.087 0.439  -0.087 0.365  -0.087 0.292  -0.087 0.218  -0.087 0.145  -0.038 0.092  0.014 0.040  0.052 -0.018  0.052 -0.092  0.052 -0.166  0.052 -0.239  0.052 -0.313  0.052 -0.386  0.052 -0.460  0.052 -0.534  0.089 -0.592  0.141 -0.644  0.191 -0.697  0.191 -0.770  0.191 -0.844  0.191 -0.917  0.204 -0.986  0.256 -1.038  0.308 -1.090  0.330 -1.154  0.330 -1.228  0.330 -1.301  0.330 -1.375  0.330 -1.448  0.330 -1.522  0.330 -1.596  0.330 -1.669
2#app#app35#app3555/,  -0.388 1.477  -0.304 1.477  -0.219 1.477  -0.135 1.477  -0.051 1.477  -0.007 1.437  -0.007 1.352  -0.007 1.268  -0.007 1.184  -0.007 1.100  -0.007 1.015  -0.007 0.931  -0.007 0.847  -0.007 0.763  0.019 0.689  0.078 0.629  0.138 0.570  0.197 0.510  0.257 0.450  0.317 0.391  0.375 0.331  0.375 0.246  0.375 0.162  0.375 0.078  0.375 -0.006  0.345 -0.078  0.285 -0.138  0.226 -0.197  0.166 -0.257  0.107 -0.317  0.047 -0.376  -0.007 -0.438  -0.007 -0.523  -0.007 -0.607  -0.007 -0.691  -0.007 -0.775  -0.007 -0.860  -0.007 -0.944  -0.007 -1.028  -0.007 -1.112  -0.011 -1.192  -0.095 -1.192  -0.179 -1.192  -0.264 -1.192  -0.348 -1.192  -0.388 -1.237  -0.388 -1.321  -0.388 -1.405  -0.388 -1.489  -0.388 -1.574
2#app#app35#app3555/g  0.081 0.861  0.161 0.967  0.161 1.106  0.116 1.226  -0.008 1.262  -0.127 1.215  -0.242 1.141  -0.372 1.102  -0.478 1.024  -0.520 0.902  -0.618 0.804  -0.688 0.686  -0.721 0.554  -0.689 0.429  -0.591 0.331  -0.465 0.300  -0.326 0.300  -0.201 0.360  -0.071 0.389  0.027 0.488  0.126 0.586  0.224 0.684  0.241 0.816  0.241 0.768  0.292 0.650  0.321 0.524  0.321 0.385  0.401 0.279  0.437 0.149  0.481 0.021  0.481 -0.118  0.535 -0.235  0.561 -0.363  0.561 -0.501  0.561 -0.640  0.481 -0.746  0.481 -0.885  0.481 -1.024  0.410 -1.133  0.369 -1.255  0.250 -1.302  0.144 -1.382  0.081 -1.458  -0.053 -1.463  -0.189 -1.448  -0.313 -1.386  -0.418 -1.302  -0.556 -1.302  -0.662 -1.222  -0.721 -1.142
2#app#app35#app3555/r  -0.520 1.100  -0.424 1.003  -0.328 0.907  -0.272 0.794  -0.272 0.658  -0.272 0.521  -0.272 0.385  -0.272 0.249  -0.272 0.113  -0.272 -0.024  -0.272 -0.160  -0.272 -0.296  -0.272 -0.432  -0.272 -0.569  -0.272 -0.705  -0.272 -0.841  -0.272 -0.977  -0.272 -1.114  -0.190 -1.216  -0.094 -1.312  -0.024 -1.420  -0.024 -1.556  -0.024 -1.570  -0.024 -1.434  -0.024 -1.297  -0.024 -1.161  -0.024 -1.025  -0.024 -0.889  -0.024 -0.752  -0.024 -0.616  -0.024 -0.480  -0.024 -0.344  -0.024 -0.207  -0.024 -0.071  -0.024 0.065  -0.024 0.201  -0.024 0.337  0.060 0.439  0.157 0.535  0.224 0.643  0.224 0.780  0.270 0.897  0.366 0.993  0.463 1.090  0.527 1.209  0.588 1.331  0.649 1.453  0.710 1.574  0.833 1.596  0.969 1.596
2#app#app35#app3555/e  -0.564 -0.204  -0.552 -0.050  -0.410 -0.025  -0.372 0.105  -0.205 0.105  -0.038 0.105  0.107 0.158  0.225 0.276  0.343 0.394  0.502 0.414  0.669 0.414  0.681 0.568  0.841 0.584  0.960 0.702  1.118 0.723  1.135 0.873  1.126 1.032  0.959 1.032  0.792 1.032  0.639 0.999  0.521 0.881  0.355 0.877  0.194 0.863  0.076 0.745  -0.082 0.723  -0.205 0.618  -0.351 0.568  -0.487 0.491  -0.605 0.373  -0.723 0.255  -0.841 0.137  -0.959 0.019  -1.028 -0.119  -1.028 -0.286  -1.028 -0.453  -1.028 -0.620  -0.908 -0.668  -0.873 -0.800  -0.729 -0.822  -0.608 -0.933  -0.459 -0.976  -0.326 -1.060  -0.189 -1.131  -0.022 -1.131  0.145 -1.131  0.312 -1.131  0.479 -1.131  0.646 -1.131  0.813 -1.131  0.980 -1.131
2#app#app35#app3555/e  -0.885 -0.441  -0.722 -0.441  -0.716 -0.285  -0.610 -0.166  -0.473 -0.104  -0.331 -0.056  -0.216 0.059  -0.055 0.065  0.107 0.065  0.128 0.207  0.263 0.234  0.388 0.326  0.519 0.402  0.667 0.436  0.782 0.551  0.936 0.571  1.099 0.571  1.140 0.693  1.140 0.855  1.063 0.986  0.938 1.077  0.775 1.077  0.613 1.077  0.450 1.077  0.296 1.069  0.294 0.909  0.131 0.909  0.015 0.796  -0.100 0.681  -0.217 0.571  -0.379 0.571  -0.379 0.408  -0.490 0.292  -0.547 0.153  -0.600 0.012  -0.715 -0.103  -0.716 -0.265  -0.716 -0.427  -0.716 -0.590  -0.716 -0.752  -0.620 -0.875  -0.547 -1.008  -0.509 -1.154  -0.394 -1.269  -0.238 -1.285  -0.115 -1.380  0.017 -1.454  0.174 -1.477  0.320 -1.550  0.465 -1.622
