2#app#app37#app3730/!  -0.115 1.749  -0.115 1.670  -0.115 1.592  -0.115 1.514  -0.115 1.435  -0.115 1.357  -0.115 1.279  -0.115 1.200  -0.115 1.122  -0.070 1.062  -0.015 1.007  -0.008 0.932  -0.008 0.853  -0.008 0.775  -0.008 0.697  -0.008 0.618  -0.008 0.540  -0.008 0.462  -0.008 0.383  -0.008 0.305  -0.008 0.227  -0.008 0.148  -0.008 0.070  0.024 0.005  0.079 -0.050  0.099 -0.020  0.098 0.015  0.093 -0.063  0.088 -0.141  0.083 -0.219  0.078 -0.297  0.073 -0.375  0.069 -0.454  0.064 -0.532  0.059 -0.610  0.054 -0.688  0.049 -0.766  0.044 -0.844  0.039 -0.923  0.034 -1.001  0.030 -1.079  0.025 -1.157  0.020 -1.235  0.015 -1.313  0.010 -1.391  0.005 -1.470  0.000 -1.548  -0.005 -1.626  -0.008 -1.647  -0.008 -1.568
2#app#app37#app3730/@  0.533 0.191  0.380 0.347  0.223 0.501  -0.025 0.650  -0.233 0.459  -0.233 0.150  -0.386 -0.006  -0.386 -0.316  -0.386 -0.625  -0.233 -0.781  -0.085 -1.029  0.025 -0.777  0.074 -0.488  0.074 -0.179  0.074 0.131  0.074 0.248  0.074 -0.062  0.146 -0.341  0.227 -0.617  0.424 -0.729  0.533 -0.528  0.533 -0.219  0.679 0.030  0.686 0.336  0.840 0.582  0.752 0.803  0.646 1.038  0.492 1.304  0.380 1.567  0.137 1.723  -0.145 1.657  -0.409 1.547  -0.539 1.292  -0.783 1.173  -0.846 0.890  -0.846 0.580  -0.846 0.271  -0.880 -0.030  -0.999 -0.312  -0.859 -0.563  -0.846 -0.867  -0.693 -1.023  -0.483 -1.245  -0.213 -1.342  0.096 -1.342  0.380 -1.316  0.508 -1.060  0.686 -0.824  0.838 -0.578  0.840 -0.269
2#app#app37#app3730/#  -0.426 1.219  -0.426 0.791  -0.426 0.364  -0.426 -0.064  -0.426 -0.491  -0.410 -0.836  -0.251 -0.439  -0.092 -0.042  0.066 0.354  0.225 0.751  0.384 1.148  0.543 1.545  0.447 1.702  0.447 1.275  0.447 0.847  0.376 0.449  0.273 0.065  0.277 -0.362  0.447 -0.749  0.447 -1.177  0.418 -0.871  -0.004 -0.801  -0.426 -0.730  -0.847 -0.660  -1.269 -0.590  -1.648 -0.483  -1.387 -0.266  -1.034 -0.087  -0.641 -0.003  -0.276 0.147  0.100 0.348  0.456 0.521  0.883 0.521  1.311 0.521  1.271 0.821  0.935 0.560  0.576 0.329  0.216 0.098  -0.144 -0.133  -0.503 -0.365  -0.863 -0.596  -1.222 -0.827  -0.962 -0.876  -0.607 -0.701  -0.179 -0.701  0.248 -0.701  0.604 -0.527  0.911 -0.237  1.265 -0.058  1.320 -0.003
2#app#app37#app3730/$  0.356 0.995  0.115 0.922  -0.116 0.827  -0.318 0.658  -0.519 0.490  -0.750 0.394  -0.823 0.489  -0.823 0.220  -0.787 -0.015  -0.516 -0.015  -0.245 -0.015  0.026 -0.015  0.297 -0.015  0.555 -0.046  0.746 -0.237  0.970 -0.352  1.072 -0.520  1.197 -0.666  1.029 -0.867  0.916 -1.025  0.814 -1.193  0.543 -1.193  0.272 -1.193  0.001 -1.193  -0.270 -1.193  -0.541 -1.193  -0.654 -1.036  -0.654 -0.765  -0.604 -0.501  -0.535 -0.239  -0.465 0.022  -0.395 0.284  -0.325 0.546  -0.256 0.807  -0.186 1.069  -0.116 1.331  -0.046 1.592  0.019 1.819  0.019 1.548  0.019 1.277  0.019 1.006  0.019 0.735  0.019 0.464  0.019 0.194  0.019 -0.077  0.135 -0.300  0.187 -0.549  0.187 -0.820  0.187 -1.091  0.187 -1.362
2#app#app37#app3730/%  -0.558 1.261  -0.816 1.133  -0.978 0.917  -1.118 0.688  -1.118 0.400  -0.978 0.253  -0.812 0.116  -0.572 0.002  -0.558 0.276  -0.419 0.505  -0.558 0.653  -0.628 0.911  -0.698 1.073  -0.838 1.037  -0.635 1.121  -0.368 1.171  -0.118 1.261  0.141 1.233  0.166 0.956  0.281 0.716  0.141 0.487  0.104 0.208  0.001 -0.055  -0.028 -0.336  -0.139 -0.597  -0.271 -0.830  -0.419 -1.056  -0.279 -1.203  -0.139 -1.164  0.001 -1.016  0.218 -0.900  0.362 -0.837  0.362 -0.648  0.475 -0.384  0.589 -0.120  0.699 0.139  0.571 -0.118  0.442 -0.375  0.314 -0.632  0.281 -0.911  0.281 -1.199  0.510 -1.257  0.728 -1.090  0.841 -0.849  1.077 -0.741  1.120 -0.472  1.120 -0.185  0.950 0.032  0.708 0.142  0.561 0.282
2#app#app37#app3730/^  0.024 0.632  0.024 0.445  0.024 0.258  0.024 0.071  -0.057 -0.083  -0.189 -0.215  -0.293 -0.359  -0.293 -0.546  -0.293 -0.733  -0.293 -0.920  -0.446 -0.954  -0.611 -0.977  -0.611 -1.164  -0.611 -1.351  -0.611 -1.538  -0.611 -1.452  -0.611 -1.265  -0.611 -1.078  -0.611 -0.891  -0.611 -0.704  -0.557 -0.529  -0.473 -0.362  -0.390 -0.195  -0.306 -0.027  -0.293 0.157  -0.293 0.344  -0.293 0.531  -0.233 0.693  -0.101 0.825  0.024 0.960  0.024 1.147  0.024 1.334  0.024 1.521  0.149 1.583  0.336 1.583  0.341 1.402  0.341 1.215  0.341 1.028  0.341 0.841  0.341 0.654  0.458 0.515  0.590 0.383  0.658 0.224  0.658 0.037  0.763 -0.107  0.895 -0.239  0.975 -0.393  0.975 -0.580  0.975 -0.767  0.975 -0.954
2#app#app37#app3730/&  1.294 -1.011  1.294 -1.179  1.267 -1.011  1.113 -0.971  1.059 -0.830  0.884 -0.782  0.747 -0.645  0.609 -0.507  0.446 -0.406  0.272 -0.319  0.153 -0.177  0.066 -0.003  -0.049 0.151  -0.153 0.302  -0.196 0.478  -0.333 0.616  -0.471 0.753  -0.608 0.891  -0.695 1.049  -0.695 1.244  -0.626 1.409  -0.477 1.521  -0.283 1.521  -0.153 1.456  -0.153 1.262  -0.217 1.094  -0.334 0.948  -0.334 0.754  -0.359 0.565  -0.446 0.391  -0.515 0.213  -0.515 0.019  -0.563 -0.156  -0.695 -0.295  -0.695 -0.490  -0.695 -0.684  -0.695 -0.879  -0.634 -1.011  -0.439 -1.011  -0.245 -1.011  -0.050 -1.011  0.028 -0.895  0.120 -0.739  0.209 -0.581  0.267 -0.411  0.390 -0.267  0.414 -0.083  0.551 0.055  0.571 0.241  0.571 0.435
2#app#app37#app3730/*  -0.113 1.139  -0.053 0.860  0.106 0.622  0.179 0.335  0.315 0.063  0.325 -0.239  0.325 -0.543  0.325 -0.847  0.325 -1.151  0.139 -1.269  0.054 -1.051  -0.113 -0.914  -0.270 -0.675  -0.485 -0.460  -0.700 -0.245  -0.770 0.030  -0.975 0.249  -1.190 0.464  -1.486 0.482  -1.501 0.482  -1.197 0.482  -0.893 0.482  -0.589 0.482  -0.363 0.294  -0.072 0.263  0.232 0.263  0.536 0.263  0.840 0.263  1.144 0.263  1.448 0.263  1.638 0.377  1.638 0.681  1.419 0.766  1.270 0.920  1.034 0.754  0.755 0.694  0.539 0.482  0.261 0.419  0.046 0.204  -0.192 0.044  -0.448 -0.071  -0.663 -0.286  -0.922 -0.394  -0.989 -0.631  -0.886 -0.832  -0.582 -0.832  -0.278 -0.832  0.026 -0.832  0.265 -0.673  0.544 -0.613
2#app#app37#app3730/(  0.277 1.677  0.277 1.599  0.263 1.526  0.208 1.470  0.152 1.415  0.141 1.341  0.138 1.264  0.082 1.208  0.027 1.153  0.004 1.084  0.004 1.005  -0.026 0.934  -0.061 0.863  -0.096 0.793  -0.131 0.723  -0.133 0.645  -0.145 0.571  -0.200 0.515  -0.256 0.460  -0.270 0.387  -0.270 0.309  -0.270 0.230  -0.270 0.151  -0.270 0.073  -0.270 -0.006  -0.270 -0.084  -0.270 -0.163  -0.270 -0.241  -0.270 -0.320  -0.270 -0.398  -0.270 -0.477  -0.239 -0.543  -0.183 -0.598  -0.133 -0.656  -0.133 -0.734  -0.113 -0.805  -0.058 -0.860  -0.002 -0.916  0.004 -0.992  0.012 -1.067  0.068 -1.123  0.123 -1.178  0.195 -1.196  0.273 -1.196  0.352 -1.196  0.426 -1.207  0.481 -1.262  0.537 -1.318  0.551 -1.391  0.551 -1.469
2#app#app37#app3730/)  -0.390 1.568  -0.390 1.492  -0.390 1.417  -0.317 1.415  -0.242 1.415  -0.237 1.344  -0.237 1.269  -0.189 1.214  -0.136 1.160  -0.085 1.106  -0.085 1.031  -0.084 0.956  -0.051 0.889  -0.017 0.821  0.017 0.754  0.050 0.687  0.068 0.616  0.068 0.540  0.083 0.468  0.117 0.401  0.150 0.334  0.184 0.267  0.217 0.199  0.221 0.125  0.221 0.050  0.221 -0.026  0.221 -0.101  0.221 -0.176  0.221 -0.252  0.221 -0.327  0.221 -0.402  0.221 -0.477  0.221 -0.553  0.221 -0.628  0.221 -0.703  0.183 -0.763  0.130 -0.816  0.077 -0.869  0.068 -0.941  0.068 -1.016  0.025 -1.074  -0.028 -1.127  -0.081 -1.180  -0.085 -1.254  -0.085 -1.329  -0.133 -1.385  -0.186 -1.438  -0.237 -1.492  -0.237 -1.567  -0.237 -1.642
2#app#app37#app3730/`  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
