2#app#app37#app3799/p  -0.263 0.965  -0.263 0.778  -0.263 0.592  -0.263 0.405  -0.263 0.218  -0.263 0.031  -0.250 -0.152  -0.177 -0.319  -0.260 -0.486  -0.182 -0.653  -0.172 -0.838  -0.172 -1.024  -0.172 -1.211  -0.172 -1.398  -0.172 -1.584  -0.172 -1.771  -0.165 -1.758  -0.089 -1.607  -0.113 -1.422  -0.136 -1.237  -0.159 -1.051  -0.182 -0.866  -0.205 -0.681  -0.228 -0.496  -0.252 -0.310  -0.275 -0.125  -0.298 0.060  -0.321 0.246  -0.344 0.431  -0.354 0.617  -0.275 0.771  -0.172 0.862  -0.135 1.039  -0.034 1.194  0.098 1.326  0.246 1.420  0.374 1.478  0.528 1.511  0.647 1.390  0.647 1.203  0.647 1.017  0.647 0.830  0.647 0.643  0.583 0.472  0.556 0.291  0.465 0.142  0.395 -0.015  0.374 -0.193  0.260 -0.333  0.101 -0.400
2#app#app37#app3799/i  -0.080 0.657  -0.080 0.536  -0.080 0.416  -0.080 0.295  -0.080 0.174  -0.080 0.053  -0.080 -0.067  -0.080 -0.188  -0.080 -0.309  -0.080 -0.430  -0.080 -0.550  -0.080 -0.671  -0.080 -0.792  -0.080 -0.913  -0.080 -1.034  -0.080 -1.154  -0.080 -1.275  -0.080 -1.396  -0.080 -1.517  0.033 -1.524  0.056 -1.425  0.056 -1.305  0.056 -1.184  0.056 -1.063  0.056 -0.942  0.056 -0.822  0.056 -0.701  0.056 -0.580  0.056 -0.459  0.056 -0.339  0.056 -0.218  0.056 -0.097  0.056 0.024  0.056 0.144  0.056 0.265  0.056 0.386  0.056 0.507  0.056 0.627  0.056 0.748  0.056 0.869  0.056 0.990  0.056 1.110  0.056 1.231  0.056 1.352  0.056 1.473  0.056 1.593  0.056 1.714  0.056 1.835  0.005 1.935  -0.080 2.020
2#app#app37#app3799/n  -0.298 1.733  -0.298 1.541  -0.298 1.349  -0.298 1.157  -0.301 0.965  -0.387 0.794  -0.451 0.617  -0.451 0.425  -0.451 0.233  -0.451 0.041  -0.451 -0.151  -0.451 -0.343  -0.451 -0.535  -0.451 -0.727  -0.451 -0.919  -0.451 -1.111  -0.451 -1.303  -0.451 -1.434  -0.451 -1.242  -0.451 -1.050  -0.451 -0.858  -0.451 -0.666  -0.451 -0.474  -0.451 -0.282  -0.451 -0.090  -0.407 0.058  -0.298 0.141  -0.298 0.333  -0.225 0.508  -0.136 0.677  -0.000 0.813  0.136 0.949  0.271 1.084  0.447 1.124  0.615 1.100  0.615 0.908  0.615 0.716  0.615 0.524  0.745 0.385  0.655 0.250  0.615 0.074  0.615 -0.118  0.660 -0.292  0.768 -0.439  0.768 -0.631  0.768 -0.823  0.768 -1.015  0.735 -1.193  0.632 -1.329  0.768 -1.465
2#app#app37#app3799/k  -0.342 2.218  -0.342 1.999  -0.405 1.806  -0.458 1.609  -0.458 1.390  -0.458 1.171  -0.458 0.953  -0.419 0.743  -0.342 0.542  -0.342 0.323  -0.342 0.104  -0.342 -0.115  -0.342 -0.334  -0.342 -0.553  -0.342 -0.772  -0.342 -0.991  -0.342 -1.210  -0.451 -1.164  -0.458 -0.948  -0.409 -0.746  -0.274 -0.574  -0.139 -0.402  -0.003 -0.229  0.132 -0.057  0.267 0.115  0.402 0.287  0.538 0.459  0.673 0.632  0.808 0.804  0.706 0.741  0.589 0.639  0.473 0.536  0.318 0.472  0.215 0.356  0.034 0.266  -0.058 0.123  -0.228 0.004  -0.342 -0.167  -0.386 -0.343  -0.342 -0.373  -0.225 -0.475  -0.107 -0.575  0.112 -0.575  0.215 -0.692  0.377 -0.829  0.556 -0.924  0.706 -1.062  0.793 -1.245  0.866 -1.434  1.055 -1.506
2#app#app37#app3799/,  0.416 1.713  0.416 1.632  0.416 1.552  0.416 1.472  0.416 1.392  0.416 1.311  0.416 1.231  0.416 1.151  0.416 1.071  0.416 0.990  0.416 0.910  0.416 0.830  0.416 0.750  0.384 0.683  0.327 0.626  0.270 0.569  0.213 0.513  0.157 0.456  0.100 0.399  0.084 0.326  0.084 0.245  0.084 0.165  0.084 0.085  0.084 0.005  0.084 -0.076  0.084 -0.156  0.084 -0.236  0.049 -0.282  -0.031 -0.282  -0.111 -0.282  -0.192 -0.282  -0.249 -0.305  -0.249 -0.385  -0.249 -0.466  -0.249 -0.546  -0.249 -0.626  -0.249 -0.706  -0.249 -0.787  -0.249 -0.867  -0.249 -0.947  -0.306 -1.004  -0.362 -1.061  -0.419 -1.117  -0.476 -1.174  -0.533 -1.231  -0.581 -1.291  -0.581 -1.371  -0.581 -1.451  -0.581 -1.532  -0.581 -1.612
2#app#app37#app3799/i  -0.078 1.139  -0.078 1.277  -0.078 1.157  -0.078 1.019  -0.078 0.881  -0.078 0.743  -0.078 0.606  -0.078 0.468  -0.078 0.330  -0.078 0.192  -0.078 0.054  -0.078 -0.084  -0.078 -0.222  -0.078 -0.360  -0.078 -0.498  -0.078 -0.636  -0.078 -0.774  -0.078 -0.911  -0.078 -1.049  -0.078 -1.187  -0.078 -1.325  -0.078 -1.463  -0.078 -1.601  0.009 -1.652  0.069 -1.574  0.069 -1.436  0.069 -1.298  0.069 -1.160  0.069 -1.022  0.069 -0.884  0.069 -0.747  0.069 -0.609  0.069 -0.471  0.069 -0.333  0.069 -0.195  0.069 -0.057  0.069 0.081  0.069 0.219  0.069 0.357  0.069 0.495  0.069 0.633  0.069 0.770  0.069 0.908  0.069 1.046  0.069 1.184  0.069 1.322  0.069 1.460  0.069 1.598  0.069 1.736  0.069 1.874
2#app#app37#app3799/s  0.466 1.378  0.371 1.425  0.276 1.473  0.176 1.500  0.099 1.471  0.086 1.378  -0.020 1.378  -0.127 1.378  -0.146 1.291  -0.196 1.205  -0.269 1.129  -0.269 1.022  -0.269 0.916  -0.269 0.810  -0.269 0.703  -0.269 0.597  -0.269 0.491  -0.259 0.388  -0.184 0.313  -0.109 0.238  -0.033 0.163  0.042 0.088  0.125 0.031  0.221 0.021  0.221 -0.085  0.321 -0.092  0.344 -0.176  0.392 -0.262  0.466 -0.338  0.466 -0.444  0.466 -0.550  0.466 -0.657  0.466 -0.763  0.466 -0.869  0.440 -0.949  0.336 -0.957  0.261 -1.032  0.171 -1.072  0.075 -1.096  -0.000 -1.171  -0.097 -1.194  -0.203 -1.194  -0.310 -1.194  -0.391 -1.169  -0.400 -1.072  -0.506 -1.072  -0.514 -0.973  -0.572 -0.891  -0.636 -0.811  -0.636 -0.704
2#app#app37#app3799/t  0.065 2.177  0.065 2.026  0.065 1.876  0.065 1.726  0.065 1.576  0.065 1.425  0.065 1.275  0.065 1.125  0.065 0.974  0.065 0.824  0.065 0.674  0.065 0.524  0.065 0.373  0.065 0.223  0.065 0.073  0.065 -0.077  0.065 -0.228  0.065 -0.378  0.065 -0.528  0.065 -0.678  0.113 -0.809  0.198 -0.924  0.198 -1.074  0.198 -1.224  0.198 -1.374  0.198 -1.331  0.102 -1.234  -0.026 -1.154  -0.153 -1.075  -0.280 -0.995  -0.408 -0.915  -0.535 -0.836  -0.663 -0.756  -0.790 -0.676  -0.830 -0.587  -0.724 -0.481  -0.617 -0.374  -0.603 -0.230  -0.458 -0.220  -0.323 -0.153  -0.187 -0.093  -0.046 -0.070  0.060 0.036  0.166 0.142  0.303 0.174  0.453 0.174  0.602 0.178  0.708 0.284  0.849 0.308  0.999 0.308
2#app#app37#app3799/h  -0.389 2.096  -0.389 1.925  -0.389 1.753  -0.389 1.581  -0.389 1.409  -0.389 1.237  -0.389 1.066  -0.389 0.894  -0.389 0.722  -0.389 0.550  -0.389 0.379  -0.389 0.207  -0.389 0.035  -0.389 -0.137  -0.389 -0.309  -0.389 -0.480  -0.389 -0.652  -0.389 -0.824  -0.389 -0.996  -0.389 -1.168  -0.389 -1.339  -0.274 -1.363  -0.274 -1.191  -0.274 -1.020  -0.274 -0.848  -0.186 -0.712  -0.158 -0.552  -0.158 -0.380  -0.149 -0.212  -0.042 -0.085  -0.042 0.087  0.074 0.143  0.125 0.294  0.190 0.438  0.286 0.570  0.334 0.706  0.505 0.706  0.653 0.682  0.653 0.510  0.653 0.339  0.653 0.167  0.653 -0.005  0.653 -0.177  0.653 -0.348  0.653 -0.520  0.653 -0.692  0.653 -0.864  0.653 -1.036  0.653 -1.207  0.653 -1.379
2#app#app37#app3799/e  -0.406 -0.287  -0.374 -0.141  -0.215 -0.096  -0.089 0.030  0.033 0.157  0.069 0.298  0.179 0.366  0.179 0.544  0.310 0.591  0.326 0.753  0.373 0.883  0.472 0.962  0.472 1.140  0.472 1.318  0.445 1.469  0.267 1.469  0.116 1.405  -0.028 1.322  -0.113 1.230  -0.237 1.176  -0.266 1.023  -0.392 0.897  -0.411 0.727  -0.491 0.568  -0.552 0.404  -0.552 0.227  -0.552 0.049  -0.552 -0.129  -0.552 -0.307  -0.552 -0.485  -0.552 -0.662  -0.552 -0.840  -0.552 -1.018  -0.552 -1.196  -0.508 -1.355  -0.372 -1.457  -0.195 -1.457  -0.017 -1.457  0.123 -1.367  0.278 -1.311  0.326 -1.181  0.341 -1.019  0.472 -0.972  0.472 -0.794  0.550 -0.648  0.618 -0.499  0.618 -0.321  0.618 -0.143  0.742 -0.017  0.765 0.152
2#app#app37#app3799/r  -0.298 0.834  -0.298 0.701  -0.298 0.567  -0.298 0.434  -0.298 0.300  -0.298 0.167  -0.298 0.033  -0.298 -0.100  -0.298 -0.234  -0.298 -0.367  -0.298 -0.501  -0.298 -0.634  -0.298 -0.768  -0.298 -0.901  -0.298 -1.035  -0.298 -1.168  -0.298 -1.302  -0.298 -1.435  -0.298 -1.568  -0.298 -1.509  -0.298 -1.376  -0.272 -1.248  -0.212 -1.129  -0.153 -1.010  -0.146 -0.878  -0.146 -0.744  -0.146 -0.611  -0.146 -0.477  -0.146 -0.344  -0.146 -0.211  -0.146 -0.077  -0.146 0.056  -0.146 0.190  -0.146 0.323  -0.089 0.433  0.006 0.528  0.007 0.661  0.119 0.682  0.159 0.775  0.212 0.887  0.306 0.981  0.438 0.986  0.540 1.062  0.641 1.139  0.773 1.143  0.868 1.237  0.979 1.291  1.074 1.329  1.093 1.444  1.227 1.444
