2#app#app40#app4047/a  0.298 1.348  0.131 1.348  0.098 1.481  -0.003 1.547  -0.102 1.480  -0.102 1.313  -0.103 1.148  -0.270 1.148  -0.301 1.013  -0.373 0.876  -0.491 0.759  -0.609 0.641  -0.700 0.512  -0.704 0.347  -0.821 0.229  -0.900 0.095  -0.900 -0.072  -0.900 -0.238  -0.900 -0.405  -0.900 -0.572  -0.900 -0.738  -0.860 -0.888  -0.742 -1.006  -0.592 -1.047  -0.426 -1.047  -0.259 -1.047  -0.093 -1.047  0.074 -1.047  0.098 -0.905  0.208 -0.848  0.298 -0.771  0.329 -0.617  0.446 -0.500  0.497 -0.354  0.497 -0.187  0.497 -0.021  0.497 0.146  0.497 0.312  0.497 0.479  0.497 0.453  0.497 0.287  0.497 0.120  0.497 -0.047  0.613 -0.165  0.697 -0.297  0.708 -0.459  0.825 -0.577  0.963 -0.648  1.096 -0.681  1.096 -0.848
2#app#app40#app4047/q  0.160 0.743  0.160 0.893  0.160 1.044  0.160 1.194  0.122 1.305  -0.029 1.305  -0.179 1.305  -0.262 1.238  -0.316 1.110  -0.415 0.998  -0.482 0.864  -0.553 0.732  -0.660 0.626  -0.683 0.486  -0.683 0.335  -0.683 0.185  -0.678 0.040  -0.528 0.040  -0.378 0.040  -0.237 0.064  -0.131 0.170  -0.121 0.316  0.023 0.325  0.129 0.431  0.160 0.568  0.160 0.719  0.286 0.743  0.301 0.607  0.198 0.500  0.160 0.365  0.160 0.215  0.160 0.064  0.160 -0.086  0.160 -0.236  0.095 -0.371  0.028 -0.506  0.020 -0.654  0.020 -0.804  0.020 -0.954  0.020 -1.105  0.020 -1.255  0.047 -1.394  0.154 -1.500  0.160 -1.648  0.311 -1.648  0.455 -1.634  0.562 -1.527  0.703 -1.507  0.723 -1.376  0.863 -1.366
2#app#app40#app4047/u  -1.111 1.141  -1.111 0.977  -1.111 0.812  -1.111 0.648  -1.111 0.484  -1.111 0.320  -1.002 0.200  -0.903 0.077  -0.903 -0.087  -0.903 -0.251  -0.903 -0.416  -0.903 -0.580  -0.903 -0.744  -0.903 -0.909  -0.768 -0.938  -0.630 -1.002  -0.514 -1.119  -0.361 -1.145  -0.221 -1.087  -0.105 -0.971  0.011 -0.855  0.127 -0.738  0.244 -0.622  0.344 -0.500  0.344 -0.335  0.445 -0.213  0.552 -0.093  0.552 0.071  0.552 0.236  0.552 0.400  0.552 0.564  0.552 0.729  0.552 0.893  0.428 0.933  0.344 1.013  0.344 1.104  0.344 0.940  0.344 0.775  0.344 0.611  0.414 0.517  0.552 0.490  0.552 0.326  0.552 0.162  0.625 0.028  0.742 -0.088  0.858 -0.204  0.976 -0.314  1.141 -0.314  1.267 -0.406  1.383 -0.522
2#app#app40#app4047/i  0.148 -0.047  0.148 -0.149  0.148 -0.251  0.148 -0.353  0.148 -0.455  0.187 -0.541  0.259 -0.614  0.331 -0.686  0.375 -0.770  0.375 -0.872  0.375 -0.974  0.375 -1.076  0.375 -1.178  0.375 -1.281  0.375 -1.383  0.356 -1.345  0.328 -1.247  0.300 -1.149  0.272 -1.050  0.244 -0.952  0.215 -0.854  0.187 -0.756  0.159 -0.658  0.131 -0.559  0.103 -0.461  0.075 -0.363  0.047 -0.265  0.019 -0.166  -0.009 -0.068  -0.037 0.030  -0.065 0.128  -0.093 0.227  -0.121 0.325  -0.149 0.423  -0.177 0.521  -0.206 0.620  -0.234 0.718  -0.262 0.816  -0.290 0.914  -0.318 1.012  -0.346 1.111  -0.374 1.209  -0.402 1.307  -0.430 1.405  -0.458 1.504  -0.486 1.602  -0.514 1.700  -0.536 1.752  -0.536 1.650  -0.536 1.548
2#app#app40#app4047/c  0.517 1.446  0.424 1.446  0.331 1.446  0.267 1.417  0.267 1.324  0.267 1.231  0.209 1.197  0.116 1.197  0.023 1.197  0.018 1.109  0.018 1.016  0.001 0.930  -0.065 0.864  -0.130 0.799  -0.196 0.733  -0.262 0.667  -0.328 0.602  -0.393 0.536  -0.459 0.470  -0.481 0.387  -0.481 0.294  -0.481 0.201  -0.481 0.108  -0.481 0.015  -0.481 -0.078  -0.481 -0.171  -0.481 -0.264  -0.481 -0.357  -0.481 -0.450  -0.481 -0.542  -0.421 -0.610  -0.356 -0.676  -0.290 -0.742  -0.221 -0.800  -0.128 -0.800  -0.035 -0.800  0.018 -0.840  0.018 -0.933  0.018 -1.026  0.087 -1.049  0.180 -1.049  0.273 -1.049  0.366 -1.049  0.459 -1.049  0.551 -1.049  0.644 -1.049  0.737 -1.049  0.830 -1.049  0.923 -1.049  1.016 -1.049
2#app#app40#app4047/k  -0.839 2.005  -0.715 1.881  -0.664 1.728  -0.592 1.583  -0.488 1.451  -0.488 1.276  -0.488 1.101  -0.488 0.926  -0.488 0.752  -0.488 0.577  -0.488 0.402  -0.488 0.227  -0.488 0.053  -0.488 -0.122  -0.488 -0.297  -0.488 -0.472  -0.488 -0.647  -0.488 -0.821  -0.488 -0.996  -0.465 -1.148  -0.313 -1.125  -0.297 -0.957  -0.174 -0.833  -0.138 -0.673  -0.014 -0.622  0.037 -0.499  0.037 -0.324  0.124 -0.185  0.212 -0.047  0.247 0.113  0.371 0.237  0.387 0.405  0.538 0.429  0.562 0.579  0.713 0.604  0.587 0.604  0.562 0.454  0.562 0.279  0.457 0.148  0.387 0.002  0.387 -0.173  0.387 -0.347  0.387 -0.522  0.387 -0.697  0.387 -0.872  0.461 -0.972  0.614 -1.025  0.738 -1.148  0.913 -1.148  1.088 -1.148
2#app#app40#app4047/b  -0.723 1.980  -0.723 1.848  -0.723 1.716  -0.723 1.583  -0.723 1.451  -0.675 1.339  -0.581 1.245  -0.575 1.116  -0.575 0.983  -0.510 0.878  -0.427 0.780  -0.427 0.648  -0.427 0.516  -0.427 0.383  -0.427 0.251  -0.368 0.143  -0.278 0.048  -0.278 -0.084  -0.278 -0.217  -0.278 -0.349  -0.215 -0.455  -0.130 -0.552  -0.130 -0.685  -0.002 -0.689  0.018 -0.576  0.018 -0.444  0.075 -0.335  0.166 -0.241  0.166 -0.108  0.166 0.024  0.166 0.156  0.254 0.201  0.315 0.130  0.370 0.053  0.463 0.013  0.463 -0.119  0.468 -0.249  0.562 -0.343  0.611 -0.454  0.632 -0.582  0.691 -0.700  0.750 -0.818  0.759 -0.949  0.759 -1.081  0.680 -1.133  0.611 -1.197  0.563 -1.282  0.431 -1.282  0.299 -1.282  0.166 -1.282
2#app#app40#app4047/r  -0.889 -0.382  -0.819 -0.451  -0.750 -0.521  -0.680 -0.590  -0.611 -0.660  -0.541 -0.729  -0.482 -0.803  -0.482 -0.901  -0.482 -0.999  -0.482 -1.098  -0.482 -1.196  -0.383 -1.196  -0.285 -1.196  -0.187 -1.196  -0.089 -1.196  -0.074 -1.112  -0.074 -1.014  -0.074 -0.915  -0.074 -0.817  -0.074 -0.719  -0.074 -0.620  -0.074 -0.522  -0.074 -0.424  -0.074 -0.325  -0.074 -0.227  -0.074 -0.129  -0.074 -0.030  -0.074 0.068  -0.074 0.166  -0.074 0.264  -0.074 0.363  -0.055 0.453  0.015 0.522  0.085 0.592  0.154 0.661  0.224 0.731  0.293 0.800  0.333 0.882  0.333 0.981  0.333 1.079  0.333 1.177  0.361 1.247  0.459 1.247  0.558 1.247  0.656 1.247  0.754 1.247  0.852 1.247  0.951 1.247  1.049 1.247  1.147 1.247
2#app#app40#app4047/o  -0.198 1.274  -0.339 1.274  -0.480 1.274  -0.490 1.143  -0.490 1.002  -0.490 0.861  -0.490 0.720  -0.490 0.578  -0.490 0.437  -0.591 0.397  -0.732 0.397  -0.783 0.306  -0.783 0.165  -0.783 0.024  -0.783 -0.117  -0.783 -0.259  -0.783 -0.400  -0.783 -0.541  -0.783 -0.682  -0.732 -0.773  -0.591 -0.773  -0.490 -0.813  -0.490 -0.955  -0.460 -1.065  -0.318 -1.065  -0.177 -1.065  -0.036 -1.065  0.102 -1.058  0.202 -0.958  0.302 -0.858  0.408 -0.773  0.549 -0.773  0.687 -0.766  0.787 -0.666  0.887 -0.566  0.972 -0.460  0.972 -0.319  0.972 -0.178  0.972 -0.037  0.972 0.105  0.972 0.246  0.972 0.387  0.879 0.490  0.779 0.590  0.680 0.689  0.580 0.789  0.480 0.889  0.377 0.982  0.236 0.982  0.095 0.982
2#app#app40#app4047/w  -1.310 0.855  -1.310 0.695  -1.310 0.534  -1.310 0.374  -1.231 0.246  -1.117 0.132  -1.044 0.002  -1.044 -0.159  -1.044 -0.319  -1.044 -0.480  -1.044 -0.641  -0.980 -0.737  -0.819 -0.737  -0.694 -0.651  -0.580 -0.538  -0.514 -0.405  -0.514 -0.244  -0.392 -0.206  -0.236 -0.194  -0.123 -0.080  -0.009 0.033  0.017 0.183  0.017 0.344  0.017 0.504  0.017 0.665  0.017 0.826  0.017 0.724  0.017 0.564  0.017 0.403  0.017 0.243  0.017 0.082  0.017 -0.079  0.040 -0.229  0.154 -0.343  0.267 -0.456  0.422 -0.471  0.582 -0.471  0.743 -0.471  0.903 -0.471  1.064 -0.471  1.224 -0.471  1.343 -0.429  1.343 -0.269  1.343 -0.108  1.343 0.052  1.343 0.213  1.343 0.374  1.343 0.534  1.343 0.695  1.343 0.855
2#app#app40#app4047/n  -0.992 0.717  -0.992 0.548  -0.992 0.380  -0.992 0.211  -0.992 0.042  -0.992 -0.126  -0.992 -0.295  -0.992 -0.464  -0.992 -0.632  -0.992 -0.801  -0.992 -0.969  -0.947 -1.032  -0.828 -0.912  -0.709 -0.793  -0.590 -0.674  -0.470 -0.555  -0.394 -0.418  -0.394 -0.249  -0.295 -0.179  -0.126 -0.179  -0.095 -0.042  -0.090 0.125  0.029 0.244  0.148 0.363  0.204 0.509  0.204 0.677  0.204 0.846  0.204 1.015  0.204 1.183  0.241 1.314  0.410 1.314  0.502 1.238  0.502 1.070  0.502 0.901  0.502 0.732  0.502 0.564  0.502 0.395  0.502 0.227  0.502 0.058  0.502 -0.111  0.602 -0.179  0.771 -0.179  0.801 -0.318  0.801 -0.486  0.801 -0.655  0.848 -0.777  1.016 -0.777  1.160 -0.837  1.279 -0.957  1.399 -1.076
