2#app#app40#app4087/I  -1.275 0.809  -1.101 0.809  -0.927 0.809  -0.753 0.809  -0.579 0.809  -0.405 0.809  -0.231 0.809  -0.057 0.809  0.114 0.815  0.237 0.938  0.393 0.982  0.567 0.982  0.741 0.982  0.915 0.982  0.856 0.962  0.685 0.934  0.513 0.905  0.341 0.877  0.170 0.848  -0.002 0.819  0.045 0.809  0.108 0.698  -0.004 0.636  -0.065 0.523  -0.065 0.349  -0.065 0.175  -0.065 0.001  -0.065 -0.173  -0.065 -0.347  -0.065 -0.521  -0.065 -0.695  -0.065 -0.869  -0.065 -1.043  0.060 -1.092  -0.018 -1.092  -0.192 -1.092  -0.366 -1.092  -0.540 -1.092  -0.714 -1.092  -0.625 -1.092  -0.451 -1.092  -0.277 -1.092  -0.103 -1.092  0.031 -0.996  0.174 -0.919  0.348 -0.919  0.522 -0.919  0.675 -0.870  0.798 -0.747  0.972 -0.747
2#app#app40#app4087/f  0.767 0.507  0.926 0.507  0.958 0.634  0.958 0.793  0.958 0.952  0.927 1.080  0.768 1.080  0.767 1.238  0.642 1.271  0.483 1.271  0.324 1.271  0.165 1.271  0.006 1.271  0.003 1.115  -0.121 1.080  -0.188 0.988  -0.230 0.847  -0.343 0.734  -0.379 0.590  -0.433 0.454  -0.545 0.341  -0.570 0.193  -0.570 0.034  -0.510 -0.066  -0.379 -0.093  -0.379 -0.252  -0.379 -0.411  -0.292 -0.534  -0.188 -0.650  -0.188 -0.809  -0.188 -0.968  -0.113 -1.096  -0.000 -1.208  0.003 -1.366  0.003 -1.525  -0.037 -1.513  -0.108 -1.371  -0.179 -1.229  -0.250 -1.087  -0.321 -0.944  -0.392 -0.802  -0.464 -0.660  -0.535 -0.518  -0.489 -0.448  -0.330 -0.448  -0.176 -0.436  -0.064 -0.324  0.067 -0.257  0.226 -0.257  0.385 -0.257
2#app#app40#app4087/M  -0.683 0.149  -0.436 0.149  -0.683 0.128  -0.683 -0.141  -0.714 -0.397  -0.904 -0.588  -0.941 -0.841  -0.941 -1.110  -0.941 -1.379  -0.941 -1.149  -0.939 -0.883  -0.683 -0.870  -0.683 -0.601  -0.659 -0.342  -0.468 -0.152  -0.425 0.099  -0.425 0.368  -0.425 0.637  -0.425 0.906  -0.425 1.175  -0.683 1.177  -0.683 0.908  -0.665 0.647  -0.475 0.457  -0.425 0.208  -0.215 0.149  -0.167 -0.072  -0.167 -0.340  0.075 -0.367  0.270 -0.187  0.506 -0.109  0.607 0.060  0.786 0.149  0.865 0.340  0.865 0.609  1.077 0.665  1.123 0.889  1.123 1.157  1.123 0.937  0.867 0.923  0.865 0.657  0.865 0.388  0.834 0.149  0.607 0.108  0.607 -0.161  0.607 -0.430  0.659 -0.677  0.849 -0.867  0.865 -1.130  0.865 -1.399
2#app#app40#app4087/y  -0.504 0.925  -0.504 0.774  -0.504 0.624  -0.504 0.473  -0.504 0.322  -0.463 0.213  -0.326 0.227  -0.326 0.378  -0.189 0.391  -0.148 0.501  -0.148 0.652  -0.148 0.802  -0.148 0.953  -0.147 1.103  0.004 1.103  0.030 1.227  0.030 1.378  0.100 1.459  0.208 1.417  0.208 1.266  0.208 1.115  0.208 0.965  0.208 0.814  0.208 0.663  0.233 0.519  0.301 0.384  0.368 0.249  0.386 0.103  0.386 -0.048  0.386 -0.199  0.406 -0.341  0.513 -0.448  0.564 -0.577  0.564 -0.728  0.564 -0.878  0.564 -1.029  0.460 -1.137  0.354 -1.243  0.247 -1.350  0.113 -1.389  -0.038 -1.389  -0.189 -1.389  -0.339 -1.389  -0.490 -1.389  -0.504 -1.252  -0.504 -1.102  -0.422 -1.033  -0.326 -0.978  -0.299 -0.855  -0.148 -0.855
2#app#app40#app4087/N  -0.752 -0.563  -0.752 -0.375  -0.649 -0.229  -0.527 -0.101  -0.716 -0.101  -0.752 -0.253  -0.752 -0.441  -0.752 -0.629  -0.752 -0.818  -0.752 -1.006  -0.752 -0.857  -0.752 -0.669  -0.752 -0.481  -0.752 -0.292  -0.752 -0.104  -0.752 0.084  -0.652 0.231  -0.521 0.365  -0.521 0.554  -0.521 0.742  -0.521 0.930  -0.521 1.119  -0.521 1.267  -0.521 1.079  -0.521 0.891  -0.434 0.738  -0.301 0.605  -0.290 0.421  -0.198 0.271  -0.065 0.138  0.068 0.004  0.173 -0.140  0.173 -0.329  0.358 -0.332  0.404 -0.474  0.504 -0.563  0.636 -0.619  0.649 -0.795  0.837 -0.795  0.979 -0.682  1.112 -0.549  1.246 -0.416  1.330 -0.263  1.330 -0.074  1.330 0.114  1.330 0.302  1.330 0.491  1.330 0.679  1.330 0.868  1.330 1.056
2#app#app40#app4087/a  0.434 1.035  0.434 1.221  0.434 1.406  0.301 1.460  0.116 1.460  -0.070 1.460  -0.255 1.460  -0.416 1.435  -0.416 1.249  -0.416 1.063  -0.416 0.878  -0.416 0.692  -0.489 0.537  -0.620 0.406  -0.752 0.275  -0.841 0.126  -0.841 -0.060  -0.841 -0.245  -0.841 -0.431  -0.841 -0.617  -0.841 -0.802  -0.841 -0.988  -0.755 -1.088  -0.570 -1.088  -0.384 -1.088  -0.199 -1.088  -0.013 -1.088  0.009 -0.925  0.009 -0.739  0.119 -0.664  0.305 -0.664  0.434 -0.607  0.434 -0.421  0.434 -0.236  0.434 -0.050  0.434 0.135  0.434 0.321  0.434 0.507  0.434 0.529  0.434 0.343  0.434 0.157  0.434 -0.028  0.434 -0.214  0.434 -0.399  0.434 -0.585  0.541 -0.664  0.726 -0.664  0.858 -0.717  0.858 -0.903  0.858 -1.088
2#app#app40#app4087/m  -1.411 0.304  -1.411 0.098  -1.411 -0.108  -1.411 -0.314  -1.411 -0.521  -1.411 -0.727  -1.208 -0.730  -1.152 -0.580  -1.054 -0.472  -0.894 -0.426  -0.894 -0.220  -0.694 -0.213  -0.635 -0.066  -0.541 0.046  -0.377 0.088  -0.377 0.294  -0.377 0.500  -0.233 0.563  -0.118 0.654  -0.118 0.783  -0.118 0.576  -0.254 0.427  -0.377 0.271  -0.377 0.065  -0.377 -0.141  -0.377 -0.347  -0.294 -0.472  -0.088 -0.472  0.118 -0.472  0.141 -0.288  0.272 -0.213  0.399 -0.134  0.426 0.046  0.632 0.046  0.785 0.173  0.931 0.319  1.077 0.465  1.223 0.610  1.368 0.756  1.434 0.708  1.372 0.563  1.175 0.554  1.175 0.348  1.060 0.189  0.916 0.042  0.916 -0.164  0.916 -0.370  0.916 -0.576  0.969 -0.730  1.175 -0.730
2#app#app40#app4087/e  -0.919 0.085  -0.728 0.085  -0.610 0.013  -0.610 -0.178  -0.465 -0.224  -0.275 -0.224  -0.084 -0.224  0.107 -0.224  0.298 -0.224  0.438 -0.103  0.573 0.032  0.742 0.085  0.932 0.085  0.935 0.273  0.935 0.464  0.935 0.655  0.935 0.846  0.935 1.036  0.935 1.227  0.838 1.321  0.647 1.321  0.506 1.202  0.371 1.067  0.203 1.012  0.013 1.012  0.008 0.826  -0.060 0.703  -0.250 0.703  -0.301 0.563  -0.323 0.394  -0.514 0.394  -0.610 0.300  -0.610 0.109  -0.610 -0.081  -0.658 -0.224  -0.849 -0.224  -0.919 -0.345  -0.919 -0.535  -0.919 -0.726  -0.866 -0.895  -0.731 -1.030  -0.591 -1.151  -0.400 -1.151  -0.209 -1.151  -0.019 -1.151  0.172 -1.151  0.363 -1.151  0.553 -1.151  0.744 -1.151  0.935 -1.151
2#app#app40#app4087/=  -1.235 0.310  -1.051 0.310  -0.971 0.413  -0.947 0.574  -0.763 0.574  -0.579 0.574  -0.394 0.574  -0.210 0.574  -0.070 0.681  0.060 0.811  0.233 0.839  0.417 0.839  0.601 0.839  0.785 0.839  0.969 0.839  1.154 0.839  1.338 0.839  1.410 0.726  1.378 0.574  1.193 0.574  1.026 0.508  0.865 0.419  0.704 0.329  0.543 0.240  0.382 0.150  0.221 0.061  0.060 -0.029  -0.101 -0.118  -0.262 -0.208  -0.423 -0.297  -0.584 -0.386  -0.745 -0.476  -0.906 -0.565  -1.067 -0.655  -1.228 -0.744  -1.111 -0.873  -0.981 -1.003  -0.801 -1.013  -0.616 -1.013  -0.442 -1.003  -0.442 -0.819  -0.328 -0.748  -0.144 -0.748  0.040 -0.748  0.224 -0.748  0.352 -0.692  0.352 -0.507  0.512 -0.484  0.697 -0.484  0.881 -0.484
2#app#app40#app4087/\"  -1.473 0.434  -1.366 0.434  -1.259 0.434  -1.153 0.434  -1.046 0.434  -0.939 0.434  -0.928 0.338  -0.928 0.231  -0.928 0.124  -0.928 0.017  -0.928 -0.090  -0.928 -0.196  -0.928 -0.303  -0.928 -0.410  -0.928 -0.517  -0.928 -0.623  -0.866 -0.615  -0.778 -0.555  -0.689 -0.496  -0.600 -0.437  -0.511 -0.378  -0.422 -0.318  -0.333 -0.259  -0.244 -0.200  -0.156 -0.141  -0.067 -0.081  0.022 -0.022  0.111 0.037  0.200 0.096  0.289 0.155  0.378 0.215  0.466 0.274  0.555 0.333  0.644 0.392  0.738 0.434  0.845 0.434  0.952 0.434  1.059 0.434  1.166 0.434  1.251 0.412  1.251 0.305  1.251 0.198  1.251 0.092  1.251 -0.015  1.251 -0.122  1.251 -0.229  1.251 -0.336  1.251 -0.442  1.251 -0.549  1.251 -0.656
2#app#app40#app4087/Y  -1.152 0.751  -0.983 0.751  -0.930 0.635  -0.866 0.530  -0.709 0.518  -0.709 0.349  -0.581 0.308  -0.434 0.255  -0.315 0.136  -0.266 -0.013  -0.219 -0.135  -0.050 -0.135  -0.044 -0.298  -0.005 -0.252  0.054 -0.094  0.113 0.064  0.172 0.222  0.232 0.380  0.291 0.538  0.350 0.697  0.410 0.855  0.469 1.013  0.528 1.171  0.588 1.329  0.620 1.339  0.620 1.170  0.620 1.001  0.620 0.832  0.532 0.751  0.398 0.716  0.398 0.547  0.398 0.378  0.299 0.308  0.177 0.261  0.177 0.092  0.177 -0.076  0.177 -0.245  0.136 -0.397  0.017 -0.517  -0.044 -0.660  -0.044 -0.829  -0.044 -0.998  -0.044 -1.167  -0.044 -1.336  -0.044 -1.505  -0.044 -1.674  -0.202 -1.685  -0.266 -1.790  -0.266 -1.959  -0.266 -2.128
