2#app#app41#app4122/p  -0.569 0.399  -0.404 0.392  -0.392 0.234  -0.240 0.215  -0.240 0.044  -0.240 -0.127  -0.240 -0.298  -0.240 -0.469  -0.240 -0.640  -0.240 -0.811  -0.176 -0.919  -0.075 -0.989  -0.075 -1.160  -0.075 -1.331  -0.075 -1.502  -0.075 -1.673  0.027 -1.742  0.090 -1.634  0.090 -1.463  0.090 -1.291  0.090 -1.120  0.090 -0.949  -0.010 -0.819  -0.075 -0.675  -0.075 -0.504  -0.075 -0.333  -0.075 -0.162  -0.075 0.009  -0.075 0.180  -0.075 0.351  -0.075 0.522  -0.167 0.655  -0.240 0.796  -0.240 0.967  -0.240 1.138  -0.178 1.284  -0.050 1.387  0.090 1.418  0.128 1.552  0.286 1.520  0.407 1.399  0.528 1.278  0.584 1.130  0.584 0.959  0.584 0.788  0.505 0.650  0.419 0.514  0.380 0.360  0.259 0.239  0.090 0.234
2#app#app41#app4122/a  0.438 1.270  0.305 1.403  0.172 1.537  0.039 1.651  -0.094 1.518  -0.227 1.385  -0.341 1.244  -0.341 1.055  -0.351 0.871  -0.484 0.738  -0.617 0.605  -0.731 0.464  -0.731 0.276  -0.731 0.087  -0.731 -0.101  -0.731 -0.289  -0.731 -0.477  -0.731 -0.666  -0.731 -0.854  -0.731 -1.042  -0.617 -1.183  -0.484 -1.316  -0.351 -1.449  -0.167 -1.459  0.021 -1.459  0.048 -1.298  0.048 -1.110  0.048 -0.922  0.048 -0.733  0.048 -0.545  0.048 -0.357  0.169 -0.289  0.357 -0.289  0.438 -0.182  0.438 0.006  0.438 0.194  0.438 0.383  0.438 0.571  0.438 0.759  0.438 0.813  0.438 0.625  0.438 0.437  0.438 0.249  0.438 0.060  0.438 -0.128  0.465 -0.289  0.653 -0.289  0.828 -0.303  0.828 -0.491  0.828 -0.679
2#app#app41#app4122/s  0.755 1.161  0.648 1.161  0.540 1.161  0.433 1.161  0.325 1.161  0.218 1.161  0.110 1.161  0.003 1.161  -0.105 1.161  -0.212 1.161  -0.305 1.126  -0.381 1.050  -0.457 0.974  -0.533 0.898  -0.609 0.822  -0.611 0.716  -0.611 0.608  -0.611 0.501  -0.611 0.393  -0.611 0.286  -0.611 0.178  -0.546 0.136  -0.438 0.136  -0.331 0.136  -0.270 0.090  -0.270 -0.017  -0.270 -0.125  -0.243 -0.205  -0.135 -0.205  -0.028 -0.205  0.072 -0.213  0.072 -0.321  0.072 -0.428  0.072 -0.536  0.168 -0.547  0.275 -0.547  0.383 -0.547  0.414 -0.624  0.414 -0.731  0.414 -0.839  0.414 -0.946  0.414 -1.054  0.414 -1.161  0.414 -1.269  0.414 -1.376  0.414 -1.484  0.394 -1.572  0.287 -1.572  0.179 -1.572  0.072 -1.572
2#app#app41#app4122/s  0.302 1.452  0.193 1.452  0.084 1.452  -0.016 1.442  -0.016 1.333  -0.016 1.224  -0.035 1.134  -0.144 1.134  -0.253 1.134  -0.353 1.114  -0.430 1.037  -0.507 0.960  -0.585 0.882  -0.650 0.801  -0.650 0.692  -0.650 0.583  -0.650 0.474  -0.650 0.365  -0.650 0.256  -0.615 0.182  -0.506 0.182  -0.397 0.182  -0.301 0.150  -0.224 0.073  -0.147 -0.004  -0.070 -0.081  -0.016 -0.167  -0.016 -0.276  -0.016 -0.386  0.026 -0.453  0.135 -0.453  0.244 -0.453  0.353 -0.453  0.462 -0.453  0.571 -0.453  0.619 -0.514  0.619 -0.623  0.619 -0.732  0.619 -0.841  0.619 -0.950  0.619 -1.059  0.539 -1.088  0.430 -1.088  0.321 -1.088  0.302 -1.177  0.302 -1.286  0.302 -1.395  0.202 -1.405  0.093 -1.405  -0.016 -1.405
2#app#app41#app4122/e  -0.246 -0.092  -0.115 -0.092  0.016 -0.092  0.146 -0.092  0.277 -0.092  0.407 -0.092  0.538 -0.092  0.642 -0.065  0.642 0.065  0.642 0.196  0.642 0.326  0.747 0.352  0.878 0.352  1.008 0.352  1.086 0.405  1.086 0.535  1.086 0.666  1.086 0.796  0.955 0.796  0.825 0.796  0.694 0.796  0.564 0.796  0.433 0.796  0.302 0.796  0.172 0.796  0.041 0.796  -0.090 0.796  -0.220 0.796  -0.320 0.722  -0.412 0.630  -0.505 0.537  -0.597 0.445  -0.689 0.353  -0.690 0.222  -0.690 0.091  -0.690 -0.039  -0.690 -0.170  -0.690 -0.300  -0.690 -0.431  -0.690 -0.562  -0.690 -0.692  -0.690 -0.823  -0.690 -0.953  -0.690 -1.084  -0.690 -1.215  -0.690 -1.345  -0.690 -1.476  -0.690 -1.607  -0.690 -1.737  -0.690 -1.868
2#app#app41#app4122/d  0.030 -0.508  -0.151 -0.508  -0.199 -0.374  -0.285 -0.279  -0.428 -0.318  -0.428 -0.499  -0.601 -0.508  -0.657 -0.633  -0.657 -0.815  -0.657 -0.996  -0.657 -1.178  -0.657 -1.359  -0.540 -1.424  -0.359 -1.424  -0.199 -1.403  -0.199 -1.221  -0.043 -1.195  0.030 -1.087  0.030 -0.906  0.030 -0.724  0.030 -0.543  0.177 -0.508  0.259 -0.409  0.259 -0.227  0.259 -0.046  0.259 0.136  0.259 0.317  0.259 0.499  0.259 0.680  0.259 0.862  0.259 1.043  0.259 1.225  0.259 1.406  0.259 1.588  0.259 1.770  0.091 1.783  0.030 1.662  0.030 1.481  0.030 1.299  0.030 1.117  0.143 0.983  0.259 0.849  0.259 0.668  0.259 0.486  0.259 0.305  0.259 0.123  0.259 -0.058  0.259 -0.240  0.360 -0.380  0.488 -0.508
2#app#app41#app4122/t  0.354 1.980  0.354 1.800  0.354 1.620  0.354 1.440  0.354 1.261  0.354 1.081  0.354 0.901  0.278 0.753  0.151 0.626  0.124 0.457  0.124 0.278  0.124 0.098  0.124 -0.082  0.124 -0.261  0.124 -0.441  0.124 -0.621  0.138 -0.795  0.265 -0.922  0.392 -1.049  0.519 -1.176  0.672 -1.241  0.851 -1.241  1.031 -1.241  1.044 -1.075  0.949 -0.944  0.801 -0.841  0.654 -0.738  0.507 -0.635  0.360 -0.532  0.213 -0.429  0.065 -0.326  -0.082 -0.223  -0.229 -0.120  -0.376 -0.017  -0.524 0.086  -0.671 0.189  -0.818 0.292  -0.965 0.395  -1.112 0.498  -1.257 0.595  -1.257 0.416  -1.162 0.275  -1.035 0.148  -0.859 0.139  -0.714 0.056  -0.587 -0.071  -0.415 -0.091  -0.236 -0.091  -0.056 -0.091  0.124 -0.091
2#app#app41#app4122/h  -0.285 2.064  -0.285 1.917  -0.285 1.770  -0.285 1.624  -0.285 1.477  -0.285 1.330  -0.285 1.184  -0.285 1.037  -0.368 0.925  -0.472 0.821  -0.575 0.717  -0.637 0.596  -0.637 0.450  -0.637 0.303  -0.637 0.156  -0.637 0.010  -0.637 -0.137  -0.637 -0.284  -0.637 -0.430  -0.637 -0.577  -0.637 -0.724  -0.519 -0.753  -0.373 -0.753  -0.285 -0.812  -0.285 -0.958  -0.285 -1.105  -0.138 -1.105  0.009 -1.105  0.067 -1.016  0.067 -0.870  0.097 -0.753  0.243 -0.753  0.390 -0.753  0.419 -0.635  0.419 -0.488  0.419 -0.342  0.419 -0.195  0.419 -0.049  0.566 -0.049  0.712 -0.049  0.771 0.040  0.771 0.186  0.771 0.274  0.771 0.127  0.771 -0.019  0.771 -0.166  0.771 -0.313  0.771 -0.459  0.771 -0.606  0.771 -0.753
2#app#app41#app4122/r  -0.816 -1.388  -0.733 -1.388  -0.649 -1.388  -0.565 -1.388  -0.482 -1.388  -0.398 -1.388  -0.381 -1.321  -0.381 -1.238  -0.381 -1.154  -0.381 -1.070  -0.381 -0.987  -0.381 -0.903  -0.381 -0.819  -0.381 -0.736  -0.381 -0.652  -0.381 -0.568  -0.358 -0.494  -0.299 -0.435  -0.240 -0.376  -0.181 -0.316  -0.121 -0.257  -0.062 -0.198  -0.003 -0.139  0.055 -0.079  0.055 0.004  0.055 0.088  0.055 0.172  0.055 0.256  0.055 0.339  0.055 0.423  0.055 0.507  0.055 0.590  0.055 0.674  0.055 0.758  0.106 0.790  0.190 0.790  0.273 0.790  0.357 0.790  0.441 0.790  0.490 0.824  0.490 0.908  0.490 0.991  0.490 1.075  0.490 1.159  0.507 1.225  0.591 1.225  0.675 1.225  0.758 1.225  0.842 1.225  0.926 1.225
2#app#app41#app4122/o  0.302 1.172  0.145 1.172  -0.012 1.172  -0.106 1.109  -0.106 0.952  -0.106 0.796  -0.231 0.763  -0.388 0.763  -0.514 0.733  -0.514 0.576  -0.514 0.420  -0.514 0.263  -0.514 0.106  -0.514 -0.051  -0.669 -0.053  -0.826 -0.053  -0.922 -0.113  -0.922 -0.270  -0.922 -0.427  -0.835 -0.547  -0.725 -0.658  -0.614 -0.769  -0.514 -0.885  -0.514 -1.042  -0.514 -1.198  -0.436 -1.277  -0.279 -1.277  -0.122 -1.277  -0.007 -1.177  0.104 -1.066  0.215 -0.956  0.336 -0.869  0.493 -0.869  0.650 -0.869  0.710 -0.772  0.710 -0.616  0.710 -0.459  0.710 -0.302  0.710 -0.145  0.710 0.012  0.710 0.168  0.710 0.325  0.710 0.482  0.710 0.639  0.710 0.796  0.710 0.952  0.710 1.109  0.616 1.172  0.459 1.172  0.302 1.172
2#app#app41#app4122/u  -1.058 1.178  -1.058 1.040  -1.058 0.902  -1.058 0.765  -1.058 0.627  -1.058 0.490  -1.058 0.352  -1.058 0.214  -1.058 0.077  -1.058 -0.061  -1.058 -0.198  -1.058 -0.336  -1.058 -0.473  -1.058 -0.611  -1.002 -0.693  -0.865 -0.693  -0.727 -0.693  -0.590 -0.693  -0.452 -0.693  -0.314 -0.693  -0.177 -0.693  -0.063 -0.635  0.034 -0.537  0.131 -0.440  0.228 -0.343  0.326 -0.245  0.346 -0.116  0.346 0.022  0.346 0.159  0.346 0.297  0.346 0.434  0.346 0.572  0.346 0.709  0.483 0.710  0.620 0.710  0.758 0.710  0.813 0.628  0.813 0.490  0.813 0.352  0.813 0.215  0.813 0.077  0.813 -0.060  0.813 -0.198  0.923 -0.226  1.061 -0.226  1.198 -0.226  1.281 -0.280  1.281 -0.418  1.281 -0.556  1.281 -0.693
