2#tos#f1#f1018060/+  -1.200 -0.179  -1.361 -0.179  -1.521 -0.179  -1.655 -0.206  -1.543 -0.255  -1.396 -0.223  -1.282 -0.109  -1.124 -0.103  -0.964 -0.100  -0.811 -0.049  -0.654 -0.027  -0.494 -0.027  -0.333 -0.027  -0.175 -0.014  -0.022 0.037  0.137 0.048  0.297 0.048  0.458 0.048  0.606 0.090  0.739 0.179  0.894 0.200  0.972 0.251  0.901 0.394  0.829 0.538  0.757 0.682  0.685 0.825  0.613 0.969  0.539 1.109  0.379 1.109  0.218 1.109  0.058 1.109  0.013 0.994  0.013 0.833  0.013 0.673  0.050 0.523  0.139 0.390  0.164 0.237  0.164 0.076  0.224 -0.071  0.295 -0.214  0.316 -0.370  0.316 -0.531  0.316 -0.691  0.316 -0.852  0.383 -0.997  0.426 -1.151  0.465 -1.307  0.603 -1.384  0.619 -1.534  0.619 -1.695
2#tos#f1#f1018060/,  0.946 1.363  0.912 1.296  0.878 1.228  0.845 1.161  0.811 1.094  0.753 1.066  0.678 1.066  0.634 1.022  0.610 0.951  0.586 0.880  0.563 0.808  0.539 0.737  0.515 0.666  0.474 0.612  0.402 0.588  0.331 0.564  0.260 0.540  0.188 0.516  0.117 0.493  0.054 0.463  0.054 0.387  0.054 0.312  0.054 0.237  0.054 0.162  0.054 0.086  0.048 0.013  0.014 -0.054  -0.020 -0.122  -0.053 -0.189  -0.087 -0.256  -0.130 -0.318  -0.175 -0.378  -0.220 -0.438  -0.265 -0.499  -0.310 -0.559  -0.355 -0.619  -0.400 -0.679  -0.445 -0.739  -0.491 -0.799  -0.536 -0.860  -0.588 -0.913  -0.641 -0.967  -0.693 -1.021  -0.735 -1.084  -0.777 -1.146  -0.818 -1.209  -0.860 -1.271  -0.902 -1.334  -0.944 -1.396  -0.985 -1.459
2#tos#f1#f1018060/.  0.161 1.465  0.080 1.465  -0.001 1.465  -0.083 1.465  -0.164 1.465  -0.201 1.420  -0.201 1.339  -0.201 1.258  -0.201 1.177  -0.201 1.096  -0.201 1.015  -0.201 0.934  -0.201 0.853  -0.201 0.772  -0.201 0.691  -0.201 0.610  -0.201 0.529  -0.201 0.447  -0.201 0.366  -0.201 0.285  -0.201 0.204  -0.201 0.123  -0.201 0.042  -0.142 0.020  -0.060 0.020  0.021 0.020  0.102 0.020  0.161 -0.002  0.161 -0.083  0.161 -0.164  0.161 -0.245  0.161 -0.327  0.161 -0.408  0.161 -0.489  0.161 -0.570  0.161 -0.651  0.161 -0.732  0.161 -0.813  0.161 -0.894  0.161 -0.975  0.161 -1.056  0.161 -1.137  0.161 -1.219  0.161 -1.300  0.161 -1.381  0.161 -1.462  0.161 -1.543  0.161 -1.624  0.161 -1.705  0.161 -1.786
2#tos#f1#f1018060/:  0.221 1.361  0.142 1.361  0.063 1.361  -0.016 1.361  -0.095 1.361  -0.175 1.361  -0.247 1.354  -0.247 1.275  -0.177 1.267  -0.154 1.211  -0.154 1.132  -0.154 1.053  -0.154 0.974  -0.154 0.894  -0.139 0.817  -0.125 0.739  -0.110 0.661  -0.095 0.584  -0.080 0.506  -0.065 0.428  -0.051 0.351  -0.036 0.273  -0.021 0.195  -0.006 0.118  0.009 0.040  0.023 -0.038  0.038 -0.115  0.053 -0.193  0.068 -0.271  0.083 -0.349  0.097 -0.426  0.112 -0.504  0.127 -0.582  0.142 -0.659  0.157 -0.737  0.171 -0.815  0.186 -0.892  0.201 -0.970  0.216 -1.048  0.169 -1.074  0.090 -1.074  0.034 -1.097  0.034 -1.176  0.034 -1.255  0.034 -1.334  0.034 -1.413  -0.010 -1.449  -0.060 -1.478  -0.045 -1.542  0.034 -1.542
2#tos#f1#f1018060/;  -0.384 1.579  -0.441 1.521  -0.517 1.508  -0.454 1.505  -0.454 1.424  -0.454 1.343  -0.429 1.273  -0.384 1.210  -0.384 1.129  -0.384 1.048  -0.384 0.967  -0.352 0.895  -0.311 0.826  -0.269 0.756  -0.228 0.687  -0.186 0.617  -0.144 0.548  -0.103 0.478  -0.061 0.409  -0.019 0.340  0.022 0.270  0.064 0.201  0.106 0.131  0.147 0.062  0.189 -0.007  0.231 -0.077  0.272 -0.146  0.314 -0.216  0.356 -0.285  0.397 -0.355  0.439 -0.424  0.457 -0.500  0.401 -0.525  0.320 -0.525  0.317 -0.603  0.317 -0.684  0.317 -0.764  0.277 -0.805  0.247 -0.856  0.247 -0.937  0.247 -1.018  0.247 -1.099  0.226 -1.169  0.159 -1.214  0.092 -1.259  0.037 -1.310  0.037 -1.391  0.011 -1.462  -0.046 -1.519  -0.104 -1.576
2#tos#f1#f1018060/=  -1.068 0.518  -1.222 0.444  -1.391 0.376  -1.470 0.326  -1.303 0.390  -1.121 0.393  -0.948 0.451  -0.767 0.454  -0.588 0.469  -0.425 0.551  -0.251 0.582  -0.074 0.622  0.106 0.646  0.288 0.646  0.470 0.646  0.652 0.646  0.834 0.646  1.016 0.646  1.153 0.635  0.992 0.549  0.832 0.464  0.671 0.378  0.510 0.293  0.349 0.208  0.188 0.122  0.027 0.037  -0.133 -0.049  -0.294 -0.134  -0.455 -0.220  -0.616 -0.305  -0.777 -0.391  -0.876 -0.513  -0.964 -0.659  -1.034 -0.764  -0.852 -0.764  -0.669 -0.764  -0.487 -0.764  -0.305 -0.764  -0.128 -0.721  0.041 -0.657  0.204 -0.576  0.385 -0.571  0.566 -0.552  0.744 -0.516  0.918 -0.464  1.097 -0.443  1.274 -0.410  1.451 -0.379  1.633 -0.379  1.815 -0.379
2#tos#f1#f1018060/>  -0.650 0.916  -0.757 0.916  -0.864 0.916  -0.971 0.916  -0.938 0.964  -0.831 0.964  -0.724 0.964  -0.617 0.964  -0.510 0.964  -0.403 0.964  -0.307 0.927  -0.218 0.867  -0.135 0.802  -0.039 0.754  0.061 0.725  0.168 0.723  0.269 0.689  0.355 0.629  0.456 0.619  0.516 0.530  0.583 0.448  0.667 0.390  0.689 0.305  0.757 0.226  0.845 0.169  0.927 0.103  0.871 0.047  0.832 -0.044  0.781 -0.126  0.695 -0.190  0.641 -0.270  0.562 -0.337  0.477 -0.402  0.398 -0.474  0.322 -0.549  0.242 -0.619  0.141 -0.652  0.079 -0.732  0.031 -0.828  -0.058 -0.872  -0.162 -0.898  -0.240 -0.969  -0.316 -1.045  -0.364 -1.141  -0.413 -1.235  -0.520 -1.235  -0.554 -1.307  -0.554 -1.414  -0.622 -1.493  -0.602 -1.569
2#tos#f1#f1018060/?  -0.537 0.148  -0.658 0.126  -0.780 0.109  -0.907 0.109  -1.033 0.109  -1.113 0.155  -1.105 0.279  -1.056 0.395  -0.994 0.502  -0.925 0.605  -0.832 0.686  -0.746 0.766  -0.657 0.848  -0.535 0.878  -0.408 0.878  -0.293 0.923  -0.174 0.954  -0.048 0.954  0.078 0.954  0.205 0.954  0.297 0.900  0.409 0.872  0.531 0.841  0.622 0.772  0.684 0.663  0.692 0.539  0.692 0.413  0.682 0.291  0.616 0.192  0.573 0.099  0.460 0.060  0.435 -0.064  0.375 -0.169  0.266 -0.206  0.209 -0.319  0.130 -0.415  0.103 -0.532  0.078 -0.653  0.078 -0.779  0.089 -0.901  0.204 -0.928  0.297 -0.982  0.409 -1.005  0.470 -1.077  0.501 -1.199  0.531 -1.322  0.562 -1.444  0.577 -1.569  0.524 -1.673  0.423 -1.735
2#tos#f1#f1018060/@  0.013 0.631  -0.193 0.631  -0.361 0.669  -0.512 0.558  -0.557 0.366  -0.595 0.176  -0.633 -0.021  -0.595 -0.218  -0.487 -0.385  -0.392 -0.568  -0.237 -0.663  -0.035 -0.685  0.169 -0.701  0.375 -0.701  0.573 -0.668  0.698 -0.538  0.736 -0.341  0.774 -0.144  0.774 0.062  0.774 0.268  0.774 0.474  0.774 0.680  0.729 0.879  0.660 1.071  0.552 1.201  0.431 1.315  0.241 1.353  0.035 1.353  -0.139 1.277  -0.302 1.195  -0.418 1.074  -0.559 0.926  -0.605 0.726  -0.709 0.573  -0.747 0.376  -0.747 0.170  -0.747 -0.036  -0.722 -0.231  -0.671 -0.416  -0.595 -0.591  -0.528 -0.768  -0.390 -0.920  -0.222 -1.005  -0.074 -1.145  0.111 -1.195  0.317 -1.195  0.514 -1.233  0.720 -1.233  0.915 -1.206  1.116 -1.195
2#tos#f1#f1018060/[  0.332 1.334  0.285 1.287  0.210 1.248  0.118 1.248  0.027 1.248  -0.064 1.248  -0.156 1.248  -0.244 1.238  -0.328 1.206  -0.419 1.206  -0.404 1.163  -0.394 1.082  -0.393 0.992  -0.311 0.951  -0.308 0.861  -0.308 0.770  -0.308 0.679  -0.280 0.594  -0.266 0.506  -0.245 0.418  -0.213 0.333  -0.180 0.249  -0.180 0.158  -0.180 0.066  -0.180 -0.025  -0.180 -0.116  -0.180 -0.208  -0.180 -0.299  -0.180 -0.390  -0.180 -0.482  -0.148 -0.565  -0.137 -0.654  -0.137 -0.746  -0.137 -0.837  -0.137 -0.928  -0.135 -1.019  -0.095 -1.101  -0.045 -1.142  0.047 -1.142  0.138 -1.142  0.229 -1.142  0.311 -1.120  0.394 -1.099  0.486 -1.099  0.577 -1.099  0.655 -1.055  0.734 -1.014  0.825 -1.014  0.895 -0.963  0.972 -0.929
2#tos#f1#f1018060/`  -0.292 1.311  -0.372 1.311  -0.452 1.311  -0.532 1.311  -0.612 1.311  -0.634 1.252  -0.634 1.172  -0.634 1.092  -0.634 1.012  -0.608 0.943  -0.551 0.886  -0.495 0.830  -0.463 0.763  -0.463 0.683  -0.463 0.603  -0.463 0.523  -0.463 0.443  -0.463 0.363  -0.461 0.285  -0.385 0.259  -0.309 0.234  -0.233 0.209  -0.157 0.183  -0.081 0.158  -0.005 0.133  0.066 0.099  0.122 0.042  0.179 -0.014  0.226 -0.076  0.245 -0.154  0.265 -0.232  0.284 -0.309  0.303 -0.387  0.323 -0.464  0.342 -0.542  0.362 -0.620  0.381 -0.697  0.392 -0.776  0.392 -0.856  0.409 -0.929  0.466 -0.985  0.523 -1.042  0.579 -1.098  0.636 -1.155  0.692 -1.212  0.734 -1.275  0.734 -1.355  0.734 -1.435  0.734 -1.515  0.734 -1.595
