2#tos#f3#f3010058/\"  -0.346 0.524  -0.502 0.524  -0.658 0.524  -0.752 0.461  -0.768 0.321  -0.924 0.321  -1.056 0.297  -1.056 0.141  -1.056 -0.015  -1.056 -0.171  -1.056 -0.327  -1.056 -0.483  -1.056 -0.639  -1.056 -0.795  -1.056 -0.951  -0.950 -0.992  -0.845 -0.877  -0.740 -0.761  -0.635 -0.645  -0.531 -0.529  -0.426 -0.414  -0.321 -0.298  -0.216 -0.182  -0.112 -0.066  -0.007 0.049  0.098 0.165  0.202 0.281  0.307 0.397  0.412 0.512  0.517 0.628  0.621 0.744  0.726 0.860  0.831 0.975  0.936 1.091  0.902 1.062  0.792 0.951  0.770 0.804  0.770 0.648  0.784 0.495  0.854 0.356  0.872 0.204  0.872 0.048  0.872 -0.108  0.872 -0.265  0.872 -0.421  0.872 -0.577  0.872 -0.733  0.872 -0.889  0.872 -1.045  0.872 -1.201
2#tos#f3#f3010058/$  0.041 1.859  -0.080 1.783  0.001 1.642  0.001 1.445  0.001 1.248  0.001 1.051  0.001 0.854  0.177 0.766  0.353 0.678  0.530 0.589  0.644 0.602  0.538 0.693  0.341 0.693  0.282 0.831  0.108 0.854  -0.090 0.854  -0.273 0.821  -0.401 0.694  -0.519 0.558  -0.562 0.374  -0.528 0.211  -0.350 0.149  -0.158 0.130  0.039 0.130  0.232 0.145  0.424 0.170  0.540 0.090  0.644 -0.004  0.644 -0.201  0.644 -0.398  0.644 -0.595  0.606 -0.755  0.450 -0.821  0.342 -0.915  0.145 -0.915  0.012 -1.036  -0.185 -1.036  -0.352 -0.965  -0.506 -0.915  -0.643 -0.855  -0.816 -0.800  -0.815 -0.733  -0.624 -0.783  -0.433 -0.833  -0.243 -0.883  -0.190 -0.915  -0.201 -1.102  -0.173 -1.293  -0.120 -1.482  -0.120 -1.679
2#tos#f3#f3010058/%  -0.359 1.283  -0.359 1.064  -0.456 0.914  -0.391 0.734  -0.236 0.670  -0.060 0.744  -0.004 0.940  -0.139 1.025  -0.326 1.057  -0.399 1.029  -0.180 1.045  0.039 1.061  0.259 1.077  0.478 1.094  0.697 1.110  0.819 1.122  0.664 1.057  0.574 0.926  0.420 0.799  0.415 0.584  0.257 0.440  0.104 0.291  -0.020 0.111  -0.157 -0.061  -0.230 -0.266  -0.348 -0.451  -0.490 -0.618  -0.603 -0.805  -0.682 -0.998  -0.714 -1.214  -0.714 -1.434  -0.811 -1.556  -0.824 -1.442  -0.663 -1.293  -0.502 -1.144  -0.341 -0.995  -0.179 -0.846  -0.018 -0.696  0.143 -0.547  0.304 -0.398  0.448 -0.290  0.333 -0.395  0.286 -0.595  0.286 -0.815  0.442 -0.879  0.608 -0.772  0.738 -0.666  0.738 -0.447  0.674 -0.292  0.480 -0.266
2#tos#f3#f3010058/&  0.670 -0.735  0.532 -0.810  0.356 -0.710  0.293 -0.539  0.164 -0.379  -0.007 -0.297  -0.084 -0.104  -0.242 -0.043  -0.311 0.155  -0.320 0.360  -0.462 0.432  -0.462 0.646  -0.462 0.860  -0.411 1.053  -0.248 1.178  -0.072 1.290  0.110 1.342  0.211 1.455  0.411 1.514  0.621 1.530  0.760 1.455  0.821 1.303  0.821 1.089  0.746 0.950  0.712 0.755  0.524 0.662  0.444 0.528  0.331 0.395  0.213 0.295  0.180 0.084  0.070 -0.045  -0.084 -0.157  -0.172 -0.303  -0.349 -0.407  -0.462 -0.508  -0.575 -0.609  -0.588 -0.810  -0.726 -0.886  -0.839 -0.987  -0.873 -1.112  -0.764 -1.217  -0.634 -1.301  -0.420 -1.301  -0.214 -1.280  -0.122 -1.148  0.006 -1.022  0.104 -0.870  0.142 -0.672  0.293 -0.609  0.368 -0.470
2#tos#f3#f3010058/)  -0.192 1.517  -0.269 1.517  -0.297 1.467  -0.244 1.443  -0.244 1.365  -0.172 1.360  -0.119 1.320  -0.084 1.251  -0.031 1.195  0.004 1.126  0.018 1.052  0.018 0.974  0.018 0.897  0.066 0.839  0.121 0.785  0.123 0.708  0.123 0.631  0.123 0.553  0.123 0.476  0.123 0.398  0.123 0.321  0.123 0.243  0.150 0.177  0.176 0.110  0.176 0.033  0.176 -0.045  0.176 -0.122  0.176 -0.199  0.176 -0.277  0.176 -0.354  0.176 -0.432  0.176 -0.509  0.158 -0.584  0.133 -0.657  0.078 -0.688  0.058 -0.753  0.018 -0.814  0.018 -0.891  0.005 -0.963  -0.034 -1.024  -0.034 -1.102  -0.053 -1.160  -0.087 -1.204  -0.087 -1.282  -0.126 -1.331  -0.200 -1.355  -0.244 -1.400  -0.244 -1.478  -0.244 -1.555  -0.297 -1.580
2#tos#f3#f3010058/+  -0.695 0.436  -0.792 0.381  -0.860 0.297  -0.931 0.216  -0.857 0.216  -0.705 0.216  -0.553 0.216  -0.401 0.216  -0.250 0.216  -0.098 0.216  0.054 0.216  0.206 0.216  0.358 0.216  0.509 0.216  0.635 0.293  0.781 0.326  0.896 0.362  0.799 0.472  0.689 0.576  0.578 0.680  0.468 0.784  0.357 0.888  0.247 0.992  0.136 1.096  0.025 1.200  -0.092 1.271  -0.092 1.205  -0.092 1.054  -0.092 0.902  -0.092 0.750  -0.092 0.598  -0.060 0.459  -0.037 0.317  -0.037 0.166  -0.037 0.014  -0.037 -0.138  -0.037 -0.290  -0.020 -0.439  0.018 -0.584  0.018 -0.736  0.018 -0.888  0.018 -1.040  0.018 -1.192  0.018 -1.343  0.018 -1.495  0.018 -1.647  0.018 -1.799  0.018 -1.951  0.018 -2.102  0.018 -2.254
2#tos#f3#f3010058/  0.777 1.463  0.721 1.412  0.644 1.412  0.623 1.356  0.623 1.278  0.623 1.201  0.595 1.141  0.526 1.106  0.520 1.033  0.520 0.956  0.470 0.899  0.417 0.844  0.417 0.766  0.417 0.689  0.417 0.612  0.365 0.572  0.292 0.548  0.248 0.494  0.224 0.420  0.184 0.356  0.129 0.302  0.075 0.247  0.045 0.179  0.026 0.104  0.007 0.029  -0.012 -0.039  -0.076 -0.082  -0.140 -0.125  -0.148 -0.198  -0.148 -0.275  -0.156 -0.351  -0.190 -0.420  -0.239 -0.478  -0.294 -0.533  -0.332 -0.600  -0.373 -0.664  -0.415 -0.726  -0.440 -0.800  -0.457 -0.874  -0.457 -0.951  -0.457 -1.029  -0.507 -1.056  -0.508 -1.132  -0.559 -1.159  -0.636 -1.159  -0.662 -1.209  -0.662 -1.287  -0.662 -1.364  -0.662 -1.441  -0.714 -1.467
2#tos#f3#f3010058/:  0.348 1.451  0.271 1.451  0.199 1.447  0.199 1.370  0.190 1.301  0.124 1.291  0.124 1.213  0.139 1.152  0.216 1.152  0.273 1.132  0.273 1.055  0.273 0.978  0.273 0.901  0.273 0.824  0.273 0.747  0.273 0.670  0.239 0.627  0.190 0.591  0.172 0.516  0.154 0.441  0.136 0.366  0.119 0.291  0.101 0.216  0.083 0.141  0.065 0.066  0.047 -0.009  0.029 -0.084  0.011 -0.159  -0.006 -0.234  -0.024 -0.309  -0.042 -0.384  -0.060 -0.459  -0.078 -0.534  -0.096 -0.609  -0.114 -0.684  -0.131 -0.759  -0.149 -0.834  -0.167 -0.909  -0.214 -0.946  -0.251 -0.987  -0.281 -1.051  -0.336 -1.106  -0.390 -1.161  -0.401 -1.233  -0.401 -1.310  -0.401 -1.387  -0.401 -1.464  -0.401 -1.542  -0.401 -1.619  -0.326 -1.621
2#tos#f3#f3010058/<  0.777 1.507  0.679 1.507  0.665 1.423  0.610 1.382  0.585 1.290  0.525 1.228  0.467 1.165  0.412 1.086  0.343 1.017  0.274 0.948  0.202 0.882  0.121 0.828  0.041 0.771  -0.028 0.702  -0.097 0.633  -0.166 0.564  -0.243 0.505  -0.321 0.446  -0.395 0.386  -0.428 0.302  -0.497 0.233  -0.582 0.186  -0.659 0.127  -0.708 0.044  -0.779 0.000  -0.754 -0.071  -0.674 -0.119  -0.624 -0.167  -0.577 -0.249  -0.562 -0.343  -0.512 -0.390  -0.425 -0.416  -0.343 -0.464  -0.250 -0.494  -0.166 -0.519  -0.135 -0.612  -0.090 -0.695  -0.021 -0.764  0.019 -0.851  0.050 -0.944  0.144 -0.949  0.219 -1.004  0.293 -1.060  0.350 -1.117  0.381 -1.210  0.442 -1.283  0.540 -1.283  0.554 -1.367  0.624 -1.395  0.721 -1.395
2#tos#f3#f3010058/>  -0.509 1.405  -0.615 1.405  -0.690 1.373  -0.674 1.276  -0.579 1.228  -0.544 1.138  -0.458 1.078  -0.368 1.023  -0.284 0.960  -0.186 0.922  -0.087 0.892  0.008 0.845  0.099 0.792  0.147 0.697  0.243 0.681  0.328 0.629  0.415 0.568  0.503 0.509  0.577 0.470  0.577 0.363  0.621 0.275  0.660 0.199  0.706 0.138  0.702 0.138  0.637 0.097  0.550 0.078  0.516 0.005  0.516 -0.101  0.492 -0.200  0.433 -0.289  0.356 -0.344  0.249 -0.344  0.155 -0.356  0.155 -0.462  0.111 -0.525  0.004 -0.525  -0.026 -0.601  -0.026 -0.707  -0.026 -0.814  -0.110 -0.868  -0.176 -0.945  -0.233 -1.033  -0.293 -1.119  -0.341 -1.215  -0.389 -1.310  -0.478 -1.369  -0.566 -1.428  -0.648 -1.468  -0.704 -1.550  -0.750 -1.610
2#tos#f3#f3010058/@  0.385 0.177  0.438 0.035  0.438 0.262  0.438 0.489  0.438 0.717  0.332 0.838  0.130 0.864  0.015 0.731  -0.066 0.543  -0.111 0.325  -0.143 0.103  -0.143 -0.124  -0.143 -0.351  -0.143 -0.578  -0.090 -0.784  0.015 -0.852  0.111 -0.720  0.174 -0.525  0.227 -0.351  0.279 -0.176  0.364 -0.034  0.385 0.173  0.449 0.336  0.490 0.522  0.490 0.749  0.490 0.976  0.490 1.203  0.438 1.418  0.258 1.497  0.084 1.444  -0.079 1.344  -0.145 1.177  -0.203 0.969  -0.354 0.893  -0.382 0.677  -0.407 0.461  -0.460 0.255  -0.513 0.081  -0.513 -0.146  -0.513 -0.374  -0.513 -0.601  -0.513 -0.828  -0.513 -1.055  -0.460 -1.230  -0.357 -1.354  -0.354 -1.578  -0.302 -1.753  -0.163 -1.882  0.001 -1.980  0.226 -1.987
