2#tos#t1#t1002062/\"  -1.116 0.714  -1.008 0.714  -1.088 0.714  -1.116 0.634  -1.116 0.526  -1.116 0.418  -1.116 0.310  -1.116 0.202  -1.116 0.094  -1.116 -0.014  -1.116 -0.122  -1.116 -0.230  -1.062 -0.315  -0.989 -0.394  -0.941 -0.490  -0.892 -0.587  -0.818 -0.595  -0.726 -0.540  -0.633 -0.484  -0.540 -0.429  -0.448 -0.373  -0.355 -0.317  -0.263 -0.262  -0.170 -0.206  -0.077 -0.151  0.015 -0.095  0.108 -0.040  0.200 0.016  0.293 0.072  0.386 0.127  0.478 0.183  0.571 0.238  0.663 0.294  0.756 0.349  0.849 0.405  0.941 0.461  1.047 0.470  1.155 0.470  1.202 0.410  1.202 0.302  1.202 0.194  1.202 0.086  1.202 -0.022  1.202 -0.130  1.202 -0.238  1.202 -0.346  1.139 -0.415  1.042 -0.463  0.958 -0.520  0.958 -0.628
2#tos#t1#t1002062/&  -0.122 1.466  -0.320 1.364  -0.291 1.179  -0.202 0.960  -0.162 0.700  -0.083 0.453  0.036 0.247  0.056 -0.019  0.075 -0.285  0.115 -0.548  0.265 -0.727  0.353 -0.962  0.426 -1.214  0.511 -1.426  0.456 -1.509  0.402 -1.245  0.348 -0.981  0.294 -0.717  0.240 -0.453  0.186 -0.190  0.132 0.074  0.077 0.338  0.023 0.602  -0.031 0.866  -0.085 1.130  -0.139 1.394  -0.318 1.505  -0.307 1.466  -0.054 1.505  0.151 1.390  0.251 1.189  0.273 0.941  0.234 0.681  0.155 0.468  -0.004 0.357  -0.168 0.182  -0.331 0.030  -0.518 -0.122  -0.597 -0.366  -0.699 -0.597  -0.756 -0.846  -0.756 -1.116  -0.607 -1.275  -0.343 -1.305  -0.109 -1.208  0.049 -1.014  0.197 -0.801  0.408 -0.678  0.539 -0.485  0.748 -0.395
2#tos#t1#t1002062/)  -0.441 1.270  -0.536 1.270  -0.539 1.179  -0.627 1.172  -0.554 1.172  -0.459 1.172  -0.391 1.144  -0.318 1.122  -0.223 1.122  -0.178 1.073  -0.083 1.073  -0.046 1.014  -0.022 0.925  0.043 0.876  0.138 0.876  0.151 0.794  0.209 0.728  0.250 0.674  0.250 0.579  0.297 0.530  0.299 0.438  0.299 0.343  0.349 0.297  0.381 0.234  0.398 0.156  0.398 0.061  0.388 -0.031  0.349 -0.117  0.349 -0.212  0.349 -0.307  0.349 -0.402  0.312 -0.475  0.250 -0.531  0.250 -0.626  0.250 -0.721  0.235 -0.802  0.151 -0.813  0.151 -0.908  0.102 -0.953  0.074 -1.040  0.022 -1.119  -0.058 -1.147  -0.151 -1.153  -0.218 -1.220  -0.243 -1.305  -0.293 -1.350  -0.329 -1.430  -0.399 -1.492  -0.441 -1.545  -0.490 -1.591
2#tos#t1#t1002062/+  -0.536 0.185  -0.708 0.168  -0.855 0.070  -1.022 0.037  -1.158 -0.029  -1.112 -0.110  -0.935 -0.110  -0.758 -0.110  -0.655 -0.036  -0.478 -0.036  -0.305 -0.026  -0.180 0.099  -0.008 0.111  0.169 0.111  0.346 0.111  0.523 0.111  0.700 0.111  0.873 0.121  1.024 0.185  1.114 0.185  0.972 0.247  0.878 0.397  0.784 0.547  0.690 0.697  0.596 0.847  0.503 0.997  0.409 1.147  0.315 1.297  0.175 1.363  0.053 1.307  0.053 1.130  0.053 0.953  0.003 0.797  -0.020 0.630  -0.094 0.483  -0.094 0.306  -0.094 0.129  -0.094 -0.048  -0.094 -0.225  -0.094 -0.402  -0.094 -0.579  -0.094 -0.755  -0.094 -0.932  -0.094 -1.109  -0.094 -1.286  -0.094 -1.463  -0.094 -1.640  -0.094 -1.817  -0.094 -1.994  -0.094 -2.171
2#tos#t1#t1002062/,  1.207 1.156  1.156 1.105  1.105 1.054  1.054 1.003  1.003 0.952  0.952 0.901  0.901 0.850  0.849 0.799  0.795 0.756  0.723 0.756  0.650 0.756  0.607 0.727  0.607 0.655  0.607 0.583  0.575 0.524  0.524 0.473  0.473 0.422  0.421 0.370  0.370 0.319  0.319 0.268  0.268 0.217  0.217 0.166  0.166 0.115  0.115 0.064  0.064 0.013  0.013 -0.038  -0.046 -0.080  -0.107 -0.120  -0.167 -0.160  -0.227 -0.200  -0.287 -0.240  -0.347 -0.280  -0.407 -0.320  -0.467 -0.360  -0.527 -0.400  -0.588 -0.440  -0.630 -0.499  -0.670 -0.559  -0.710 -0.619  -0.750 -0.679  -0.790 -0.739  -0.830 -0.799  -0.870 -0.859  -0.910 -0.919  -0.950 -0.980  -0.990 -1.040  -1.041 -1.092  -1.092 -1.143  -1.143 -1.194  -1.194 -1.245
2#tos#t1#t1002062/  -0.889 0.087  -0.971 0.087  -1.035 0.050  -1.086 -0.014  -1.137 -0.078  -1.188 -0.142  -1.240 -0.203  -1.322 -0.203  -1.353 -0.153  -1.279 -0.145  -1.237 -0.105  -1.174 -0.087  -1.092 -0.087  -1.016 -0.063  -0.942 -0.029  -0.860 -0.029  -0.778 -0.029  -0.697 -0.029  -0.615 -0.029  -0.533 -0.029  -0.451 -0.029  -0.372 -0.012  -0.295 0.014  -0.215 0.029  -0.134 0.029  -0.052 0.029  0.030 0.029  0.112 0.029  0.194 0.029  0.272 0.032  0.299 0.087  0.381 0.087  0.463 0.087  0.544 0.087  0.626 0.087  0.708 0.087  0.790 0.087  0.869 0.079  0.943 0.042  1.021 0.029  1.103 0.029  1.185 0.029  1.267 0.029  1.348 0.029  1.430 0.029  1.512 0.029  1.594 0.029  1.676 0.029  1.757 0.029  1.839 0.029
2#tos#t1#t1002062/:  0.220 1.457  0.145 1.457  0.069 1.457  -0.004 1.455  0.017 1.401  0.052 1.360  0.052 1.285  0.069 1.216  0.122 1.163  0.180 1.120  0.215 1.086  0.202 1.011  0.190 0.937  0.177 0.862  0.165 0.788  0.152 0.714  0.140 0.639  0.128 0.565  0.115 0.490  0.103 0.416  0.090 0.341  0.078 0.267  0.066 0.192  0.053 0.118  0.041 0.043  0.028 -0.031  0.016 -0.105  0.004 -0.180  -0.009 -0.254  -0.021 -0.329  -0.034 -0.403  -0.046 -0.478  -0.058 -0.552  -0.071 -0.627  -0.083 -0.701  -0.096 -0.776  -0.108 -0.850  -0.116 -0.925  -0.116 -1.000  -0.121 -1.074  -0.163 -1.137  -0.205 -1.200  -0.261 -1.236  -0.285 -1.288  -0.228 -1.307  -0.228 -1.382  -0.228 -1.458  -0.211 -1.516  -0.136 -1.516  -0.060 -1.516
2#tos#t1#t1002062/;  -0.183 1.594  -0.238 1.539  -0.293 1.484  -0.332 1.422  -0.329 1.347  -0.282 1.315  -0.272 1.248  -0.194 1.248  -0.183 1.181  -0.137 1.149  -0.117 1.076  -0.100 1.000  -0.082 0.924  -0.065 0.848  -0.048 0.772  -0.030 0.696  -0.013 0.620  0.004 0.544  0.022 0.469  0.039 0.393  0.057 0.317  0.074 0.241  0.091 0.165  0.109 0.089  0.126 0.013  0.143 -0.063  0.161 -0.139  0.178 -0.215  0.195 -0.291  0.213 -0.367  0.230 -0.443  0.247 -0.519  0.252 -0.591  0.197 -0.646  0.133 -0.680  0.072 -0.721  0.017 -0.776  0.032 -0.846  0.064 -0.911  0.108 -0.971  0.113 -1.046  0.113 -1.124  0.101 -1.199  0.066 -1.269  0.004 -1.294  -0.031 -1.364  -0.035 -1.441  -0.047 -1.517  -0.065 -1.593  -0.084 -1.668
2#tos#t1#t1002062/@  0.173 -0.926  0.173 -1.119  0.076 -1.283  -0.087 -1.314  -0.263 -1.297  -0.376 -1.217  -0.472 -1.120  -0.613 -1.061  -0.693 -0.926  -0.747 -0.787  -0.825 -0.655  -0.893 -0.490  -0.941 -0.345  -0.911 -0.157  -0.871 0.031  -0.844 0.221  -0.844 0.414  -0.796 0.558  -0.747 0.703  -0.627 0.809  -0.505 0.925  -0.401 1.018  -0.245 1.108  -0.149 1.205  0.044 1.205  0.189 1.253  0.382 1.253  0.568 1.225  0.737 1.156  0.803 1.029  0.851 0.856  0.899 0.712  0.899 0.518  0.899 0.325  0.899 0.132  0.894 -0.057  0.783 -0.190  0.732 -0.367  0.582 -0.469  0.494 -0.587  0.301 -0.587  0.108 -0.587  -0.021 -0.466  -0.093 -0.345  -0.118 -0.177  -0.018 -0.054  0.126 -0.006  0.319 -0.006  0.513 -0.006  0.657 -0.054
2#tos#t1#t1002062/^  -0.976 0.169  -1.002 0.057  -1.075 -0.040  -1.148 -0.138  -1.225 -0.229  -1.334 -0.283  -1.360 -0.377  -1.238 -0.377  -1.117 -0.377  -1.054 -0.319  -0.963 -0.254  -0.849 -0.221  -0.810 -0.133  -0.724 -0.047  -0.663 0.049  -0.584 0.091  -0.507 0.135  -0.507 0.257  -0.455 0.326  -0.333 0.326  -0.273 0.387  -0.226 0.497  -0.159 0.596  -0.055 0.638  -0.038 0.743  -0.038 0.865  0.075 0.873  0.118 0.794  0.208 0.716  0.274 0.661  0.352 0.618  0.352 0.497  0.378 0.391  0.486 0.337  0.522 0.234  0.607 0.149  0.693 0.063  0.743 -0.038  0.810 -0.132  0.896 -0.218  0.981 -0.304  1.063 -0.393  1.117 -0.501  1.194 -0.594  1.212 -0.708  1.212 -0.829  1.212 -0.951  1.281 -1.002  1.403 -1.002  1.524 -1.002
2#tos#t1#t1002062/_  -1.109 0.101  -1.183 0.090  -1.237 0.035  -1.292 -0.019  -1.368 -0.024  -1.445 -0.024  -1.445 -0.024  -1.368 -0.024  -1.290 -0.024  -1.213 -0.024  -1.135 -0.024  -1.058 -0.024  -0.980 -0.024  -0.903 -0.024  -0.825 -0.024  -0.748 -0.024  -0.670 -0.024  -0.592 -0.024  -0.515 -0.024  -0.437 -0.024  -0.360 -0.024  -0.282 -0.024  -0.205 -0.024  -0.127 -0.024  -0.050 -0.024  0.015 -0.011  0.043 0.038  0.121 0.038  0.198 0.038  0.276 0.038  0.353 0.038  0.431 0.038  0.508 0.038  0.586 0.038  0.663 0.038  0.741 0.038  0.819 0.038  0.896 0.038  0.974 0.038  1.051 0.038  1.077 -0.013  1.144 -0.024  1.221 -0.024  1.299 -0.024  1.376 -0.024  1.454 -0.024  1.532 -0.024  1.609 -0.024  1.687 -0.024  1.764 -0.024
