2#tos#t1#t1036060/!  0.420 1.534  0.420 1.613  0.420 1.575  0.394 1.507  0.347 1.446  0.322 1.371  0.321 1.292  0.321 1.213  0.315 1.135  0.302 1.057  0.289 0.979  0.244 0.916  0.194 0.854  0.155 0.789  0.155 0.710  0.151 0.632  0.110 0.564  0.070 0.497  0.056 0.422  0.056 0.343  0.050 0.266  0.006 0.200  -0.038 0.134  -0.076 0.067  -0.076 -0.012  -0.076 -0.091  -0.076 -0.170  -0.089 -0.246  -0.109 -0.320  -0.109 -0.399  -0.109 -0.478  -0.109 -0.557  -0.159 -0.586  -0.146 -0.619  -0.109 -0.577  -0.123 -0.606  -0.143 -0.682  -0.163 -0.758  -0.182 -0.835  -0.202 -0.911  -0.222 -0.988  -0.242 -1.064  -0.261 -1.141  -0.281 -1.217  -0.301 -1.293  -0.320 -1.370  -0.340 -1.446  -0.360 -1.523  -0.354 -1.579  -0.341 -1.646
2#tos#t1#t1036060/\"  0.933 0.921  0.802 0.921  0.671 0.921  0.549 0.915  0.608 0.797  0.623 0.670  0.674 0.560  0.767 0.467  0.778 0.340  0.786 0.212  0.859 0.102  0.932 -0.007  0.933 -0.138  0.933 -0.269  0.991 -0.376  1.084 -0.469  1.088 -0.598  1.007 -0.567  0.902 -0.488  0.797 -0.410  0.692 -0.331  0.587 -0.252  0.482 -0.173  0.377 -0.095  0.272 -0.016  0.167 0.063  0.062 0.141  -0.043 0.220  -0.148 0.299  -0.253 0.378  -0.358 0.456  -0.463 0.533  -0.594 0.533  -0.726 0.533  -0.852 0.525  -0.920 0.413  -0.987 0.300  -1.055 0.188  -1.117 0.072  -1.157 -0.049  -1.157 -0.180  -1.157 -0.312  -1.157 -0.443  -1.157 -0.574  -1.157 -0.705  -1.133 -0.831  -1.075 -0.948  -1.016 -1.066  -0.901 -1.092  -0.770 -1.092
2#tos#t1#t1036060/#  -1.234 0.252  -1.213 0.252  -0.795 0.295  -0.374 0.330  0.043 0.403  0.457 0.474  0.861 0.600  1.284 0.600  1.039 0.496  0.661 0.307  0.282 0.117  -0.097 -0.072  -0.475 -0.261  -0.854 -0.451  -1.187 -0.703  -0.772 -0.706  -0.365 -0.619  0.046 -0.567  0.458 -0.488  0.850 -0.394  1.261 -0.354  1.633 -0.239  1.322 0.032  0.994 0.300  0.667 0.568  0.339 0.837  0.011 1.105  -0.328 1.340  -0.731 1.253  -0.799 0.898  -0.785 0.475  -0.668 0.071  -0.641 -0.350  -0.581 -0.768  -0.489 -1.171  -0.400 -1.491  -0.323 -1.075  -0.247 -0.659  -0.170 -0.242  -0.094 0.174  -0.018 0.591  0.059 1.007  0.115 1.207  0.115 0.784  0.142 0.362  0.197 -0.058  0.202 -0.481  0.202 -0.904  0.202 -1.327  0.202 -1.751
2#tos#t1#t1036060/$  0.700 1.136  0.541 1.196  0.309 1.178  0.100 1.063  -0.126 1.012  -0.340 0.911  -0.528 0.808  -0.570 0.579  -0.443 0.449  -0.256 0.323  -0.033 0.260  0.197 0.219  0.424 0.147  0.639 0.048  0.730 -0.141  0.730 -0.379  0.700 -0.613  0.610 -0.826  0.436 -0.980  0.224 -1.076  -0.011 -1.101  -0.250 -1.101  -0.409 -0.980  -0.421 -0.783  -0.383 -0.548  -0.344 -0.313  -0.305 -0.077  -0.267 0.158  -0.228 0.393  -0.189 0.628  -0.151 0.863  -0.112 1.098  -0.073 1.333  -0.086 1.540  -0.086 1.375  -0.086 1.137  -0.086 0.898  -0.086 0.660  -0.086 0.422  -0.086 0.183  -0.081 -0.055  -0.056 -0.292  -0.056 -0.530  -0.041 -0.767  -0.026 -1.004  -0.026 -1.242  -0.026 -1.481  0.005 -1.712  0.005 -1.950  0.005 -2.068
2#tos#t1#t1036060/%  -0.441 0.752  -0.509 0.548  -0.709 0.453  -0.950 0.499  -1.038 0.702  -1.052 0.973  -0.833 1.017  -0.645 0.867  -0.647 0.616  -0.572 0.466  -0.386 0.267  -0.200 0.068  -0.014 -0.131  0.172 -0.330  0.358 -0.529  0.544 -0.728  0.730 -0.927  0.537 -1.024  0.307 -1.017  0.137 -0.867  0.103 -0.603  0.176 -0.403  0.448 -0.403  0.681 -0.509  0.749 -0.739  0.617 -0.879  0.420 -0.858  0.474 -0.591  0.527 -0.324  0.580 -0.057  0.634 0.210  0.687 0.477  0.741 0.744  0.794 1.011  0.847 1.278  0.805 1.466  0.579 1.391  0.417 1.181  0.257 0.961  0.149 0.716  0.004 0.485  -0.140 0.254  -0.193 -0.009  -0.332 -0.227  -0.481 -0.450  -0.597 -0.696  -0.705 -0.944  -0.882 -1.151  -1.029 -1.376  -1.120 -1.627
2#tos#t1#t1036060/'  0.232 1.534  0.307 1.534  0.382 1.534  0.382 1.459  0.382 1.384  0.382 1.309  0.382 1.234  0.382 1.160  0.382 1.085  0.330 1.031  0.277 0.978  0.232 0.922  0.232 0.847  0.232 0.772  0.232 0.697  0.232 0.622  0.232 0.547  0.224 0.476  0.171 0.423  0.118 0.370  0.065 0.317  0.012 0.264  -0.041 0.211  -0.068 0.147  -0.068 0.072  -0.068 -0.003  -0.068 -0.078  -0.068 -0.153  -0.068 -0.228  -0.068 -0.303  -0.068 -0.378  -0.068 -0.453  -0.068 -0.528  -0.068 -0.603  -0.068 -0.678  -0.068 -0.753  -0.068 -0.828  -0.094 -0.892  -0.147 -0.945  -0.200 -0.998  -0.253 -1.051  -0.306 -1.104  -0.359 -1.157  -0.412 -1.210  -0.465 -1.263  -0.517 -1.316  -0.517 -1.391  -0.517 -1.466  -0.517 -1.541  -0.517 -1.615
2#tos#t1#t1036060/(  0.352 1.562  0.284 1.551  0.230 1.501  0.165 1.468  0.118 1.421  0.104 1.349  0.089 1.278  0.075 1.206  0.049 1.139  0.005 1.080  -0.039 1.022  -0.083 0.963  -0.113 0.898  -0.127 0.826  -0.141 0.754  -0.156 0.682  -0.163 0.610  -0.163 0.537  -0.163 0.463  -0.163 0.390  -0.163 0.317  -0.163 0.244  -0.163 0.170  -0.163 0.097  -0.163 0.024  -0.163 -0.050  -0.163 -0.123  -0.163 -0.196  -0.163 -0.269  -0.163 -0.343  -0.163 -0.416  -0.163 -0.489  -0.163 -0.563  -0.163 -0.636  -0.163 -0.709  -0.143 -0.779  -0.115 -0.847  -0.088 -0.915  -0.061 -0.983  -0.021 -1.042  0.031 -1.094  0.083 -1.146  0.135 -1.197  0.187 -1.249  0.238 -1.301  0.290 -1.353  0.348 -1.398  0.407 -1.442  0.465 -1.486  0.524 -1.530
2#tos#t1#t1036060/*  -1.051 0.936  -1.348 0.936  -1.220 0.893  -0.946 0.788  -0.749 0.577  -0.522 0.397  -0.291 0.210  -0.111 -0.023  0.087 -0.244  0.297 -0.454  0.535 -0.621  0.726 -0.847  0.917 -1.074  0.961 -1.360  0.958 -1.265  0.952 -0.968  0.947 -0.671  0.942 -0.374  0.937 -0.077  0.931 0.220  0.926 0.517  0.921 0.814  0.786 0.979  0.576 0.857  0.338 0.698  0.235 0.430  0.105 0.187  -0.060 -0.042  -0.247 -0.272  -0.378 -0.525  -0.621 -0.689  -0.609 -0.593  -0.522 -0.309  -0.435 -0.025  -0.349 0.259  -0.262 0.543  -0.175 0.827  -0.088 1.111  -0.100 1.322  -0.280 1.205  -0.280 0.908  -0.280 0.611  -0.280 0.314  -0.280 0.017  -0.280 -0.281  -0.280 -0.578  -0.280 -0.875  -0.278 -1.171  -0.237 -1.463  -0.237 -1.760
2#tos#t1#t1036060/+  -1.316 0.086  -1.478 0.049  -1.618 -0.056  -1.639 -0.084  -1.464 -0.084  -1.289 -0.084  -1.114 -0.084  -0.939 -0.084  -0.764 -0.084  -0.589 -0.084  -0.414 -0.084  -0.239 -0.084  -0.064 -0.084  0.111 -0.084  0.286 -0.084  0.461 -0.084  0.636 -0.084  0.809 -0.095  0.974 -0.154  1.138 -0.197  1.313 -0.197  1.488 -0.197  1.624 -0.236  1.499 -0.158  1.360 -0.052  1.220 0.054  1.081 0.160  0.942 0.266  0.802 0.372  0.663 0.477  0.524 0.583  0.384 0.689  0.245 0.795  0.149 0.934  -0.026 0.934  -0.201 0.934  -0.298 0.856  -0.298 0.681  -0.322 0.508  -0.351 0.335  -0.354 0.161  -0.354 -0.014  -0.354 -0.189  -0.354 -0.364  -0.354 -0.539  -0.354 -0.714  -0.354 -0.889  -0.322 -1.060  -0.245 -1.210  -0.241 -1.384
2#tos#t1#t1036060/.  1.812 1.130  1.812 0.901  1.756 0.688  1.629 0.498  1.501 0.307  1.374 0.116  1.247 -0.074  1.120 -0.265  0.909 -0.299  0.740 -0.359  0.740 -0.589  0.579 -0.657  0.350 -0.657  0.120 -0.657  -0.109 -0.657  -0.332 -0.650  -0.332 -0.421  -0.332 -0.407  -0.332 -0.636  -0.479 -0.509  -0.641 -0.347  -0.851 -0.299  -1.080 -0.299  -1.309 -0.299  -1.404 -0.165  -1.397 0.058  -1.168 0.058  -0.970 0.134  -0.808 0.296  -0.628 0.415  -0.399 0.415  -0.332 0.253  -0.332 0.024  -0.332 -0.205  -0.197 -0.299  0.025 -0.306  0.025 -0.535  -0.082 -0.657  -0.312 -0.657  -0.332 -0.448  -0.332 -0.218  -0.332 0.011  -0.332 0.240  -0.332 0.469  -0.332 0.698  -0.177 0.772  0.025 0.799  0.025 1.029  0.153 1.130  0.383 1.130
2#tos#t1#t1036060/:  0.009 1.529  -0.041 1.475  -0.083 1.387  -0.163 1.328  -0.217 1.278  -0.293 1.308  -0.293 1.412  -0.255 1.479  -0.150 1.479  -0.142 1.383  -0.142 1.278  -0.124 1.175  -0.106 1.072  -0.088 0.969  -0.070 0.866  -0.052 0.762  -0.034 0.659  -0.016 0.556  0.002 0.453  0.020 0.350  0.037 0.247  0.055 0.144  0.073 0.041  0.091 -0.062  0.109 -0.165  0.127 -0.269  0.145 -0.372  0.163 -0.475  0.181 -0.578  0.199 -0.681  0.217 -0.784  0.235 -0.887  0.253 -0.990  0.200 -1.038  0.106 -1.085  0.013 -1.131  -0.081 -1.088  -0.092 -0.990  -0.092 -0.886  -0.049 -0.804  0.038 -0.746  0.059 -0.810  0.059 -0.915  0.059 -1.020  0.059 -1.124  0.059 -1.229  0.037 -1.240  0.009 -1.142  0.009 -1.037  -0.041 -1.083
