2#tos#t2#t2067066/!  0.426 1.640  0.426 1.564  0.370 1.544  0.362 1.475  0.362 1.398  0.342 1.330  0.288 1.276  0.238 1.218  0.192 1.156  0.169 1.088  0.169 1.011  0.169 0.934  0.169 0.858  0.169 0.781  0.169 0.705  0.169 0.628  0.169 0.551  0.169 0.475  0.169 0.398  0.169 0.322  0.169 0.245  0.169 0.168  0.135 0.101  0.095 0.036  0.072 -0.035  0.072 -0.111  0.072 -0.188  0.072 -0.264  0.072 -0.341  0.072 -0.418  0.072 -0.494  0.020 -0.519  -0.057 -0.519  -0.133 -0.519  -0.173 -0.572  -0.199 -0.644  -0.225 -0.716  -0.251 -0.788  -0.278 -0.860  -0.304 -0.932  -0.330 -1.004  -0.356 -1.076  -0.382 -1.148  -0.408 -1.220  -0.476 -1.231  -0.476 -1.308  -0.476 -1.384  -0.476 -1.461  -0.476 -1.538  -0.476 -1.614
2#tos#t2#t2067066/\"  -1.359 1.160  -1.359 1.038  -1.349 0.926  -1.227 0.926  -1.104 0.926  -0.982 0.926  -0.860 0.926  -0.774 0.890  -0.774 0.768  -0.774 0.646  -0.760 0.525  -0.726 0.408  -0.693 0.291  -0.659 0.173  -0.626 0.056  -0.592 -0.062  -0.559 -0.179  -0.486 -0.244  -0.423 -0.304  -0.423 -0.426  -0.423 -0.548  -0.348 -0.595  -0.306 -0.675  -0.306 -0.798  -0.239 -0.769  -0.149 -0.687  -0.058 -0.604  0.032 -0.522  0.122 -0.440  0.213 -0.358  0.303 -0.276  0.394 -0.194  0.484 -0.111  0.574 -0.029  0.665 0.053  0.755 0.135  0.845 0.217  0.936 0.299  0.981 0.280  1.047 0.224  1.098 0.153  1.098 0.031  1.098 -0.091  1.098 -0.214  1.098 -0.336  1.098 -0.458  1.098 -0.580  1.098 -0.702  1.098 -0.824  1.098 -0.947
2#tos#t2#t2067066/%  -0.298 0.715  -0.480 0.771  -0.670 0.722  -0.750 0.574  -0.876 0.438  -0.883 0.235  -0.690 0.207  -0.468 0.207  -0.332 0.291  -0.129 0.310  -0.199 0.473  -0.327 0.603  -0.205 0.752  -0.011 0.858  0.184 0.963  0.379 1.068  0.573 1.174  0.768 1.279  0.963 1.385  0.908 1.391  0.830 1.248  0.702 1.081  0.584 0.937  0.473 0.753  0.390 0.549  0.295 0.349  0.234 0.147  0.065 0.003  -0.133 -0.093  -0.169 -0.295  -0.313 -0.461  -0.383 -0.659  -0.422 -0.856  -0.593 -0.997  -0.637 -1.198  -0.736 -1.316  -0.539 -1.235  -0.353 -1.115  -0.167 -0.994  0.019 -0.874  0.204 -0.754  0.181 -0.698  0.096 -0.835  0.068 -1.044  0.102 -1.232  0.321 -1.214  0.529 -1.185  0.628 -0.987  0.689 -0.776  0.576 -0.668
2#tos#t2#t2067066/*  -0.599 1.032  -0.887 0.970  -1.173 0.888  -1.252 0.669  -1.060 0.464  -0.885 0.229  -0.644 0.061  -0.435 -0.149  -0.225 -0.359  -0.018 -0.541  0.127 -0.693  0.333 -0.783  0.485 -0.928  0.694 -0.900  0.844 -0.644  0.995 -0.388  1.145 -0.132  1.296 0.124  1.336 0.378  1.050 0.332  0.829 0.137  0.598 -0.048  0.376 -0.243  0.119 -0.388  -0.073 -0.577  -0.296 -0.770  -0.514 -0.902  -0.573 -0.984  -0.491 -0.699  -0.408 -0.414  -0.326 -0.128  -0.243 0.157  -0.161 0.442  -0.078 0.727  0.005 1.012  0.087 1.297  0.170 1.582  0.009 1.685  -0.091 1.488  -0.091 1.191  -0.091 0.894  -0.091 0.598  -0.091 0.301  -0.087 0.004  -0.018 -0.281  -0.009 -0.574  0.054 -0.845  0.106 -1.135  0.127 -1.430  0.127 -1.726
2#tos#t2#t2067066/  0.840 1.437  0.812 1.390  0.747 1.379  0.719 1.316  0.666 1.263  0.613 1.209  0.582 1.141  0.554 1.072  0.526 1.002  0.476 0.952  0.409 0.919  0.342 0.885  0.328 0.818  0.328 0.743  0.328 0.668  0.325 0.594  0.283 0.531  0.241 0.469  0.202 0.405  0.164 0.340  0.125 0.276  0.080 0.217  0.016 0.178  -0.049 0.140  -0.113 0.101  -0.147 0.041  -0.161 -0.033  -0.176 -0.107  -0.184 -0.181  -0.184 -0.256  -0.184 -0.332  -0.202 -0.405  -0.220 -0.478  -0.254 -0.542  -0.307 -0.595  -0.360 -0.648  -0.370 -0.719  -0.370 -0.794  -0.388 -0.862  -0.441 -0.915  -0.483 -0.977  -0.510 -1.046  -0.510 -1.121  -0.510 -1.196  -0.518 -1.264  -0.593 -1.264  -0.603 -1.328  -0.603 -1.404  -0.616 -1.476  -0.650 -1.543
2#tos#t2#t2067066/:  0.216 1.381  0.144 1.345  0.071 1.309  -0.001 1.273  -0.072 1.237  0.009 1.237  0.089 1.237  0.170 1.237  0.251 1.237  0.288 1.193  0.236 1.165  0.206 1.105  0.194 1.025  0.182 0.945  0.169 0.865  0.157 0.786  0.144 0.706  0.132 0.626  0.119 0.546  0.107 0.467  0.094 0.387  0.082 0.307  0.069 0.227  0.057 0.148  0.044 0.068  0.032 -0.012  0.019 -0.092  0.007 -0.171  -0.005 -0.251  -0.018 -0.331  -0.030 -0.411  -0.043 -0.491  -0.055 -0.570  -0.068 -0.650  -0.080 -0.730  -0.093 -0.810  -0.105 -0.889  -0.118 -0.969  -0.130 -1.049  -0.143 -1.129  -0.145 -1.209  -0.148 -1.287  -0.229 -1.287  -0.309 -1.287  -0.361 -1.316  -0.361 -1.397  -0.315 -1.431  -0.234 -1.431  -0.153 -1.431  -0.073 -1.431
2#tos#t2#t2067066/;  -0.077 1.361  -0.095 1.278  -0.146 1.221  -0.170 1.285  -0.112 1.314  -0.077 1.365  -0.032 1.407  -0.023 1.407  -0.075 1.375  -0.069 1.288  -0.063 1.202  -0.057 1.115  -0.051 1.029  -0.045 0.943  -0.039 0.856  -0.033 0.770  -0.027 0.683  -0.022 0.597  -0.016 0.511  -0.010 0.424  -0.004 0.338  0.002 0.251  0.008 0.165  0.014 0.078  0.020 -0.008  0.026 -0.094  0.032 -0.181  0.037 -0.267  0.043 -0.354  0.049 -0.440  0.055 -0.526  0.061 -0.613  0.016 -0.680  0.016 -0.767  -0.030 -0.807  0.043 -0.820  0.130 -0.820  0.217 -0.820  0.248 -0.875  0.248 -0.962  0.214 -1.031  0.144 -1.083  0.075 -1.135  0.045 -1.213  0.024 -1.297  -0.028 -1.359  -0.100 -1.407  -0.123 -1.482  -0.123 -1.568  -0.123 -1.655
2#tos#t2#t2067066/=  -0.718 0.825  -0.880 0.801  -0.880 0.614  -1.025 0.601  -0.849 0.555  -0.663 0.555  -0.477 0.555  -0.291 0.555  -0.105 0.555  0.082 0.555  0.264 0.564  0.409 0.663  0.595 0.663  0.782 0.663  0.860 0.773  1.042 0.810  1.225 0.825  1.057 0.759  0.895 0.666  0.734 0.573  0.572 0.480  0.411 0.387  0.250 0.294  0.088 0.202  -0.073 0.109  -0.235 0.016  -0.396 -0.077  -0.557 -0.170  -0.719 -0.262  -0.880 -0.355  -0.988 -0.479  -1.060 -0.606  -1.174 -0.741  -1.257 -0.843  -1.077 -0.849  -0.891 -0.849  -0.704 -0.849  -0.518 -0.849  -0.386 -0.795  -0.200 -0.795  -0.041 -0.704  0.140 -0.687  0.319 -0.655  0.487 -0.579  0.673 -0.579  0.859 -0.579  1.045 -0.579  1.232 -0.579  1.418 -0.579  1.604 -0.579
2#tos#t2#t2067066/?  -0.595 0.713  -0.717 0.713  -0.792 0.657  -0.816 0.537  -0.854 0.602  -0.818 0.688  -0.776 0.792  -0.679 0.852  -0.607 0.949  -0.501 0.973  -0.379 0.973  -0.257 0.973  -0.136 0.973  -0.014 0.973  0.108 0.973  0.230 0.973  0.349 0.956  0.434 0.882  0.499 0.797  0.598 0.734  0.652 0.639  0.667 0.532  0.667 0.411  0.603 0.315  0.559 0.203  0.444 0.194  0.362 0.149  0.268 0.083  0.147 0.082  0.136 -0.029  0.014 -0.029  -0.092 -0.066  -0.113 -0.167  -0.113 -0.289  -0.113 -0.411  -0.076 -0.496  -0.038 -0.580  -0.012 -0.698  0.027 -0.813  0.067 -0.928  0.107 -1.043  0.147 -1.158  0.187 -1.273  0.227 -1.388  0.266 -1.503  0.263 -1.587  0.141 -1.587  0.110 -1.678  0.073 -1.762  0.147 -1.810
2#tos#t2#t2067066/[  0.835 1.253  0.799 1.178  0.778 1.108  0.688 1.108  0.597 1.108  0.507 1.108  0.417 1.108  0.326 1.108  0.236 1.108  0.145 1.108  0.059 1.087  -0.025 1.054  -0.111 1.033  -0.192 0.993  -0.249 0.937  -0.285 0.883  -0.285 0.793  -0.285 0.703  -0.285 0.612  -0.285 0.522  -0.285 0.431  -0.285 0.341  -0.285 0.251  -0.321 0.169  -0.321 0.079  -0.321 -0.012  -0.321 -0.102  -0.321 -0.192  -0.321 -0.283  -0.321 -0.373  -0.321 -0.464  -0.321 -0.554  -0.321 -0.644  -0.321 -0.735  -0.321 -0.825  -0.321 -0.915  -0.321 -1.006  -0.321 -1.096  -0.303 -1.168  -0.213 -1.168  -0.123 -1.168  -0.032 -1.168  0.058 -1.168  0.149 -1.168  0.239 -1.168  0.329 -1.168  0.420 -1.168  0.510 -1.168  0.600 -1.168  0.655 -1.132
2#tos#t2#t2067066/_  -1.148 0.165  -1.224 0.165  -1.291 0.142  -1.352 0.105  -1.388 0.064  -1.388 -0.013  -1.434 -0.015  -1.357 -0.015  -1.280 -0.015  -1.204 -0.015  -1.127 -0.015  -1.051 -0.015  -0.974 -0.015  -0.898 -0.015  -0.821 -0.015  -0.744 -0.015  -0.668 -0.015  -0.591 -0.015  -0.515 -0.015  -0.443 -0.037  -0.375 -0.071  -0.299 -0.075  -0.223 -0.075  -0.146 -0.075  -0.069 -0.075  0.007 -0.075  0.084 -0.075  0.160 -0.075  0.237 -0.075  0.313 -0.075  0.390 -0.075  0.467 -0.075  0.543 -0.075  0.620 -0.075  0.696 -0.075  0.773 -0.075  0.849 -0.075  0.926 -0.075  1.003 -0.075  1.060 -0.029  1.114 0.025  1.183 0.045  1.259 0.045  1.336 0.045  1.375 0.082  1.375 0.159  1.445 0.165  1.522 0.165  1.598 0.165  1.675 0.165
