2#tos#t3#t3012065/\"  -0.856 0.642  -1.004 0.662  -1.004 0.831  -1.004 0.999  -1.004 1.167  -0.933 1.163  -0.856 1.026  -0.856 0.858  -0.856 0.689  -0.735 0.642  -0.567 0.642  -0.521 0.485  -0.480 0.322  -0.439 0.159  -0.412 -0.006  -0.412 -0.175  -0.412 -0.343  -0.412 -0.512  -0.412 -0.680  -0.412 -0.848  -0.412 -1.017  -0.377 -1.171  -0.258 -1.290  -0.139 -1.409  0.020 -1.432  0.070 -1.281  0.111 -1.117  0.152 -0.954  0.193 -0.791  0.234 -0.627  0.275 -0.464  0.315 -0.301  0.356 -0.137  0.397 0.026  0.438 0.190  0.479 0.353  0.520 0.516  0.560 0.680  0.601 0.843  0.625 0.868  0.625 0.700  0.625 0.531  0.684 0.377  0.759 0.226  0.887 0.122  1.027 0.028  1.167 -0.065  1.218 -0.206  1.218 -0.375  1.218 -0.543
2#tos#t3#t3012065/%  -0.512 0.751  -0.647 0.597  -0.742 0.451  -0.704 0.638  -0.553 0.713  -0.435 0.605  -0.435 0.380  -0.435 0.154  -0.563 0.034  -0.710 -0.056  -0.832 0.013  -0.688 0.187  -0.544 0.360  -0.400 0.534  -0.257 0.707  -0.113 0.881  0.031 1.055  0.175 1.228  0.319 1.402  0.471 1.558  0.603 1.464  0.603 1.239  0.498 1.059  0.334 0.998  0.325 0.775  0.212 0.580  0.133 0.369  0.075 0.151  0.057 -0.071  -0.044 -0.273  -0.089 -0.488  -0.181 -0.684  -0.305 -0.872  -0.408 -1.067  -0.435 -1.281  -0.512 -1.483  -0.348 -1.415  -0.157 -1.296  0.035 -1.177  0.227 -1.058  0.418 -0.939  0.603 -0.833  0.526 -0.744  0.641 -0.634  0.711 -0.479  0.833 -0.428  0.872 -0.615  0.872 -0.841  0.795 -1.022  0.680 -1.132
2#tos#t3#t3012065/&  0.924 -0.381  0.752 -0.503  0.702 -0.585  0.530 -0.671  0.394 -0.834  0.277 -0.981  0.109 -1.064  -0.054 -1.149  -0.248 -1.187  -0.458 -1.196  -0.627 -1.151  -0.747 -0.997  -0.809 -0.829  -0.947 -0.707  -0.906 -0.540  -0.772 -0.406  -0.585 -0.340  -0.536 -0.168  -0.331 -0.112  -0.285 0.067  -0.071 0.067  0.051 0.172  0.191 0.328  0.320 0.449  0.354 0.654  0.435 0.817  0.435 1.031  0.368 1.208  0.354 1.408  0.185 1.453  -0.018 1.496  -0.222 1.535  -0.400 1.428  -0.584 1.388  -0.584 1.174  -0.462 1.026  -0.339 0.904  -0.211 0.813  -0.152 0.613  -0.095 0.423  0.045 0.324  0.109 0.163  0.174 -0.031  0.319 -0.187  0.435 -0.336  0.468 -0.544  0.553 -0.739  0.557 -0.952  0.680 -1.074  0.720 -1.278
2#tos#t3#t3012065/'  0.127 1.107  0.127 0.936  0.043 0.850  -0.127 0.850  -0.258 0.810  -0.258 0.640  -0.258 0.470  -0.412 0.491  -0.515 0.618  -0.515 0.789  -0.406 0.850  -0.235 0.850  -0.065 0.850  0.106 0.850  0.256 0.830  0.318 0.721  0.384 0.617  0.384 0.447  0.325 0.336  0.184 0.264  0.037 0.208  -0.133 0.208  -0.304 0.208  -0.386 0.295  -0.385 0.465  -0.258 0.508  -0.258 0.678  -0.131 0.721  0.039 0.721  0.127 0.639  0.127 0.469  0.127 0.298  0.207 0.208  0.256 0.086  0.267 -0.083  0.321 -0.244  0.375 -0.406  0.384 -0.575  0.384 -0.745  0.384 -0.915  0.381 -1.085  0.327 -1.247  0.273 -1.408  0.175 -1.542  0.054 -1.663  -0.066 -1.783  -0.196 -1.892  -0.338 -1.986  -0.480 -2.081  -0.515 -2.232
2#tos#t3#t3012065/)  -0.431 1.515  -0.431 1.440  -0.423 1.374  -0.349 1.370  -0.277 1.346  -0.206 1.322  -0.142 1.291  -0.108 1.224  -0.072 1.161  -0.006 1.152  -0.006 1.077  0.002 1.003  0.036 0.936  0.065 0.868  0.065 0.793  0.065 0.718  0.065 0.643  0.065 0.568  0.065 0.493  0.065 0.418  0.065 0.343  0.084 0.272  0.118 0.205  0.136 0.134  0.136 0.059  0.136 -0.016  0.136 -0.091  0.136 -0.166  0.136 -0.241  0.136 -0.316  0.136 -0.391  0.136 -0.466  0.136 -0.542  0.136 -0.617  0.136 -0.692  0.136 -0.767  0.136 -0.842  0.136 -0.917  0.136 -0.992  0.136 -1.067  0.136 -1.142  0.136 -1.217  0.107 -1.280  0.054 -1.333  0.001 -1.386  -0.068 -1.414  -0.139 -1.438  -0.211 -1.461  -0.285 -1.464  -0.360 -1.464
2#tos#t3#t3012065/+  -0.854 0.153  -0.854 -0.034  -1.015 -0.059  -1.176 -0.111  -1.288 -0.261  -1.263 -0.342  -1.076 -0.342  -0.889 -0.342  -0.719 -0.274  -0.549 -0.200  -0.362 -0.200  -0.176 -0.200  0.011 -0.200  0.198 -0.200  0.385 -0.200  0.572 -0.200  0.759 -0.200  0.936 -0.222  1.091 -0.324  1.072 -0.206  1.003 -0.032  0.933 0.141  0.864 0.315  0.795 0.488  0.725 0.662  0.656 0.835  0.586 1.009  0.517 1.182  0.448 1.355  0.315 1.404  0.160 1.300  -0.005 1.214  -0.192 1.214  -0.217 1.052  -0.217 0.865  -0.217 0.678  -0.179 0.501  -0.146 0.321  -0.146 0.134  -0.146 -0.052  -0.134 -0.237  -0.076 -0.415  -0.076 -0.601  -0.024 -0.780  -0.005 -0.964  -0.005 -1.150  -0.005 -1.337  -0.005 -1.524  -0.005 -1.711  -0.005 -1.898
2#tos#t3#t3012065/.  0.896 1.497  0.896 1.339  0.896 1.181  0.801 1.117  0.643 1.117  0.485 1.117  0.327 1.117  0.168 1.117  0.010 1.117  -0.148 1.117  -0.243 1.054  -0.243 0.896  -0.243 0.738  -0.243 0.579  -0.243 0.421  -0.148 0.358  0.010 0.358  0.137 0.389  0.137 0.547  0.137 0.705  0.137 0.611  0.137 0.453  0.137 0.295  0.137 0.137  0.137 -0.022  0.248 -0.134  0.360 -0.245  0.472 -0.357  0.516 -0.497  0.516 -0.655  0.516 -0.814  0.516 -0.972  0.516 -1.130  0.390 -1.161  0.231 -1.161  0.073 -1.161  -0.085 -1.161  -0.243 -1.161  -0.402 -1.161  -0.560 -1.161  -0.623 -1.066  -0.623 -0.908  -0.623 -0.750  -0.623 -0.592  -0.623 -0.433  -0.750 -0.402  -0.908 -0.402  -1.003 -0.465  -1.003 -0.623  -1.003 -0.782
2#tos#t3#t3012065/  0.515 1.422  0.515 1.499  0.515 1.496  0.472 1.436  0.417 1.381  0.384 1.314  0.359 1.240  0.343 1.165  0.343 1.088  0.343 1.011  0.343 0.933  0.343 0.856  0.343 0.778  0.343 0.701  0.343 0.623  0.302 0.558  0.259 0.494  0.206 0.448  0.129 0.448  0.057 0.443  0.057 0.365  0.057 0.288  0.057 0.211  0.057 0.133  0.057 0.056  0.008 -0.002  -0.047 -0.056  -0.058 -0.129  -0.058 -0.207  -0.058 -0.284  -0.058 -0.361  -0.058 -0.439  -0.092 -0.502  -0.146 -0.557  -0.201 -0.612  -0.256 -0.666  -0.311 -0.721  -0.350 -0.784  -0.365 -0.860  -0.380 -0.936  -0.396 -1.012  -0.435 -1.075  -0.459 -1.143  -0.459 -1.220  -0.471 -1.295  -0.505 -1.364  -0.516 -1.439  -0.516 -1.516  -0.516 -1.594  -0.459 -1.614
2#tos#t3#t3012065/:  -0.047 1.644  -0.047 1.569  -0.078 1.502  -0.112 1.436  -0.156 1.377  -0.196 1.330  -0.124 1.327  -0.090 1.260  -0.057 1.194  -0.047 1.121  -0.047 1.047  -0.040 0.973  -0.028 0.899  -0.017 0.826  -0.005 0.752  0.007 0.679  0.018 0.605  0.030 0.532  0.041 0.458  0.053 0.385  0.065 0.311  0.076 0.237  0.088 0.164  0.099 0.090  0.111 0.017  0.123 -0.057  0.134 -0.130  0.146 -0.204  0.158 -0.278  0.169 -0.351  0.181 -0.425  0.189 -0.499  0.189 -0.573  0.189 -0.648  0.189 -0.722  0.189 -0.797  0.185 -0.869  0.127 -0.916  0.069 -0.962  0.010 -1.009  -0.048 -1.055  -0.106 -1.102  -0.164 -1.148  -0.204 -1.204  -0.204 -1.278  -0.204 -1.353  -0.204 -1.427  -0.204 -1.502  -0.204 -1.576  -0.204 -1.651
2#tos#t3#t3012065/=  -0.363 1.158  -0.451 1.042  -0.539 0.925  -0.626 0.808  -0.727 0.756  -0.633 0.705  -0.495 0.751  -0.356 0.797  -0.217 0.843  -0.078 0.886  0.068 0.886  0.214 0.886  0.360 0.886  0.506 0.886  0.652 0.886  0.798 0.886  0.944 0.886  1.091 0.886  0.986 0.785  0.880 0.684  0.775 0.583  0.669 0.483  0.563 0.382  0.458 0.281  0.352 0.180  0.246 0.079  0.141 -0.022  0.035 -0.123  -0.071 -0.223  -0.176 -0.324  -0.282 -0.425  -0.388 -0.526  -0.493 -0.627  -0.599 -0.728  -0.705 -0.829  -0.810 -0.930  -0.909 -1.034  -0.909 -1.049  -0.789 -1.024  -0.642 -1.024  -0.496 -1.024  -0.350 -1.024  -0.204 -1.024  -0.058 -1.024  0.088 -1.024  0.234 -1.024  0.380 -1.024  0.526 -1.024  0.672 -1.024  0.728 -1.114
2#tos#t3#t3012065/>  -0.539 1.141  -0.539 1.031  -0.633 0.993  -0.740 0.966  -0.848 0.939  -0.955 0.913  -1.064 0.892  -1.025 0.892  -0.914 0.892  -0.815 0.843  -0.716 0.794  -0.611 0.767  -0.504 0.750  -0.404 0.705  -0.293 0.705  -0.194 0.657  -0.109 0.587  -0.018 0.524  0.074 0.463  0.172 0.412  0.275 0.371  0.380 0.336  0.426 0.259  0.531 0.224  0.623 0.167  0.720 0.132  0.810 0.082  0.895 0.056  0.907 -0.043  0.957 -0.103  0.925 -0.200  0.846 -0.279  0.833 -0.384  0.759 -0.441  0.654 -0.476  0.573 -0.551  0.495 -0.630  0.417 -0.708  0.323 -0.765  0.227 -0.821  0.135 -0.882  0.062 -0.961  0.003 -1.050  -0.096 -1.100  -0.135 -1.201  -0.182 -1.295  -0.287 -1.330  -0.390 -1.371  -0.476 -1.428  -0.539 -1.477
