2#tos#t3#t3073065/#  -0.851 0.957  -1.032 0.596  -0.644 0.579  -0.228 0.579  0.188 0.579  0.603 0.579  1.019 0.579  0.914 0.512  0.521 0.376  0.129 0.240  -0.264 0.104  -0.593 -0.104  -0.880 -0.387  -1.007 -0.684  -0.592 -0.684  -0.176 -0.684  0.192 -0.524  0.595 -0.494  1.003 -0.431  0.929 -0.191  0.635 0.102  0.341 0.396  0.047 0.690  -0.247 0.984  -0.559 1.253  -0.716 1.245  -0.627 0.841  -0.599 0.427  -0.522 0.019  -0.472 -0.390  -0.472 -0.806  -0.472 -1.222  -0.409 -1.630  -0.255 -1.548  -0.200 -1.136  -0.145 -0.724  -0.090 -0.312  -0.035 0.100  0.020 0.512  0.074 0.924  0.096 1.338  0.222 1.336  0.328 0.934  0.434 0.533  0.527 0.128  0.538 -0.287  0.615 -0.693  0.664 -1.104  0.664 -1.520  0.790 -1.883
2#tos#t3#t3073065/$  1.015 1.021  0.896 0.844  0.654 0.867  0.411 0.888  0.166 0.888  -0.024 0.799  -0.257 0.772  -0.416 0.587  -0.453 0.353  -0.344 0.194  -0.128 0.087  0.086 -0.023  0.325 -0.046  0.567 -0.068  0.754 -0.180  0.956 -0.283  0.947 -0.515  0.812 -0.687  0.615 -0.832  0.492 -1.025  0.282 -1.069  0.037 -1.069  -0.143 -1.092  -0.158 -0.847  -0.174 -0.603  -0.189 -0.358  -0.205 -0.114  -0.221 0.131  -0.236 0.375  -0.252 0.620  -0.267 0.864  -0.283 1.108  -0.298 1.353  -0.314 1.597  -0.319 1.535  -0.319 1.290  -0.319 1.045  -0.319 0.800  -0.319 0.555  -0.305 0.311  -0.278 0.068  -0.275 -0.177  -0.275 -0.422  -0.275 -0.667  -0.275 -0.912  -0.275 -1.157  -0.275 -1.402  -0.275 -1.647  -0.275 -1.892  -0.275 -1.870
2#tos#t3#t3073065/'  0.234 1.708  0.234 1.635  0.234 1.562  0.234 1.490  0.234 1.417  0.218 1.348  0.185 1.283  0.153 1.217  0.120 1.152  0.088 1.087  0.055 1.022  0.022 0.957  0.015 0.886  0.015 0.813  0.015 0.740  0.015 0.667  0.015 0.594  0.015 0.522  0.015 0.449  0.015 0.376  0.015 0.303  0.015 0.230  0.015 0.158  0.015 0.085  0.015 0.012  0.015 -0.061  0.015 -0.134  0.015 -0.207  0.015 -0.279  0.015 -0.352  0.015 -0.425  0.015 -0.498  0.015 -0.571  0.015 -0.644  0.009 -0.715  -0.014 -0.785  -0.037 -0.854  -0.060 -0.923  -0.083 -0.992  -0.094 -1.063  -0.094 -1.136  -0.094 -1.208  -0.131 -1.244  -0.203 -1.245  -0.203 -1.318  -0.240 -1.354  -0.313 -1.354  -0.313 -1.427  -0.276 -1.463  -0.203 -1.463
2#tos#t3#t3073065/(  0.331 1.575  0.293 1.499  0.270 1.420  0.213 1.392  0.132 1.366  0.051 1.339  0.026 1.273  0.016 1.190  -0.022 1.114  -0.079 1.054  -0.147 1.003  -0.215 0.952  -0.280 0.899  -0.280 0.814  -0.280 0.729  -0.280 0.644  -0.294 0.561  -0.326 0.482  -0.357 0.404  -0.389 0.325  -0.402 0.242  -0.402 0.157  -0.402 0.072  -0.402 -0.013  -0.402 -0.098  -0.402 -0.183  -0.402 -0.268  -0.402 -0.353  -0.402 -0.438  -0.402 -0.524  -0.402 -0.609  -0.370 -0.686  -0.323 -0.752  -0.242 -0.779  -0.162 -0.805  -0.090 -0.852  -0.020 -0.899  0.055 -0.936  0.138 -0.957  0.220 -0.978  0.303 -0.996  0.387 -1.010  0.471 -1.024  0.555 -1.038  0.639 -1.051  0.724 -1.051  0.809 -1.051  0.894 -1.051  0.979 -1.051  1.064 -1.051
2#tos#t3#t3073065/)  -0.675 1.128  -0.759 1.128  -0.698 1.128  -0.613 1.128  -0.528 1.128  -0.444 1.128  -0.359 1.128  -0.274 1.128  -0.190 1.128  -0.105 1.128  -0.043 1.074  0.017 1.014  0.077 0.954  0.137 0.894  0.219 0.888  0.260 0.827  0.287 0.746  0.313 0.666  0.343 0.587  0.390 0.517  0.432 0.445  0.432 0.360  0.432 0.275  0.432 0.191  0.432 0.106  0.432 0.021  0.432 -0.064  0.432 -0.148  0.429 -0.233  0.412 -0.316  0.396 -0.399  0.372 -0.479  0.328 -0.552  0.285 -0.624  0.241 -0.697  0.191 -0.765  0.140 -0.833  0.088 -0.899  0.028 -0.959  -0.032 -1.019  -0.099 -1.070  -0.170 -1.117  -0.211 -1.186  -0.238 -1.266  -0.311 -1.300  -0.392 -1.327  -0.472 -1.354  -0.530 -1.397  -0.590 -1.422  -0.675 -1.422
2#tos#t3#t3073065/*  -0.719 0.430  -1.113 0.308  -1.206 0.044  -0.826 0.154  -0.410 0.154  -0.000 0.210  0.410 0.264  0.770 0.430  1.101 0.603  0.880 0.461  0.588 0.361  0.428 0.744  0.183 1.037  -0.002 1.313  -0.112 1.448  -0.112 1.032  -0.112 0.616  -0.112 0.201  -0.112 -0.215  -0.112 -0.630  -0.112 -1.046  -0.066 -1.457  -0.027 -1.867  -0.032 -1.674  -0.159 -1.278  -0.285 -0.882  -0.411 -0.486  -0.538 -0.090  -0.664 0.305  -0.812 0.688  -1.220 0.706  -1.031 0.641  -0.663 0.457  -0.299 0.266  0.075 0.090  0.392 -0.139  0.656 -0.423  0.936 -0.711  0.958 -0.442  0.986 -0.027  1.014 0.387  1.041 0.802  0.849 0.878  0.606 0.541  0.434 0.164  0.235 -0.200  -0.018 -0.524  -0.206 -0.878  -0.438 -1.210  -0.609 -1.556
2#tos#t3#t3073065/.  -1.431 0.277  -1.352 0.277  -1.272 0.277  -1.193 0.277  -1.114 0.277  -1.109 0.351  -1.109 0.430  -1.109 0.510  -1.109 0.589  -1.039 0.598  -0.960 0.598  -0.881 0.598  -0.802 0.598  -0.723 0.598  -0.644 0.598  -0.564 0.598  -0.485 0.598  -0.424 0.555  -0.368 0.499  -0.312 0.443  -0.256 0.387  -0.200 0.331  -0.144 0.275  -0.088 0.219  -0.032 0.164  0.024 0.108  0.080 0.052  0.136 -0.004  0.192 -0.060  0.248 -0.116  0.304 -0.172  0.360 -0.228  0.416 -0.284  0.472 -0.340  0.541 -0.366  0.620 -0.366  0.699 -0.366  0.778 -0.366  0.846 -0.393  0.902 -0.449  0.958 -0.505  1.014 -0.561  1.070 -0.617  1.126 -0.673  1.182 -0.729  1.238 -0.785  1.294 -0.841  1.350 -0.897  1.406 -0.953  1.462 -1.009
2#tos#t3#t3073065/:  -0.265 1.357  -0.350 1.357  -0.434 1.357  -0.385 1.357  -0.306 1.331  -0.231 1.293  -0.155 1.255  -0.079 1.218  -0.004 1.180  0.078 1.171  0.108 1.115  0.108 1.031  0.146 0.984  0.201 0.955  0.196 0.871  0.178 0.789  0.160 0.706  0.141 0.624  0.123 0.541  0.105 0.459  0.086 0.376  0.068 0.294  0.050 0.211  0.031 0.129  0.014 0.046  0.014 -0.038  0.014 -0.123  0.014 -0.207  0.014 -0.292  0.014 -0.376  -0.007 -0.456  -0.044 -0.532  -0.082 -0.607  -0.120 -0.683  -0.158 -0.758  -0.196 -0.834  -0.233 -0.909  -0.265 -0.986  -0.261 -1.066  -0.176 -1.066  -0.105 -1.111  -0.035 -1.158  0.035 -1.205  0.106 -1.252  0.166 -1.311  0.236 -1.346  0.320 -1.346  0.387 -1.363  0.387 -1.448  0.387 -1.532
2#tos#t3#t3073065/;  -0.113 1.525  -0.121 1.455  -0.183 1.438  -0.183 1.360  -0.216 1.315  -0.294 1.315  -0.322 1.265  -0.322 1.187  -0.275 1.129  -0.220 1.074  -0.165 1.018  -0.110 0.963  -0.054 0.908  -0.043 0.835  -0.042 0.757  0.028 0.748  0.046 0.672  0.064 0.596  0.081 0.520  0.099 0.444  0.116 0.368  0.134 0.292  0.151 0.216  0.169 0.140  0.186 0.064  0.204 -0.012  0.221 -0.088  0.236 -0.165  0.236 -0.243  0.236 -0.321  0.236 -0.399  0.195 -0.455  0.130 -0.498  0.065 -0.542  0.026 -0.599  0.026 -0.677  0.026 -0.755  0.026 -0.833  0.026 -0.911  0.026 -0.990  0.026 -1.068  0.026 -1.146  0.019 -1.223  0.000 -1.299  -0.019 -1.374  -0.037 -1.450  -0.056 -1.526  -0.075 -1.601  -0.094 -1.677  -0.113 -1.753
2#tos#t3#t3073065/=  -0.767 1.416  -0.767 1.277  -0.849 1.171  -0.849 1.031  -0.816 0.924  -0.677 0.924  -0.537 0.924  -0.397 0.924  -0.257 0.924  -0.118 0.924  0.022 0.924  0.162 0.924  0.254 0.848  0.340 0.761  0.479 0.761  0.619 0.761  0.759 0.761  0.852 0.742  0.750 0.647  0.648 0.552  0.546 0.456  0.444 0.361  0.342 0.266  0.240 0.170  0.137 0.075  0.035 -0.020  -0.067 -0.116  -0.169 -0.211  -0.271 -0.306  -0.358 -0.408  -0.358 -0.548  -0.358 -0.688  -0.464 -0.750  -0.597 -0.795  -0.603 -0.930  -0.603 -1.069  -0.601 -1.207  -0.461 -1.207  -0.356 -1.123  -0.253 -1.031  -0.128 -0.969  0.010 -0.961  0.147 -0.937  0.283 -0.903  0.419 -0.879  0.559 -0.879  0.699 -0.879  0.838 -0.879  0.978 -0.879  1.118 -0.879
2#tos#t3#t3073065/?  -0.631 1.269  -0.691 1.208  -0.728 1.158  -0.643 1.158  -0.558 1.158  -0.472 1.158  -0.387 1.158  -0.302 1.158  -0.216 1.158  -0.131 1.157  -0.104 1.089  -0.028 1.051  0.048 1.012  0.091 0.953  0.091 0.868  0.091 0.782  0.091 0.697  0.091 0.612  0.091 0.526  0.091 0.441  0.091 0.356  0.091 0.270  0.031 0.210  -0.026 0.147  -0.064 0.071  -0.102 -0.006  -0.152 -0.063  -0.187 -0.114  -0.187 -0.199  -0.187 -0.285  -0.111 -0.306  -0.057 -0.372  -0.013 -0.445  0.030 -0.518  0.074 -0.591  0.118 -0.664  0.162 -0.738  0.206 -0.811  0.250 -0.884  0.294 -0.957  0.338 -1.030  0.382 -1.103  0.424 -1.177  0.424 -1.262  0.424 -1.348  0.424 -1.433  0.424 -1.518  0.424 -1.604  0.373 -1.668  0.313 -1.728
