3#apa#apa00#app0009/v  -0.757 0.381  -0.867 0.429  -0.770 0.491  -0.757 0.636  -0.698 0.770  -0.647 0.907  -0.519 0.948  -0.427 1.068  -0.373 1.204  -0.238 1.259  -0.189 1.369  -0.098 1.302  -0.098 1.144  -0.098 0.986  -0.098 0.827  -0.098 0.669  -0.161 0.537  -0.208 0.398  -0.208 0.240  -0.208 0.081  -0.208 -0.077  -0.208 -0.235  -0.208 -0.393  -0.246 -0.536  -0.318 -0.664  -0.318 -0.823  -0.318 -0.981  -0.318 -1.139  -0.318 -1.298  -0.318 -1.456  -0.190 -1.486  -0.098 -1.420  0.015 -1.373  0.122 -1.259  0.162 -1.117  0.232 -0.988  0.328 -0.889  0.460 -0.809  0.531 -0.668  0.561 -0.516  0.660 -0.399  0.694 -0.255  0.781 -0.133  0.781 0.026  0.797 0.177  0.891 0.297  0.891 0.455  0.891 0.613  0.891 0.772  0.891 0.930
3#apa#apa00#app0009/e  -0.905 -0.838  -0.771 -0.815  -0.771 -0.658  -0.702 -0.569  -0.545 -0.569  -0.502 -0.455  -0.366 -0.434  -0.225 -0.363  -0.087 -0.289  0.024 -0.178  0.174 -0.162  0.286 -0.051  0.397 0.060  0.536 0.104  0.658 0.188  0.769 0.299  0.881 0.410  0.978 0.527  1.020 0.642  1.112 0.707  1.112 0.864  1.034 0.989  0.923 1.100  0.798 1.179  0.641 1.179  0.484 1.179  0.327 1.179  0.170 1.179  0.059 1.068  -0.052 0.956  -0.163 0.845  -0.233 0.717  -0.315 0.642  -0.367 0.537  -0.457 0.417  -0.502 0.278  -0.502 0.121  -0.502 -0.036  -0.502 -0.193  -0.502 -0.350  -0.502 -0.508  -0.502 -0.665  -0.502 -0.822  -0.502 -0.979  -0.481 -1.128  -0.369 -1.239  -0.258 -1.350  -0.233 -1.497  -0.104 -1.574  0.036 -1.645
3#apa#apa00#app0009/x  -1.296 0.182  -1.192 0.291  -1.187 0.499  -1.044 0.652  -0.893 0.803  -0.711 0.876  -0.534 0.952  -0.425 1.050  -0.425 0.837  -0.425 0.625  -0.425 0.412  -0.425 0.199  -0.316 0.031  -0.213 -0.139  -0.207 -0.349  -0.143 -0.535  0.036 -0.647  0.119 -0.808  0.200 -0.987  0.293 -1.124  0.379 -1.275  0.455 -1.451  0.573 -1.339  0.608 -1.129  0.643 -0.919  0.678 -0.709  0.713 -0.499  0.748 -0.289  0.783 -0.079  0.818 0.131  0.853 0.341  0.888 0.551  0.923 0.760  0.958 0.970  0.971 1.162  0.881 1.039  0.766 0.938  0.603 0.805  0.420 0.700  0.269 0.550  0.119 0.399  -0.032 0.249  -0.205 0.129  -0.356 -0.005  -0.466 -0.185  -0.586 -0.357  -0.681 -0.547  -0.791 -0.727  -0.861 -0.911  -0.861 -1.124
3#apa#apa00#app0009/i  0.004 0.765  -0.028 0.666  -0.139 0.622  -0.194 0.515  -0.194 0.385  -0.194 0.255  -0.194 0.125  -0.194 -0.005  -0.194 -0.135  -0.194 -0.265  -0.194 -0.395  -0.268 -0.494  -0.293 -0.614  -0.293 -0.744  -0.293 -0.874  -0.293 -1.004  -0.293 -1.134  -0.293 -1.264  -0.293 -1.394  -0.177 -1.408  -0.061 -1.374  0.042 -1.309  0.152 -1.260  0.261 -1.210  0.364 -1.146  0.386 -1.031  0.365 -0.903  0.344 -0.775  0.324 -0.647  0.303 -0.518  0.282 -0.390  0.262 -0.262  0.241 -0.134  0.220 -0.005  0.199 0.123  0.179 0.251  0.158 0.380  0.137 0.508  0.117 0.636  0.096 0.764  0.075 0.893  0.055 1.021  0.034 1.149  0.013 1.278  -0.007 1.406  -0.028 1.534  -0.049 1.662  -0.070 1.791  -0.090 1.919  -0.095 2.049
3#apa#apa00#app0009/n  -0.727 1.637  -0.603 1.578  -0.603 1.396  -0.603 1.213  -0.603 1.030  -0.589 0.849  -0.531 0.676  -0.478 0.501  -0.478 0.319  -0.478 0.136  -0.478 -0.047  -0.478 -0.230  -0.478 -0.413  -0.478 -0.596  -0.513 -0.764  -0.603 -0.910  -0.603 -1.093  -0.725 -1.225  -0.689 -1.314  -0.603 -1.167  -0.565 -0.990  -0.507 -0.816  -0.478 -0.638  -0.372 -0.499  -0.331 -0.333  -0.229 -0.193  -0.160 -0.038  -0.104 0.121  0.047 0.169  0.145 0.311  0.217 0.464  0.367 0.565  0.518 0.654  0.569 0.816  0.699 0.945  0.853 1.014  0.892 0.870  0.892 0.687  0.884 0.508  0.767 0.373  0.767 0.190  0.760 0.010  0.643 -0.124  0.643 -0.307  0.643 -0.490  0.643 -0.672  0.644 -0.855  0.767 -0.987  0.834 -1.103  0.892 -1.228
3#apa#apa00#app0009/g  0.036 1.082  -0.006 1.183  -0.117 1.199  -0.165 1.115  -0.266 1.073  -0.315 0.976  -0.391 0.889  -0.433 0.788  -0.470 0.676  -0.491 0.562  -0.491 0.444  -0.433 0.385  -0.321 0.379  -0.208 0.403  -0.111 0.466  -0.063 0.554  0.032 0.609  0.115 0.692  0.157 0.793  0.212 0.888  0.212 1.006  0.212 1.040  0.212 0.922  0.212 0.804  0.212 0.686  0.212 0.569  0.212 0.451  0.212 0.333  0.212 0.215  0.212 0.097  0.212 -0.021  0.212 -0.139  0.212 -0.257  0.212 -0.375  0.212 -0.493  0.212 -0.611  0.212 -0.729  0.212 -0.847  0.177 -0.959  0.154 -1.073  0.154 -1.191  0.107 -1.298  0.095 -1.413  0.054 -1.521  0.036 -1.635  -0.020 -1.730  -0.079 -1.790  -0.197 -1.790  -0.257 -1.732  -0.315 -1.673
3#apa#apa00#app0009/d  -0.228 -0.387  -0.069 -0.340  0.010 -0.167  -0.010 0.030  -0.112 0.169  -0.317 0.164  -0.505 0.089  -0.662 -0.027  -0.808 -0.173  -0.953 -0.318  -1.098 -0.463  -1.180 -0.635  -1.180 -0.841  -1.163 -1.039  -0.983 -1.101  -0.784 -1.095  -0.666 -0.984  -0.498 -0.895  -0.394 -0.719  -0.253 -0.570  -0.217 -0.382  -0.051 -0.272  0.058 -0.100  0.162 0.075  0.218 0.268  0.346 0.426  0.445 0.600  0.539 0.777  0.645 0.939  0.718 1.115  0.807 1.283  0.902 1.439  0.963 1.584  0.883 1.485  0.803 1.359  0.691 1.246  0.645 1.059  0.563 0.873  0.513 0.673  0.419 0.499  0.347 0.308  0.264 0.120  0.243 -0.081  0.169 -0.269  0.094 -0.457  0.089 -0.662  0.089 -0.867  0.089 -1.073  0.169 -1.246  0.248 -1.419
3#apa#apa00#app0009/a  0.429 0.450  0.429 0.640  0.429 0.829  0.382 0.971  0.299 1.078  0.133 1.101  -0.056 1.101  -0.239 1.085  -0.373 0.951  -0.507 0.817  -0.641 0.683  -0.743 0.536  -0.836 0.404  -1.003 0.318  -1.047 0.146  -1.134 -0.007  -1.134 -0.196  -1.264 -0.256  -1.264 -0.445  -1.234 -0.622  -1.134 -0.770  -1.026 -0.852  -0.886 -0.970  -0.702 -0.982  -0.512 -0.982  -0.453 -0.852  -0.290 -0.789  -0.156 -0.655  -0.022 -0.521  0.112 -0.387  0.169 -0.221  0.299 -0.162  0.368 -0.001  0.475 0.152  0.561 0.320  0.689 0.380  0.809 0.450  0.820 0.629  0.820 0.603  0.794 0.424  0.689 0.278  0.689 0.088  0.689 -0.101  0.689 -0.290  0.702 -0.474  0.820 -0.615  0.903 -0.722  0.962 -0.852  1.151 -0.852  1.341 -0.852
3#apa#apa00#app0009/f  0.775 0.962  0.847 1.079  0.847 1.226  0.796 1.322  0.721 1.394  0.646 1.466  0.499 1.466  0.431 1.366  0.295 1.322  0.271 1.198  0.199 1.081  0.199 0.934  0.199 0.787  0.199 0.640  0.199 0.493  0.199 0.347  0.199 0.200  0.147 0.065  0.127 -0.077  0.127 -0.224  0.055 -0.341  0.053 -0.488  0.017 -0.630  -0.020 -0.772  -0.086 -0.904  -0.119 -1.043  -0.161 -1.180  -0.233 -1.297  -0.254 -1.435  -0.358 -1.539  -0.483 -1.524  -0.525 -1.393  -0.531 -1.246  -0.537 -1.099  -0.544 -0.953  -0.550 -0.806  -0.557 -0.659  -0.563 -0.512  -0.569 -0.366  -0.576 -0.219  -0.582 -0.072  -0.588 0.075  -0.541 0.170  -0.394 0.170  -0.247 0.170  -0.100 0.170  0.046 0.170  0.193 0.170  0.340 0.170  0.487 0.170
3#apa#apa00#app0009/t  -0.008 2.090  -0.008 1.924  -0.008 1.757  -0.008 1.591  -0.008 1.425  -0.008 1.258  -0.008 1.092  -0.008 0.925  -0.008 0.759  -0.008 0.593  -0.063 0.439  -0.111 0.284  -0.111 0.118  -0.111 -0.049  -0.111 -0.215  -0.111 -0.381  -0.111 -0.548  -0.170 -0.700  -0.214 -0.856  -0.234 -1.014  -0.352 -1.132  -0.419 -1.270  -0.388 -1.405  -0.221 -1.405  -0.055 -1.405  0.076 -1.321  0.235 -1.302  0.402 -1.302  0.476 -1.248  0.395 -1.103  0.314 -0.957  0.233 -0.812  0.153 -0.666  0.072 -0.521  -0.009 -0.375  -0.090 -0.230  -0.171 -0.085  -0.251 0.061  -0.332 0.206  -0.413 0.352  -0.494 0.497  -0.414 0.548  -0.248 0.548  -0.081 0.548  0.085 0.548  0.252 0.548  0.418 0.548  0.584 0.548  0.751 0.548  0.917 0.548
3#apa#apa00#app0009/j  -0.383 0.339  -0.261 0.411  -0.141 0.491  -0.030 0.591  0.093 0.678  0.172 0.762  0.153 0.794  0.108 0.678  0.071 0.541  0.026 0.399  0.021 0.248  0.021 0.096  0.021 -0.057  0.021 -0.209  0.021 -0.361  0.021 -0.514  0.021 -0.666  0.010 -0.817  -0.027 -0.965  -0.049 -1.113  -0.080 -1.258  -0.139 -1.386  -0.246 -1.494  -0.334 -1.580  -0.484 -1.578  -0.535 -1.476  -0.535 -1.323  -0.496 -1.178  -0.441 -1.036  -0.386 -0.894  -0.331 -0.752  -0.276 -0.610  -0.221 -0.467  -0.166 -0.325  -0.111 -0.183  -0.056 -0.041  -0.001 0.101  0.054 0.243  0.109 0.385  0.164 0.527  0.219 0.669  0.274 0.812  0.329 0.954  0.384 1.096  0.439 1.238  0.494 1.380  0.549 1.522  0.604 1.664  0.659 1.806  0.677 1.854
