3#apa#apa00#app0035/!  0.007 1.170  0.019 1.242  0.073 1.297  0.128 1.351  0.140 1.423  0.182 1.465  0.128 1.411  0.128 1.334  0.128 1.257  0.105 1.185  0.070 1.116  0.050 1.042  0.032 0.967  0.013 0.892  0.007 0.816  0.007 0.739  -0.001 0.663  -0.026 0.590  -0.050 0.517  -0.053 0.441  -0.053 0.364  -0.053 0.287  -0.053 0.210  -0.076 0.136  -0.101 0.063  -0.114 -0.012  -0.114 -0.089  -0.114 -0.166  -0.114 -0.243  -0.114 -0.320  -0.114 -0.397  -0.114 -0.474  -0.114 -0.551  -0.114 -0.628  -0.084 -0.698  -0.053 -0.768  -0.053 -0.845  -0.011 -0.879  0.012 -0.938  0.019 -1.015  0.026 -1.092  0.033 -1.168  0.040 -1.245  0.047 -1.322  0.054 -1.399  0.061 -1.475  0.067 -1.552  0.040 -1.602  0.007 -1.559  0.067 -1.542
3#apa#apa00#app0035/@  0.162 -0.094  0.245 -0.030  0.245 -0.214  0.284 -0.382  0.328 -0.548  0.469 -0.591  0.494 -0.432  0.561 -0.276  0.576 -0.098  0.507 0.057  0.363 0.154  0.223 0.049  0.162 -0.110  0.162 -0.294  0.298 -0.343  0.411 -0.272  0.498 -0.172  0.628 -0.042  0.700 0.112  0.742 0.279  0.742 0.463  0.742 0.647  0.742 0.831  0.719 1.006  0.659 1.165  0.575 1.314  0.391 1.314  0.207 1.314  0.037 1.251  -0.142 1.231  -0.239 1.091  -0.391 0.996  -0.527 0.873  -0.657 0.743  -0.743 0.581  -0.825 0.416  -0.859 0.238  -0.915 0.063  -0.915 -0.121  -0.915 -0.306  -0.915 -0.490  -0.915 -0.674  -0.869 -0.847  -0.787 -1.012  -0.679 -1.158  -0.592 -1.319  -0.467 -1.453  -0.337 -1.583  -0.182 -1.655  -0.003 -1.668
3#apa#apa00#app0035/#  -0.088 1.593  -0.266 1.237  -0.307 0.829  -0.416 0.438  -0.453 0.025  -0.525 -0.383  -0.635 -0.774  -0.635 -1.192  -0.626 -1.544  -0.513 -1.142  -0.400 -0.741  -0.287 -0.339  -0.174 0.063  -0.061 0.464  0.052 0.866  0.165 1.267  0.278 1.669  0.349 1.764  0.349 1.347  0.349 0.930  0.349 0.513  0.458 0.121  0.458 -0.296  0.543 -0.678  0.567 -1.085  0.448 -1.275  0.104 -1.039  -0.240 -0.802  -0.584 -0.566  -0.927 -0.330  -1.180 -0.046  -0.873 0.063  -0.497 0.241  -0.113 0.379  0.276 0.500  0.668 0.628  1.068 0.719  1.247 0.761  0.917 0.505  0.588 0.249  0.259 -0.007  -0.071 -0.263  -0.400 -0.519  -0.719 -0.786  -0.734 -0.811  -0.339 -0.718  0.057 -0.629  0.453 -0.540  0.838 -0.402  1.223 -0.265
3#apa#apa00#app0035/$  0.283 0.732  0.378 0.908  0.121 0.922  -0.111 0.827  -0.337 0.707  -0.559 0.556  -0.811 0.462  -0.954 0.320  -0.859 0.144  -0.666 0.066  -0.394 0.066  -0.123 0.066  0.133 -0.002  0.398 -0.029  0.630 -0.124  0.767 -0.315  0.854 -0.499  0.759 -0.731  0.581 -0.873  0.390 -1.065  0.165 -1.183  -0.062 -1.326  -0.310 -1.384  -0.551 -1.457  -0.538 -1.212  -0.476 -0.948  -0.414 -0.683  -0.352 -0.419  -0.289 -0.155  -0.227 0.109  -0.165 0.374  -0.103 0.638  -0.041 0.902  0.021 1.166  0.084 1.431  0.146 1.695  0.188 1.787  0.188 1.515  0.188 1.244  0.188 0.972  0.188 0.701  0.188 0.429  0.188 0.158  0.188 -0.114  0.188 -0.385  0.188 -0.657  0.188 -0.928  0.188 -1.199  0.188 -1.471  0.188 -1.742
3#apa#apa00#app0035/%  -0.384 0.840  -0.402 1.093  -0.609 1.088  -0.817 0.959  -1.001 0.775  -1.095 0.538  -1.095 0.277  -0.991 0.105  -0.753 0.051  -0.507 0.086  -0.277 0.183  -0.148 0.381  -0.069 0.609  -0.118 0.859  -0.230 1.076  -0.125 1.121  0.128 1.185  0.381 1.248  0.634 1.311  0.574 1.087  0.424 0.878  0.278 0.665  0.186 0.421  0.025 0.223  -0.104 -0.003  -0.239 -0.225  -0.334 -0.466  -0.469 -0.688  -0.520 -0.944  -0.608 -1.187  -0.621 -1.445  -0.555 -1.532  -0.381 -1.338  -0.207 -1.143  -0.033 -0.949  0.141 -0.754  0.315 -0.560  0.489 -0.365  0.663 -0.171  0.652 -0.255  0.484 -0.446  0.484 -0.707  0.590 -0.924  0.821 -0.954  0.979 -0.817  1.115 -0.646  1.078 -0.391  0.945 -0.174  0.745 -0.028  0.562 0.051
3#apa#apa00#app0035/^  -1.346 -1.104  -1.218 -1.104  -1.156 -1.037  -1.156 -0.908  -1.156 -0.779  -1.105 -0.672  -1.014 -0.581  -0.905 -0.533  -0.777 -0.533  -0.685 -0.443  -0.595 -0.352  -0.586 -0.227  -0.547 -0.115  -0.456 -0.024  -0.396 0.080  -0.396 0.208  -0.318 0.305  -0.227 0.395  -0.136 0.486  -0.045 0.577  -0.016 0.693  0.002 0.815  0.093 0.906  0.184 0.996  0.275 1.087  0.364 1.179  0.364 1.307  0.364 1.298  0.364 1.170  0.364 1.041  0.364 0.912  0.364 0.784  0.364 0.655  0.364 0.527  0.364 0.398  0.364 0.270  0.364 0.141  0.381 0.020  0.472 -0.071  0.554 -0.166  0.554 -0.294  0.610 -0.400  0.701 -0.490  0.744 -0.601  0.744 -0.730  0.744 -0.858  0.796 -0.965  0.887 -1.056  0.996 -1.104  1.124 -1.104
3#apa#apa00#app0035/&  0.680 -1.081  0.765 -1.109  0.567 -1.081  0.425 -0.996  0.321 -0.817  0.170 -0.684  0.089 -0.491  -0.021 -0.295  -0.128 -0.102  -0.173 0.118  -0.244 0.333  -0.272 0.550  -0.340 0.749  -0.425 0.940  -0.425 1.166  -0.279 1.298  -0.073 1.383  0.153 1.383  0.376 1.400  0.586 1.468  0.765 1.420  0.850 1.278  0.711 1.159  0.595 0.980  0.425 0.859  0.290 0.738  0.130 0.578  -0.030 0.418  -0.218 0.296  -0.326 0.122  -0.486 -0.038  -0.594 -0.220  -0.764 -0.341  -0.882 -0.519  -0.982 -0.704  -1.019 -0.915  -0.959 -1.081  -0.817 -1.166  -0.591 -1.166  -0.399 -1.081  -0.213 -0.975  -0.002 -0.911  0.210 -0.849  0.380 -0.702  0.552 -0.571  0.595 -0.387  0.524 -0.232  0.360 -0.082  0.142 -0.062  0.000 0.023
3#apa#apa00#app0035/*  -1.216 1.498  -0.996 1.412  -0.909 1.191  -0.728 1.010  -0.546 0.829  -0.358 0.719  -0.223 0.505  -0.014 0.362  0.122 0.189  0.224 -0.043  0.386 -0.238  0.469 -0.480  0.583 -0.703  0.670 -0.923  0.791 -1.130  0.791 -1.386  0.791 -1.517  0.791 -1.261  0.791 -1.005  0.791 -0.748  0.791 -0.492  0.791 -0.235  0.791 0.021  0.791 0.277  0.791 0.534  0.791 0.790  0.791 1.047  0.640 0.963  0.425 0.864  0.239 0.695  0.023 0.597  -0.158 0.415  -0.280 0.209  -0.372 -0.025  -0.435 -0.263  -0.547 -0.473  -0.547 -0.729  -0.695 -0.897  -0.876 -0.716  -1.058 -0.534  -1.239 -0.353  -1.251 -0.242  -1.021 -0.180  -0.794 -0.108  -0.580 -0.006  -0.337 0.026  -0.087 0.055  0.144 0.160  0.401 0.160  0.657 0.160
3#apa#apa00#app0035/(  0.185 1.590  0.114 1.589  0.114 1.517  0.112 1.445  0.061 1.394  0.010 1.343  -0.029 1.287  -0.037 1.217  -0.069 1.152  -0.100 1.087  -0.100 1.015  -0.103 0.944  -0.135 0.879  -0.167 0.814  -0.171 0.743  -0.171 0.671  -0.171 0.599  -0.171 0.527  -0.171 0.454  -0.171 0.382  -0.171 0.310  -0.171 0.238  -0.171 0.166  -0.171 0.094  -0.171 0.021  -0.171 -0.051  -0.171 -0.123  -0.169 -0.195  -0.142 -0.262  -0.115 -0.329  -0.088 -0.396  -0.061 -0.463  -0.035 -0.530  -0.029 -0.601  -0.029 -0.673  -0.029 -0.745  -0.002 -0.811  0.030 -0.875  0.062 -0.940  0.095 -1.005  0.127 -1.069  0.159 -1.134  0.191 -1.198  0.224 -1.263  0.256 -1.327  0.307 -1.378  0.347 -1.438  0.379 -1.502  0.419 -1.561  0.470 -1.612
3#apa#apa00#app0035/)  -0.335 1.547  -0.263 1.547  -0.191 1.546  -0.190 1.474  -0.139 1.422  -0.119 1.358  -0.119 1.286  -0.105 1.216  -0.082 1.147  -0.059 1.078  -0.032 1.011  0.001 0.947  0.025 0.880  0.025 0.807  0.025 0.735  0.034 0.665  0.066 0.600  0.097 0.535  0.097 0.462  0.097 0.390  0.099 0.318  0.131 0.253  0.164 0.188  0.169 0.117  0.169 0.045  0.169 -0.028  0.169 -0.100  0.169 -0.173  0.169 -0.245  0.169 -0.318  0.169 -0.390  0.169 -0.462  0.140 -0.528  0.108 -0.593  0.097 -0.663  0.097 -0.735  0.081 -0.805  0.058 -0.874  0.035 -0.943  0.015 -1.012  -0.002 -1.082  -0.020 -1.153  -0.037 -1.223  -0.061 -1.291  -0.094 -1.356  -0.130 -1.417  -0.182 -1.469  -0.233 -1.520  -0.284 -1.571  -0.335 -1.622
3#apa#apa00#app0035/`  -1.149 1.028  -1.073 1.028  -0.996 1.028  -0.925 1.023  -0.925 0.947  -0.925 0.871  -0.916 0.804  -0.840 0.804  -0.763 0.804  -0.701 0.790  -0.701 0.714  -0.701 0.638  -0.683 0.580  -0.607 0.580  -0.531 0.580  -0.478 0.557  -0.478 0.481  -0.478 0.405  -0.458 0.337  -0.404 0.283  -0.350 0.229  -0.297 0.176  -0.243 0.122  -0.189 0.068  -0.135 0.014  -0.081 -0.040  -0.027 -0.093  0.036 -0.135  0.100 -0.177  0.163 -0.219  0.226 -0.262  0.290 -0.304  0.353 -0.346  0.416 -0.388  0.479 -0.430  0.543 -0.473  0.606 -0.515  0.665 -0.562  0.719 -0.616  0.773 -0.670  0.826 -0.724  0.880 -0.778  0.934 -0.831  0.988 -0.885  1.042 -0.939  1.095 -0.993  1.149 -1.047  1.203 -1.100  1.257 -1.154  1.311 -1.208
