3#apa#apa01#app0118/a  0.463 0.073  0.463 0.034  0.463 0.256  0.361 0.435  0.333 0.645  0.203 0.737  0.098 0.853  0.007 0.983  -0.085 1.113  -0.307 1.113  -0.528 1.113  -0.620 0.983  -0.837 0.979  -0.837 0.758  -0.968 0.666  -1.073 0.488  -1.098 0.277  -1.228 0.185  -1.228 -0.037  -1.228 -0.258  -1.228 -0.480  -1.104 -0.578  -1.012 -0.708  -0.921 -0.838  -0.707 -0.846  -0.608 -0.968  -0.386 -0.968  -0.187 -0.945  -0.073 -0.838  0.019 -0.708  0.110 -0.578  0.203 -0.449  0.333 -0.281  0.424 -0.097  0.488 0.098  0.594 0.276  0.628 0.463  0.724 0.589  0.724 0.636  0.724 0.414  0.624 0.234  0.594 0.025  0.594 -0.197  0.695 -0.318  0.724 -0.510  0.854 -0.602  0.969 -0.708  1.061 -0.838  1.283 -0.838  1.504 -0.838
3#apa#apa01#app0118/b  -0.814 1.844  -0.702 1.757  -0.702 1.558  -0.666 1.394  -0.589 1.271  -0.589 1.072  -0.589 0.872  -0.589 0.673  -0.589 0.473  -0.589 0.273  -0.508 0.155  -0.476 -0.013  -0.476 -0.213  -0.476 -0.412  -0.476 -0.612  -0.476 -0.811  -0.403 -0.859  -0.476 -0.732  -0.476 -0.532  -0.364 -0.445  -0.364 -0.246  -0.364 -0.046  -0.253 0.042  -0.251 0.240  -0.139 0.327  -0.105 0.493  0.087 0.501  0.182 0.606  0.381 0.606  0.581 0.606  0.762 0.587  0.867 0.493  0.954 0.380  0.988 0.214  1.016 0.042  1.100 -0.073  1.100 -0.272  1.037 -0.408  0.988 -0.559  0.899 -0.722  0.823 -0.859  0.736 -0.971  0.569 -1.052  0.383 -1.084  0.184 -1.084  0.087 -0.981  -0.103 -0.971  -0.251 -0.920  -0.389 -0.859  -0.476 -0.746
3#apa#apa01#app0118/c  0.791 0.674  0.923 0.678  0.916 0.806  0.791 0.816  0.778 0.937  0.649 0.948  0.553 1.044  0.429 1.068  0.295 1.068  0.160 1.068  0.136 0.958  0.022 0.937  -0.112 0.937  -0.211 0.852  -0.327 0.806  -0.389 0.733  -0.465 0.674  -0.520 0.595  -0.602 0.543  -0.651 0.458  -0.740 0.412  -0.782 0.320  -0.782 0.185  -0.881 0.150  -0.913 0.048  -0.913 -0.087  -0.913 -0.221  -0.801 -0.244  -0.782 -0.359  -0.663 -0.375  -0.651 -0.497  -0.526 -0.506  -0.520 -0.635  -0.388 -0.637  -0.258 -0.641  -0.250 -0.768  -0.115 -0.768  0.005 -0.783  0.022 -0.899  0.157 -0.899  0.291 -0.899  0.398 -0.927  0.429 -1.030  0.564 -1.030  0.698 -1.030  0.820 -1.001  0.916 -0.906  1.047 -0.899  1.182 -0.899  1.185 -0.768
3#apa#apa01#app0118/d  0.259 -0.178  0.161 -0.053  0.106 0.115  -0.019 0.213  -0.242 0.213  -0.368 0.115  -0.523 -0.010  -0.621 -0.135  -0.719 -0.260  -0.829 -0.374  -0.915 -0.511  -0.915 -0.734  -0.915 -0.958  -0.829 -1.145  -0.651 -1.255  -0.428 -1.255  -0.212 -1.237  -0.034 -1.144  0.064 -1.019  0.131 -0.863  0.161 -0.670  0.248 -0.483  0.259 -0.264  0.259 -0.041  0.259 0.182  0.259 0.405  0.276 0.621  0.357 0.811  0.357 1.035  0.357 1.258  0.357 1.481  0.357 1.704  0.357 1.928  0.357 1.798  0.259 1.615  0.259 1.392  0.205 1.181  0.161 0.968  0.161 0.745  0.161 0.522  0.064 0.339  0.064 0.116  0.064 -0.107  0.064 -0.331  0.121 -0.530  0.161 -0.736  0.230 -0.932  0.318 -1.118  0.427 -1.255  0.553 -1.157
3#apa#apa01#app0118/e  -0.627 -0.073  -0.503 -0.196  -0.339 -0.223  -0.164 -0.223  0.011 -0.223  0.186 -0.223  0.361 -0.223  0.504 -0.144  0.576 0.001  0.674 0.078  0.726 0.201  0.726 0.376  0.726 0.551  0.726 0.726  0.654 0.829  0.576 0.926  0.454 0.980  0.279 0.980  0.255 1.130  0.079 1.130  -0.096 1.130  -0.271 1.130  -0.446 1.130  -0.477 0.986  -0.627 0.961  -0.671 0.829  -0.777 0.761  -0.777 0.586  -0.861 0.445  -0.928 0.298  -0.928 0.123  -0.928 -0.052  -0.928 -0.227  -0.899 -0.373  -0.777 -0.427  -0.722 -0.579  -0.598 -0.703  -0.473 -0.824  -0.326 -0.853  -0.273 -0.975  -0.098 -0.975  0.077 -0.975  0.252 -0.975  0.427 -0.975  0.602 -0.975  0.777 -0.975  0.953 -0.975  1.128 -0.975  1.303 -0.975  1.478 -0.975
3#apa#apa01#app0118/f  -0.205 -1.972  -0.205 -1.811  -0.205 -1.650  -0.205 -1.489  -0.205 -1.328  -0.205 -1.168  -0.205 -1.007  -0.205 -0.846  -0.243 -0.701  -0.318 -0.571  -0.318 -0.410  -0.318 -0.249  -0.318 -0.088  -0.318 0.072  -0.318 0.233  -0.318 0.394  -0.318 0.555  -0.318 0.716  -0.318 0.876  -0.225 0.945  -0.205 1.086  -0.128 1.169  -0.079 1.281  0.019 1.344  0.130 1.393  0.291 1.393  0.424 1.325  0.566 1.281  0.615 1.169  0.692 1.085  0.580 1.036  0.580 0.876  0.514 0.735  0.425 0.601  0.336 0.467  0.247 0.333  0.158 0.199  0.068 0.066  -0.021 -0.068  -0.110 -0.202  -0.199 -0.336  -0.288 -0.470  -0.209 -0.513  -0.161 -0.626  -0.093 -0.719  0.019 -0.768  0.097 -0.850  0.243 -0.865  0.307 -0.962  0.468 -0.962
3#apa#apa01#app0118/g  0.247 0.530  0.361 0.644  0.364 0.804  0.364 0.965  0.351 1.113  0.189 1.113  0.028 1.113  -0.133 1.113  -0.272 1.060  -0.386 0.946  -0.452 0.812  -0.532 0.684  -0.569 0.538  -0.569 0.377  -0.488 0.297  -0.327 0.297  -0.166 0.297  -0.004 0.297  0.115 0.398  0.229 0.512  0.364 0.549  0.427 0.647  0.480 0.754  0.480 0.915  0.424 0.940  0.364 0.803  0.364 0.642  0.364 0.481  0.270 0.413  0.247 0.275  0.247 0.114  0.247 -0.047  0.247 -0.208  0.247 -0.369  0.247 -0.530  0.247 -0.692  0.247 -0.853  0.247 -1.014  0.247 -1.175  0.131 -1.220  0.099 -1.367  -0.015 -1.481  -0.140 -1.569  -0.301 -1.569  -0.463 -1.569  -0.569 -1.514  -0.668 -1.452  -0.713 -1.335  -0.802 -1.263  -0.919 -1.219
3#apa#apa01#app0118/h  -0.622 1.955  -0.508 1.841  -0.486 1.689  -0.486 1.528  -0.486 1.367  -0.486 1.206  -0.486 1.045  -0.486 0.884  -0.486 0.723  -0.462 0.572  -0.350 0.457  -0.350 0.296  -0.350 0.135  -0.350 -0.026  -0.350 -0.187  -0.350 -0.348  -0.350 -0.509  -0.350 -0.670  -0.398 -0.811  -0.486 -0.936  -0.486 -1.097  -0.486 -1.083  -0.486 -0.922  -0.486 -0.761  -0.486 -0.600  -0.434 -0.491  -0.350 -0.414  -0.350 -0.253  -0.350 -0.091  -0.242 0.025  -0.214 0.174  -0.078 0.199  -0.042 0.324  0.119 0.324  0.280 0.324  0.441 0.324  0.601 0.323  0.627 0.188  0.737 0.137  0.813 0.052  0.873 -0.049  0.963 -0.173  1.009 -0.315  1.009 -0.476  1.009 -0.637  1.009 -0.798  1.009 -0.959  0.923 -1.035  0.873 -1.145  0.873 -1.306
3#apa#apa01#app0118/i  -0.266 0.079  -0.266 -0.032  -0.203 -0.081  -0.106 -0.095  -0.106 -0.206  -0.106 -0.318  -0.106 -0.429  -0.106 -0.541  -0.106 -0.652  -0.106 -0.763  -0.106 -0.875  -0.106 -0.986  -0.106 -1.098  -0.106 -1.209  -0.106 -1.320  -0.106 -1.432  -0.106 -1.500  -0.106 -1.389  -0.097 -1.278  -0.086 -1.167  -0.075 -1.056  -0.064 -0.945  -0.053 -0.834  -0.042 -0.723  -0.031 -0.613  -0.020 -0.502  -0.009 -0.391  0.002 -0.280  0.014 -0.169  0.025 -0.058  0.036 0.053  0.047 0.163  0.058 0.274  0.069 0.385  0.080 0.496  0.091 0.607  0.102 0.718  0.113 0.829  0.124 0.939  0.135 1.050  0.147 1.161  0.158 1.272  0.169 1.383  0.180 1.494  0.191 1.605  0.202 1.715  0.213 1.826  0.214 1.743  0.214 1.631  0.214 1.520
3#apa#apa01#app0118/j  0.327 0.615  0.327 0.479  0.327 0.343  0.232 0.302  0.232 0.166  0.232 0.031  0.232 -0.105  0.327 -0.146  0.327 -0.282  0.263 -0.391  0.232 -0.514  0.232 -0.649  0.232 -0.785  0.204 -0.893  0.138 -0.962  0.044 -1.003  -0.014 -1.081  -0.055 -1.175  -0.144 -1.222  -0.232 -1.269  -0.368 -1.269  -0.481 -1.215  -0.600 -1.175  -0.641 -1.081  -0.710 -1.014  -0.666 -0.887  -0.612 -0.763  -0.559 -0.638  -0.505 -0.514  -0.451 -0.390  -0.397 -0.265  -0.343 -0.141  -0.289 -0.016  -0.235 0.108  -0.181 0.232  -0.127 0.357  -0.073 0.481  -0.020 0.606  0.034 0.730  0.088 0.854  0.142 0.979  0.196 1.103  0.250 1.228  0.304 1.352  0.358 1.476  0.412 1.601  0.466 1.725  0.515 1.828  0.515 1.692  0.515 1.556
3#apa#apa01#app0118/k  -0.414 1.939  -0.414 1.689  -0.414 1.438  -0.414 1.188  -0.512 0.978  -0.537 0.739  -0.537 0.488  -0.537 0.238  -0.537 -0.012  -0.537 -0.263  -0.648 -0.402  -0.660 -0.640  -0.660 -0.890  -0.660 -1.140  -0.527 -0.930  -0.393 -0.718  -0.259 -0.507  -0.126 -0.295  0.008 -0.084  0.141 0.128  0.275 0.340  0.409 0.551  0.542 0.763  0.676 0.974  0.810 1.186  0.941 1.089  0.818 0.962  0.695 0.835  0.521 0.656  0.344 0.479  0.202 0.360  0.079 0.233  -0.044 0.106  -0.279 0.091  -0.407 -0.032  -0.534 -0.155  -0.660 -0.279  -0.656 -0.525  -0.405 -0.525  -0.278 -0.402  -0.151 -0.525  0.099 -0.525  0.349 -0.525  0.476 -0.648  0.572 -0.803  0.695 -0.930  0.723 -1.169  0.818 -1.380  0.938 -1.511  1.065 -1.634
