3#apa#apa01#app0145/Q  0.150 0.350  0.246 0.499  0.299 0.691  0.159 0.796  0.150 1.033  -0.034 1.094  -0.279 1.094  -0.524 1.094  -0.613 0.926  -0.786 0.753  -0.891 0.551  -1.028 0.362  -1.040 0.122  -1.040 -0.123  -1.040 -0.368  -1.040 -0.613  -0.891 -0.709  -0.891 -0.954  -0.699 -1.033  -0.497 -1.138  -0.401 -1.286  -0.156 -1.286  0.089 -1.286  0.280 -1.156  0.497 -1.088  0.671 -0.915  0.745 -0.700  0.745 -0.455  0.745 -0.210  0.745 0.035  0.689 0.257  0.596 0.464  0.448 0.647  0.351 0.796  0.268 0.976  0.072 1.094  -0.025 1.243  -0.126 1.122  -0.082 0.881  -0.038 0.640  0.006 0.399  0.050 0.157  0.094 -0.084  0.137 -0.325  0.299 -0.420  0.421 -0.543  0.518 -0.691  0.714 -0.809  0.894 -0.893  1.043 -0.989
3#apa#apa01#app0145/U  -1.062 1.021  -0.929 1.021  -0.870 0.947  -0.870 0.814  -0.870 0.680  -0.870 0.547  -0.870 0.413  -0.870 0.280  -0.870 0.147  -0.870 0.013  -0.870 -0.120  -0.870 -0.253  -0.870 -0.387  -0.866 -0.516  -0.733 -0.516  -0.678 -0.595  -0.658 -0.708  -0.525 -0.708  -0.486 -0.803  -0.450 -0.901  -0.317 -0.901  -0.184 -0.901  -0.050 -0.901  0.083 -0.901  0.216 -0.901  0.350 -0.901  0.475 -0.893  0.475 -0.759  0.558 -0.708  0.667 -0.685  0.667 -0.552  0.667 -0.418  0.707 -0.324  0.840 -0.324  0.860 -0.210  0.860 -0.077  0.860 0.056  0.860 0.190  0.860 0.323  0.848 0.445  0.715 0.445  0.667 0.531  0.667 0.664  0.667 0.798  0.565 0.829  0.475 0.872  0.475 1.006  0.475 1.139  0.475 1.272  0.475 1.406
3#apa#apa01#app0145/I  -0.721 1.315  -0.638 1.315  -0.555 1.315  -0.472 1.315  -0.389 1.315  -0.306 1.315  -0.222 1.315  -0.139 1.315  -0.095 1.277  -0.095 1.194  -0.095 1.111  -0.095 1.028  -0.095 0.945  -0.095 0.861  -0.095 0.778  -0.095 0.695  -0.095 0.612  -0.095 0.529  -0.095 0.446  -0.095 0.363  -0.095 0.280  -0.095 0.196  -0.095 0.113  -0.095 0.030  -0.095 -0.053  -0.095 -0.136  -0.095 -0.219  -0.043 -0.251  0.040 -0.251  0.123 -0.251  0.206 -0.251  0.219 -0.322  0.219 -0.405  0.219 -0.488  0.219 -0.571  0.219 -0.654  0.219 -0.737  0.219 -0.820  0.219 -0.903  0.219 -0.987  0.219 -1.070  0.219 -1.153  0.219 -1.236  0.219 -1.319  0.219 -1.402  0.219 -1.485  0.283 -1.504  0.366 -1.504  0.449 -1.504  0.532 -1.504
3#apa#apa01#app0145/C  0.191 1.525  0.116 1.450  0.041 1.375  -0.027 1.298  -0.027 1.192  -0.031 1.090  -0.136 1.090  -0.242 1.090  -0.245 0.986  -0.245 0.880  -0.342 0.872  -0.448 0.872  -0.462 0.780  -0.462 0.674  -0.462 0.568  -0.462 0.462  -0.542 0.436  -0.648 0.436  -0.680 0.363  -0.680 0.257  -0.680 0.151  -0.680 0.045  -0.680 -0.061  -0.680 -0.167  -0.624 -0.217  -0.518 -0.217  -0.462 -0.267  -0.462 -0.373  -0.418 -0.435  -0.312 -0.435  -0.218 -0.462  -0.143 -0.536  -0.068 -0.611  0.021 -0.652  0.127 -0.652  0.191 -0.694  0.191 -0.800  0.227 -0.870  0.333 -0.870  0.439 -0.870  0.545 -0.870  0.650 -0.870  0.756 -0.870  0.862 -0.870  0.968 -0.870  1.074 -0.870  1.180 -0.870  1.286 -0.870  1.392 -0.870  1.498 -0.870
3#apa#apa01#app0145/K  -1.148 1.150  -0.987 0.989  -0.946 0.780  -0.753 0.745  -0.743 0.528  -0.743 0.301  -0.743 0.074  -0.680 -0.127  -0.541 -0.297  -0.541 -0.524  -0.541 -0.751  -0.541 -0.978  -0.541 -1.205  -0.386 -1.277  -0.339 -1.457  -0.286 -1.282  -0.228 -1.062  -0.169 -0.843  -0.111 -0.623  -0.052 -0.404  0.006 -0.185  0.065 0.035  0.123 0.254  0.182 0.473  0.240 0.693  0.299 0.912  0.357 1.132  0.416 1.351  0.470 1.538  0.470 1.311  0.404 1.150  0.268 1.059  0.268 0.832  0.168 0.646  0.008 0.486  -0.137 0.318  -0.184 0.139  -0.339 0.067  -0.242 -0.063  -0.015 -0.063  0.212 -0.063  0.268 -0.235  0.464 -0.266  0.672 -0.284  0.703 -0.499  0.864 -0.659  1.024 -0.820  1.229 -0.872  1.279 -1.050  1.481 -1.075
3#apa#apa01#app0145/L  -0.484 1.845  -0.484 1.748  -0.484 1.652  -0.452 1.569  -0.384 1.500  -0.315 1.432  -0.247 1.364  -0.241 1.270  -0.241 1.173  -0.241 1.077  -0.241 0.980  -0.241 0.884  -0.241 0.787  -0.241 0.691  -0.241 0.594  -0.241 0.498  -0.241 0.401  -0.241 0.305  -0.241 0.208  -0.213 0.139  -0.117 0.139  -0.020 0.139  0.003 0.066  0.003 -0.031  0.003 -0.128  0.003 -0.224  0.003 -0.321  0.003 -0.417  0.003 -0.514  0.003 -0.610  0.003 -0.707  0.003 -0.803  -0.062 -0.835  -0.158 -0.835  -0.227 -0.835  -0.130 -0.835  -0.034 -0.835  0.063 -0.835  0.159 -0.835  0.256 -0.835  0.352 -0.835  0.449 -0.835  0.490 -0.891  0.490 -0.987  0.495 -1.079  0.591 -1.079  0.688 -1.079  0.784 -1.079  0.881 -1.079  0.977 -1.079
3#apa#apa01#app0145/Y  -1.586 0.841  -1.434 0.841  -1.303 0.793  -1.196 0.686  -1.089 0.579  -0.982 0.472  -0.873 0.369  -0.722 0.369  -0.643 0.297  -0.643 0.145  -0.503 0.133  -0.352 0.133  -0.201 0.133  -0.085 0.047  0.022 -0.060  0.156 -0.102  0.303 -0.096  0.359 0.045  0.415 0.185  0.472 0.326  0.528 0.466  0.584 0.607  0.640 0.747  0.696 0.888  0.753 1.028  0.673 1.076  0.536 1.062  0.536 0.910  0.478 0.783  0.371 0.676  0.300 0.554  0.300 0.402  0.300 0.251  0.277 0.110  0.170 0.003  0.065 -0.105  0.065 -0.257  0.065 -0.408  0.065 -0.559  0.065 -0.711  0.065 -0.862  0.065 -1.013  0.184 -1.045  0.300 -1.080  0.300 -1.232  0.300 -1.383  0.300 -1.534  0.300 -1.686  0.300 -1.837  0.300 -1.988
3#apa#apa01#app0145/F  -0.441 0.955  -0.281 0.795  -0.277 0.572  -0.277 0.346  -0.277 0.121  -0.277 -0.105  -0.277 -0.330  -0.277 -0.556  -0.277 -0.781  -0.277 -1.007  -0.277 -1.232  -0.277 -1.458  -0.277 -1.683  -0.204 -1.836  -0.136 -1.704  -0.175 -1.482  -0.214 -1.260  -0.253 -1.038  -0.292 -0.816  -0.332 -0.594  -0.371 -0.372  -0.410 -0.150  -0.449 0.072  -0.488 0.294  -0.528 0.516  -0.567 0.739  -0.599 0.955  -0.374 0.955  -0.148 0.955  0.077 0.955  0.303 0.955  0.528 0.955  0.741 0.987  0.911 1.119  1.137 1.119  1.363 1.119  1.193 0.978  1.018 0.835  0.844 0.692  0.669 0.550  0.495 0.407  0.320 0.264  0.146 0.121  -0.029 -0.022  -0.203 -0.164  -0.378 -0.307  -0.296 -0.359  -0.071 -0.359  0.155 -0.359  0.380 -0.359
3#apa#apa01#app0145/O  -0.950 0.703  -0.950 0.571  -0.950 0.439  -0.950 0.307  -0.950 0.174  -0.950 0.042  -0.950 -0.090  -0.950 -0.222  -0.950 -0.354  -0.950 -0.487  -0.950 -0.619  -0.895 -0.696  -0.762 -0.696  -0.750 -0.815  -0.698 -0.895  -0.566 -0.895  -0.434 -0.895  -0.301 -0.895  -0.169 -0.895  -0.037 -0.895  0.095 -0.895  0.227 -0.895  0.327 -0.817  0.421 -0.724  0.541 -0.696  0.649 -0.671  0.649 -0.539  0.738 -0.496  0.848 -0.474  0.848 -0.342  0.848 -0.210  0.848 -0.078  0.848 0.055  0.848 0.187  0.848 0.319  0.848 0.451  0.848 0.583  0.836 0.703  0.704 0.703  0.649 0.780  0.639 0.903  0.507 0.903  0.375 0.903  0.249 0.909  0.249 1.041  0.178 1.103  0.046 1.103  -0.086 1.103  -0.218 1.103  -0.350 1.103
3#apa#apa01#app0145/R  -0.714 1.148  -0.690 0.929  -0.528 0.767  -0.519 0.542  -0.519 0.313  -0.519 0.084  -0.519 -0.145  -0.519 -0.374  -0.519 -0.603  -0.519 -0.832  -0.451 -0.992  -0.325 -1.095  -0.347 -1.052  -0.385 -0.826  -0.423 -0.600  -0.460 -0.374  -0.498 -0.148  -0.536 0.077  -0.573 0.303  -0.611 0.529  -0.648 0.755  -0.686 0.981  -0.655 1.148  -0.426 1.148  -0.197 1.148  0.032 1.148  0.261 1.148  0.490 1.148  0.648 1.078  0.648 0.849  0.648 0.620  0.648 0.391  0.454 0.356  0.406 0.175  0.201 0.117  0.028 -0.019  -0.130 -0.090  -0.235 -0.214  -0.186 -0.214  0.043 -0.214  0.268 -0.223  0.430 -0.385  0.592 -0.547  0.754 -0.709  0.843 -0.901  0.981 -0.992  1.038 -1.165  1.232 -1.199  1.265 -1.414  1.427 -1.576
3#apa#apa01#app0145/G  0.391 1.339  0.243 1.339  0.241 1.193  0.097 1.190  -0.051 1.190  -0.158 1.090  -0.285 1.041  -0.433 1.041  -0.506 0.966  -0.558 0.839  -0.665 0.742  -0.805 0.733  -0.805 0.585  -0.805 0.438  -0.808 0.293  -0.954 0.291  -0.954 0.143  -0.954 -0.005  -0.954 -0.152  -0.954 -0.300  -0.954 -0.448  -0.812 -0.454  -0.805 -0.594  -0.666 -0.603  -0.518 -0.603  -0.410 -0.699  -0.284 -0.753  -0.136 -0.753  -0.058 -0.822  0.010 -0.902  0.158 -0.902  0.306 -0.902  0.454 -0.902  0.602 -0.902  0.750 -0.902  0.880 -0.861  0.985 -0.756  1.089 -0.652  1.138 -0.524  1.138 -0.376  1.084 -0.251  0.989 -0.142  0.978 -0.006  0.839 0.004  0.831 0.144  0.683 0.144  0.536 0.144  0.388 0.144  0.241 0.142  0.241 -0.006
