3#apa#apa01#app0147/B  0.052 -1.064  0.028 -1.064  -0.061 -0.904  -0.175 -0.767  -0.175 -0.517  -0.288 -0.380  -0.308 -0.138  -0.401 0.073  -0.401 0.323  -0.401 0.573  -0.515 0.710  -0.515 0.960  -0.670 0.797  -0.834 0.609  -0.999 0.421  -1.164 0.233  -1.308 0.100  -1.194 0.237  -1.081 0.441  -0.968 0.577  -0.854 0.714  -0.685 0.862  -0.548 0.975  -0.401 1.078  -0.162 1.088  0.052 1.051  0.225 0.975  0.362 0.862  0.505 0.688  0.446 0.462  0.331 0.295  0.278 0.098  0.165 -0.039  0.034 -0.158  -0.020 -0.271  0.117 -0.158  0.367 -0.158  0.617 -0.158  0.867 -0.158  1.104 -0.191  1.298 -0.294  1.411 -0.497  1.395 -0.741  1.218 -0.917  1.095 -1.064  0.892 -1.178  0.642 -1.178  0.392 -1.178  0.182 -1.081  0.052 -0.951
3#apa#apa01#app0147/Y  -1.567 0.630  -1.408 0.630  -1.398 0.481  -1.259 0.461  -1.229 0.332  -1.111 0.291  -0.983 0.215  -0.863 0.122  -0.721 0.105  -0.714 -0.047  -0.555 -0.047  -0.396 -0.047  -0.383 -0.192  -0.248 -0.216  -0.089 -0.216  0.070 -0.216  0.125 -0.112  0.158 0.041  0.214 0.190  0.269 0.338  0.325 0.487  0.381 0.636  0.437 0.785  0.493 0.934  0.549 1.083  0.604 1.231  0.632 1.228  0.632 1.069  0.591 0.927  0.479 0.815  0.463 0.662  0.374 0.540  0.294 0.414  0.269 0.266  0.156 0.153  0.125 0.008  0.125 -0.151  0.125 -0.310  0.209 -0.385  0.294 -0.459  0.294 -0.618  0.294 -0.777  0.324 -0.923  0.437 -1.036  0.463 -1.184  0.463 -1.343  0.463 -1.501  0.527 -1.634  0.632 -1.749  0.632 -1.908
3#apa#apa01#app0147/T  -0.235 0.555  -0.212 0.414  -0.095 0.368  -0.095 0.204  -0.029 0.068  0.046 -0.065  0.046 -0.229  0.046 -0.393  0.136 -0.520  0.187 -0.662  0.187 -0.826  0.285 -0.949  0.327 -1.096  0.454 -1.133  0.468 -1.283  0.468 -1.446  0.523 -1.555  0.609 -1.477  0.548 -1.333  0.450 -1.202  0.351 -1.071  0.253 -0.940  0.155 -0.809  0.056 -0.678  -0.042 -0.547  -0.140 -0.416  -0.239 -0.284  -0.337 -0.153  -0.435 -0.022  -0.534 0.109  -0.632 0.240  -0.730 0.371  -0.828 0.502  -0.927 0.633  -1.025 0.764  -1.006 0.836  -0.842 0.836  -0.678 0.836  -0.514 0.836  -0.350 0.836  -0.187 0.836  -0.044 0.887  0.083 0.977  0.247 0.977  0.386 1.036  0.516 1.118  0.680 1.118  0.749 1.212  0.867 1.258  1.031 1.258
3#apa#apa01#app0147/H  -1.195 1.035  -1.093 0.871  -1.031 0.667  -1.031 0.402  -0.867 0.204  -0.867 -0.062  -0.830 -0.312  -0.704 -0.525  -0.678 -0.765  -0.540 -0.893  -0.540 -1.158  -0.377 -1.260  -0.355 -1.316  -0.300 -1.056  -0.245 -0.796  -0.191 -0.536  -0.136 -0.277  -0.081 -0.017  -0.026 0.243  0.028 0.503  0.083 0.763  0.138 1.023  0.192 1.283  0.247 1.543  0.278 1.574  0.442 1.472  0.442 1.206  0.605 1.009  0.696 0.781  0.769 0.545  0.769 0.279  0.769 0.014  0.869 -0.210  0.933 -0.450  0.933 -0.715  0.985 -0.929  1.096 -1.083  0.881 -0.955  0.656 -0.813  0.432 -0.670  0.208 -0.527  -0.016 -0.385  -0.240 -0.242  -0.464 -0.100  -0.688 0.043  -0.457 0.053  -0.191 0.053  0.074 0.053  0.176 0.217  0.442 0.217
3#apa#apa01#app0147/E  -0.677 1.070  -0.506 1.070  -0.335 1.070  -0.163 1.070  0.001 1.077  0.043 1.206  0.214 1.206  0.386 1.206  0.532 1.203  0.365 1.166  0.198 1.129  0.031 1.092  -0.137 1.055  -0.304 1.018  -0.471 0.980  -0.638 0.943  -0.677 0.804  -0.646 0.663  -0.541 0.597  -0.541 0.426  -0.541 0.255  -0.515 0.094  -0.406 -0.031  -0.406 -0.203  -0.406 -0.374  -0.406 -0.545  -0.294 -0.670  -0.270 -0.831  -0.270 -1.002  -0.197 -1.100  -0.026 -1.100  0.145 -1.100  0.317 -1.100  0.488 -1.100  0.659 -1.100  0.830 -1.100  0.951 -1.050  1.037 -0.965  0.974 -0.920  0.815 -0.856  0.656 -0.793  0.498 -0.729  0.339 -0.665  0.180 -0.602  0.021 -0.538  -0.138 -0.475  -0.241 -0.422  -0.070 -0.422  0.001 -0.322  0.137 -0.286
3#apa#apa01#app0147/F  -0.598 0.869  -0.598 0.946  -0.596 0.706  -0.439 0.530  -0.439 0.288  -0.422 0.054  -0.279 -0.128  -0.279 -0.370  -0.260 -0.606  -0.152 -0.822  -0.120 -1.056  -0.055 -1.270  0.040 -1.472  0.040 -1.714  0.010 -1.735  -0.055 -1.503  -0.120 -1.270  -0.184 -1.038  -0.249 -0.805  -0.313 -0.573  -0.378 -0.340  -0.442 -0.108  -0.507 0.125  -0.572 0.357  -0.636 0.590  -0.701 0.822  -0.730 1.028  -0.489 1.028  -0.247 1.028  -0.006 1.028  0.235 1.028  0.477 1.028  0.659 1.169  0.893 1.188  1.134 1.188  1.001 1.032  0.830 0.862  0.660 0.691  0.489 0.520  0.318 0.350  0.148 0.179  -0.023 0.009  -0.193 -0.162  -0.195 -0.333  -0.024 -0.503  0.191 -0.567  0.432 -0.567  0.674 -0.567  0.915 -0.567  1.156 -0.567
3#apa#apa01#app0147/L  -0.647 1.689  -0.647 1.595  -0.629 1.508  -0.563 1.442  -0.496 1.375  -0.484 1.287  -0.484 1.193  -0.484 1.099  -0.484 1.005  -0.484 0.911  -0.484 0.818  -0.484 0.724  -0.484 0.630  -0.484 0.536  -0.484 0.442  -0.457 0.359  -0.391 0.293  -0.325 0.227  -0.321 0.134  -0.321 0.040  -0.321 -0.053  -0.321 -0.147  -0.321 -0.241  -0.321 -0.335  -0.321 -0.429  -0.321 -0.523  -0.321 -0.616  -0.321 -0.710  -0.271 -0.754  -0.177 -0.754  -0.158 -0.678  -0.152 -0.591  -0.058 -0.591  0.036 -0.591  0.130 -0.591  0.223 -0.591  0.317 -0.591  0.411 -0.591  0.505 -0.591  0.599 -0.591  0.693 -0.591  0.786 -0.591  0.880 -0.591  0.974 -0.591  1.043 -0.652  1.109 -0.718  1.188 -0.754  1.282 -0.754  1.376 -0.754  1.470 -0.754
3#apa#apa01#app0147/A  -1.198 -1.277  -1.145 -1.119  -1.040 -1.014  -0.928 -0.850  -0.882 -0.658  -0.882 -0.448  -0.817 -0.265  -0.725 -0.092  -0.725 0.118  -0.725 0.328  -0.667 0.515  -0.567 0.684  -0.567 0.894  -0.409 0.947  -0.409 1.157  -0.288 1.246  -0.235 1.404  -0.094 1.335  0.028 1.246  0.221 1.229  0.221 1.019  0.308 0.844  0.379 0.663  0.382 0.454  0.531 0.306  0.568 0.111  0.694 -0.048  0.779 -0.173  0.852 -0.311  0.987 -0.465  1.024 -0.660  1.168 -0.811  1.228 -0.962  1.325 -0.849  1.208 -0.687  1.022 -0.598  0.823 -0.531  0.623 -0.465  0.424 -0.398  0.224 -0.332  0.024 -0.265  -0.175 -0.199  -0.375 -0.132  -0.574 -0.065  -0.673 -0.015  -0.567 -0.120  -0.410 -0.173  -0.199 -0.173  0.011 -0.173  0.221 -0.173
3#apa#apa01#app0147/V  -1.321 1.133  -1.321 1.009  -1.260 0.911  -1.172 0.823  -1.085 0.736  -1.000 0.647  -1.000 0.524  -0.910 0.490  -0.839 0.437  -0.828 0.318  -0.740 0.230  -0.653 0.143  -0.565 0.055  -0.518 -0.049  -0.504 -0.167  -0.417 -0.254  -0.357 -0.353  -0.355 -0.476  -0.268 -0.564  -0.197 -0.658  -0.197 -0.782  -0.087 -0.795  -0.036 -0.868  0.000 -0.956  0.124 -0.956  0.125 -1.079  0.211 -1.117  0.285 -1.068  0.294 -0.948  0.381 -0.860  0.446 -0.763  0.446 -0.640  0.446 -0.516  0.528 -0.474  0.607 -0.429  0.607 -0.305  0.607 -0.182  0.674 -0.086  0.761 0.002  0.767 0.123  0.767 0.247  0.767 0.370  0.767 0.494  0.767 0.618  0.767 0.741  0.805 0.849  0.893 0.937  0.928 1.046  0.928 1.170  0.928 1.293
3#apa#apa01#app0147/O  0.102 0.882  -0.054 0.882  -0.209 0.882  -0.303 0.820  -0.385 0.747  -0.540 0.747  -0.659 0.660  -0.769 0.550  -0.842 0.424  -0.894 0.290  -0.977 0.169  -0.977 0.014  -0.977 -0.141  -0.977 -0.297  -0.977 -0.452  -0.842 -0.473  -0.842 -0.628  -0.794 -0.736  -0.639 -0.736  -0.572 -0.825  -0.463 -0.871  -0.307 -0.871  -0.287 -1.005  -0.131 -1.005  0.024 -1.005  0.180 -1.005  0.335 -1.005  0.490 -1.005  0.641 -1.001  0.666 -0.871  0.776 -0.825  0.776 -0.669  0.863 -0.601  0.911 -0.493  0.911 -0.338  0.911 -0.183  0.911 -0.027  0.911 0.128  0.857 0.261  0.776 0.383  0.776 0.539  0.718 0.670  0.608 0.780  0.495 0.882  0.371 0.914  0.319 1.017  0.164 1.017  0.102 1.110  -0.012 1.151  -0.168 1.151
3#apa#apa01#app0147/R  -0.415 0.758  -0.415 0.534  -0.415 0.310  -0.415 0.086  -0.415 -0.138  -0.415 -0.361  -0.319 -0.545  -0.264 -0.747  -0.264 -0.970  -0.164 -1.153  -0.189 -1.073  -0.302 -0.880  -0.415 -0.686  -0.528 -0.493  -0.641 -0.300  -0.753 -0.106  -0.866 0.087  -0.979 0.280  -1.092 0.474  -1.120 0.656  -0.938 0.758  -0.759 0.866  -0.704 1.059  -0.480 1.059  -0.303 1.172  -0.095 1.210  0.129 1.210  0.353 1.210  0.490 1.124  0.641 1.051  0.641 0.827  0.640 0.604  0.540 0.404  0.377 0.305  0.315 0.129  0.156 -0.029  -0.002 -0.187  -0.113 -0.365  -0.113 -0.310  0.100 -0.299  0.323 -0.299  0.547 -0.299  0.641 -0.428  0.792 -0.501  0.917 -0.600  0.976 -0.784  1.134 -0.942  1.245 -1.121  1.385 -1.204  1.547 -1.355
