3#apa#apa01#app0156/!  -0.231 1.376  -0.152 1.376  -0.110 1.412  -0.110 1.491  -0.162 1.445  -0.217 1.389  -0.231 1.316  -0.231 1.238  -0.231 1.159  -0.231 1.080  -0.231 1.002  -0.231 0.923  -0.231 0.845  -0.224 0.773  -0.145 0.773  -0.110 0.730  -0.110 0.651  -0.110 0.573  -0.110 0.494  -0.110 0.416  -0.057 0.359  -0.002 0.303  0.011 0.230  0.011 0.151  0.011 0.073  0.011 -0.006  0.011 -0.084  0.011 -0.163  0.011 -0.241  0.011 -0.320  0.011 -0.399  0.011 -0.477  0.011 -0.556  0.011 -0.634  0.050 -0.674  0.128 -0.674  0.146 -0.748  0.161 -0.825  0.177 -0.902  0.192 -0.979  0.208 -1.056  0.223 -1.133  0.238 -1.210  0.252 -1.287  0.252 -1.366  0.252 -1.444  0.252 -1.523  0.252 -1.601  0.294 -1.638  0.372 -1.638
3#apa#apa01#app0156/@  0.155 -0.045  0.155 0.263  0.046 0.460  -0.261 0.460  -0.468 0.359  -0.573 0.157  -0.653 -0.070  -0.653 -0.377  -0.552 -0.583  -0.312 -0.651  -0.106 -0.550  0.155 -0.444  0.256 -0.238  0.269 0.056  0.357 0.275  0.256 0.237  0.282 -0.045  0.387 -0.247  0.593 -0.348  0.860 -0.249  1.064 -0.145  1.165 0.061  1.165 0.368  1.156 0.672  1.010 0.919  0.835 1.094  0.659 1.269  0.394 1.370  0.086 1.370  -0.148 1.297  -0.385 1.168  -0.651 1.067  -0.797 0.821  -0.956 0.580  -1.057 0.314  -1.158 0.049  -1.158 -0.258  -1.158 -0.566  -1.057 -0.772  -0.956 -0.978  -0.763 -1.146  -0.561 -1.257  -0.254 -1.257  0.053 -1.257  0.259 -1.153  0.476 -0.936  0.559 -0.663  0.660 -0.457  0.660 -0.150  0.660 0.157
3#apa#apa01#app0156/#  -0.974 1.039  -0.812 0.747  -0.679 0.389  -0.584 0.050  -0.584 -0.384  -0.454 -0.689  -0.370 -1.039  -0.207 -0.669  -0.077 -0.255  0.054 0.159  0.185 0.573  0.316 0.987  0.446 1.401  0.585 1.153  0.627 0.736  0.715 0.338  0.845 0.034  0.855 -0.390  0.974 -0.704  1.104 -0.810  0.733 -0.620  0.334 -0.449  -0.065 -0.278  -0.464 -0.107  -0.863 0.064  -1.262 0.235  -1.582 0.389  -1.277 0.260  -0.843 0.260  -0.440 0.389  -0.005 0.389  0.375 0.519  0.809 0.519  1.189 0.649  1.375 0.597  0.977 0.424  0.579 0.251  0.181 0.078  -0.218 -0.095  -0.616 -0.268  -1.014 -0.441  -1.412 -0.614  -1.233 -0.736  -0.843 -0.779  -0.427 -0.701  -0.005 -0.650  0.375 -0.520  0.809 -0.520  1.243 -0.520  1.624 -0.390
3#apa#apa01#app0156/$  0.762 0.883  0.499 0.883  0.237 0.883  -0.022 0.874  -0.234 0.754  -0.443 0.625  -0.654 0.500  -0.533 0.366  -0.324 0.237  -0.062 0.237  0.201 0.237  0.374 0.148  0.597 0.108  0.730 -0.022  0.863 -0.151  0.891 -0.385  0.891 -0.648  0.811 -0.877  0.698 -1.055  0.565 -1.185  0.432 -1.314  0.223 -1.443  -0.040 -1.443  -0.173 -1.314  -0.388 -1.198  -0.573 -1.012  -0.657 -0.786  -0.606 -0.528  -0.554 -0.271  -0.503 -0.014  -0.451 0.244  -0.400 0.501  -0.348 0.759  -0.297 1.016  -0.245 1.273  -0.194 1.531  -0.143 1.787  -0.143 1.524  -0.143 1.262  -0.143 0.999  -0.143 0.737  -0.143 0.474  -0.143 0.212  -0.122 -0.042  -0.013 -0.260  -0.013 -0.522  -0.013 -0.785  -0.013 -1.047  -0.013 -1.310  0.116 -1.443
3#apa#apa01#app0156/%  -1.157 0.704  -1.206 0.509  -1.187 0.343  -1.083 0.142  -0.849 0.118  -0.606 0.118  -0.464 0.226  -0.376 0.433  -0.376 0.677  -0.495 0.802  -0.698 0.899  -0.942 0.899  -1.129 0.904  -0.890 0.947  -0.650 0.989  -0.410 1.031  -0.170 1.074  0.070 1.116  0.310 1.158  0.503 1.144  0.503 0.900  0.405 0.697  0.307 0.551  0.234 0.338  0.131 0.137  0.027 -0.064  -0.007 -0.294  -0.083 -0.506  -0.181 -0.652  -0.181 -0.895  -0.279 -1.041  -0.158 -1.123  -0.006 -0.932  0.146 -0.742  0.298 -0.552  0.451 -0.362  0.600 -0.179  0.563 -0.407  0.442 -0.565  0.405 -0.772  0.405 -1.015  0.481 -1.227  0.716 -1.249  0.940 -1.201  1.088 -1.019  1.088 -0.775  1.088 -0.532  0.949 -0.370  0.830 -0.209  0.600 -0.175
3#apa#apa01#app0156/^  -1.301 -0.818  -1.176 -0.818  -1.087 -0.782  -1.087 -0.657  -1.087 -0.532  -1.087 -0.407  -1.010 -0.314  -0.922 -0.225  -0.873 -0.120  -0.873 0.005  -0.781 0.037  -0.660 0.041  -0.660 0.166  -0.620 0.250  -0.495 0.250  -0.446 0.327  -0.446 0.452  -0.366 0.544  -0.278 0.632  -0.190 0.721  -0.101 0.809  -0.019 0.900  -0.019 1.025  0.026 1.105  0.151 1.105  0.276 1.105  0.400 1.105  0.408 0.988  0.408 0.863  0.408 0.738  0.454 0.632  0.542 0.544  0.622 0.452  0.622 0.327  0.622 0.202  0.622 0.077  0.622 -0.048  0.622 -0.173  0.622 -0.298  0.622 -0.423  0.622 -0.548  0.622 -0.673  0.622 -0.798  0.622 -0.923  0.638 -1.031  0.763 -1.031  0.836 -1.084  0.836 -1.209  0.924 -1.245  1.049 -1.245
3#apa#apa01#app0156/&  0.853 0.776  0.695 0.918  0.446 0.796  0.155 0.776  -0.145 0.776  -0.303 0.634  -0.568 0.599  -0.710 0.442  -0.852 0.284  -0.710 0.126  -0.499 -0.003  -0.229 -0.076  0.070 -0.076  0.228 -0.218  0.042 -0.218  -0.258 -0.218  -0.558 -0.218  -0.710 -0.366  -0.710 -0.666  -0.568 -0.823  -0.426 -0.981  -0.215 -1.071  0.084 -1.071  0.384 -1.071  0.625 -0.928  0.925 -0.928  0.963 -0.705  0.855 -0.426  0.746 -0.146  0.638 0.133  0.529 0.412  0.420 0.692  0.312 0.971  0.203 1.250  0.094 1.530  0.030 1.742  0.143 1.489  0.001 1.331  0.001 1.031  -0.141 0.874  -0.141 0.574  -0.141 0.274  -0.141 -0.026  -0.141 -0.325  -0.141 -0.625  -0.141 -0.925  -0.284 -1.166  -0.284 -1.466  -0.284 -1.765  -0.141 -1.923
3#apa#apa01#app0156/*  -0.086 1.541  -0.086 1.158  -0.086 0.775  -0.086 0.391  -0.086 0.008  -0.086 -0.375  -0.086 -0.758  -0.086 -1.141  0.066 -1.462  0.044 -1.468  -0.169 -1.149  -0.381 -0.831  -0.594 -0.512  -0.807 -0.193  -1.019 0.126  -1.006 0.324  -0.686 0.172  -0.303 0.172  0.080 0.172  0.464 0.172  0.847 0.172  1.078 0.020  1.308 0.197  1.362 0.576  1.416 0.955  1.282 0.984  1.003 0.806  0.732 0.535  0.417 0.371  0.205 0.172  -0.106 -0.000  -0.377 -0.271  -0.692 -0.436  -0.847 -0.665  -0.976 -0.587  -0.917 -0.208  -0.859 0.170  -0.801 0.549  -0.742 0.928  -0.695 1.166  -0.543 0.935  -0.239 0.767  -0.086 0.447  0.066 0.127  0.190 -0.132  0.269 -0.436  0.462 -0.681  0.522 -1.039  0.747 -1.197  0.978 -1.349
3#apa#apa01#app0156/(  0.473 1.553  0.473 1.466  0.447 1.406  0.360 1.406  0.326 1.354  0.326 1.268  0.248 1.259  0.179 1.242  0.179 1.155  0.149 1.082  0.087 1.021  0.032 0.957  0.032 0.871  -0.002 0.819  -0.088 0.819  -0.114 0.759  -0.114 0.672  -0.114 0.586  -0.133 0.507  -0.194 0.446  -0.255 0.385  -0.261 0.301  -0.261 0.215  -0.261 0.129  -0.261 0.042  -0.261 -0.044  -0.261 -0.130  -0.261 -0.216  -0.261 -0.303  -0.261 -0.389  -0.261 -0.475  -0.261 -0.562  -0.261 -0.648  -0.175 -0.648  -0.114 -0.674  -0.114 -0.760  -0.114 -0.847  -0.114 -0.933  -0.114 -1.019  -0.097 -1.089  -0.011 -1.089  0.032 -1.132  0.032 -1.218  0.101 -1.235  0.179 -1.244  0.179 -1.330  0.214 -1.382  0.300 -1.382  0.326 -1.442  0.326 -1.529
3#apa#apa01#app0156/)  -0.596 1.373  -0.596 1.289  -0.561 1.240  -0.476 1.240  -0.392 1.240  -0.308 1.240  -0.223 1.240  -0.194 1.184  -0.188 1.106  -0.104 1.106  -0.060 1.065  -0.060 0.980  -0.007 0.918  0.053 0.859  0.074 0.783  0.079 0.704  0.164 0.704  0.208 0.663  0.208 0.579  0.208 0.494  0.208 0.410  0.208 0.326  0.251 0.259  0.310 0.199  0.341 0.128  0.341 0.043  0.288 -0.019  0.228 -0.079  0.208 -0.154  0.208 -0.239  0.208 -0.323  0.208 -0.408  0.208 -0.492  0.174 -0.569  0.136 -0.644  0.098 -0.720  0.074 -0.798  0.074 -0.883  0.074 -0.967  0.063 -1.047  0.004 -1.107  -0.056 -1.166  -0.060 -1.249  -0.060 -1.334  -0.060 -1.418  -0.124 -1.438  -0.194 -1.453  -0.194 -1.537  -0.194 -1.622  -0.194 -1.706
3#apa#apa01#app0156/`  -0.897 1.510  -0.836 1.449  -0.776 1.389  -0.715 1.328  -0.654 1.267  -0.593 1.206  -0.532 1.145  -0.471 1.084  -0.410 1.023  -0.349 0.963  -0.328 0.885  -0.328 0.799  -0.328 0.713  -0.328 0.627  -0.328 0.541  -0.328 0.455  -0.325 0.373  -0.238 0.373  -0.152 0.373  -0.066 0.373  0.020 0.373  0.106 0.373  0.192 0.373  0.240 0.335  0.240 0.249  0.240 0.163  0.240 0.077  0.240 -0.009  0.240 -0.095  0.240 -0.181  0.240 -0.267  0.240 -0.354  0.240 -0.440  0.240 -0.526  0.240 -0.612  0.240 -0.698  0.240 -0.784  0.240 -0.870  0.240 -0.956  0.240 -1.042  0.240 -1.128  0.240 -1.214  0.240 -1.300  0.293 -1.334  0.379 -1.334  0.465 -1.334  0.551 -1.334  0.637 -1.334  0.723 -1.334  0.809 -1.334
