3#apa#apa01#app0177/0  0.152 0.620  0.137 0.763  0.009 0.794  -0.036 0.907  -0.195 0.907  -0.354 0.907  -0.422 0.817  -0.527 0.763  -0.565 0.643  -0.661 0.524  -0.773 0.412  -0.852 0.286  -0.852 0.128  -0.852 -0.031  -0.852 -0.190  -0.852 -0.348  -0.852 -0.507  -0.852 -0.665  -0.745 -0.779  -0.633 -0.892  -0.565 -1.022  -0.487 -1.102  -0.328 -1.102  -0.278 -1.211  -0.155 -1.246  0.004 -1.246  0.019 -1.102  0.178 -1.102  0.296 -1.062  0.351 -0.959  0.439 -0.888  0.500 -0.755  0.612 -0.643  0.724 -0.531  0.726 -0.373  0.726 -0.214  0.768 -0.098  0.870 -0.041  0.870 0.118  0.870 0.277  0.870 0.435  0.787 0.559  0.726 0.693  0.664 0.826  0.552 0.938  0.440 1.050  0.328 1.162  0.182 1.194  0.024 1.194  -0.135 1.194
3#apa#apa01#app0177/1  -0.143 1.773  -0.143 1.695  -0.143 1.616  -0.143 1.538  -0.143 1.460  -0.143 1.382  -0.143 1.304  -0.143 1.225  -0.143 1.147  -0.143 1.069  -0.143 0.991  -0.143 0.913  -0.143 0.834  -0.143 0.756  -0.143 0.678  -0.143 0.600  -0.143 0.522  -0.143 0.443  -0.143 0.365  -0.143 0.287  -0.143 0.209  -0.143 0.131  -0.143 0.052  -0.143 -0.026  -0.143 -0.104  -0.143 -0.182  -0.143 -0.260  -0.122 -0.317  -0.044 -0.317  0.035 -0.317  0.113 -0.317  0.191 -0.317  0.205 -0.381  0.205 -0.460  0.205 -0.538  0.205 -0.616  0.205 -0.694  0.205 -0.772  0.205 -0.851  0.205 -0.929  0.205 -1.007  0.205 -1.085  0.205 -1.163  0.205 -1.242  0.205 -1.320  0.205 -1.398  0.205 -1.476  0.205 -1.554  0.205 -1.633  0.205 -1.711
3#apa#apa01#app0177/  0.525 1.603  0.525 1.526  0.525 1.449  0.525 1.373  0.525 1.296  0.525 1.219  0.525 1.142  0.473 1.087  0.419 1.032  0.370 0.976  0.370 0.899  0.370 0.822  0.370 0.745  0.365 0.674  0.288 0.674  0.215 0.670  0.215 0.593  0.213 0.517  0.159 0.462  0.105 0.408  0.060 0.350  0.060 0.273  0.060 0.196  0.060 0.119  0.052 0.046  -0.002 -0.009  -0.057 -0.063  -0.094 -0.124  -0.094 -0.201  -0.110 -0.271  -0.164 -0.326  -0.219 -0.380  -0.249 -0.444  -0.249 -0.521  -0.249 -0.598  -0.249 -0.675  -0.271 -0.742  -0.326 -0.797  -0.380 -0.851  -0.404 -0.918  -0.404 -0.995  -0.404 -1.072  -0.404 -1.148  -0.422 -1.221  -0.457 -1.290  -0.491 -1.358  -0.525 -1.427  -0.559 -1.496  -0.559 -1.573  -0.559 -1.650
3#apa#apa01#app0177/2  -0.867 1.271  -0.753 1.271  -0.638 1.271  -0.524 1.271  -0.410 1.271  -0.295 1.271  -0.181 1.271  -0.066 1.271  0.048 1.271  0.163 1.271  0.260 1.253  0.260 1.139  0.260 1.024  0.260 0.910  0.260 0.796  0.260 0.681  0.260 0.567  0.260 0.452  0.260 0.338  0.178 0.305  0.099 0.270  0.099 0.156  0.099 0.041  0.059 -0.057  -0.022 -0.138  -0.103 -0.219  -0.184 -0.300  -0.223 -0.398  -0.235 -0.500  -0.350 -0.500  -0.384 -0.580  -0.384 -0.694  -0.384 -0.809  -0.485 -0.822  -0.545 -0.877  -0.537 -0.983  -0.423 -0.983  -0.309 -0.983  -0.194 -0.983  -0.080 -0.983  0.035 -0.983  0.149 -0.983  0.264 -0.983  0.378 -0.983  0.492 -0.983  0.607 -0.983  0.721 -0.983  0.836 -0.983  0.950 -0.983  1.065 -0.983
3#apa#apa01#app0177/3  -1.325 1.181  -1.168 1.181  -1.011 1.181  -0.853 1.181  -0.696 1.181  -0.539 1.181  -0.381 1.181  -0.224 1.181  -0.162 1.085  -0.038 1.052  -0.033 0.900  -0.033 0.742  -0.033 0.585  -0.140 0.535  -0.162 0.399  -0.196 0.276  -0.353 0.276  -0.421 0.186  -0.539 0.147  -0.404 0.147  -0.246 0.147  -0.162 0.220  -0.061 0.276  0.097 0.276  0.226 0.248  0.282 0.147  0.439 0.147  0.564 0.067  0.701 0.018  0.743 -0.098  0.872 -0.126  0.872 -0.283  0.922 -0.420  1.001 -0.544  0.949 -0.680  0.872 -0.806  0.796 -0.887  0.743 -0.991  0.613 -1.019  0.582 -1.146  0.425 -1.146  0.268 -1.146  0.110 -1.146  -0.047 -1.146  -0.192 -1.116  -0.308 -1.016  -0.466 -1.016  -0.550 -0.943  -0.651 -0.887  -0.679 -0.758
3#apa#apa01#app0177/  0.275 1.502  0.350 1.502  0.425 1.502  0.442 1.444  0.442 1.368  0.442 1.293  0.442 1.218  0.424 1.150  0.371 1.097  0.317 1.043  0.275 0.986  0.275 0.910  0.275 0.835  0.275 0.760  0.275 0.685  0.234 0.626  0.181 0.573  0.128 0.520  0.108 0.453  0.108 0.377  0.086 0.311  0.033 0.258  -0.020 0.204  -0.060 0.145  -0.060 0.070  -0.060 -0.005  -0.060 -0.080  -0.060 -0.156  -0.060 -0.231  -0.060 -0.306  -0.091 -0.368  -0.145 -0.422  -0.198 -0.475  -0.227 -0.538  -0.227 -0.614  -0.227 -0.689  -0.227 -0.764  -0.227 -0.840  -0.227 -0.915  -0.227 -0.990  -0.269 -1.048  -0.323 -1.101  -0.376 -1.154  -0.394 -1.222  -0.394 -1.297  -0.394 -1.373  -0.394 -1.448  -0.394 -1.523  -0.394 -1.599  -0.394 -1.674
3#apa#apa01#app0177/4  -0.691 1.382  -0.691 1.203  -0.691 1.024  -0.837 0.991  -0.886 0.862  -0.886 0.683  -0.886 0.504  -0.886 0.325  -0.841 0.165  -0.715 0.039  -0.691 -0.130  -0.562 -0.180  -0.496 -0.293  -0.400 -0.375  -0.221 -0.375  -0.042 -0.375  0.090 -0.422  0.120 -0.570  0.295 -0.560  0.421 -0.434  0.469 -0.280  0.450 -0.102  0.430 0.076  0.410 0.253  0.390 0.431  0.371 0.609  0.351 0.787  0.331 0.964  0.311 1.142  0.292 1.320  0.285 1.265  0.285 1.087  0.285 0.908  0.285 0.729  0.285 0.550  0.285 0.371  0.285 0.193  0.285 0.014  0.285 -0.165  0.285 -0.344  0.285 -0.523  0.285 -0.701  0.285 -0.880  0.285 -1.059  0.285 -1.238  0.285 -1.417  0.285 -1.595  0.285 -1.774  0.285 -1.953  0.285 -2.132
3#apa#apa01#app0177/5  -0.570 1.051  -0.551 0.905  -0.385 0.905  -0.220 0.905  -0.054 0.905  0.111 0.905  0.277 0.905  0.307 1.040  0.461 1.051  0.573 1.045  0.411 1.009  0.250 0.973  0.088 0.937  -0.073 0.901  -0.235 0.866  -0.396 0.830  -0.558 0.794  -0.716 0.755  -0.716 0.590  -0.716 0.424  -0.716 0.259  -0.716 0.094  -0.716 -0.072  -0.716 -0.237  -0.578 -0.264  -0.559 -0.118  -0.393 -0.118  -0.278 -0.068  -0.208 0.028  -0.043 0.028  0.122 0.028  0.288 0.028  0.410 -0.076  0.558 -0.118  0.599 -0.243  0.743 -0.264  0.746 -0.427  0.746 -0.593  0.746 -0.758  0.746 -0.924  0.679 -1.062  0.599 -1.194  0.528 -1.288  0.389 -1.352  0.257 -1.434  0.092 -1.434  0.015 -1.522  -0.093 -1.580  -0.258 -1.580  -0.278 -1.434
3#apa#apa01#app0177/`  -0.539 1.240  -0.461 1.240  -0.383 1.240  -0.305 1.240  -0.226 1.240  -0.148 1.240  -0.070 1.240  0.009 1.240  0.087 1.240  0.165 1.240  0.169 1.166  0.169 1.087  0.169 1.009  0.169 0.931  0.169 0.853  0.169 0.774  0.169 0.696  0.169 0.618  0.169 0.540  0.169 0.461  0.169 0.383  0.169 0.305  0.169 0.226  0.169 0.148  0.169 0.070  0.169 -0.008  0.169 -0.087  0.169 -0.165  0.169 -0.243  0.169 -0.322  0.169 -0.400  0.169 -0.478  0.169 -0.556  0.169 -0.635  0.169 -0.713  0.169 -0.791  0.169 -0.870  0.125 -0.929  0.070 -0.985  0.014 -1.040  -0.041 -1.096  -0.097 -1.151  -0.152 -1.206  -0.207 -1.262  -0.263 -1.317  -0.318 -1.372  -0.373 -1.428  -0.429 -1.483  -0.484 -1.538  -0.539 -1.594
3#apa#apa01#app0177/i  -0.056 -0.079  -0.056 -0.180  -0.056 -0.280  -0.056 -0.380  -0.056 -0.480  -0.056 -0.580  -0.056 -0.680  -0.056 -0.780  -0.056 -0.881  -0.056 -0.981  -0.056 -1.081  -0.056 -1.181  -0.056 -1.281  -0.056 -1.381  0.039 -1.387  0.106 -1.356  0.101 -1.256  0.096 -1.156  0.091 -1.056  0.086 -0.956  0.081 -0.856  0.076 -0.756  0.071 -0.656  0.066 -0.556  0.061 -0.456  0.056 -0.355  0.051 -0.255  0.046 -0.155  0.041 -0.055  0.036 0.045  0.031 0.145  0.026 0.245  0.021 0.345  0.016 0.445  0.011 0.545  0.006 0.645  0.001 0.745  -0.004 0.845  -0.009 0.945  -0.014 1.045  -0.019 1.145  -0.024 1.245  -0.029 1.345  -0.034 1.445  -0.039 1.545  -0.044 1.645  -0.049 1.745  -0.054 1.845  -0.056 1.819  -0.056 1.719
3#apa#apa01#app0177/s  -0.043 1.172  -0.142 1.073  -0.256 1.010  -0.387 0.990  -0.486 0.891  -0.608 0.848  -0.748 0.848  -0.852 0.813  -0.865 0.686  -1.005 0.686  -1.014 0.556  -1.123 0.524  -1.090 0.524  -0.950 0.524  -0.810 0.524  -0.670 0.524  -0.531 0.524  -0.391 0.524  -0.251 0.524  -0.111 0.524  0.029 0.524  0.119 0.475  0.146 0.362  0.285 0.359  0.383 0.260  0.499 0.201  0.604 0.167  0.616 0.039  0.756 0.039  0.858 -0.053  0.928 -0.164  0.941 -0.298  1.040 -0.397  1.090 -0.516  1.043 -0.609  0.928 -0.634  0.926 -0.773  0.828 -0.871  0.729 -0.970  0.630 -1.069  0.501 -1.094  0.361 -1.094  0.221 -1.094  0.081 -1.094  -0.059 -1.094  -0.198 -1.094  -0.299 -1.000  -0.411 -0.933  -0.551 -0.933  -0.691 -0.933
