3#apa#apa01#app0194/p  -0.543 0.535  -0.493 0.638  -0.335 0.479  -0.237 0.296  -0.237 0.072  -0.237 -0.152  -0.134 -0.333  -0.084 -0.536  -0.084 -0.760  0.016 -0.942  0.069 -1.144  0.069 -1.368  0.069 -1.592  0.069 -1.816  0.069 -1.784  0.069 -1.560  0.069 -1.336  -0.064 -1.167  -0.084 -0.952  -0.084 -0.728  -0.269 -0.689  -0.390 -0.586  -0.405 -0.368  -0.543 -0.202  -0.543 0.022  -0.543 0.246  -0.543 0.470  -0.543 0.694  -0.489 0.895  -0.390 1.078  -0.237 1.149  -0.164 1.299  -0.084 1.444  0.131 1.452  0.355 1.452  0.527 1.401  0.614 1.213  0.680 1.017  0.833 0.946  0.833 0.722  0.833 0.498  0.726 0.382  0.680 0.203  0.584 0.076  0.513 -0.077  0.314 -0.137  0.128 -0.230  -0.084 -0.219  -0.166 -0.077  -0.237 0.076
3#apa#apa01#app0194/a  0.361 -0.032  0.540 -0.032  0.568 0.118  0.568 0.297  0.568 0.476  0.568 0.655  0.530 0.796  0.361 0.806  0.361 0.985  0.201 1.004  0.022 1.004  -0.157 1.004  -0.336 1.004  -0.501 0.971  -0.628 0.844  -0.787 0.796  -0.942 0.737  -1.068 0.611  -1.195 0.484  -1.297 0.348  -1.297 0.169  -1.297 -0.010  -1.297 -0.189  -1.206 -0.330  -1.080 -0.457  -0.953 -0.583  -0.804 -0.654  -0.675 -0.705  -0.653 -0.861  -0.474 -0.861  -0.295 -0.861  -0.159 -0.759  -0.023 -0.654  0.153 -0.652  0.153 -0.473  0.307 -0.447  0.449 -0.359  0.568 -0.229  0.568 -0.050  0.568 0.129  0.701 0.175  0.775 0.070  0.775 -0.109  0.823 -0.240  0.982 -0.260  0.982 -0.439  1.103 -0.568  1.190 -0.711  1.190 -0.890  1.190 -1.068
3#apa#apa01#app0194/s  0.011 1.358  0.011 1.216  -0.110 1.195  -0.223 1.125  -0.326 1.031  -0.468 1.031  -0.572 0.940  -0.684 0.867  -0.821 0.855  -0.921 0.754  -1.021 0.654  -1.122 0.554  -1.135 0.417  -1.035 0.376  -0.893 0.376  -0.751 0.376  -0.609 0.376  -0.467 0.376  -0.325 0.376  -0.183 0.376  -0.041 0.376  0.101 0.376  0.243 0.376  0.371 0.343  0.471 0.243  0.601 0.212  0.665 0.135  0.721 0.049  0.829 0.015  0.829 -0.127  0.829 -0.269  0.961 -0.279  0.993 -0.389  0.993 -0.531  0.926 -0.606  0.829 -0.651  0.806 -0.770  0.665 -0.772  0.665 -0.914  0.544 -0.934  0.431 -1.004  0.328 -1.097  0.186 -1.097  0.044 -1.097  -0.098 -1.097  -0.240 -1.097  -0.382 -1.097  -0.481 -1.054  -0.502 -0.934  -0.644 -0.934
3#apa#apa01#app0194/s  -0.161 1.353  -0.161 1.229  -0.223 1.131  -0.310 1.044  -0.429 1.033  -0.531 0.982  -0.619 0.895  -0.723 0.832  -0.834 0.777  -0.944 0.722  -1.035 0.639  -1.119 0.550  -1.119 0.427  -1.027 0.395  -0.904 0.395  -0.780 0.395  -0.657 0.395  -0.533 0.395  -0.410 0.395  -0.286 0.395  -0.163 0.395  -0.040 0.395  0.084 0.395  0.207 0.395  0.327 0.386  0.414 0.299  0.477 0.201  0.477 0.078  0.599 0.076  0.637 -0.009  0.686 -0.084  0.797 -0.097  0.797 -0.220  0.797 -0.344  0.797 -0.467  0.797 -0.590  0.797 -0.714  0.797 -0.837  0.718 -0.882  0.637 -0.925  0.637 -1.048  0.637 -1.171  0.543 -1.201  0.420 -1.201  0.297 -1.201  0.173 -1.201  0.050 -1.201  -0.074 -1.201  -0.197 -1.201  -0.321 -1.201
3#apa#apa01#app0194/e  0.385 0.113  0.385 0.261  0.459 0.335  0.607 0.335  0.607 0.482  0.555 0.609  0.450 0.713  0.385 0.834  0.385 0.982  0.385 1.130  0.329 1.222  0.182 1.222  0.034 1.222  -0.059 1.166  -0.059 1.019  -0.188 1.000  -0.280 0.945  -0.280 0.797  -0.410 0.778  -0.502 0.723  -0.502 0.575  -0.593 0.465  -0.698 0.361  -0.724 0.224  -0.750 0.087  -0.855 -0.018  -0.946 -0.128  -0.946 -0.276  -0.853 -0.331  -0.724 -0.350  -0.724 -0.498  -0.724 -0.645  -0.705 -0.775  -0.558 -0.775  -0.502 -0.867  -0.484 -0.996  -0.336 -0.996  -0.188 -0.996  -0.040 -0.996  0.108 -0.996  0.228 -0.931  0.333 -0.827  0.459 -0.775  0.607 -0.775  0.755 -0.775  0.903 -0.775  1.051 -0.775  1.198 -0.775  1.346 -0.775  1.494 -0.775
3#apa#apa01#app0194/d  0.156 -0.579  -0.027 -0.579  -0.209 -0.579  -0.388 -0.588  -0.530 -0.686  -0.678 -0.771  -0.669 -0.931  -0.540 -1.060  -0.380 -1.114  -0.219 -1.167  -0.059 -1.221  0.123 -1.221  0.293 -1.191  0.354 -1.041  0.316 -0.863  0.278 -0.685  0.239 -0.506  0.201 -0.328  0.163 -0.149  0.125 0.029  0.086 0.208  0.048 0.386  0.010 0.565  -0.028 0.743  -0.067 0.922  -0.105 1.100  -0.143 1.278  -0.181 1.457  -0.220 1.635  -0.258 1.814  -0.272 1.767  -0.189 1.667  -0.165 1.509  -0.165 1.326  -0.098 1.172  -0.058 1.005  -0.058 0.823  -0.013 0.659  0.049 0.502  0.049 0.320  0.072 0.147  0.156 -0.001  0.156 -0.184  0.232 -0.335  0.285 -0.495  0.370 -0.642  0.392 -0.816  0.477 -0.963  0.508 -1.114  0.584 -1.221
3#apa#apa01#app0194/t  -0.358 1.939  -0.203 1.939  -0.186 1.800  -0.064 1.767  -0.014 1.661  -0.014 1.505  -0.014 1.349  0.026 1.210  0.136 1.100  0.158 0.953  0.158 0.798  0.158 0.642  0.158 0.486  0.158 0.330  0.158 0.175  0.158 0.019  0.158 -0.137  0.158 -0.292  0.158 -0.448  0.251 -0.566  0.331 -0.688  0.331 -0.844  0.331 -1.000  0.331 -1.155  0.331 -1.311  0.424 -1.428  0.474 -1.474  0.370 -1.358  0.267 -1.242  0.164 -1.125  0.060 -1.009  -0.043 -0.892  -0.147 -0.776  -0.250 -0.660  -0.354 -0.543  -0.457 -0.427  -0.561 -0.310  -0.664 -0.194  -0.768 -0.078  -0.871 0.039  -0.726 0.044  -0.570 0.044  -0.415 0.044  -0.259 0.044  -0.103 0.044  0.052 0.044  0.208 0.044  0.364 0.044  0.503 0.027  0.503 -0.129
3#apa#apa01#app0194/h  -0.751 1.960  -0.739 1.831  -0.645 1.737  -0.634 1.609  -0.634 1.476  -0.634 1.343  -0.599 1.224  -0.517 1.125  -0.517 0.992  -0.482 0.874  -0.400 0.775  -0.400 0.642  -0.400 0.509  -0.400 0.375  -0.343 0.266  -0.284 0.158  -0.284 0.025  -0.284 -0.108  -0.284 -0.241  -0.284 -0.374  -0.191 -0.469  -0.167 -0.592  -0.167 -0.725  -0.157 -0.854  -0.063 -0.948  -0.050 -1.076  -0.050 -1.180  -0.050 -1.047  -0.050 -0.914  -0.050 -0.781  -0.050 -0.648  -0.050 -0.515  -0.050 -0.382  0.040 -0.286  0.067 -0.164  0.146 -0.064  0.240 0.030  0.348 0.091  0.481 0.091  0.591 0.034  0.651 -0.074  0.696 -0.188  0.768 -0.292  0.802 -0.411  0.885 -0.509  0.885 -0.642  0.919 -0.761  1.001 -0.860  1.024 -0.983  1.118 -1.078
3#apa#apa01#app0194/r  -0.771 0.244  -0.647 0.244  -0.523 0.244  -0.479 0.164  -0.479 0.040  -0.479 -0.084  -0.479 -0.208  -0.479 -0.332  -0.397 -0.422  -0.309 -0.509  -0.222 -0.597  -0.188 -0.707  -0.188 -0.831  -0.188 -0.955  -0.188 -1.079  -0.188 -1.203  -0.108 -1.293  -0.021 -1.381  0.067 -1.469  0.103 -1.433  0.103 -1.309  0.103 -1.185  0.103 -1.061  0.103 -0.937  0.103 -0.813  0.103 -0.689  0.103 -0.566  0.103 -0.442  0.103 -0.318  0.103 -0.194  0.103 -0.070  0.103 0.054  0.103 0.178  0.103 0.302  0.103 0.426  0.103 0.550  0.103 0.673  0.103 0.797  0.103 0.921  0.103 1.045  0.154 1.118  0.278 1.118  0.395 1.125  0.395 1.249  0.395 1.373  0.395 1.497  0.395 1.621  0.439 1.701  0.563 1.701  0.686 1.701
3#apa#apa01#app0194/o  -0.164 0.435  -0.164 0.292  -0.180 0.164  -0.323 0.164  -0.435 0.133  -0.435 -0.010  -0.481 -0.106  -0.624 -0.106  -0.767 -0.106  -0.910 -0.106  -1.031 -0.161  -1.132 -0.262  -1.233 -0.363  -1.159 -0.464  -1.058 -0.566  -0.957 -0.667  -0.856 -0.768  -0.755 -0.869  -0.632 -0.918  -0.489 -0.918  -0.346 -0.918  -0.203 -0.918  -0.060 -0.918  0.083 -0.918  0.226 -0.918  0.369 -0.918  0.473 -0.823  0.574 -0.721  0.675 -0.620  0.776 -0.519  0.877 -0.418  0.918 -0.292  0.918 -0.149  0.918 -0.006  0.918 0.137  0.918 0.280  0.918 0.423  0.918 0.567  0.916 0.708  0.815 0.810  0.713 0.911  0.612 1.012  0.511 1.113  0.410 1.214  0.280 1.247  0.137 1.247  -0.006 1.247  -0.149 1.247  -0.164 1.119  -0.164 0.976
3#apa#apa01#app0194/u  -1.365 0.739  -1.365 0.592  -1.365 0.446  -1.290 0.373  -1.182 0.335  -1.182 0.189  -1.182 0.042  -1.182 -0.105  -1.182 -0.251  -1.182 -0.398  -1.178 -0.540  -1.031 -0.540  -0.918 -0.621  -0.814 -0.723  -0.667 -0.723  -0.520 -0.723  -0.451 -0.646  -0.410 -0.540  -0.263 -0.540  -0.117 -0.540  -0.004 -0.459  0.099 -0.355  0.165 -0.224  0.230 -0.093  0.305 0.032  0.409 0.136  0.463 0.260  0.463 0.406  0.463 0.553  0.463 0.700  0.463 0.846  0.392 0.922  0.281 0.887  0.281 0.740  0.426 0.739  0.463 0.630  0.463 0.483  0.490 0.347  0.593 0.244  0.646 0.119  0.682 0.008  0.828 0.008  0.829 -0.138  0.907 -0.253  1.010 -0.356  1.156 -0.358  1.303 -0.358  1.450 -0.358  1.560 -0.394  1.560 -0.540
