3#apa#apa02#app0209/b  -1.066 1.749  -1.039 1.586  -0.851 1.586  -0.740 1.507  -0.740 1.318  -0.740 1.129  -0.740 0.940  -0.725 0.757  -0.592 0.624  -0.578 0.441  -0.555 0.261  -0.421 0.128  -0.415 -0.059  -0.415 -0.248  -0.415 -0.437  -0.347 -0.598  -0.252 -0.747  -0.252 -0.936  -0.252 -0.911  -0.252 -0.722  -0.252 -0.533  -0.252 -0.344  -0.217 -0.169  -0.089 -0.033  -0.089 0.156  -0.029 0.284  0.073 0.371  0.187 0.447  0.376 0.447  0.402 0.609  0.591 0.609  0.764 0.570  0.887 0.432  0.928 0.284  1.050 0.217  1.050 0.028  1.050 -0.161  1.050 -0.350  1.050 -0.539  1.025 -0.717  0.891 -0.851  0.710 -0.870  0.576 -1.003  0.394 -1.018  0.205 -1.018  0.016 -1.018  -0.089 -0.934  -0.200 -0.855  -0.252 -0.719  -0.415 -0.692
3#apa#apa02#app0209/e  -0.814 0.282  -0.814 0.112  -0.754 0.001  -0.584 0.001  -0.414 0.001  -0.246 0.006  -0.125 0.126  -0.005 0.247  0.150 0.282  0.311 0.291  0.311 0.462  0.380 0.563  0.550 0.563  0.593 0.691  0.593 0.861  0.593 1.032  0.517 1.126  0.347 1.126  0.176 1.126  0.006 1.126  -0.164 1.126  -0.251 1.043  -0.251 0.872  -0.393 0.845  -0.555 0.822  -0.675 0.702  -0.795 0.582  -0.814 0.419  -0.814 0.249  -0.814 0.079  -0.814 -0.092  -0.814 -0.262  -0.706 -0.388  -0.586 -0.508  -0.466 -0.628  -0.345 -0.749  -0.214 -0.843  -0.044 -0.843  0.030 -0.939  0.030 -1.109  0.186 -1.124  0.356 -1.124  0.526 -1.124  0.696 -1.124  0.867 -1.124  1.037 -1.124  1.155 -1.072  1.155 -0.902  1.266 -0.843  1.436 -0.843
3#apa#apa02#app0209/w  -1.467 0.720  -1.467 0.555  -1.467 0.391  -1.348 0.345  -1.280 0.249  -1.280 0.084  -1.280 -0.080  -1.259 -0.237  -1.143 -0.353  -1.027 -0.469  -0.910 -0.586  -0.794 -0.702  -0.661 -0.778  -0.531 -0.743  -0.519 -0.591  -0.355 -0.591  -0.344 -0.437  -0.213 -0.404  -0.157 -0.295  -0.157 -0.131  -0.112 0.016  0.004 0.132  0.031 0.286  0.031 0.450  0.031 0.615  0.031 0.660  0.031 0.496  0.031 0.331  0.031 0.166  0.031 0.002  0.031 -0.163  0.031 -0.327  0.119 -0.404  0.283 -0.404  0.448 -0.404  0.612 -0.404  0.777 -0.404  0.942 -0.404  1.106 -0.404  1.154 -0.287  1.154 -0.122  1.204 0.021  1.321 0.138  1.341 0.294  1.341 0.459  1.250 0.532  1.154 0.600  1.154 0.765  1.131 0.907  0.967 0.907
3#apa#apa02#app0209/i  -0.109 -0.068  -0.109 -0.172  -0.109 -0.275  -0.109 -0.379  -0.109 -0.483  -0.109 -0.587  -0.109 -0.690  -0.109 -0.794  -0.109 -0.898  -0.013 -0.905  0.091 -0.905  0.100 -0.999  0.100 -1.103  0.193 -1.115  0.296 -1.115  0.310 -1.205  0.310 -1.309  0.293 -1.237  0.274 -1.135  0.255 -1.033  0.236 -0.931  0.217 -0.829  0.198 -0.727  0.179 -0.625  0.160 -0.523  0.141 -0.421  0.121 -0.319  0.102 -0.218  0.083 -0.116  0.064 -0.014  0.045 0.088  0.026 0.190  0.007 0.292  -0.012 0.394  -0.031 0.496  -0.051 0.598  -0.070 0.700  -0.089 0.802  -0.108 0.904  -0.127 1.006  -0.146 1.107  -0.165 1.209  -0.184 1.311  -0.203 1.413  -0.223 1.515  -0.242 1.617  -0.261 1.719  -0.280 1.821  -0.299 1.923  -0.318 2.025
3#apa#apa02#app0209/l  -0.471 1.462  -0.396 1.462  -0.320 1.462  -0.302 1.405  -0.302 1.330  -0.263 1.293  -0.188 1.293  -0.133 1.273  -0.133 1.198  -0.133 1.123  -0.133 1.048  -0.133 0.972  -0.133 0.897  -0.133 0.822  -0.133 0.747  -0.133 0.672  -0.133 0.596  -0.133 0.521  -0.131 0.447  -0.078 0.394  -0.024 0.340  0.029 0.287  0.036 0.215  0.036 0.140  0.036 0.065  0.036 -0.011  0.036 -0.086  0.036 -0.161  0.036 -0.236  0.036 -0.312  0.036 -0.387  0.036 -0.462  0.036 -0.537  0.070 -0.598  0.123 -0.651  0.176 -0.705  0.205 -0.768  0.205 -0.843  0.205 -0.919  0.205 -0.994  0.205 -1.069  0.205 -1.144  0.205 -1.220  0.205 -1.295  0.205 -1.370  0.205 -1.445  0.205 -1.520  0.223 -1.577  0.298 -1.577  0.374 -1.577
3#apa#apa02#app0209/d  0.041 -0.321  -0.148 -0.321  -0.336 -0.321  -0.488 -0.411  -0.653 -0.468  -0.696 -0.614  -0.838 -0.661  -0.838 -0.850  -0.706 -0.907  -0.663 -1.054  -0.475 -1.054  -0.319 -1.133  -0.158 -1.200  0.031 -1.200  0.188 -1.168  0.180 -0.979  0.162 -0.791  0.143 -0.604  0.124 -0.416  0.105 -0.228  0.086 -0.040  0.068 0.148  0.049 0.336  0.030 0.524  0.011 0.712  -0.008 0.900  -0.026 1.087  -0.045 1.275  -0.064 1.463  -0.083 1.651  -0.101 1.839  -0.101 1.725  0.032 1.592  0.041 1.407  0.041 1.218  0.155 1.143  0.188 0.987  0.188 0.798  0.255 0.637  0.334 0.481  0.334 0.292  0.334 0.103  0.334 -0.085  0.405 -0.245  0.481 -0.402  0.481 -0.591  0.481 -0.780  0.481 -0.969  0.481 -1.158  0.481 -1.347
3#apa#apa02#app0209/e  -0.489 0.123  -0.344 0.123  -0.202 0.132  -0.100 0.235  0.003 0.338  0.066 0.457  0.066 0.602  0.135 0.678  0.280 0.678  0.343 0.760  0.343 0.905  0.343 1.051  0.343 1.196  0.234 1.232  0.089 1.232  -0.020 1.146  -0.123 1.043  -0.232 0.955  -0.377 0.955  -0.512 0.931  -0.615 0.829  -0.717 0.726  -0.766 0.601  -0.766 0.456  -0.766 0.311  -0.766 0.165  -0.766 0.020  -0.766 -0.125  -0.766 -0.270  -0.766 -0.415  -0.675 -0.522  -0.572 -0.625  -0.461 -0.708  -0.316 -0.708  -0.211 -0.749  -0.211 -0.894  -0.158 -0.986  -0.013 -0.986  0.132 -0.986  0.277 -0.986  0.423 -0.986  0.568 -0.986  0.713 -0.986  0.858 -0.986  1.003 -0.986  1.148 -0.986  1.175 -0.867  1.175 -0.721  1.307 -0.708  1.452 -0.708
3#apa#apa02#app0209/r  -0.593 0.629  -0.593 0.498  -0.593 0.366  -0.593 0.235  -0.593 0.104  -0.531 -0.001  -0.438 -0.093  -0.345 -0.186  -0.310 -0.302  -0.310 -0.433  -0.310 -0.564  -0.310 -0.695  -0.310 -0.826  -0.310 -0.958  -0.293 -1.072  -0.162 -1.072  -0.031 -1.072  -0.026 -1.198  -0.026 -1.329  0.079 -1.355  0.210 -1.355  0.257 -1.271  0.257 -1.140  0.257 -1.009  0.257 -0.878  0.228 -0.759  0.135 -0.667  0.043 -0.574  -0.026 -0.471  -0.026 -0.340  -0.026 -0.209  -0.026 -0.078  -0.026 0.053  -0.026 0.184  -0.026 0.315  -0.026 0.446  -0.026 0.577  -0.026 0.708  -0.026 0.839  0.015 0.953  0.107 1.046  0.200 1.138  0.293 1.231  0.385 1.324  0.478 1.416  0.583 1.479  0.714 1.479  0.824 1.500  0.824 1.631  0.824 1.762
3#apa#apa02#app0209/e  -0.708 0.135  -0.708 -0.027  -0.644 -0.125  -0.483 -0.125  -0.358 -0.035  -0.244 0.079  -0.105 0.135  0.056 0.135  0.175 0.238  0.289 0.353  0.403 0.467  0.518 0.581  0.591 0.712  0.591 0.874  0.591 1.036  0.568 1.174  0.406 1.174  0.245 1.174  0.083 1.174  -0.079 1.174  -0.225 1.137  -0.339 1.023  -0.456 0.914  -0.618 0.914  -0.708 0.843  -0.708 0.681  -0.708 0.520  -0.708 0.358  -0.708 0.196  -0.708 0.035  -0.708 -0.127  -0.708 -0.289  -0.662 -0.431  -0.547 -0.545  -0.427 -0.644  -0.265 -0.644  -0.188 -0.729  -0.188 -0.891  -0.040 -0.904  0.107 -0.940  0.221 -1.054  0.337 -1.164  0.499 -1.164  0.660 -1.164  0.822 -1.164  0.984 -1.164  1.111 -1.129  1.111 -0.968  1.209 -0.904  1.370 -0.904
3#apa#apa02#app0209/d  0.134 -0.190  -0.039 -0.236  -0.197 -0.318  -0.385 -0.327  -0.502 -0.470  -0.592 -0.572  -0.630 -0.726  -0.565 -0.891  -0.502 -1.057  -0.384 -1.199  -0.248 -1.260  -0.131 -1.335  0.060 -1.335  0.134 -1.217  0.261 -1.152  0.246 -0.961  0.222 -0.771  0.198 -0.581  0.175 -0.391  0.151 -0.201  0.127 -0.011  0.103 0.180  0.079 0.370  0.056 0.560  0.032 0.750  0.008 0.940  -0.016 1.130  -0.039 1.321  -0.063 1.511  -0.087 1.701  -0.111 1.891  -0.121 1.861  -0.121 1.670  -0.121 1.478  -0.121 1.286  -0.040 1.128  0.006 0.956  0.006 0.764  0.047 0.579  0.107 0.397  0.134 0.210  0.134 0.018  0.134 -0.173  0.181 -0.318  0.261 -0.430  0.261 -0.621  0.341 -0.780  0.388 -0.952  0.515 -1.016  0.515 -1.208
3#apa#apa02#app0209/c  0.875 0.814  0.875 0.919  0.875 1.025  0.774 1.030  0.669 1.030  0.563 1.030  0.458 1.030  0.352 1.030  0.247 1.030  0.141 1.030  0.036 1.030  0.009 0.951  0.009 0.846  -0.064 0.814  -0.170 0.814  -0.255 0.765  -0.330 0.691  -0.405 0.616  -0.479 0.542  -0.554 0.467  -0.628 0.392  -0.703 0.318  -0.778 0.243  -0.852 0.169  -0.856 0.065  -0.856 -0.041  -0.789 -0.119  -0.714 -0.193  -0.640 -0.268  -0.640 -0.373  -0.640 -0.479  -0.539 -0.484  -0.434 -0.484  -0.356 -0.551  -0.282 -0.626  -0.207 -0.700  -0.132 -0.775  -0.058 -0.850  0.020 -0.917  0.125 -0.917  0.229 -0.920  0.304 -0.995  0.379 -1.070  0.458 -1.133  0.563 -1.133  0.669 -1.133  0.774 -1.133  0.880 -1.133  0.985 -1.133  1.091 -1.133
3#apa#apa02#app0209/h  -0.872 1.824  -0.738 1.810  -0.738 1.662  -0.708 1.525  -0.603 1.420  -0.603 1.272  -0.603 1.123  -0.603 0.975  -0.603 0.826  -0.554 0.698  -0.468 0.585  -0.468 0.436  -0.468 0.288  -0.468 0.139  -0.409 0.015  -0.334 -0.102  -0.334 -0.251  -0.334 -0.399  -0.334 -0.548  -0.334 -0.697  -0.334 -0.845  -0.334 -0.994  -0.334 -1.133  -0.315 -1.003  -0.199 -0.971  -0.199 -0.822  -0.199 -0.673  -0.199 -0.525  -0.199 -0.376  -0.127 -0.258  -0.064 -0.135  0.010 -0.061  0.070 0.028  0.070 0.176  0.186 0.209  0.335 0.209  0.483 0.209  0.609 0.185  0.646 0.074  0.743 0.023  0.789 -0.107  0.878 -0.218  0.915 -0.330  1.013 -0.381  1.013 -0.530  1.013 -0.678  1.013 -0.827  1.013 -0.975  1.133 -1.003  1.147 -0.868
3#apa#apa02#app0209/a  0.200 0.641  0.200 0.808  0.103 0.878  -0.063 0.878  -0.230 0.878  -0.397 0.878  -0.549 0.842  -0.667 0.724  -0.800 0.641  -0.966 0.641  -0.989 0.496  -1.063 0.403  -1.226 0.400  -1.226 0.233  -1.226 0.066  -1.226 -0.101  -1.226 -0.268  -1.101 -0.310  -0.934 -0.310  -0.768 -0.310  -0.751 -0.460  -0.671 -0.548  -0.505 -0.548  -0.338 -0.548  -0.276 -0.443  -0.241 -0.310  -0.075 -0.310  -0.038 -0.179  -0.038 -0.013  -0.038 0.154  0.118 0.165  0.200 0.250  0.214 0.403  0.381 0.403  0.548 0.403  0.675 0.363  0.675 0.196  0.811 0.165  0.912 0.100  0.912 -0.067  0.912 -0.234  0.912 -0.400  0.932 -0.548  1.099 -0.548  1.150 -0.664  1.150 -0.830  1.150 -0.997  1.292 -1.023  1.458 -1.023  1.625 -1.023
3#apa#apa02#app0209/r  -0.893 1.123  -0.893 0.980  -0.893 0.837  -0.776 0.810  -0.633 0.810  -0.580 0.720  -0.580 0.577  -0.580 0.434  -0.580 0.291  -0.580 0.147  -0.580 0.004  -0.570 -0.129  -0.427 -0.129  -0.284 -0.129  -0.267 -0.255  -0.267 -0.399  -0.267 -0.542  -0.267 -0.685  -0.267 -0.828  -0.267 -0.971  -0.220 -1.068  -0.077 -1.068  0.046 -1.088  0.046 -1.231  0.046 -1.374  0.183 -1.381  0.326 -1.381  0.359 -1.271  0.359 -1.128  0.359 -0.985  0.359 -0.842  0.359 -0.699  0.359 -0.555  0.359 -0.412  0.359 -0.269  0.359 -0.126  0.359 0.017  0.359 0.161  0.359 0.304  0.359 0.447  0.359 0.590  0.359 0.733  0.359 0.876  0.359 1.020  0.387 1.151  0.489 1.252  0.590 1.354  0.699 1.436  0.842 1.436  0.985 1.436
3#apa#apa02#app0209/m  -1.249 0.155  -1.249 -0.027  -1.200 -0.160  -1.092 -0.234  -1.092 -0.416  -1.092 -0.599  -1.092 -0.781  -0.934 -0.776  -0.934 -0.594  -0.934 -0.411  -0.934 -0.229  -0.934 -0.047  -0.934 0.135  -0.934 0.317  -0.905 0.470  -0.777 0.524  -0.698 0.628  -0.516 0.628  -0.333 0.628  -0.304 0.475  -0.179 0.345  -0.146 0.176  -0.032 0.041  0.011 -0.123  0.011 -0.306  0.011 -0.488  0.011 -0.670  0.011 -0.729  0.072 -0.572  0.169 -0.430  0.169 -0.248  0.169 -0.066  0.169 0.117  0.271 0.257  0.326 0.416  0.454 0.470  0.484 0.623  0.661 0.628  0.843 0.628  1.026 0.628  1.114 0.534  1.232 0.470  1.272 0.327  1.429 0.303  1.429 0.120  1.429 -0.062  1.429 -0.244  1.429 -0.426  1.429 -0.608  1.429 -0.791
3#apa#apa02#app0209/  -1.789 0.132  -1.701 0.132  -1.613 0.132  -1.525 0.132  -1.437 0.132  -1.349 0.132  -1.261 0.132  -1.173 0.132  -1.085 0.132  -0.997 0.132  -0.909 0.132  -0.821 0.132  -0.733 0.132  -0.645 0.132  -0.557 0.132  -0.469 0.132  -0.381 0.132  -0.293 0.132  -0.251 0.085  -0.251 -0.003  -0.251 -0.091  -0.251 -0.179  -0.251 -0.267  -0.251 -0.355  -0.189 -0.381  -0.101 -0.381  -0.013 -0.381  0.075 -0.381  0.163 -0.381  0.251 -0.381  0.316 -0.326  0.379 -0.264  0.441 -0.201  0.503 -0.139  0.565 -0.077  0.628 -0.015  0.690 0.048  0.752 0.110  0.831 0.132  0.919 0.132  1.007 0.132  1.095 0.132  1.183 0.132  1.271 0.132  1.360 0.132  1.448 0.132  1.536 0.132  1.624 0.132  1.712 0.132  1.800 0.132
3#apa#apa02#app0209/s  0.222 1.211  0.077 1.211  0.067 1.075  -0.058 1.056  -0.203 1.056  -0.317 0.981  -0.429 0.901  -0.575 0.901  -0.716 0.892  -0.819 0.790  -0.921 0.687  -1.027 0.591  -1.172 0.591  -1.172 0.446  -1.172 0.301  -1.047 0.281  -0.902 0.281  -0.757 0.281  -0.612 0.281  -0.466 0.281  -0.321 0.281  -0.176 0.281  -0.031 0.281  0.114 0.281  0.259 0.281  0.396 0.262  0.499 0.159  0.631 0.126  0.750 0.064  0.842 -0.043  0.847 -0.184  0.992 -0.184  0.997 -0.324  0.997 -0.469  0.997 -0.614  0.997 -0.759  0.896 -0.804  0.842 -0.895  0.761 -0.959  0.616 -0.959  0.532 -1.020  0.480 -1.114  0.335 -1.114  0.190 -1.114  0.051 -1.098  -0.051 -0.995  -0.181 -0.959  -0.302 -0.899  -0.407 -0.804  -0.552 -0.804
3#apa#apa02#app0209/e  -0.653 -0.143  -0.541 -0.030  -0.421 0.064  -0.262 0.064  -0.239 0.201  -0.150 0.272  -0.032 0.312  -0.032 0.472  0.120 0.479  0.175 0.583  0.231 0.686  0.382 0.694  0.382 0.853  0.263 0.893  0.175 0.965  0.152 1.100  -0.007 1.100  -0.167 1.100  -0.239 1.013  -0.278 0.893  -0.437 0.893  -0.552 0.787  -0.670 0.686  -0.829 0.686  -0.860 0.558  -0.860 0.399  -0.860 0.240  -0.860 0.081  -0.860 -0.078  -0.766 -0.143  -0.653 -0.190  -0.653 -0.349  -0.541 -0.462  -0.422 -0.557  -0.263 -0.557  -0.239 -0.693  -0.151 -0.764  0.008 -0.764  0.167 -0.764  0.282 -0.871  0.400 -0.971  0.559 -0.971  0.718 -0.971  0.877 -0.971  1.036 -0.971  1.196 -0.971  1.355 -0.971  1.514 -0.971  1.673 -0.971  1.832 -0.971
