3#apa#apa02#app0240/k  -0.533 0.933  -0.501 0.933  -0.576 0.766  -0.656 0.583  -0.656 0.367  -0.656 0.151  -0.715 -0.051  -0.780 -0.252  -0.780 -0.468  -0.874 -0.645  -0.903 -0.849  -0.903 -1.065  -0.903 -1.281  -0.903 -1.497  -0.807 -1.396  -0.688 -1.216  -0.568 -1.036  -0.448 -0.856  -0.328 -0.677  -0.208 -0.497  -0.088 -0.317  0.032 -0.137  0.151 0.042  0.271 0.222  0.391 0.402  0.511 0.582  0.631 0.762  0.751 0.941  0.871 1.121  0.990 1.301  1.075 1.363  0.951 1.271  0.863 1.092  0.710 0.939  0.557 0.786  0.404 0.633  0.251 0.480  0.086 0.406  -0.038 0.313  -0.132 0.191  -0.099 0.067  -0.006 -0.056  0.086 -0.180  0.209 -0.273  0.333 -0.365  0.471 -0.496  0.580 -0.644  0.766 -0.674  0.859 -0.798  0.951 -0.922
3#apa#apa02#app0240/e  -0.293 -0.078  -0.144 -0.078  0.005 -0.078  0.115 0.017  0.239 0.079  0.332 0.134  0.380 0.235  0.489 0.276  0.522 0.391  0.645 0.418  0.659 0.561  0.764 0.667  0.801 0.800  0.801 0.949  0.801 1.098  0.727 1.173  0.578 1.173  0.429 1.173  0.280 1.173  0.144 1.141  0.038 1.036  -0.103 1.017  -0.137 0.901  -0.213 0.784  -0.329 0.704  -0.449 0.675  -0.465 0.532  -0.570 0.427  -0.606 0.293  -0.606 0.144  -0.690 0.079  -0.762 0.002  -0.762 -0.147  -0.762 -0.297  -0.762 -0.446  -0.762 -0.595  -0.733 -0.732  -0.628 -0.837  -0.523 -0.943  -0.449 -1.062  -0.411 -1.172  -0.271 -1.194  -0.166 -1.300  -0.028 -1.329  0.121 -1.329  0.270 -1.329  0.419 -1.329  0.568 -1.329  0.696 -1.278  0.801 -1.172
3#apa#apa02#app0240/e  -0.347 -0.251  -0.189 -0.251  -0.186 -0.095  -0.033 -0.091  0.081 0.016  0.217 0.069  0.351 0.126  0.454 0.241  0.464 0.390  0.614 0.397  0.614 0.555  0.614 0.713  0.614 0.871  0.614 1.029  0.458 1.030  0.454 1.184  0.303 1.191  0.145 1.191  -0.013 1.191  -0.171 1.191  -0.186 1.048  -0.327 1.030  -0.444 0.933  -0.576 0.870  -0.667 0.803  -0.713 0.664  -0.825 0.552  -0.827 0.395  -0.827 0.237  -0.827 0.079  -0.827 -0.078  -0.827 -0.236  -0.726 -0.352  -0.614 -0.464  -0.507 -0.577  -0.503 -0.731  -0.347 -0.733  -0.347 -0.891  -0.189 -0.892  -0.077 -1.001  0.060 -1.052  0.134 -1.136  0.216 -1.212  0.374 -1.212  0.532 -1.212  0.690 -1.212  0.826 -1.160  0.939 -1.052  1.097 -1.052  1.255 -1.052
3#apa#apa02#app0240/p  -0.270 0.811  -0.270 0.625  -0.270 0.439  -0.270 0.254  -0.270 0.068  -0.270 -0.118  -0.270 -0.304  -0.270 -0.490  -0.270 -0.676  -0.270 -0.862  -0.270 -1.047  -0.282 -1.228  -0.382 -1.372  -0.382 -1.558  -0.382 -1.744  -0.276 -1.673  -0.270 -1.489  -0.270 -1.304  -0.270 -1.118  -0.382 -0.979  -0.382 -0.793  -0.495 -0.653  -0.495 -0.468  -0.495 -0.282  -0.495 -0.096  -0.382 -0.023  -0.382 0.163  -0.382 0.349  -0.270 0.422  -0.254 0.602  -0.157 0.747  -0.071 0.897  -0.008 1.036  0.177 1.036  0.251 1.149  0.421 1.213  0.596 1.262  0.782 1.262  0.935 1.183  1.082 1.124  1.082 0.938  1.040 0.770  0.969 0.613  0.828 0.515  0.679 0.408  0.547 0.277  0.416 0.145  0.251 0.093  0.120 -0.038  -0.044 -0.090
3#apa#apa02#app0240/v  -0.893 0.872  -0.768 0.876  -0.768 0.989  -0.756 0.872  -0.643 0.855  -0.643 0.726  -0.643 0.597  -0.643 0.468  -0.643 0.339  -0.643 0.210  -0.643 0.081  -0.643 -0.049  -0.608 -0.163  -0.518 -0.255  -0.518 -0.384  -0.518 -0.513  -0.508 -0.638  -0.416 -0.729  -0.393 -0.849  -0.322 -0.949  -0.269 -1.056  -0.211 -1.127  -0.144 -1.189  -0.077 -1.252  0.052 -1.252  0.181 -1.252  0.231 -1.173  0.290 -1.068  0.356 -0.966  0.356 -0.837  0.387 -0.721  0.479 -0.630  0.481 -0.502  0.522 -0.379  0.563 -0.257  0.604 -0.134  0.606 -0.005  0.606 0.124  0.606 0.253  0.606 0.382  0.606 0.511  0.606 0.640  0.606 0.770  0.606 0.899  0.606 1.028  0.606 1.157  0.606 1.286  0.575 1.403  0.484 1.494  0.606 1.497
3#apa#apa02#app0240/e  -0.280 -0.346  -0.265 -0.492  -0.104 -0.492  0.011 -0.447  0.071 -0.346  0.210 -0.293  0.323 -0.180  0.437 -0.066  0.513 0.074  0.584 0.218  0.594 0.376  0.594 0.536  0.594 0.697  0.594 0.857  0.594 1.018  0.525 1.109  0.448 1.193  0.378 1.325  0.249 1.401  0.089 1.401  0.011 1.317  -0.087 1.255  -0.134 1.142  -0.262 1.109  -0.381 1.008  -0.425 0.866  -0.476 0.718  -0.547 0.574  -0.571 0.419  -0.571 0.259  -0.668 0.139  -0.716 -0.002  -0.716 -0.162  -0.716 -0.323  -0.716 -0.483  -0.716 -0.644  -0.695 -0.783  -0.571 -0.819  -0.535 -0.965  -0.420 -1.074  -0.265 -1.089  -0.152 -1.202  0.002 -1.219  0.162 -1.219  0.322 -1.219  0.473 -1.195  0.586 -1.081  0.728 -1.007  0.871 -0.935  1.030 -0.928
3#apa#apa02#app0240/x  -1.080 0.662  -0.936 0.618  -0.848 0.518  -0.673 0.458  -0.505 0.374  -0.371 0.241  -0.340 0.066  -0.214 -0.070  -0.175 -0.243  -0.069 -0.388  -0.011 -0.552  0.075 -0.705  0.075 -0.893  0.086 -1.071  0.220 -1.126  0.318 -1.216  0.404 -1.079  0.457 -0.898  0.511 -0.717  0.564 -0.536  0.617 -0.356  0.670 -0.175  0.723 0.006  0.777 0.187  0.830 0.368  0.883 0.549  0.936 0.730  0.989 0.910  1.043 1.091  1.053 1.240  0.864 1.240  0.797 1.118  0.638 1.080  0.504 0.947  0.371 0.814  0.196 0.783  0.062 0.649  -0.071 0.516  -0.175 0.359  -0.280 0.202  -0.392 0.051  -0.525 -0.082  -0.658 -0.216  -0.791 -0.349  -0.925 -0.482  -0.956 -0.658  -1.080 -0.795  -1.137 -0.927  -1.225 -1.027  -1.225 -1.216
3#apa#apa02#app0240/i  -0.165 0.314  -0.045 0.305  -0.045 0.176  -0.045 0.047  -0.045 -0.081  -0.045 -0.210  -0.045 -0.339  -0.045 -0.468  -0.045 -0.597  -0.045 -0.726  -0.045 -0.855  -0.045 -0.983  -0.045 -1.112  -0.045 -1.241  -0.045 -1.370  -0.038 -1.493  0.076 -1.507  0.075 -1.590  0.070 -1.461  0.065 -1.333  0.060 -1.204  0.055 -1.075  0.050 -0.946  0.045 -0.817  0.040 -0.689  0.035 -0.560  0.030 -0.431  0.025 -0.302  0.021 -0.174  0.016 -0.045  0.011 0.084  0.006 0.213  0.001 0.341  -0.004 0.470  -0.009 0.599  -0.014 0.728  -0.019 0.856  -0.024 0.985  -0.029 1.114  -0.034 1.243  -0.039 1.371  -0.044 1.500  -0.045 1.407  0.075 1.397  0.189 1.397  0.076 1.414  0.051 1.518  -0.045 1.485  -0.015 1.368  0.076 1.277
3#apa#apa02#app0240/n  -0.771 1.000  -0.771 0.837  -0.771 0.674  -0.771 0.511  -0.771 0.348  -0.771 0.185  -0.771 0.022  -0.771 -0.141  -0.771 -0.304  -0.771 -0.467  -0.771 -0.630  -0.771 -0.793  -0.771 -0.956  -0.771 -1.119  -0.771 -1.282  -0.763 -1.150  -0.628 -1.122  -0.594 -0.973  -0.484 -0.856  -0.484 -0.692  -0.451 -0.543  -0.341 -0.426  -0.322 -0.271  -0.206 -0.155  -0.193 0.002  -0.077 0.117  0.038 0.232  0.089 0.374  0.138 0.526  0.211 0.671  0.348 0.714  0.376 0.849  0.388 1.000  0.519 1.032  0.570 1.144  0.733 1.144  0.806 1.053  0.806 0.890  0.806 0.727  0.810 0.566  0.926 0.451  0.949 0.298  0.949 0.134  0.949 -0.029  0.949 -0.192  0.949 -0.355  0.949 -0.518  0.949 -0.681  0.949 -0.844  0.949 -1.007
3#apa#apa02#app0240/g  -0.224 0.838  -0.102 0.926  -0.048 1.082  -0.136 1.204  -0.273 1.278  -0.483 1.278  -0.632 1.133  -0.781 0.984  -0.839 0.798  -0.839 0.589  -0.824 0.385  -0.650 0.298  -0.471 0.224  -0.349 0.311  -0.252 0.459  -0.136 0.569  -0.048 0.743  0.040 0.916  0.127 1.090  0.205 1.112  0.263 0.918  0.303 0.717  0.303 0.508  0.303 0.298  0.303 0.088  0.391 -0.086  0.391 -0.296  0.391 -0.505  0.391 -0.715  0.303 -0.889  0.238 -1.072  0.152 -1.246  0.065 -1.420  -0.021 -1.594  -0.183 -1.709  -0.393 -1.709  -0.400 -1.506  -0.400 -1.296  -0.312 -1.122  -0.149 -1.013  -0.136 -0.811  -0.036 -0.643  0.112 -0.494  0.199 -0.320  0.382 -0.220  0.496 -0.111  0.670 -0.025  0.850 0.048  1.060 0.048  1.182 -0.040
3#apa#apa02#app0240/m  -1.090 0.844  -0.971 0.952  -0.971 0.745  -0.971 0.518  -0.971 0.291  -0.971 0.065  -0.971 -0.162  -0.971 -0.389  -0.971 -0.616  -0.866 -0.799  -0.853 -1.021  -0.853 -1.086  -0.853 -0.859  -0.735 -0.681  -0.617 -0.573  -0.617 -0.346  -0.571 -0.130  -0.498 0.080  -0.474 0.301  -0.380 0.505  -0.375 0.730  -0.262 0.910  -0.184 0.806  -0.082 0.603  -0.025 0.390  -0.025 0.163  0.031 -0.041  0.093 -0.242  0.093 -0.469  0.093 -0.695  0.093 -0.922  0.093 -0.711  0.211 -0.603  0.301 -0.397  0.360 -0.190  0.521 -0.029  0.681 0.131  0.684 0.356  0.803 0.534  0.871 0.745  0.921 0.960  1.039 0.856  1.157 0.678  1.268 0.497  1.276 0.273  1.276 0.046  1.276 -0.180  1.276 -0.407  1.317 -0.617  1.394 -0.812
3#apa#apa02#app0240/e  0.112 -0.250  0.256 -0.250  0.364 -0.214  0.418 -0.124  0.490 -0.052  0.580 0.002  0.616 0.110  0.742 0.129  0.743 0.272  0.743 0.416  0.743 0.561  0.743 0.705  0.743 0.849  0.667 0.962  0.616 1.085  0.552 1.202  0.434 1.264  0.290 1.264  0.146 1.264  0.034 1.186  -0.090 1.138  -0.207 1.072  -0.309 0.970  -0.411 0.868  -0.513 0.766  -0.526 0.627  -0.627 0.525  -0.645 0.388  -0.742 0.284  -0.772 0.152  -0.772 0.008  -0.772 -0.136  -0.772 -0.280  -0.772 -0.424  -0.725 -0.549  -0.645 -0.660  -0.645 -0.804  -0.598 -0.929  -0.519 -1.040  -0.468 -1.133  -0.393 -1.202  -0.306 -1.259  -0.162 -1.259  -0.054 -1.172  0.074 -1.133  0.218 -1.133  0.326 -1.045  0.454 -1.007  0.598 -1.007  0.743 -1.007
3#apa#apa02#app0240/w  -1.109 0.401  -1.109 0.560  -1.109 0.544  -1.109 0.385  -1.109 0.226  -1.109 0.067  -1.109 -0.092  -1.109 -0.251  -1.109 -0.410  -1.109 -0.570  -1.044 -0.702  -0.994 -0.840  -0.867 -0.856  -0.751 -0.752  -0.648 -0.695  -0.577 -0.566  -0.465 -0.453  -0.376 -0.323  -0.305 -0.181  -0.194 -0.067  -0.163 0.079  -0.072 0.200  -0.072 0.359  -0.070 0.518  0.042 0.630  0.044 0.706  -0.017 0.572  -0.072 0.435  -0.072 0.276  -0.072 0.117  -0.072 -0.042  0.028 -0.160  0.141 -0.272  0.253 -0.385  0.400 -0.416  0.515 -0.521  0.674 -0.521  0.805 -0.452  0.945 -0.406  0.989 -0.291  1.082 -0.225  1.159 -0.098  1.231 0.040  1.281 0.191  1.312 0.345  1.385 0.474  1.428 0.616  1.428 0.775  1.428 0.934  1.428 1.093
