3#apa#apa03#app0325/B  -0.702 1.013  -0.573 1.070  -0.573 0.816  -0.573 0.563  -0.573 0.309  -0.573 0.056  -0.573 -0.198  -0.573 -0.451  -0.573 -0.705  -0.573 -0.958  -0.573 -1.133  -0.597 -0.881  -0.633 -0.630  -0.668 -0.379  -0.704 -0.128  -0.740 0.123  -0.776 0.374  -0.812 0.625  -0.710 0.756  -0.585 0.885  -0.445 0.998  -0.206 1.013  0.016 1.088  0.247 1.142  0.501 1.142  0.742 1.112  0.841 0.899  0.712 0.774  0.546 0.590  0.366 0.410  0.198 0.302  0.005 0.242  -0.059 0.174  0.127 0.242  0.252 0.113  0.505 0.113  0.630 -0.015  0.755 -0.144  0.880 -0.272  1.098 -0.308  1.098 -0.562  1.069 -0.787  0.944 -0.915  0.819 -1.044  0.694 -1.172  0.455 -1.187  0.316 -1.301  0.062 -1.301  -0.191 -1.301  -0.316 -1.172
3#apa#apa03#app0325/r  -0.627 0.939  -0.523 0.835  -0.419 0.731  -0.403 0.591  -0.403 0.444  -0.403 0.297  -0.319 0.185  -0.215 0.081  -0.180 -0.051  -0.180 -0.198  -0.180 -0.345  -0.180 -0.491  -0.180 -0.638  -0.180 -0.785  -0.180 -0.932  -0.180 -1.079  -0.180 -1.226  -0.100 -1.293  0.043 -1.296  0.043 -1.443  -0.031 -1.516  -0.178 -1.516  -0.180 -1.371  -0.180 -1.224  -0.180 -1.077  -0.180 -0.931  -0.180 -0.784  -0.180 -0.637  -0.180 -0.490  -0.180 -0.343  -0.180 -0.196  -0.180 -0.050  -0.180 0.097  -0.180 0.244  -0.180 0.391  -0.148 0.525  -0.045 0.628  0.043 0.739  0.043 0.886  0.137 0.939  0.266 0.956  0.266 1.103  0.354 1.162  0.501 1.162  0.648 1.162  0.794 1.162  0.941 1.162  1.088 1.162  1.235 1.162  1.382 1.162
3#apa#apa03#app0325/o  0.095 1.513  0.095 1.369  -0.004 1.324  -0.132 1.286  -0.233 1.185  -0.282 1.061  -0.303 0.926  -0.405 0.824  -0.506 0.723  -0.608 0.621  -0.660 0.499  -0.678 0.362  -0.780 0.261  -0.849 0.146  -0.849 0.002  -0.849 -0.142  -0.849 -0.286  -0.849 -0.429  -0.842 -0.570  -0.741 -0.672  -0.660 -0.783  -0.660 -0.926  -0.531 -0.941  -0.412 -1.001  -0.310 -1.102  -0.178 -1.130  -0.034 -1.130  0.095 -1.116  0.095 -0.972  0.208 -0.941  0.352 -0.941  0.473 -0.918  0.473 -0.775  0.594 -0.753  0.716 -0.698  0.817 -0.597  0.850 -0.467  0.850 -0.323  0.850 -0.179  0.850 -0.035  0.850 0.109  0.807 0.235  0.706 0.336  0.662 0.462  0.625 0.569  0.481 0.569  0.473 0.704  0.473 0.848  0.428 0.947  0.284 0.947
3#apa#apa03#app0325/k  -0.695 1.467  -0.539 1.311  -0.506 1.104  -0.506 0.883  -0.506 0.662  -0.506 0.441  -0.506 0.220  -0.506 -0.001  -0.506 -0.222  -0.506 -0.443  -0.506 -0.664  -0.506 -0.885  -0.506 -1.105  -0.506 -1.326  -0.506 -1.547  -0.420 -1.354  -0.331 -1.151  -0.243 -0.949  -0.154 -0.747  -0.065 -0.544  0.023 -0.342  0.112 -0.139  0.200 0.063  0.289 0.265  0.377 0.468  0.466 0.670  0.554 0.873  0.643 1.075  0.731 1.277  0.815 1.454  0.769 1.279  0.626 1.201  0.548 1.012  0.373 0.901  0.180 0.833  0.024 0.677  -0.132 0.521  -0.288 0.364  -0.318 0.156  -0.318 -0.065  -0.318 -0.286  -0.256 -0.481  -0.087 -0.608  0.060 -0.682  0.166 -0.797  0.346 -0.895  0.529 -0.986  0.750 -0.986  0.971 -0.986  1.192 -0.986
3#apa#apa03#app0325/e  -0.579 -0.219  -0.579 -0.389  -0.448 -0.428  -0.278 -0.428  -0.109 -0.428  0.057 -0.417  0.177 -0.297  0.314 -0.219  0.463 -0.198  0.463 -0.029  0.615 -0.011  0.672 0.102  0.724 0.250  0.844 0.370  0.880 0.525  0.880 0.695  0.851 0.853  0.731 0.973  0.672 1.118  0.624 1.240  0.454 1.240  0.284 1.240  0.115 1.240  -0.055 1.240  -0.162 1.178  -0.186 1.032  -0.356 1.032  -0.480 0.922  -0.579 0.793  -0.579 0.624  -0.693 0.501  -0.788 0.370  -0.788 0.201  -0.788 0.031  -0.788 -0.139  -0.788 -0.309  -0.752 -0.463  -0.632 -0.584  -0.579 -0.731  -0.523 -0.845  -0.371 -0.862  -0.371 -1.032  -0.222 -1.053  -0.084 -1.131  0.036 -1.251  0.201 -1.262  0.371 -1.262  0.541 -1.262  0.710 -1.262  0.880 -1.262
3#apa#apa03#app0325/n  -0.980 1.353  -0.812 1.353  -0.799 1.198  -0.799 1.030  -0.799 0.861  -0.799 0.693  -0.799 0.525  -0.799 0.357  -0.799 0.188  -0.799 0.020  -0.799 -0.148  -0.799 -0.317  -0.799 -0.485  -0.799 -0.653  -0.799 -0.821  -0.799 -0.990  -0.645 -1.003  -0.618 -1.145  -0.527 -1.094  -0.408 -0.975  -0.289 -0.856  -0.255 -0.702  -0.179 -0.565  -0.074 -0.440  -0.069 -0.274  0.050 -0.155  0.107 -0.010  0.107 0.158  0.150 0.308  0.269 0.427  0.289 0.588  0.289 0.756  0.370 0.891  0.470 0.964  0.484 0.809  0.651 0.809  0.651 0.640  0.651 0.472  0.651 0.304  0.651 0.136  0.768 0.084  0.832 -0.020  0.832 -0.188  0.910 -0.278  1.014 -0.343  1.014 -0.512  1.053 -0.641  1.195 -0.667  1.208 -0.822  1.376 -0.822
3#apa#apa03#app0325/M  -1.306 0.534  -1.200 0.611  -1.161 0.389  -1.095 0.179  -1.048 -0.040  -0.990 -0.254  -0.990 -0.492  -0.990 -0.730  -0.895 -0.929  -0.885 -1.136  -0.780 -1.003  -0.731 -0.785  -0.651 -0.576  -0.569 -0.357  -0.569 -0.119  -0.566 0.119  -0.464 0.333  -0.464 0.571  -0.418 0.790  -0.310 0.955  -0.254 0.773  -0.148 0.640  -0.148 0.402  -0.043 0.207  -0.043 -0.031  -0.043 -0.269  -0.043 -0.507  -0.027 -0.729  0.106 -0.834  0.167 -0.656  0.272 -0.524  0.415 -0.338  0.483 -0.116  0.581 0.099  0.671 0.301  0.693 0.530  0.693 0.768  0.798 0.963  0.798 1.201  0.843 1.120  0.903 0.907  0.957 0.691  1.009 0.474  1.009 0.236  1.009 -0.002  1.009 -0.241  1.009 -0.479  1.075 -0.689  1.114 -0.911  1.219 -1.044
3#apa#apa03#app0325/o  -0.246 0.773  -0.143 0.876  -0.040 0.979  -0.177 0.982  -0.323 0.982  -0.456 0.969  -0.456 0.823  -0.551 0.773  -0.665 0.742  -0.665 0.596  -0.778 0.563  -0.875 0.514  -0.875 0.368  -0.875 0.222  -0.875 0.077  -0.875 -0.069  -0.875 -0.215  -0.815 -0.336  -0.712 -0.439  -0.665 -0.565  -0.654 -0.706  -0.551 -0.809  -0.444 -0.904  -0.298 -0.904  -0.246 -0.998  -0.217 -1.114  -0.071 -1.114  0.075 -1.114  0.221 -1.114  0.366 -1.114  0.512 -1.114  0.639 -1.068  0.742 -0.965  0.802 -0.844  0.802 -0.698  0.802 -0.552  0.802 -0.407  0.802 -0.261  0.802 -0.115  0.802 0.031  0.802 0.176  0.802 0.322  0.802 0.468  0.766 0.599  0.663 0.702  0.592 0.818  0.592 0.964  0.465 0.982  0.383 1.046  0.383 1.192
3#apa#apa03#app0325/o  -0.006 0.997  -0.147 0.997  -0.288 0.997  -0.406 0.974  -0.406 0.834  -0.510 0.797  -0.606 0.752  -0.606 0.611  -0.732 0.597  -0.806 0.530  -0.806 0.389  -0.806 0.248  -0.869 0.133  -0.969 0.034  -1.007 -0.091  -1.007 -0.232  -1.007 -0.373  -0.929 -0.482  -0.829 -0.581  -0.806 -0.712  -0.757 -0.804  -0.616 -0.804  -0.514 -0.896  -0.414 -0.996  -0.277 -1.004  -0.136 -1.004  0.005 -1.004  0.146 -1.004  0.259 -0.938  0.359 -0.839  0.485 -0.804  0.617 -0.781  0.716 -0.682  0.816 -0.582  0.915 -0.482  0.994 -0.374  0.994 -0.233  0.994 -0.093  0.994 0.048  0.994 0.189  0.994 0.330  0.994 0.471  0.979 0.597  0.839 0.597  0.794 0.693  0.757 0.797  0.616 0.797  0.475 0.797  0.335 0.797  0.194 0.797
3#apa#apa03#app0325/n  -1.260 0.643  -1.102 0.643  -1.073 0.514  -1.073 0.355  -1.073 0.197  -1.073 0.039  -1.073 -0.120  -1.073 -0.278  -1.073 -0.436  -0.991 -0.561  -0.886 -0.675  -0.886 -0.834  -0.747 -0.853  -0.699 -0.963  -0.641 -0.982  -0.529 -0.870  -0.378 -0.853  -0.325 -0.747  -0.325 -0.589  -0.277 -0.479  -0.138 -0.459  -0.138 -0.301  -0.138 -0.143  -0.018 -0.105  0.048 -0.013  0.093 0.127  0.205 0.239  0.235 0.384  0.235 0.543  0.235 0.701  0.256 0.851  0.368 0.963  0.422 1.098  0.460 1.167  0.572 1.055  0.609 0.912  0.686 0.830  0.796 0.782  0.796 0.624  0.796 0.466  0.901 0.351  0.983 0.227  0.983 0.068  0.983 -0.090  0.983 -0.248  0.983 -0.406  0.983 -0.565  1.041 -0.666  1.170 -0.694  1.170 -0.853
3#apa#apa03#app0325/s  0.312 0.585  0.312 0.726  0.312 0.868  0.312 1.009  0.312 1.150  0.312 1.292  0.312 1.433  0.214 1.477  0.077 1.465  -0.023 1.365  -0.123 1.265  -0.223 1.165  -0.322 1.065  -0.357 0.938  -0.357 0.797  -0.357 0.656  -0.428 0.585  -0.569 0.585  -0.580 0.454  -0.580 0.313  -0.580 0.172  -0.471 0.139  -0.357 0.112  -0.357 -0.030  -0.270 -0.084  -0.129 -0.084  0.013 -0.084  0.135 -0.130  0.235 -0.230  0.345 -0.307  0.486 -0.307  0.627 -0.307  0.758 -0.318  0.758 -0.459  0.708 -0.580  0.608 -0.680  0.497 -0.753  0.355 -0.753  0.312 -0.851  0.296 -0.976  0.154 -0.976  0.089 -1.052  0.089 -1.193  -0.047 -1.199  -0.172 -1.237  -0.272 -1.337  -0.379 -1.422  -0.520 -1.422  -0.662 -1.422  -0.803 -1.422
