3#apa#apa03#app0335/A  -0.794 -1.045  -0.733 -0.982  -0.794 -0.796  -0.884 -0.675  -0.917 -0.497  -0.917 -0.285  -0.917 -0.074  -0.885 0.130  -0.794 0.320  -0.794 0.531  -0.750 0.724  -0.671 0.903  -0.626 1.096  -0.548 1.275  -0.378 1.344  -0.198 1.420  0.014 1.420  0.192 1.387  0.313 1.297  0.315 1.087  0.438 0.927  0.501 0.741  0.561 0.555  0.561 0.344  0.601 0.148  0.685 -0.028  0.685 -0.239  0.685 -0.451  0.763 -0.630  0.808 -0.823  0.808 -1.034  0.808 -1.245  0.931 -1.249  0.820 -1.099  0.640 -0.989  0.460 -0.878  0.280 -0.767  0.100 -0.656  -0.080 -0.545  -0.260 -0.435  -0.440 -0.324  -0.620 -0.213  -0.527 -0.162  -0.358 -0.059  -0.156 -0.037  0.013 0.064  0.225 0.064  0.436 0.064  0.596 0.188  0.808 0.188
3#apa#apa03#app0335/s  0.617 1.181  0.498 1.181  0.379 1.181  0.260 1.181  0.142 1.181  0.023 1.181  -0.096 1.181  -0.215 1.181  -0.334 1.181  -0.380 1.108  -0.429 1.039  -0.541 1.021  -0.625 0.937  -0.665 0.834  -0.665 0.715  -0.665 0.597  -0.665 0.478  -0.554 0.469  -0.435 0.469  -0.335 0.424  -0.251 0.340  -0.167 0.256  -0.078 0.184  0.041 0.184  0.127 0.105  0.211 0.021  0.295 -0.063  0.398 -0.100  0.475 -0.143  0.494 -0.243  0.613 -0.243  0.617 -0.357  0.617 -0.476  0.617 -0.595  0.617 -0.714  0.617 -0.833  0.617 -0.952  0.501 -0.955  0.409 -1.020  0.325 -1.104  0.241 -1.188  0.144 -1.240  0.025 -1.240  -0.094 -1.240  -0.213 -1.240  -0.332 -1.240  -0.451 -1.240  -0.522 -1.193  -0.546 -1.097  -0.665 -1.097
3#apa#apa03#app0335/m  -1.224 0.159  -1.224 -0.036  -1.222 -0.231  -1.095 -0.373  -1.095 -0.569  -1.095 -0.764  -1.095 -0.959  -0.966 -1.025  -0.966 -1.047  -0.949 -0.858  -0.837 -0.710  -0.764 -0.544  -0.707 -0.373  -0.707 -0.177  -0.624 -0.016  -0.578 0.160  -0.449 0.302  -0.449 0.497  -0.433 0.676  -0.319 0.594  -0.319 0.399  -0.282 0.213  -0.194 0.038  -0.190 -0.156  -0.190 -0.352  -0.061 -0.418  -0.061 -0.613  0.113 -0.572  0.198 -0.412  0.298 -0.258  0.327 -0.075  0.391 0.094  0.502 0.251  0.586 0.427  0.586 0.622  0.597 0.806  0.715 0.884  0.730 1.064  0.844 1.145  0.857 1.052  0.974 0.905  1.041 0.738  1.103 0.568  1.103 0.373  1.103 0.177  1.103 -0.018  1.103 -0.213  1.232 -0.279  1.232 -0.475  1.361 -0.617
3#apa#apa03#app0335/a  0.372 1.047  0.372 1.232  0.372 1.416  0.250 1.479  0.092 1.415  -0.038 1.284  -0.214 1.263  -0.275 1.140  -0.340 0.982  -0.471 0.852  -0.561 0.692  -0.644 0.527  -0.737 0.370  -0.868 0.239  -0.923 0.077  -0.923 -0.107  -0.923 -0.292  -0.923 -0.476  -0.923 -0.661  -0.923 -0.846  -0.923 -1.030  -0.821 -1.112  -0.636 -1.112  -0.451 -1.112  -0.267 -1.112  -0.082 -1.112  -0.059 -0.950  0.071 -0.896  0.156 -0.797  0.224 -0.680  0.372 -0.644  0.372 -0.459  0.372 -0.274  0.485 -0.136  0.588 0.005  0.588 0.190  0.588 0.375  0.588 0.559  0.588 0.744  0.588 0.734  0.588 0.549  0.588 0.365  0.588 0.180  0.588 -0.004  0.588 -0.189  0.588 -0.374  0.588 -0.558  0.588 -0.743  0.588 -0.928  0.588 -1.112
3#apa#apa03#app0335/l  0.119 1.663  0.119 1.593  0.119 1.524  0.119 1.454  0.112 1.387  0.063 1.337  0.013 1.288  -0.015 1.230  -0.015 1.160  -0.015 1.090  -0.015 1.020  -0.015 0.950  -0.015 0.880  -0.015 0.810  -0.015 0.740  -0.015 0.671  -0.015 0.601  -0.015 0.531  -0.015 0.461  -0.015 0.391  -0.015 0.321  -0.015 0.251  -0.015 0.181  -0.015 0.111  -0.015 0.041  -0.015 -0.029  -0.015 -0.098  -0.015 -0.168  -0.015 -0.238  -0.015 -0.308  -0.015 -0.378  -0.015 -0.448  -0.015 -0.518  -0.015 -0.588  -0.015 -0.658  -0.015 -0.728  -0.015 -0.798  -0.015 -0.867  -0.015 -0.937  -0.015 -1.007  -0.015 -1.077  -0.015 -1.147  -0.015 -1.217  -0.015 -1.287  -0.015 -1.357  -0.015 -1.427  -0.015 -1.497  -0.015 -1.567  -0.015 -1.636  -0.015 -1.706
3#apa#apa03#app0335/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa03#app0335/,  -0.301 0.980  -0.301 1.062  -0.301 1.145  -0.301 1.227  -0.301 1.309  -0.301 1.392  -0.301 1.445  -0.301 1.363  -0.301 1.280  -0.301 1.198  -0.301 1.116  -0.301 1.033  -0.301 0.951  -0.301 0.869  -0.301 0.786  -0.301 0.704  -0.301 0.622  -0.301 0.539  -0.270 0.470  -0.211 0.412  -0.153 0.353  -0.095 0.295  -0.037 0.237  0.021 0.179  0.080 0.121  0.138 0.062  0.179 -0.003  0.179 -0.085  0.179 -0.168  0.179 -0.250  0.179 -0.332  0.179 -0.415  0.179 -0.497  0.179 -0.579  0.179 -0.662  0.179 -0.744  0.179 -0.826  0.179 -0.909  0.179 -0.991  0.179 -1.073  0.179 -1.156  0.179 -1.238  0.179 -1.320  0.179 -1.403  0.247 -1.417  0.329 -1.417  0.411 -1.417  0.494 -1.417  0.576 -1.417  0.658 -1.417
3#apa#apa03#app0335/g  0.238 0.748  0.238 0.890  0.143 0.937  0.039 1.028  -0.102 1.028  -0.239 1.018  -0.346 0.935  -0.488 0.935  -0.594 0.850  -0.694 0.750  -0.696 0.609  -0.696 0.468  -0.696 0.326  -0.693 0.187  -0.603 0.137  -0.504 0.094  -0.368 0.118  -0.241 0.181  -0.139 0.277  -0.042 0.379  -0.005 0.505  0.051 0.623  0.129 0.732  0.145 0.868  0.145 1.009  0.238 1.000  0.238 0.858  0.238 0.717  0.238 0.575  0.238 0.434  0.238 0.292  0.255 0.154  0.318 0.028  0.332 -0.110  0.332 -0.252  0.332 -0.393  0.332 -0.535  0.332 -0.676  0.332 -0.818  0.332 -0.959  0.332 -1.101  0.332 -1.243  0.332 -1.384  0.244 -1.489  0.238 -1.628  0.238 -1.770  0.145 -1.818  0.054 -1.869  -0.087 -1.869  -0.135 -1.775
3#apa#apa03#app0335/r  -0.496 0.973  -0.496 0.834  -0.433 0.721  -0.334 0.622  -0.307 0.494  -0.307 0.355  -0.307 0.216  -0.307 0.077  -0.243 -0.036  -0.145 -0.134  -0.118 -0.262  -0.118 -0.402  -0.118 -0.541  -0.118 -0.680  -0.118 -0.819  -0.118 -0.958  -0.118 -1.098  -0.118 -1.237  -0.118 -1.376  -0.118 -1.515  -0.118 -1.654  -0.118 -1.555  -0.118 -1.416  -0.118 -1.277  -0.118 -1.137  -0.118 -0.998  -0.118 -0.859  -0.118 -0.720  -0.118 -0.581  -0.118 -0.442  -0.118 -0.302  -0.118 -0.163  -0.118 -0.024  -0.118 0.115  -0.118 0.254  -0.118 0.394  -0.118 0.533  -0.063 0.649  0.036 0.748  0.134 0.846  0.232 0.945  0.261 1.072  0.310 1.162  0.449 1.162  0.548 1.260  0.649 1.351  0.788 1.351  0.928 1.351  1.067 1.351  1.206 1.351
3#apa#apa03#app0335/e  -0.050 -0.389  -0.050 -0.552  0.058 -0.606  0.221 -0.606  0.383 -0.606  0.385 -0.445  0.491 -0.389  0.602 -0.337  0.602 -0.175  0.762 -0.172  0.820 -0.067  0.820 0.096  0.820 0.258  0.820 0.421  0.820 0.584  0.820 0.746  0.820 0.909  0.664 0.916  0.602 1.017  0.556 1.133  0.393 1.133  0.231 1.133  0.068 1.133  -0.095 1.133  -0.257 1.133  -0.420 1.133  -0.554 1.064  -0.669 0.949  -0.702 0.800  -0.745 0.655  -0.860 0.540  -0.920 0.402  -0.920 0.239  -0.920 0.077  -0.920 -0.086  -0.920 -0.249  -0.904 -0.405  -0.789 -0.520  -0.662 -0.606  -0.499 -0.606  -0.485 -0.755  -0.391 -0.824  -0.240 -0.851  -0.125 -0.966  -0.050 -1.098  -0.048 -1.259  0.114 -1.259  0.277 -1.259  0.440 -1.259  0.602 -1.259
3#apa#apa03#app0335/e  -0.540 -0.068  -0.384 -0.068  -0.229 -0.068  -0.073 -0.068  0.011 0.003  0.054 0.115  0.210 0.115  0.366 0.115  0.480 0.216  0.563 0.337  0.573 0.483  0.728 0.483  0.747 0.620  0.747 0.776  0.747 0.931  0.747 1.087  0.722 1.218  0.567 1.218  0.411 1.218  0.256 1.218  0.128 1.151  0.018 1.041  -0.135 1.035  -0.172 0.916  -0.263 0.851  -0.356 0.789  -0.380 0.643  -0.490 0.533  -0.600 0.423  -0.710 0.313  -0.724 0.163  -0.724 0.007  -0.724 -0.149  -0.724 -0.304  -0.724 -0.460  -0.724 -0.615  -0.724 -0.771  -0.637 -0.891  -0.521 -0.988  -0.366 -0.988  -0.210 -0.988  -0.172 -1.105  -0.083 -1.171  0.055 -1.215  0.165 -1.325  0.308 -1.355  0.464 -1.355  0.619 -1.355  0.775 -1.355  0.931 -1.355
3#apa#apa03#app0335/n  -1.147 0.763  -1.147 0.618  -1.147 0.474  -1.147 0.329  -1.058 0.221  -0.996 0.102  -0.996 -0.043  -0.996 -0.187  -0.996 -0.332  -0.996 -0.477  -0.977 -0.614  -0.875 -0.716  -0.845 -0.848  -0.845 -0.993  -0.756 -1.048  -0.635 -0.989  -0.543 -0.883  -0.537 -0.741  -0.435 -0.638  -0.333 -0.536  -0.241 -0.429  -0.235 -0.287  -0.133 -0.185  -0.090 -0.058  -0.012 0.008  0.061 0.081  0.107 0.206  0.210 0.308  0.312 0.411  0.363 0.534  0.363 0.679  0.405 0.806  0.508 0.908  0.650 0.914  0.664 1.044  0.664 0.941  0.748 0.830  0.815 0.714  0.815 0.569  0.815 0.424  0.846 0.310  0.966 0.286  0.966 0.141  0.974 0.000  1.077 -0.102  1.117 -0.230  1.117 -0.375  1.117 -0.519  1.166 -0.644  1.268 -0.746
