3#apa#apa04#app0405/[  1.201 0.867  1.283 0.785  1.201 0.755  1.144 0.695  1.027 0.695  0.911 0.695  0.857 0.758  0.764 0.781  0.647 0.781  0.531 0.781  0.443 0.852  0.333 0.867  0.221 0.885  0.116 0.937  0.004 0.953  -0.113 0.953  -0.229 0.953  -0.344 0.951  -0.344 0.835  -0.344 0.718  -0.344 0.601  -0.344 0.485  -0.393 0.389  -0.430 0.287  -0.440 0.181  -0.516 0.140  -0.516 0.024  -0.561 -0.082  -0.602 -0.189  -0.602 -0.306  -0.664 -0.397  -0.687 -0.503  -0.687 -0.620  -0.687 -0.736  -0.687 -0.853  -0.687 -0.969  -0.687 -1.086  -0.591 -1.107  -0.475 -1.107  -0.430 -1.035  -0.328 -1.021  -0.211 -1.021  -0.095 -1.021  -0.010 -0.944  0.103 -0.935  0.220 -0.935  0.336 -0.935  0.453 -0.935  0.569 -0.935  0.686 -0.935
3#apa#apa04#app0405/(  1.016 1.244  0.935 1.244  0.855 1.244  0.783 1.222  0.725 1.165  0.656 1.138  0.575 1.138  0.494 1.138  0.435 1.086  0.377 1.029  0.320 0.972  0.263 0.914  0.206 0.857  0.148 0.800  0.091 0.743  0.034 0.685  -0.023 0.628  -0.081 0.571  -0.138 0.514  -0.195 0.457  -0.252 0.399  -0.254 0.319  -0.254 0.238  -0.274 0.166  -0.331 0.108  -0.389 0.051  -0.446 -0.006  -0.466 -0.079  -0.466 -0.160  -0.466 -0.240  -0.466 -0.321  -0.466 -0.402  -0.466 -0.483  -0.466 -0.564  -0.466 -0.645  -0.421 -0.707  -0.363 -0.764  -0.326 -0.836  -0.290 -0.908  -0.253 -0.980  -0.196 -1.038  -0.148 -1.099  -0.148 -1.180  -0.099 -1.240  -0.042 -1.298  0.015 -1.355  0.076 -1.403  0.157 -1.403  0.218 -1.452  0.275 -1.509
3#apa#apa04#app0405/6  0.374 1.714  0.224 1.714  0.115 1.614  0.009 1.508  -0.097 1.402  -0.203 1.296  -0.309 1.190  -0.415 1.084  -0.421 0.936  -0.515 0.825  -0.580 0.702  -0.580 0.552  -0.608 0.413  -0.714 0.307  -0.739 0.168  -0.739 0.018  -0.739 -0.132  -0.739 -0.282  -0.739 -0.432  -0.691 -0.562  -0.584 -0.668  -0.478 -0.774  -0.372 -0.880  -0.266 -0.987  -0.118 -0.991  0.032 -0.991  0.182 -0.991  0.332 -0.991  0.482 -0.991  0.603 -0.921  0.716 -0.831  0.862 -0.821  0.968 -0.715  1.074 -0.609  1.170 -0.498  1.165 -0.350  1.059 -0.244  0.953 -0.138  0.845 -0.036  0.695 -0.036  0.545 -0.036  0.395 -0.036  0.245 -0.036  0.095 -0.036  -0.055 -0.036  -0.205 -0.036  -0.355 -0.036  -0.505 -0.036  -0.633 -0.089  -0.739 -0.195
3#apa#apa04#app0405/)  -1.015 1.152  -0.930 1.152  -0.862 1.113  -0.803 1.053  -0.725 1.039  -0.641 1.039  -0.557 1.039  -0.472 1.039  -0.388 1.039  -0.313 1.016  -0.254 0.957  -0.183 0.925  -0.100 0.921  -0.025 0.883  0.051 0.845  0.124 0.805  0.184 0.746  0.243 0.686  0.302 0.627  0.355 0.562  0.393 0.487  0.430 0.412  0.456 0.334  0.456 0.250  0.456 0.165  0.456 0.081  0.456 -0.003  0.456 -0.087  0.456 -0.171  0.421 -0.241  0.362 -0.300  0.343 -0.377  0.343 -0.461  0.343 -0.545  0.306 -0.620  0.268 -0.695  0.231 -0.771  0.230 -0.855  0.192 -0.923  0.132 -0.983  0.073 -1.042  0.013 -1.102  0.004 -1.182  -0.026 -1.254  -0.085 -1.313  -0.145 -1.373  -0.204 -1.432  -0.223 -1.509  -0.252 -1.564  -0.336 -1.564
3#apa#apa04#app0405/(  0.577 1.389  0.656 1.389  0.625 1.389  0.555 1.367  0.499 1.311  0.431 1.285  0.369 1.268  0.369 1.188  0.369 1.109  0.336 1.044  0.280 0.988  0.224 0.932  0.168 0.876  0.112 0.820  0.057 0.764  0.021 0.693  -0.014 0.622  -0.052 0.553  -0.108 0.497  -0.149 0.435  -0.149 0.356  -0.149 0.277  -0.185 0.213  -0.241 0.157  -0.252 0.082  -0.252 0.003  -0.259 -0.075  -0.294 -0.145  -0.329 -0.216  -0.356 -0.289  -0.356 -0.368  -0.356 -0.447  -0.356 -0.526  -0.356 -0.606  -0.356 -0.685  -0.356 -0.764  -0.356 -0.843  -0.341 -0.919  -0.306 -0.989  -0.270 -1.060  -0.225 -1.124  -0.169 -1.180  -0.113 -1.236  -0.057 -1.292  0.017 -1.304  0.085 -1.330  0.141 -1.386  0.211 -1.408  0.290 -1.408  0.369 -1.408
3#apa#apa04#app0405/7  -1.320 0.696  -1.216 0.696  -1.197 0.780  -1.132 0.819  -1.028 0.819  -0.924 0.819  -0.820 0.819  -0.716 0.819  -0.612 0.819  -0.508 0.819  -0.404 0.819  -0.300 0.819  -0.196 0.819  -0.093 0.819  -0.018 0.748  0.064 0.696  0.167 0.691  0.260 0.644  0.353 0.598  0.451 0.573  0.555 0.573  0.649 0.563  0.649 0.459  0.743 0.450  0.772 0.375  0.772 0.271  0.746 0.177  0.673 0.104  0.618 0.017  0.571 -0.076  0.526 -0.169  0.526 -0.273  0.438 -0.289  0.372 -0.350  0.326 -0.443  0.280 -0.536  0.280 -0.640  0.219 -0.719  0.141 -0.781  0.037 -0.781  0.034 -0.882  -0.024 -0.962  -0.089 -1.038  -0.089 -1.142  -0.089 -1.246  -0.089 -1.350  -0.089 -1.454  -0.089 -1.558  -0.089 -1.662  -0.089 -1.766
3#apa#apa04#app0405/)  -0.709 1.391  -0.631 1.391  -0.552 1.391  -0.512 1.352  -0.493 1.292  -0.415 1.292  -0.413 1.215  -0.373 1.153  -0.317 1.097  -0.314 1.020  -0.260 0.995  -0.200 0.965  -0.165 0.894  -0.130 0.824  -0.082 0.763  -0.026 0.707  0.004 0.635  0.029 0.561  0.053 0.486  0.078 0.411  0.130 0.353  0.184 0.296  0.219 0.226  0.254 0.155  0.279 0.083  0.280 0.004  0.316 -0.066  0.351 -0.137  0.378 -0.209  0.378 -0.288  0.378 -0.366  0.378 -0.445  0.378 -0.524  0.378 -0.602  0.378 -0.681  0.378 -0.760  0.340 -0.823  0.284 -0.878  0.228 -0.934  0.180 -0.993  0.180 -1.072  0.131 -1.130  0.076 -1.186  0.020 -1.241  -0.036 -1.297  -0.091 -1.353  -0.147 -1.408  -0.203 -1.464  -0.258 -1.520  -0.314 -1.575
3#apa#apa04#app0405/(  0.623 1.432  0.623 1.352  0.566 1.328  0.495 1.304  0.438 1.247  0.367 1.224  0.293 1.207  0.236 1.150  0.168 1.119  0.091 1.110  0.034 1.052  -0.003 0.987  -0.003 0.907  -0.003 0.826  -0.065 0.806  -0.124 0.773  -0.161 0.700  -0.197 0.628  -0.212 0.551  -0.212 0.470  -0.212 0.390  -0.231 0.311  -0.251 0.233  -0.271 0.155  -0.290 0.076  -0.310 -0.002  -0.316 -0.082  -0.316 -0.162  -0.316 -0.243  -0.316 -0.324  -0.316 -0.405  -0.316 -0.485  -0.305 -0.561  -0.248 -0.618  -0.212 -0.684  -0.212 -0.765  -0.212 -0.846  -0.167 -0.908  -0.110 -0.965  -0.108 -1.045  -0.070 -1.110  -0.012 -1.167  0.045 -1.224  0.102 -1.281  0.159 -1.338  0.220 -1.385  0.301 -1.385  0.374 -1.417  0.446 -1.453  0.518 -1.489
3#apa#apa04#app0405/8  0.069 0.986  -0.144 0.986  -0.305 0.861  -0.492 0.799  -0.554 0.612  -0.554 0.400  -0.518 0.202  -0.342 0.114  -0.129 0.114  0.069 0.128  0.171 0.238  0.318 0.378  0.390 0.560  0.442 0.751  0.442 0.964  0.318 1.125  0.318 1.338  0.127 1.360  -0.085 1.360  -0.298 1.360  -0.487 1.302  -0.520 1.123  -0.457 0.920  -0.395 0.716  -0.332 0.513  -0.270 0.310  -0.207 0.107  -0.145 -0.096  -0.082 -0.300  -0.180 -0.385  -0.305 -0.545  -0.393 -0.721  -0.430 -0.919  -0.430 -1.131  -0.343 -1.257  -0.305 -1.432  -0.166 -1.506  0.046 -1.506  0.259 -1.506  0.471 -1.506  0.650 -1.423  0.800 -1.273  0.816 -1.067  0.803 -0.857  0.708 -0.667  0.613 -0.477  0.567 -0.275  0.369 -0.260  0.157 -0.260  -0.056 -0.260
3#apa#apa04#app0405/)  -0.267 0.880  -0.267 0.966  -0.324 0.995  -0.381 1.023  -0.381 1.109  -0.381 1.195  -0.381 1.281  -0.353 1.338  -0.267 1.338  -0.267 1.252  -0.226 1.183  -0.166 1.123  -0.152 1.042  -0.125 0.968  -0.065 0.907  -0.016 0.837  0.022 0.761  0.060 0.684  0.077 0.602  0.088 0.520  0.136 0.448  0.183 0.377  0.231 0.305  0.279 0.234  0.305 0.156  0.305 0.071  0.305 -0.015  0.305 -0.101  0.305 -0.187  0.305 -0.273  0.305 -0.358  0.305 -0.444  0.305 -0.530  0.305 -0.616  0.305 -0.702  0.305 -0.787  0.305 -0.873  0.300 -0.957  0.239 -1.017  0.178 -1.078  0.118 -1.139  0.057 -1.199  -0.004 -1.260  -0.064 -1.321  -0.125 -1.381  -0.200 -1.408  -0.280 -1.422  -0.341 -1.482  -0.410 -1.523  -0.496 -1.523
3#apa#apa04#app0405/(  0.761 1.404  0.682 1.404  0.668 1.340  0.618 1.312  0.550 1.286  0.494 1.230  0.438 1.175  0.383 1.119  0.327 1.063  0.265 1.017  0.194 0.982  0.124 0.947  0.111 0.876  0.111 0.797  0.079 0.739  0.008 0.703  -0.062 0.668  -0.103 0.604  -0.138 0.534  -0.174 0.463  -0.209 0.393  -0.244 0.322  -0.260 0.248  -0.260 0.169  -0.266 0.092  -0.302 0.021  -0.337 -0.049  -0.352 -0.124  -0.352 -0.203  -0.352 -0.281  -0.352 -0.360  -0.352 -0.439  -0.352 -0.517  -0.352 -0.596  -0.352 -0.675  -0.352 -0.753  -0.348 -0.831  -0.313 -0.901  -0.278 -0.972  -0.233 -1.035  -0.177 -1.091  -0.121 -1.146  -0.066 -1.202  -0.010 -1.257  0.046 -1.313  0.101 -1.369  0.169 -1.408  0.239 -1.443  0.311 -1.472  0.390 -1.472
