3#apa#apa04#app0412/2  -0.518 0.867  -0.518 0.984  -0.450 1.074  -0.361 1.144  -0.244 1.144  -0.126 1.144  -0.018 1.186  0.087 1.239  0.194 1.282  0.312 1.282  0.429 1.282  0.451 1.187  0.451 1.069  0.413 0.967  0.330 0.884  0.271 0.783  0.218 0.678  0.161 0.576  0.078 0.493  -0.006 0.410  -0.089 0.327  -0.103 0.215  -0.157 0.120  -0.240 0.037  -0.324 -0.047  -0.380 -0.141  -0.392 -0.253  -0.475 -0.337  -0.575 -0.380  -0.657 -0.416  -0.657 -0.533  -0.657 -0.651  -0.657 -0.768  -0.593 -0.860  -0.506 -0.934  -0.388 -0.934  -0.271 -0.934  -0.179 -0.996  -0.093 -1.072  0.025 -1.072  0.142 -1.072  0.260 -1.072  0.378 -1.072  0.482 -1.041  0.566 -0.958  0.673 -0.934  0.791 -0.934  0.909 -0.934  1.005 -0.955  1.005 -1.072
3#apa#apa04#app0412/^  -1.470 -1.359  -1.325 -1.359  -1.181 -1.359  -1.037 -1.359  -1.023 -1.228  -1.023 -1.084  -1.023 -0.940  -0.940 -0.830  -0.838 -0.728  -0.736 -0.626  -0.634 -0.523  -0.576 -0.403  -0.576 -0.259  -0.576 -0.115  -0.528 -0.019  -0.383 -0.019  -0.239 -0.019  -0.129 0.016  -0.129 0.160  -0.129 0.305  -0.108 0.428  0.036 0.428  0.180 0.428  0.323 0.433  0.425 0.535  0.527 0.637  0.629 0.739  0.731 0.841  0.765 0.972  0.765 1.116  0.765 1.260  0.765 1.239  0.765 1.095  0.765 0.950  0.765 0.806  0.765 0.662  0.765 0.517  0.709 0.428  0.565 0.428  0.421 0.428  0.318 0.387  0.318 0.242  0.318 0.098  0.318 -0.046  0.318 -0.191  0.318 -0.335  0.318 -0.479  0.318 -0.624  0.318 -0.768  0.318 -0.912
3#apa#apa04#app0412/0  -0.238 0.737  -0.355 0.709  -0.410 0.620  -0.472 0.536  -0.522 0.403  -0.586 0.274  -0.651 0.144  -0.722 0.019  -0.823 -0.084  -0.836 -0.226  -0.901 -0.355  -0.940 -0.491  -0.940 -0.636  -0.940 -0.781  -0.940 -0.926  -0.904 -1.055  -0.793 -1.136  -0.648 -1.136  -0.503 -1.136  -0.370 -1.086  -0.241 -1.021  -0.099 -1.008  0.031 -0.944  0.150 -0.865  0.253 -0.763  0.355 -0.660  0.458 -0.558  0.585 -0.491  0.712 -0.421  0.814 -0.319  0.916 -0.216  0.987 -0.091  1.050 0.039  1.050 0.184  1.050 0.329  1.050 0.473  1.050 0.618  0.949 0.721  0.846 0.824  0.816 0.956  0.686 0.971  0.541 0.971  0.397 0.971  0.252 0.971  0.107 0.971  -0.028 0.947  -0.134 0.854  -0.267 0.825  -0.369 0.722  -0.472 0.620
3#apa#apa04#app0412/=  -1.170 1.253  -1.170 1.085  -1.058 1.030  -0.908 0.990  -0.789 0.871  -0.648 0.807  -0.481 0.807  -0.314 0.807  -0.161 0.748  -0.011 0.673  0.139 0.598  0.303 0.585  0.470 0.585  0.638 0.585  0.805 0.585  0.972 0.585  1.140 0.585  1.253 0.572  1.103 0.497  0.954 0.422  0.804 0.347  0.654 0.273  0.505 0.198  0.355 0.123  0.205 0.048  0.056 -0.027  -0.094 -0.102  -0.244 -0.176  -0.393 -0.251  -0.543 -0.326  -0.693 -0.401  -0.842 -0.476  -0.948 -0.578  -0.948 -0.745  -0.948 -0.912  -0.842 -0.974  -0.725 -0.923  -0.725 -0.755  -0.562 -0.751  -0.395 -0.751  -0.227 -0.751  -0.060 -0.751  0.107 -0.751  0.275 -0.751  0.442 -0.751  0.609 -0.751  0.776 -0.751  0.944 -0.751  1.111 -0.751  1.278 -0.751
3#apa#apa04#app0412/1  1.172 1.096  1.172 1.020  1.172 0.944  1.109 0.931  1.033 0.931  0.958 0.931  0.882 0.931  0.842 0.895  0.842 0.819  0.826 0.750  0.772 0.696  0.719 0.642  0.662 0.593  0.594 0.559  0.526 0.526  0.458 0.492  0.390 0.458  0.328 0.416  0.274 0.363  0.220 0.309  0.160 0.272  0.084 0.272  0.011 0.265  -0.043 0.211  -0.096 0.157  -0.147 0.102  -0.147 0.027  -0.147 -0.049  -0.194 -0.106  -0.248 -0.159  -0.301 -0.213  -0.355 -0.266  -0.409 -0.320  -0.462 -0.374  -0.516 -0.427  -0.570 -0.481  -0.623 -0.535  -0.641 -0.603  -0.641 -0.679  -0.668 -0.744  -0.721 -0.798  -0.775 -0.851  -0.829 -0.905  -0.882 -0.958  -0.936 -1.012  -0.971 -1.073  -0.971 -1.149  -0.971 -1.225  -0.971 -1.301  -0.971 -1.377
3#apa#apa04#app0412/0  -0.390 1.041  -0.390 0.891  -0.415 0.766  -0.554 0.740  -0.660 0.634  -0.765 0.528  -0.900 0.492  -0.939 0.381  -1.026 0.267  -1.076 0.139  -1.076 -0.011  -1.076 -0.161  -1.076 -0.310  -1.076 -0.460  -1.073 -0.608  -0.939 -0.675  -0.806 -0.742  -0.699 -0.846  -0.564 -0.881  -0.414 -0.881  -0.264 -0.881  -0.115 -0.880  0.019 -0.813  0.153 -0.746  0.302 -0.743  0.452 -0.743  0.598 -0.730  0.732 -0.663  0.861 -0.590  0.967 -0.484  1.111 -0.469  1.122 -0.329  1.228 -0.223  1.257 -0.086  1.257 0.064  1.257 0.214  1.153 0.321  1.047 0.426  0.925 0.492  0.845 0.561  0.763 0.629  0.613 0.629  0.463 0.629  0.314 0.629  0.164 0.629  0.014 0.629  -0.135 0.629  -0.276 0.606  -0.381 0.500  -0.527 0.492
3#apa#apa04#app0412/^  -1.516 -1.052  -1.516 -0.916  -1.516 -0.780  -1.385 -0.775  -1.249 -0.775  -1.240 -0.649  -1.240 -0.514  -1.118 -0.499  -0.983 -0.499  -0.963 -0.383  -0.963 -0.247  -0.852 -0.223  -0.716 -0.223  -0.612 -0.147  -0.516 -0.051  -0.420 0.045  -0.288 0.053  -0.152 0.053  -0.051 0.137  0.045 0.233  0.141 0.329  0.237 0.425  0.333 0.521  0.418 0.621  0.418 0.757  0.429 0.882  0.564 0.882  0.694 0.888  0.694 1.024  0.694 1.158  0.694 1.022  0.694 0.886  0.601 0.789  0.505 0.693  0.418 0.593  0.418 0.458  0.418 0.322  0.418 0.186  0.421 0.053  0.557 0.053  0.692 0.053  0.694 -0.080  0.694 -0.216  0.694 -0.352  0.694 -0.487  0.694 -0.623  0.694 -0.759  0.779 -0.860  0.875 -0.956  0.971 -1.052
3#apa#apa04#app0412/0  -0.189 0.699  -0.332 0.699  -0.475 0.699  -0.576 0.598  -0.701 0.555  -0.763 0.474  -0.820 0.354  -0.921 0.253  -1.023 0.152  -1.051 0.020  -1.051 -0.123  -1.051 -0.266  -1.051 -0.409  -0.979 -0.522  -0.878 -0.624  -0.777 -0.725  -0.676 -0.826  -0.556 -0.882  -0.413 -0.882  -0.269 -0.882  -0.126 -0.882  0.017 -0.882  0.160 -0.882  0.303 -0.882  0.446 -0.882  0.589 -0.882  0.715 -0.840  0.816 -0.739  0.959 -0.738  0.961 -0.597  1.060 -0.495  1.105 -0.371  1.105 -0.227  1.105 -0.084  1.049 0.036  0.961 0.142  0.948 0.280  0.847 0.381  0.746 0.483  0.645 0.584  0.544 0.685  0.442 0.786  0.341 0.887  0.239 0.986  0.096 0.986  -0.047 0.986  -0.190 0.986  -0.333 0.986  -0.476 0.985  -0.476 0.842
3#apa#apa04#app0412/=  -1.323 0.669  -1.149 0.669  -0.975 0.669  -0.915 0.784  -0.830 0.873  -0.712 0.817  -0.685 0.669  -0.511 0.669  -0.337 0.669  -0.163 0.669  0.012 0.669  0.186 0.669  0.360 0.669  0.534 0.669  0.708 0.669  0.883 0.669  1.016 0.571  1.147 0.466  1.321 0.466  1.166 0.412  1.000 0.357  0.835 0.302  0.670 0.247  0.505 0.192  0.339 0.137  0.174 0.082  0.009 0.026  -0.156 -0.029  -0.322 -0.084  -0.487 -0.139  -0.652 -0.194  -0.818 -0.249  -0.983 -0.304  -1.119 -0.380  -1.119 -0.554  -0.995 -0.677  -0.854 -0.757  -0.680 -0.757  -0.506 -0.757  -0.332 -0.757  -0.157 -0.757  0.017 -0.757  0.191 -0.757  0.348 -0.798  0.471 -0.921  0.629 -0.961  0.803 -0.961  0.978 -0.961  1.152 -0.961  1.326 -0.961
3#apa#apa04#app0412/x  -1.100 1.073  -1.156 0.935  -1.158 0.855  -1.100 0.684  -0.940 0.637  -0.793 0.520  -0.646 0.443  -0.559 0.269  -0.429 0.126  -0.270 0.078  -0.210 -0.092  -0.048 -0.171  0.105 -0.270  0.243 -0.408  0.283 -0.585  0.461 -0.626  0.616 -0.724  0.697 -0.837  0.835 -0.893  0.923 -1.000  0.956 -0.856  0.931 -0.663  0.907 -0.470  0.883 -0.277  0.859 -0.083  0.835 0.110  0.811 0.303  0.787 0.496  0.762 0.690  0.738 0.883  0.714 1.076  0.697 1.153  0.697 0.958  0.576 0.814  0.526 0.659  0.358 0.596  0.283 0.432  0.153 0.317  0.006 0.213  -0.072 0.067  -0.246 -0.020  -0.389 -0.151  -0.527 -0.289  -0.664 -0.426  -0.802 -0.564  -0.940 -0.702  -1.077 -0.840  -1.100 -1.025  -1.181 -1.138  -1.238 -1.276
3#apa#apa04#app0412/^  -1.376 -0.903  -1.376 -0.768  -1.376 -0.633  -1.376 -0.498  -1.376 -0.362  -1.280 -0.323  -1.145 -0.323  -1.010 -0.323  -0.875 -0.323  -0.796 -0.267  -0.796 -0.132  -0.760 -0.033  -0.625 -0.033  -0.506 -0.017  -0.506 0.118  -0.506 0.253  -0.375 0.257  -0.240 0.257  -0.216 0.369  -0.216 0.504  -0.151 0.612  -0.056 0.707  0.040 0.803  0.074 0.924  0.074 1.059  0.074 1.059  0.074 0.924  0.074 0.789  0.074 0.654  0.101 0.547  0.237 0.547  0.363 0.538  0.363 0.403  0.363 0.268  0.487 0.257  0.622 0.257  0.653 0.153  0.653 0.018  0.713 -0.092  0.808 -0.188  0.904 -0.283  0.943 -0.402  0.943 -0.537  1.002 -0.613  1.137 -0.613  1.233 -0.652  1.233 -0.787  1.233 -0.922  1.233 -1.057  1.233 -1.192
