3#apa#apa09#app0979/!  0.293 1.233  0.260 1.299  0.227 1.364  0.194 1.430  0.161 1.490  0.128 1.424  0.096 1.358  0.063 1.293  0.033 1.226  0.033 1.153  0.033 1.080  0.033 1.006  0.033 0.933  0.033 0.859  0.033 0.786  0.033 0.713  0.033 0.639  0.033 0.566  0.033 0.492  0.033 0.419  0.033 0.345  0.033 0.272  0.033 0.199  0.033 0.125  0.033 0.052  0.033 -0.022  0.033 -0.095  0.033 -0.168  0.012 -0.237  -0.021 -0.302  -0.054 -0.368  -0.087 -0.434  -0.097 -0.505  -0.097 -0.578  -0.097 -0.652  -0.097 -0.725  -0.097 -0.798  -0.097 -0.872  -0.097 -0.945  -0.097 -1.019  -0.097 -1.092  -0.097 -1.165  -0.097 -1.239  -0.097 -1.312  -0.097 -1.386  -0.097 -1.459  -0.097 -1.532  -0.097 -1.606  -0.153 -1.623  -0.227 -1.623
3#apa#apa09#app0979/@  0.646 0.636  0.806 0.811  0.543 0.811  0.281 0.804  0.046 0.686  -0.139 0.511  -0.285 0.292  -0.420 0.067  -0.503 -0.182  -0.582 -0.433  -0.535 -0.685  -0.417 -0.921  -0.174 -0.885  0.081 -0.821  0.326 -0.737  0.489 -0.537  0.572 -0.287  0.646 -0.036  0.646 0.228  0.501 0.140  0.471 -0.111  0.471 -0.375  0.517 -0.592  0.766 -0.532  0.999 -0.412  1.117 -0.176  1.173 0.074  1.173 0.337  1.173 0.601  0.961 0.721  0.716 0.818  0.472 0.916  0.222 0.987  -0.042 0.987  -0.305 0.987  -0.551 0.914  -0.787 0.796  -1.022 0.679  -1.183 0.486  -1.301 0.250  -1.418 0.015  -1.459 -0.239  -1.390 -0.468  -1.179 -0.626  -0.968 -0.784  -0.758 -0.942  -0.495 -0.943  -0.231 -0.943  0.032 -0.943  0.295 -0.943
3#apa#apa09#app0979/#  0.441 1.390  0.264 1.524  0.192 1.137  0.083 0.755  -0.026 0.373  -0.090 -0.015  -0.090 -0.412  -0.124 -0.801  -0.291 -1.160  -0.417 -1.537  -0.330 -1.326  -0.186 -0.956  -0.042 -0.586  0.102 -0.216  0.246 0.154  0.389 0.524  0.533 0.894  0.677 1.264  0.846 1.618  0.972 1.525  0.972 1.128  0.931 0.737  0.806 0.361  0.680 -0.016  0.555 -0.393  0.432 -0.770  0.336 -1.156  0.264 -1.544  0.098 -1.340  -0.106 -0.999  -0.311 -0.659  -0.515 -0.318  -0.719 0.022  -1.017 0.262  -0.904 0.329  -0.507 0.329  -0.114 0.367  0.271 0.463  0.663 0.506  0.546 0.415  0.173 0.279  -0.200 0.144  -0.573 0.008  -0.947 -0.128  -1.312 -0.282  -1.324 -0.379  -0.927 -0.379  -0.530 -0.379  -0.133 -0.379  0.264 -0.379
3#apa#apa09#app0979/$  0.775 0.602  0.547 0.602  0.320 0.602  0.092 0.602  -0.116 0.520  -0.242 0.370  -0.122 0.192  0.039 0.031  0.240 -0.075  0.436 -0.189  0.625 -0.315  0.775 -0.463  0.775 -0.690  0.721 -0.891  0.539 -1.028  0.357 -1.164  0.171 -1.281  -0.050 -1.225  -0.271 -1.170  -0.495 -1.141  -0.618 -0.971  -0.648 -0.762  -0.576 -0.546  -0.515 -0.328  -0.470 -0.104  -0.426 0.119  -0.381 0.342  -0.337 0.565  -0.292 0.788  -0.247 1.012  -0.203 1.235  -0.158 1.458  -0.113 1.681  -0.097 1.907  -0.097 1.684  -0.097 1.457  -0.097 1.229  -0.077 1.002  -0.051 0.776  -0.026 0.550  -0.001 0.324  0.024 0.097  0.049 -0.129  0.049 -0.356  0.049 -0.584  0.049 -0.812  0.049 -1.039  0.049 -1.267  0.049 -1.495  0.049 -1.722
3#apa#apa09#app0979/%  -0.376 1.116  -0.543 1.047  -0.656 0.877  -0.713 0.703  -0.622 0.521  -0.423 0.512  -0.227 0.562  -0.033 0.626  0.107 0.766  0.107 0.970  -0.021 1.116  -0.226 1.116  -0.326 1.137  -0.139 1.218  0.049 1.298  0.237 1.379  0.424 1.459  0.470 1.324  0.426 1.128  0.351 0.938  0.275 0.749  0.200 0.559  0.129 0.368  0.057 0.176  -0.015 -0.015  -0.086 -0.206  -0.164 -0.394  -0.256 -0.577  -0.369 -0.747  -0.482 -0.916  -0.553 -1.107  -0.617 -1.299  -0.544 -1.138  -0.365 -1.039  -0.187 -0.940  -0.008 -0.841  0.170 -0.742  0.348 -0.643  0.424 -0.621  0.279 -0.766  0.169 -0.935  0.107 -1.124  0.136 -1.300  0.328 -1.250  0.502 -1.147  0.647 -1.003  0.711 -0.825  0.637 -0.696  0.432 -0.696  0.228 -0.696
3#apa#apa09#app0979/^  -0.619 0.006  -0.699 0.086  -0.779 0.165  -0.858 0.245  -0.938 0.325  -0.997 0.275  -1.047 0.174  -1.097 0.073  -1.148 -0.028  -1.198 -0.128  -1.249 -0.229  -1.299 -0.330  -1.194 -0.335  -1.082 -0.335  -0.969 -0.335  -0.856 -0.335  -0.744 -0.335  -0.631 -0.335  -0.574 -0.245  -0.524 -0.144  -0.473 -0.043  -0.423 0.058  -0.372 0.158  -0.322 0.259  -0.265 0.354  -0.164 0.404  -0.064 0.454  0.037 0.505  0.138 0.555  0.239 0.606  0.339 0.656  0.433 0.660  0.512 0.580  0.592 0.500  0.672 0.421  0.749 0.339  0.800 0.239  0.850 0.138  0.900 0.037  0.951 -0.064  1.001 -0.165  1.052 -0.265  1.111 -0.360  1.191 -0.439  1.270 -0.519  1.350 -0.599  1.431 -0.676  1.543 -0.676  1.656 -0.676  1.769 -0.676
3#apa#apa09#app0979/&  0.270 -1.098  0.270 -1.009  0.310 -1.178  0.390 -1.337  0.299 -1.260  0.209 -1.109  0.129 -0.949  0.049 -0.790  -0.021 -0.626  -0.077 -0.457  -0.129 -0.288  -0.100 -0.112  -0.070 0.064  -0.041 0.240  -0.012 0.415  0.036 0.586  0.102 0.752  0.168 0.917  0.234 1.082  0.343 1.208  0.503 1.288  0.670 1.349  0.839 1.406  0.990 1.386  1.026 1.260  0.895 1.140  0.752 1.033  0.609 0.926  0.467 0.819  0.321 0.716  0.173 0.617  0.025 0.519  -0.124 0.420  -0.272 0.321  -0.417 0.218  -0.543 0.092  -0.669 -0.034  -0.795 -0.160  -0.921 -0.286  -1.047 -0.412  -1.065 -0.583  -1.065 -0.761  -0.956 -0.831  -0.778 -0.831  -0.600 -0.831  -0.421 -0.831  -0.244 -0.824  -0.075 -0.768  0.094 -0.711  0.270 -0.697
3#apa#apa09#app0979/*  -0.286 1.241  -0.267 0.999  -0.189 0.767  -0.112 0.534  -0.034 0.301  0.043 0.069  0.165 -0.137  0.338 -0.310  0.511 -0.483  0.642 -0.674  0.762 -0.799  0.844 -0.620  0.866 -0.376  0.888 -0.132  0.910 0.112  0.932 0.357  0.955 0.601  0.977 0.845  0.999 1.089  0.948 1.306  0.774 1.374  0.616 1.190  0.506 0.970  0.397 0.751  0.287 0.532  0.205 0.301  0.127 0.069  0.035 -0.158  -0.074 -0.377  -0.184 -0.596  -0.294 -0.816  -0.403 -1.035  -0.543 -1.110  -0.731 -0.953  -0.920 -0.796  -1.108 -0.639  -1.296 -0.482  -1.485 -0.325  -1.700 -0.243  -1.594 -0.243  -1.349 -0.243  -1.104 -0.243  -0.858 -0.243  -0.613 -0.243  -0.368 -0.243  -0.123 -0.243  0.122 -0.243  0.362 -0.212  0.595 -0.135  0.827 -0.057
3#apa#apa09#app0979/(  0.721 1.183  0.670 1.234  0.619 1.285  0.568 1.336  0.517 1.387  0.485 1.325  0.452 1.260  0.420 1.196  0.388 1.131  0.356 1.067  0.323 1.002  0.291 0.938  0.259 0.873  0.226 0.809  0.194 0.744  0.162 0.679  0.130 0.615  0.097 0.550  0.065 0.486  0.033 0.421  0.001 0.357  -0.032 0.292  -0.064 0.228  -0.096 0.163  -0.115 0.093  -0.132 0.023  -0.150 -0.047  -0.167 -0.117  -0.185 -0.187  -0.203 -0.257  -0.220 -0.327  -0.238 -0.397  -0.255 -0.467  -0.273 -0.537  -0.290 -0.607  -0.304 -0.677  -0.304 -0.749  -0.304 -0.822  -0.304 -0.894  -0.304 -0.966  -0.304 -1.038  -0.304 -1.110  -0.304 -1.183  -0.304 -1.255  -0.304 -1.327  -0.304 -1.399  -0.304 -1.471  -0.304 -1.543  -0.304 -1.616  -0.304 -1.688
3#apa#apa09#app0979/)  -0.101 1.485  -0.173 1.485  -0.245 1.485  -0.313 1.482  -0.286 1.416  -0.259 1.349  -0.233 1.283  -0.206 1.216  -0.180 1.150  -0.153 1.083  -0.126 1.017  -0.100 0.950  -0.073 0.884  -0.047 0.817  -0.020 0.751  0.007 0.684  0.033 0.618  0.060 0.551  0.086 0.485  0.111 0.418  0.111 0.346  0.111 0.274  0.111 0.203  0.111 0.131  0.111 0.059  0.111 -0.012  0.111 -0.084  0.111 -0.156  0.111 -0.227  0.111 -0.299  0.111 -0.370  0.111 -0.442  0.111 -0.514  0.111 -0.585  0.111 -0.657  0.111 -0.729  0.111 -0.800  0.111 -0.872  0.111 -0.944  0.111 -1.015  0.102 -1.085  0.080 -1.153  0.057 -1.221  0.034 -1.289  0.012 -1.357  -0.011 -1.425  -0.034 -1.493  -0.056 -1.561  -0.079 -1.629  -0.101 -1.697
3#apa#apa09#app0979/`  -1.220 1.003  -1.149 1.003  -1.078 1.003  -1.006 1.003  -0.935 1.003  -0.863 1.003  -0.792 1.003  -0.721 1.003  -0.649 1.003  -0.605 0.951  -0.566 0.892  -0.526 0.833  -0.487 0.773  -0.447 0.714  -0.408 0.655  -0.368 0.595  -0.328 0.536  -0.289 0.477  -0.249 0.417  -0.210 0.358  -0.170 0.299  -0.131 0.239  -0.091 0.180  -0.051 0.120  -0.012 0.061  0.028 0.002  0.067 -0.058  0.107 -0.117  0.146 -0.176  0.186 -0.236  0.226 -0.295  0.265 -0.354  0.305 -0.414  0.344 -0.473  0.384 -0.533  0.424 -0.592  0.463 -0.651  0.503 -0.711  0.548 -0.765  0.598 -0.816  0.649 -0.866  0.699 -0.917  0.750 -0.967  0.800 -1.018  0.850 -1.068  0.901 -1.119  0.951 -1.169  1.002 -1.220  1.052 -1.270  1.103 -1.320
