3#apa#apa10#app1002/2  0.177 1.558  0.271 1.558  0.365 1.558  0.459 1.558  0.501 1.474  0.543 1.390  0.585 1.306  0.587 1.217  0.564 1.126  0.541 1.035  0.518 0.944  0.495 0.852  0.473 0.761  0.447 0.671  0.417 0.581  0.387 0.492  0.358 0.403  0.328 0.314  0.270 0.244  0.197 0.184  0.125 0.123  0.053 0.063  -0.019 0.003  -0.092 -0.057  -0.164 -0.117  -0.236 -0.178  -0.308 -0.238  -0.381 -0.298  -0.453 -0.358  -0.525 -0.418  -0.592 -0.484  -0.659 -0.551  -0.725 -0.618  -0.792 -0.684  -0.814 -0.769  -0.803 -0.859  -0.737 -0.925  -0.669 -0.989  -0.575 -0.989  -0.481 -0.989  -0.387 -0.989  -0.293 -0.989  -0.199 -0.989  -0.105 -0.989  -0.011 -0.989  0.083 -0.989  0.177 -0.989  0.271 -0.989  0.366 -0.989  0.460 -0.989
3#apa#apa10#app1002/^  -0.333 0.467  -0.398 0.338  -0.462 0.209  -0.527 0.080  -0.564 -0.056  -0.564 -0.200  -0.564 -0.345  -0.579 -0.485  -0.643 -0.614  -0.708 -0.743  -0.773 -0.873  -0.862 -0.984  -0.964 -1.086  -0.983 -1.104  -0.881 -1.002  -0.794 -0.894  -0.794 -0.749  -0.794 -0.605  -0.794 -0.461  -0.723 -0.336  -0.649 -0.212  -0.574 -0.088  -0.500 0.035  -0.426 0.159  -0.351 0.283  -0.277 0.407  -0.203 0.530  -0.129 0.654  -0.036 0.764  0.066 0.866  0.168 0.968  0.270 1.070  0.378 1.158  0.522 1.158  0.643 1.103  0.746 1.001  0.826 0.888  0.849 0.746  0.873 0.603  0.897 0.461  0.920 0.318  0.944 0.176  0.968 0.034  0.992 -0.109  1.015 -0.251  1.039 -0.393  1.086 -0.528  1.151 -0.657  1.215 -0.786  1.280 -0.915
3#apa#apa10#app1002/0  0.054 0.672  0.054 0.809  0.054 0.945  -0.000 1.027  -0.133 1.018  -0.230 0.921  -0.323 0.821  -0.405 0.712  -0.487 0.602  -0.569 0.493  -0.651 0.384  -0.733 0.274  -0.815 0.165  -0.859 0.038  -0.893 -0.095  -0.926 -0.227  -0.959 -0.360  -0.992 -0.493  -0.987 -0.621  -0.926 -0.743  -0.865 -0.866  -0.768 -0.944  -0.636 -0.977  -0.503 -1.010  -0.371 -1.043  -0.238 -1.076  -0.106 -1.099  0.024 -1.056  0.154 -1.013  0.283 -0.969  0.412 -0.925  0.509 -0.828  0.605 -0.732  0.702 -0.635  0.774 -0.525  0.801 -0.391  0.828 -0.257  0.855 -0.123  0.882 0.011  0.908 0.145  0.935 0.279  0.899 0.405  0.838 0.527  0.776 0.649  0.715 0.771  0.654 0.894  0.593 1.016  0.476 1.083  0.354 1.144  0.232 1.205
3#apa#apa10#app1002/=  -0.366 0.447  -0.478 0.558  -0.589 0.670  -0.701 0.781  -0.810 0.892  -0.652 0.892  -0.495 0.892  -0.337 0.892  -0.179 0.892  -0.022 0.892  0.136 0.892  0.294 0.892  0.452 0.892  0.600 0.854  0.741 0.783  0.882 0.713  1.023 0.642  1.164 0.572  1.305 0.501  1.382 0.431  1.241 0.360  1.100 0.289  0.959 0.219  0.818 0.148  0.677 0.078  0.536 0.007  0.395 -0.063  0.254 -0.134  0.113 -0.204  -0.028 -0.275  -0.169 -0.345  -0.310 -0.416  -0.451 -0.486  -0.592 -0.557  -0.733 -0.627  -0.874 -0.698  -1.015 -0.768  -1.156 -0.839  -1.210 -0.889  -1.053 -0.889  -0.895 -0.889  -0.737 -0.889  -0.580 -0.889  -0.422 -0.889  -0.264 -0.889  -0.107 -0.889  0.051 -0.889  0.209 -0.889  0.366 -0.889  0.524 -0.889
3#apa#apa10#app1002/1  0.325 1.159  0.325 1.315  0.325 1.195  0.325 1.040  0.325 0.885  0.325 0.730  0.325 0.575  0.317 0.420  0.292 0.267  0.266 0.114  0.240 -0.039  0.215 -0.192  0.189 -0.345  0.164 -0.498  0.152 -0.652  0.152 -0.808  0.141 -0.961  0.103 -1.112  0.065 -1.262  0.028 -1.413  -0.010 -1.563  -0.021 -1.717  -0.015 -1.691  -0.006 -1.536  0.004 -1.381  0.014 -1.226  0.023 -1.072  0.033 -0.917  0.043 -0.762  0.052 -0.607  0.062 -0.452  0.072 -0.297  0.081 -0.142  0.091 0.012  0.101 0.167  0.110 0.322  0.120 0.477  0.130 0.632  0.139 0.787  0.149 0.941  0.053 1.036  -0.085 1.105  -0.224 1.144  -0.363 1.075  -0.502 1.006  -0.640 0.936  -0.779 0.867  -0.922 0.813  -1.077 0.813  -1.232 0.813
3#apa#apa10#app1002/0  0.043 0.562  -0.026 0.700  -0.095 0.838  -0.239 0.856  -0.393 0.856  -0.504 0.749  -0.613 0.640  -0.735 0.562  -0.848 0.511  -0.878 0.360  -0.909 0.208  -0.939 0.057  -0.969 -0.095  -0.951 -0.240  -0.882 -0.378  -0.813 -0.516  -0.744 -0.654  -0.675 -0.793  -0.606 -0.931  -0.527 -1.054  -0.373 -1.054  -0.218 -1.054  -0.064 -1.054  0.090 -1.046  0.243 -1.020  0.395 -0.995  0.548 -0.970  0.700 -0.944  0.852 -0.919  0.961 -0.834  1.030 -0.696  1.071 -0.551  1.071 -0.397  1.071 -0.242  1.071 -0.087  1.030 0.057  0.961 0.195  0.892 0.334  0.823 0.472  0.730 0.586  0.591 0.655  0.453 0.724  0.315 0.793  0.175 0.856  0.021 0.856  -0.134 0.856  -0.288 0.856  -0.443 0.856  -0.582 0.818  -0.691 0.709
3#apa#apa10#app1002/^  0.278 0.074  0.208 0.213  0.139 0.352  0.069 0.492  -0.000 0.631  -0.070 0.770  -0.139 0.909  -0.190 0.966  -0.190 0.811  -0.190 0.655  -0.203 0.502  -0.252 0.354  -0.301 0.207  -0.351 0.059  -0.400 -0.088  -0.449 -0.236  -0.498 -0.383  -0.547 -0.531  -0.597 -0.678  -0.646 -0.826  -0.741 -0.945  -0.851 -1.055  -0.961 -1.165  -1.071 -1.275  -1.069 -1.272  -0.959 -1.162  -0.849 -1.052  -0.739 -0.942  -0.629 -0.832  -0.519 -0.722  -0.409 -0.612  -0.299 -0.502  -0.189 -0.392  -0.079 -0.282  0.031 -0.173  0.141 -0.063  0.251 0.047  0.361 0.157  0.471 0.267  0.581 0.377  0.691 0.487  0.801 0.597  0.911 0.707  1.021 0.817  1.131 0.927  1.241 0.982  1.351 0.872  1.461 0.762  1.571 0.652  1.681 0.542
3#apa#apa10#app1002/0  -0.139 0.462  -0.204 0.592  -0.269 0.723  -0.342 0.808  -0.445 0.705  -0.566 0.645  -0.692 0.621  -0.721 0.478  -0.750 0.335  -0.778 0.192  -0.807 0.049  -0.835 -0.094  -0.864 -0.237  -0.871 -0.382  -0.871 -0.528  -0.871 -0.674  -0.870 -0.819  -0.767 -0.922  -0.655 -1.012  -0.517 -1.058  -0.379 -1.104  -0.240 -1.150  -0.104 -1.167  0.026 -1.102  0.157 -1.036  0.287 -0.971  0.417 -0.906  0.548 -0.841  0.660 -0.751  0.763 -0.648  0.847 -0.528  0.928 -0.407  1.009 -0.286  1.090 -0.164  1.114 -0.042  1.039 0.083  0.964 0.208  0.889 0.333  0.814 0.458  0.739 0.583  0.664 0.708  0.588 0.832  0.485 0.936  0.370 1.011  0.224 1.011  0.078 1.011  -0.067 1.011  -0.213 1.011  -0.359 1.011  -0.505 1.011
3#apa#apa10#app1002/=  -1.262 0.462  -1.262 0.614  -1.233 0.737  -1.081 0.737  -0.930 0.737  -0.778 0.737  -0.626 0.737  -0.475 0.737  -0.323 0.737  -0.171 0.737  -0.019 0.737  0.132 0.732  0.279 0.696  0.426 0.659  0.573 0.622  0.720 0.585  0.868 0.548  1.015 0.512  1.162 0.475  1.283 0.391  1.390 0.284  1.471 0.183  1.325 0.142  1.179 0.100  1.033 0.058  0.888 0.017  0.742 -0.025  0.596 -0.067  0.450 -0.108  0.304 -0.150  0.158 -0.192  0.012 -0.233  -0.134 -0.275  -0.279 -0.317  -0.425 -0.359  -0.562 -0.424  -0.698 -0.492  -0.833 -0.560  -0.969 -0.628  -0.987 -0.768  -0.978 -0.912  -0.827 -0.912  -0.675 -0.912  -0.523 -0.912  -0.372 -0.912  -0.220 -0.912  -0.068 -0.912  0.084 -0.912  0.235 -0.912  0.387 -0.912
3#apa#apa10#app1002/x  -1.020 0.910  -1.008 1.124  -0.790 1.052  -0.572 0.979  -0.356 0.903  -0.165 0.776  0.027 0.648  0.218 0.521  0.287 0.328  0.287 0.098  0.287 -0.132  0.157 -0.308  -0.006 -0.471  -0.168 -0.633  -0.331 -0.796  -0.527 -0.912  -0.732 -1.015  -0.954 -1.049  -1.184 -1.049  -1.414 -1.049  -1.455 -0.862  -1.314 -0.690  -1.129 -0.559  -0.923 -0.457  -0.718 -0.354  -0.512 -0.251  -0.306 -0.148  -0.101 -0.045  0.105 0.057  0.310 0.160  0.516 0.263  0.722 0.366  0.927 0.468  1.133 0.571  1.338 0.674  1.376 0.881  1.186 0.847  0.967 0.774  0.749 0.702  0.580 0.550  0.417 0.388  0.255 0.225  0.092 0.063  0.069 -0.157  0.162 -0.365  0.265 -0.571  0.468 -0.614  0.698 -0.614  0.928 -0.614  1.158 -0.614
3#apa#apa10#app1002/^  -0.451 0.477  -0.551 0.377  -0.651 0.277  -0.751 0.177  -0.803 0.056  -0.803 -0.086  -0.803 -0.227  -0.803 -0.369  -0.803 -0.511  -0.855 -0.631  -0.955 -0.731  -1.055 -0.831  -1.155 -0.929  -1.155 -0.787  -1.155 -0.645  -1.080 -0.578  -0.938 -0.578  -0.798 -0.574  -0.698 -0.474  -0.598 -0.373  -0.497 -0.273  -0.397 -0.173  -0.297 -0.073  -0.197 0.027  -0.097 0.128  -0.019 0.246  0.060 0.364  0.139 0.482  0.217 0.600  0.296 0.718  0.375 0.836  0.453 0.953  0.532 1.071  0.609 1.172  0.673 1.045  0.736 0.919  0.799 0.792  0.863 0.665  0.926 0.538  0.957 0.404  0.957 0.262  0.957 0.120  0.957 -0.021  0.957 -0.163  0.992 -0.296  1.055 -0.423  1.118 -0.550  1.182 -0.677  1.245 -0.803  1.309 -0.930
