3#apa#apa10#app1017/P  -0.087 0.397  -0.183 0.589  -0.242 0.626  -0.242 0.412  -0.242 0.197  -0.242 -0.017  -0.242 -0.232  -0.255 -0.445  -0.297 -0.656  -0.339 -0.866  -0.382 -1.076  -0.398 -1.289  -0.398 -1.504  -0.405 -1.527  -0.423 -1.313  -0.441 -1.100  -0.459 -0.886  -0.477 -0.672  -0.495 -0.458  -0.512 -0.244  -0.530 -0.030  -0.548 0.183  -0.623 0.381  -0.698 0.573  -0.602 0.765  -0.459 0.910  -0.267 1.006  -0.075 1.102  0.122 1.174  0.337 1.174  0.548 1.140  0.758 1.098  0.969 1.056  1.169 0.999  1.288 0.821  1.407 0.642  1.403 0.467  1.274 0.295  1.145 0.124  1.017 -0.048  0.833 -0.153  0.637 -0.240  0.431 -0.298  0.224 -0.357  0.018 -0.416  -0.188 -0.475  -0.395 -0.534  -0.603 -0.484  -0.811 -0.432  -1.019 -0.380
3#apa#apa10#app1017/e  -0.237 -0.814  -0.371 -0.680  -0.505 -0.546  -0.639 -0.412  -0.773 -0.278  -0.814 -0.183  -0.625 -0.183  -0.436 -0.183  -0.246 -0.183  -0.057 -0.183  0.132 -0.183  0.322 -0.183  0.511 -0.183  0.700 -0.183  0.871 -0.102  1.040 -0.017  1.209 0.067  1.341 0.175  1.341 0.365  1.293 0.543  1.209 0.712  1.124 0.882  1.039 1.051  0.868 1.080  0.678 1.080  0.489 1.080  0.304 1.050  0.125 0.990  -0.055 0.930  -0.234 0.870  -0.414 0.810  -0.583 0.734  -0.717 0.600  -0.851 0.466  -0.920 0.292  -0.980 0.113  -1.040 -0.067  -1.100 -0.247  -1.160 -0.426  -1.074 -0.526  -0.890 -0.572  -0.707 -0.618  -0.523 -0.664  -0.339 -0.709  -0.155 -0.755  0.028 -0.801  0.201 -0.875  0.371 -0.960  0.540 -1.045  0.709 -1.129
3#apa#apa10#app1017/r  0.691 0.684  0.556 0.639  0.421 0.594  0.286 0.549  0.151 0.504  0.016 0.459  -0.119 0.414  -0.254 0.369  -0.388 0.324  -0.523 0.279  -0.633 0.215  -0.633 0.073  -0.633 -0.069  -0.633 -0.211  -0.633 -0.353  -0.633 -0.496  -0.633 -0.638  -0.633 -0.780  -0.633 -0.922  -0.633 -1.064  -0.633 -1.207  -0.633 -1.349  -0.633 -1.491  -0.583 -1.422  -0.519 -1.295  -0.456 -1.168  -0.392 -1.041  -0.328 -0.913  -0.265 -0.786  -0.201 -0.659  -0.153 -0.525  -0.108 -0.390  -0.063 -0.256  -0.018 -0.121  0.027 0.014  0.071 0.149  0.116 0.284  0.161 0.419  0.206 0.554  0.254 0.686  0.382 0.750  0.509 0.813  0.636 0.877  0.763 0.940  0.890 1.004  1.018 1.068  1.146 1.125  1.288 1.125  1.431 1.125  1.573 1.125
3#apa#apa10#app1017/h  0.335 1.836  0.225 1.836  0.154 1.776  0.113 1.674  0.072 1.571  0.031 1.469  -0.010 1.366  -0.051 1.264  -0.092 1.161  -0.133 1.058  -0.168 0.954  -0.203 0.849  -0.238 0.744  -0.273 0.639  -0.300 0.533  -0.319 0.424  -0.337 0.315  -0.355 0.206  -0.373 0.097  -0.391 -0.012  -0.409 -0.121  -0.428 -0.230  -0.446 -0.339  -0.449 -0.449  -0.449 -0.560  -0.449 -0.670  -0.449 -0.781  -0.449 -0.891  -0.449 -1.002  -0.449 -1.112  -0.370 -1.144  -0.266 -1.125  -0.178 -1.058  -0.090 -0.992  -0.001 -0.926  0.087 -0.859  0.176 -0.793  0.264 -0.727  0.345 -0.654  0.394 -0.555  0.443 -0.457  0.493 -0.358  0.572 -0.280  0.649 -0.204  0.649 -0.315  0.649 -0.425  0.657 -0.534  0.707 -0.633  0.756 -0.732  0.806 -0.830
3#apa#apa10#app1017/a  1.194 0.343  1.127 0.476  1.061 0.609  0.994 0.743  0.928 0.876  0.789 0.892  0.640 0.892  0.491 0.892  0.342 0.892  0.193 0.892  0.044 0.892  -0.105 0.892  -0.253 0.892  -0.402 0.892  -0.541 0.847  -0.674 0.781  -0.807 0.714  -0.940 0.648  -1.000 0.536  -1.000 0.387  -1.000 0.238  -1.000 0.089  -1.000 -0.060  -1.000 -0.208  -1.000 -0.357  -1.000 -0.506  -1.000 -0.655  -0.956 -0.776  -0.823 -0.843  -0.689 -0.909  -0.556 -0.976  -0.423 -1.014  -0.290 -0.947  -0.157 -0.881  -0.024 -0.814  0.110 -0.748  0.243 -0.681  0.376 -0.614  0.509 -0.548  0.642 -0.481  0.645 -0.334  0.645 -0.186  0.645 -0.037  0.645 0.026  0.645 -0.123  0.645 -0.272  0.645 -0.421  0.709 -0.543  0.814 -0.649  0.920 -0.754
3#apa#apa10#app1017/p  0.286 1.158  0.139 1.158  0.117 1.033  0.117 0.885  0.080 0.747  0.015 0.616  -0.051 0.484  -0.075 0.339  -0.099 0.194  -0.124 0.049  -0.148 -0.096  -0.172 -0.241  -0.196 -0.386  -0.220 -0.532  -0.220 -0.679  -0.220 -0.826  -0.220 -0.973  -0.220 -1.120  -0.220 -1.267  -0.220 -1.414  -0.220 -1.561  -0.221 -1.704  -0.325 -1.600  -0.388 -1.479  -0.388 -1.332  -0.386 -1.186  -0.361 -1.040  -0.337 -0.895  -0.313 -0.750  -0.289 -0.605  -0.265 -0.460  -0.240 -0.315  -0.213 -0.171  -0.161 -0.033  -0.109 0.104  -0.058 0.242  -0.006 0.380  0.046 0.518  0.097 0.655  0.149 0.793  0.201 0.931  0.252 1.068  0.322 1.194  0.426 1.298  0.561 1.327  0.708 1.327  0.791 1.263  0.791 1.115  0.791 0.968  0.791 0.821
3#apa#apa10#app1017/s  -0.993 -0.461  -1.121 -0.461  -1.248 -0.461  -1.375 -0.461  -1.444 -0.518  -1.444 -0.645  -1.372 -0.638  -1.267 -0.567  -1.161 -0.497  -1.055 -0.426  -0.949 -0.356  -0.844 -0.286  -0.752 -0.203  -0.695 -0.089  -0.638 0.025  -0.581 0.138  -0.509 0.238  -0.403 0.309  -0.297 0.379  -0.192 0.450  -0.086 0.520  0.020 0.591  0.126 0.661  0.245 0.704  0.366 0.744  0.486 0.784  0.607 0.824  0.727 0.864  0.850 0.892  0.977 0.892  1.035 0.823  1.035 0.696  1.035 0.569  1.035 0.442  1.035 0.314  1.035 0.187  1.035 0.060  1.035 -0.067  1.035 -0.194  0.964 -0.283  0.858 -0.353  0.752 -0.424  0.646 -0.494  0.541 -0.565  0.435 -0.635  0.323 -0.686  0.196 -0.686  0.088 -0.640  -0.002 -0.550  -0.092 -0.461
3#apa#apa10#app1017/t  0.714 0.868  0.668 1.005  0.623 1.142  0.577 1.279  0.531 1.416  0.443 1.527  0.341 1.629  0.326 1.521  0.326 1.376  0.323 1.232  0.303 1.089  0.282 0.947  0.262 0.804  0.241 0.661  0.221 0.518  0.200 0.375  0.180 0.232  0.160 0.089  0.139 -0.054  0.089 -0.187  0.025 -0.316  -0.040 -0.445  -0.085 -0.582  -0.120 -0.722  -0.155 -0.862  -0.190 -1.002  -0.225 -1.142  -0.263 -1.280  -0.328 -1.409  -0.392 -1.539  -0.449 -1.634  -0.449 -1.490  -0.449 -1.345  -0.449 -1.201  -0.449 -1.057  -0.449 -0.913  -0.449 -0.768  -0.449 -0.624  -0.449 -0.480  -0.449 -0.335  -0.449 -0.191  -0.449 -0.047  -0.445 0.095  -0.316 0.160  -0.187 0.224  -0.057 0.287  0.087 0.287  0.232 0.287  0.376 0.287  0.520 0.287
3#apa#apa10#app1017/h  0.006 1.642  0.091 1.727  0.175 1.811  0.260 1.750  0.344 1.666  0.335 1.562  0.291 1.451  0.246 1.340  0.202 1.229  0.158 1.118  0.113 1.007  0.069 0.897  0.025 0.786  0.006 0.670  0.006 0.550  0.006 0.431  0.006 0.311  0.003 0.193  -0.069 0.098  -0.141 0.002  -0.212 -0.093  -0.284 -0.189  -0.356 -0.285  -0.427 -0.380  -0.499 -0.476  -0.535 -0.583  -0.535 -0.703  -0.535 -0.822  -0.535 -0.941  -0.535 -1.061  -0.535 -1.180  -0.505 -1.201  -0.439 -1.101  -0.373 -1.002  -0.306 -0.902  -0.240 -0.803  -0.174 -0.704  -0.074 -0.638  0.025 -0.571  0.125 -0.505  0.224 -0.439  0.323 -0.373  0.434 -0.343  0.548 -0.348  0.548 -0.468  0.548 -0.587  0.548 -0.707  0.548 -0.826  0.548 -0.946  0.548 -1.065
3#apa#apa10#app1017/e  -0.654 0.194  -0.832 0.194  -0.926 0.109  -0.926 -0.069  -0.766 -0.132  -0.597 -0.188  -0.428 -0.244  -0.259 -0.301  -0.089 -0.351  0.089 -0.351  0.267 -0.351  0.446 -0.351  0.624 -0.351  0.774 -0.284  0.900 -0.158  1.026 -0.032  1.152 0.094  1.252 0.231  1.252 0.409  1.252 0.587  1.227 0.750  1.068 0.830  0.908 0.910  0.749 0.989  0.576 1.010  0.398 1.010  0.219 1.010  0.041 1.010  -0.132 0.995  -0.280 0.896  -0.429 0.797  -0.577 0.698  -0.725 0.599  -0.873 0.501  -0.926 0.350  -0.926 0.172  -0.926 -0.006  -0.926 -0.184  -0.918 -0.359  -0.792 -0.485  -0.666 -0.611  -0.540 -0.737  -0.414 -0.863  -0.288 -0.989  -0.162 -1.115  -0.005 -1.167  0.173 -1.167  0.351 -1.167  0.529 -1.167  0.707 -1.167
3#apa#apa10#app1017/g  0.568 0.893  0.472 0.989  0.343 1.007  0.247 1.103  0.117 1.116  -0.018 1.108  -0.150 1.075  -0.281 1.042  -0.413 1.009  -0.514 0.923  -0.611 0.827  -0.655 0.709  -0.655 0.573  -0.533 0.560  -0.397 0.560  -0.261 0.560  -0.125 0.560  -0.008 0.621  0.105 0.696  0.218 0.771  0.240 0.893  0.346 0.864  0.346 0.728  0.361 0.594  0.388 0.461  0.414 0.327  0.441 0.194  0.457 0.060  0.457 -0.076  0.457 -0.212  0.457 -0.347  0.457 -0.483  0.457 -0.619  0.457 -0.755  0.457 -0.891  0.440 -1.022  0.365 -1.135  0.290 -1.248  0.199 -1.339  0.067 -1.372  -0.064 -1.405  -0.196 -1.438  -0.319 -1.387  -0.439 -1.324  -0.535 -1.228  -0.631 -1.132  -0.727 -1.036  -0.741 -0.921  -0.698 -0.792  -0.655 -0.663
