3#apa#apa13#app1305/w  -1.199 0.675  -1.199 0.509  -1.199 0.343  -1.197 0.178  -1.123 0.030  -1.101 -0.130  -1.101 -0.296  -1.101 -0.461  -1.015 -0.591  -0.980 -0.747  -0.906 -0.895  -0.743 -0.899  -0.609 -0.868  -0.539 -0.731  -0.422 -0.614  -0.314 -0.494  -0.258 -0.351  -0.213 -0.204  -0.161 -0.046  -0.117 0.112  -0.117 0.278  -0.117 0.443  -0.117 0.609  -0.215 0.673  -0.215 0.508  -0.215 0.342  -0.211 0.178  -0.117 0.052  -0.117 -0.114  -0.117 -0.280  -0.090 -0.434  0.027 -0.551  0.170 -0.604  0.336 -0.604  0.502 -0.604  0.639 -0.536  0.779 -0.451  0.897 -0.347  0.974 -0.201  1.063 -0.072  1.139 0.062  1.162 0.218  1.234 0.354  1.260 0.509  1.260 0.674  1.260 0.840  1.260 1.005  1.158 1.071  1.063 1.197  0.965 1.265
3#apa#apa13#app1305/a  0.304 0.891  0.289 1.044  0.121 1.044  -0.047 1.044  -0.216 1.044  -0.384 1.044  -0.526 0.981  -0.616 0.850  -0.656 0.698  -0.775 0.579  -0.894 0.460  -0.923 0.303  -0.968 0.142  -1.021 -0.018  -1.074 -0.177  -1.076 -0.345  -1.076 -0.514  -1.076 -0.682  -1.038 -0.835  -0.923 -0.955  -0.902 -1.103  -0.734 -1.103  -0.566 -1.103  -0.397 -1.103  -0.253 -1.046  -0.133 -0.927  -0.014 -0.808  0.105 -0.689  0.243 -0.597  0.394 -0.522  0.458 -0.393  0.537 -0.257  0.656 -0.138  0.775 -0.019  0.894 0.100  0.918 0.258  0.918 0.427  1.034 0.547  1.071 0.700  0.940 0.737  0.772 0.737  0.759 0.579  0.640 0.460  0.611 0.304  0.611 0.135  0.611 -0.033  0.611 -0.201  0.611 -0.370  0.645 -0.524  0.764 -0.643
3#apa#apa13#app1305/r  -0.477 -0.188  -0.383 -0.283  -0.288 -0.377  -0.275 -0.505  -0.242 -0.625  -0.148 -0.719  -0.074 -0.822  -0.074 -0.955  0.020 -0.995  0.128 -1.021  0.128 -1.154  0.128 -1.105  0.111 -0.978  0.017 -0.884  -0.077 -0.790  -0.172 -0.695  -0.266 -0.601  -0.360 -0.506  -0.455 -0.412  -0.579 -0.390  -0.703 -0.366  -0.797 -0.271  -0.896 -0.188  -1.030 -0.188  -1.082 -0.107  -1.073 0.023  -0.979 0.117  -0.884 0.211  -0.752 0.215  -0.619 0.215  -0.485 0.215  -0.389 0.304  -0.294 0.398  -0.168 0.417  -0.035 0.417  0.099 0.417  0.202 0.491  0.296 0.585  0.406 0.657  0.526 0.717  0.645 0.776  0.768 0.820  0.902 0.820  1.025 0.865  1.144 0.925  1.263 0.985  1.383 1.044  1.502 1.104  1.622 1.164  1.741 1.223
3#apa#apa13#app1305/m  -1.202 0.793  -1.074 0.655  -1.074 0.465  -1.074 0.274  -1.044 0.090  -0.959 -0.080  -0.945 -0.268  -0.945 -0.458  -0.945 -0.649  -0.945 -0.839  -0.922 -1.007  -0.817 -1.092  -0.688 -1.116  -0.688 -0.925  -0.678 -0.739  -0.543 -0.604  -0.431 -0.460  -0.431 -0.269  -0.431 -0.079  -0.367 0.085  -0.303 0.249  -0.303 0.440  -0.236 0.603  -0.174 0.768  -0.046 0.755  -0.046 0.565  -0.046 0.374  -0.046 0.183  -0.046 -0.007  -0.046 -0.198  0.063 -0.344  0.083 -0.526  0.178 -0.621  0.360 -0.601  0.468 -0.455  0.539 -0.293  0.597 -0.127  0.718 0.014  0.853 0.149  0.854 0.339  0.940 0.493  1.041 0.653  1.135 0.817  1.283 0.921  1.368 0.816  1.368 0.625  1.368 0.434  1.368 0.244  1.411 0.063  1.497 -0.107
3#apa#apa13#app1305/c  0.333 0.245  0.347 0.113  0.445 0.015  0.462 -0.111  0.571 -0.081  0.571 0.058  0.620 0.176  0.690 0.286  0.690 0.424  0.690 0.563  0.690 0.701  0.605 0.805  0.571 0.929  0.461 0.958  0.445 1.085  0.347 1.183  0.213 1.196  0.075 1.196  -0.064 1.196  -0.185 1.153  -0.283 1.055  -0.380 0.957  -0.442 0.833  -0.508 0.711  -0.606 0.613  -0.672 0.492  -0.734 0.368  -0.736 0.230  -0.752 0.095  -0.814 -0.029  -0.855 -0.158  -0.855 -0.296  -0.855 -0.435  -0.855 -0.574  -0.798 -0.699  -0.736 -0.823  -0.718 -0.949  -0.587 -0.992  -0.455 -1.036  -0.321 -1.062  -0.182 -1.062  -0.043 -1.062  0.095 -1.062  0.234 -1.062  0.372 -1.062  0.511 -1.062  0.650 -1.062  0.783 -1.030  0.915 -0.987  1.046 -0.943
3#apa#apa13#app1305/u  -1.517 0.691  -1.517 0.557  -1.517 0.423  -1.517 0.289  -1.483 0.169  -1.388 0.075  -1.354 -0.045  -1.297 -0.122  -1.192 -0.150  -1.192 -0.284  -1.097 -0.379  -0.991 -0.447  -0.860 -0.453  -0.765 -0.548  -0.657 -0.610  -0.523 -0.610  -0.389 -0.610  -0.255 -0.610  -0.132 -0.567  -0.012 -0.507  0.108 -0.447  0.242 -0.447  0.345 -0.373  0.434 -0.276  0.434 -0.142  0.547 -0.122  0.657 -0.062  0.751 0.033  0.759 0.163  0.826 0.270  0.920 0.364  0.922 0.498  0.922 0.631  0.889 0.757  0.829 0.877  0.769 0.997  0.759 0.904  0.722 0.779  0.662 0.659  0.602 0.539  0.597 0.407  0.597 0.273  0.597 0.139  0.597 0.005  0.599 -0.129  0.641 -0.256  0.684 -0.383  0.726 -0.510  0.759 -0.638  0.759 -0.772
3#apa#apa13#app1305/p  -0.297 1.042  -0.221 0.889  -0.191 0.725  -0.191 0.554  -0.191 0.383  -0.191 0.212  -0.191 0.041  -0.191 -0.130  -0.191 -0.301  -0.191 -0.472  -0.191 -0.643  -0.230 -0.809  -0.272 -0.975  -0.297 -1.143  -0.297 -1.314  -0.297 -1.484  -0.332 -1.641  -0.403 -1.782  -0.403 -1.683  -0.403 -1.512  -0.403 -1.341  -0.403 -1.170  -0.381 -1.002  -0.333 -0.838  -0.286 -0.674  -0.238 -0.510  -0.190 -0.346  -0.142 -0.182  -0.094 -0.018  -0.046 0.146  0.002 0.311  0.049 0.475  0.097 0.639  0.145 0.803  0.193 0.967  0.241 1.131  0.289 1.295  0.337 1.459  0.486 1.424  0.630 1.359  0.721 1.230  0.762 1.069  0.762 0.898  0.762 0.727  0.656 0.600  0.573 0.512  0.445 0.407  0.324 0.286  0.192 0.194  0.021 0.194
3#apa#apa13#app1305/s  -0.210 1.337  -0.210 1.201  -0.225 1.070  -0.321 0.973  -0.337 0.843  -0.448 0.775  -0.570 0.714  -0.705 0.704  -0.805 0.616  -0.902 0.520  -1.009 0.450  -1.097 0.402  -1.156 0.324  -1.224 0.255  -1.169 0.141  -1.062 0.070  -0.925 0.070  -0.794 0.095  -0.672 0.156  -0.545 0.197  -0.424 0.236  -0.324 0.324  -0.187 0.324  -0.051 0.324  0.086 0.324  0.223 0.324  0.359 0.324  0.488 0.291  0.610 0.230  0.739 0.197  0.855 0.146  0.960 0.070  1.057 0.030  1.057 -0.107  1.057 -0.243  1.057 -0.380  1.057 -0.516  1.057 -0.653  1.057 -0.790  0.958 -0.866  0.836 -0.927  0.733 -1.014  0.619 -1.070  0.483 -1.070  0.346 -1.070  0.209 -1.070  0.073 -1.070  -0.064 -1.070  -0.201 -1.070  -0.337 -1.070
3#apa#apa13#app1305/o  -0.338 0.517  -0.467 0.513  -0.559 0.420  -0.678 0.391  -0.781 0.323  -0.874 0.231  -0.964 0.137  -0.964 0.007  -0.978 -0.110  -1.089 -0.130  -1.089 -0.261  -1.089 -0.392  -1.089 -0.523  -1.059 -0.641  -0.967 -0.734  -0.962 -0.862  -0.831 -0.862  -0.700 -0.862  -0.570 -0.862  -0.439 -0.862  -0.308 -0.862  -0.181 -0.846  -0.064 -0.787  0.053 -0.729  0.171 -0.670  0.288 -0.612  0.417 -0.608  0.510 -0.516  0.602 -0.423  0.695 -0.330  0.787 -0.238  0.880 -0.145  0.972 -0.053  1.065 0.040  1.158 0.132  1.166 0.260  1.166 0.391  1.166 0.522  1.158 0.649  1.066 0.742  0.945 0.767  0.820 0.799  0.696 0.840  0.571 0.882  0.442 0.892  0.311 0.892  0.180 0.892  0.050 0.892  -0.081 0.892  -0.212 0.892
3#apa#apa13#app1305/f  -0.300 -0.481  -0.103 -0.383  0.019 -0.222  0.120 -0.038  0.243 0.162  0.405 0.334  0.521 0.539  0.626 0.742  0.683 0.972  0.693 1.207  0.693 1.445  0.568 1.630  0.362 1.704  0.125 1.704  -0.051 1.556  -0.219 1.388  -0.355 1.198  -0.416 0.975  -0.499 0.758  -0.499 0.520  -0.499 0.283  -0.499 0.046  -0.406 -0.169  -0.329 -0.393  -0.235 -0.610  -0.084 -0.787  0.121 -0.902  0.289 -1.070  0.486 -1.167  0.594 -1.302  0.637 -1.342  0.431 -1.223  0.226 -1.104  0.021 -0.985  -0.184 -0.867  -0.389 -0.748  -0.595 -0.629  -0.800 -0.510  -1.005 -0.391  -1.175 -0.282  -0.938 -0.282  -0.701 -0.282  -0.505 -0.183  -0.268 -0.183  -0.049 -0.107  0.183 -0.083  0.420 -0.083  0.657 -0.083  0.893 -0.085  1.090 -0.183
3#apa#apa13#app1305/b  -0.696 1.770  -0.696 1.591  -0.696 1.413  -0.696 1.234  -0.636 1.069  -0.599 0.899  -0.599 0.721  -0.599 0.542  -0.599 0.363  -0.599 0.184  -0.599 0.006  -0.599 -0.173  -0.599 -0.352  -0.502 -0.490  -0.492 -0.665  -0.405 -0.808  -0.364 -0.945  -0.317 -0.823  -0.329 -0.645  -0.342 -0.467  -0.355 -0.288  -0.368 -0.110  -0.380 0.068  -0.393 0.246  -0.396 0.421  -0.270 0.547  -0.125 0.649  0.040 0.703  0.179 0.800  0.358 0.800  0.536 0.800  0.675 0.703  0.826 0.636  0.884 0.481  0.953 0.331  0.953 0.152  0.953 -0.026  0.953 -0.205  0.953 -0.384  0.953 -0.562  0.953 -0.741  0.902 -0.899  0.845 -1.054  0.701 -1.139  0.523 -1.139  0.344 -1.139  0.197 -1.063  0.027 -1.042  -0.148 -1.025  -0.308 -0.945
