3#apa#apa13#app1345/o  -0.419 0.931  -0.533 0.910  -0.575 0.817  -0.692 0.772  -0.788 0.676  -0.875 0.577  -0.890 0.445  -0.950 0.324  -0.990 0.198  -0.990 0.063  -0.990 -0.073  -0.990 -0.208  -0.990 -0.343  -0.990 -0.479  -0.990 -0.614  -0.932 -0.725  -0.836 -0.821  -0.732 -0.896  -0.596 -0.896  -0.461 -0.896  -0.326 -0.896  -0.190 -0.896  -0.057 -0.886  0.064 -0.826  0.189 -0.782  0.324 -0.782  0.436 -0.726  0.542 -0.644  0.663 -0.583  0.771 -0.505  0.867 -0.409  0.963 -0.314  1.059 -0.218  1.122 -0.099  1.180 0.023  1.180 0.158  1.180 0.294  1.180 0.429  1.116 0.538  1.002 0.588  0.866 0.588  0.731 0.588  0.633 0.679  0.508 0.703  0.372 0.703  0.237 0.703  0.102 0.703  -0.034 0.703  -0.169 0.703  -0.305 0.703
3#apa#apa13#app1345/r  -0.699 0.618  -0.585 0.504  -0.522 0.370  -0.522 0.209  -0.522 0.049  -0.512 -0.109  -0.440 -0.253  -0.368 -0.397  -0.268 -0.520  -0.168 -0.639  -0.165 -0.797  -0.005 -0.797  0.156 -0.797  0.185 -0.928  0.266 -1.055  0.380 -1.168  0.493 -1.282  0.635 -1.327  0.715 -1.247  0.670 -1.105  0.557 -0.991  0.404 -0.973  0.362 -0.854  0.259 -0.797  0.124 -0.735  0.010 -0.622  -0.103 -0.508  -0.217 -0.395  -0.330 -0.281  -0.407 -0.142  -0.479 0.002  -0.587 0.087  -0.699 0.136  -0.699 0.297  -0.699 0.457  -0.699 0.618  -0.538 0.618  -0.420 0.720  -0.306 0.833  -0.193 0.947  -0.042 0.971  0.086 1.049  0.205 1.148  0.366 1.148  0.527 1.148  0.671 1.214  0.815 1.286  0.959 1.358  1.102 1.430  1.246 1.501
3#apa#apa13#app1345/*  -0.163 1.095  -0.111 1.043  -0.078 0.813  -0.033 0.581  0.038 0.354  0.092 0.123  0.092 -0.120  0.103 -0.358  0.177 -0.571  0.177 -0.815  0.209 -1.026  0.242 -1.186  0.023 -1.081  -0.197 -0.976  -0.416 -0.871  -0.636 -0.766  -0.855 -0.661  -1.075 -0.556  -1.294 -0.451  -1.514 -0.346  -1.641 -0.262  -1.398 -0.262  -1.175 -0.175  -0.955 -0.074  -0.726 0.008  -0.500 0.092  -0.260 0.132  -0.019 0.162  0.219 0.183  0.447 0.247  0.691 0.247  0.934 0.247  1.142 0.162  1.226 0.350  1.266 0.590  1.306 0.830  1.346 1.070  1.364 1.048  1.183 0.914  0.977 0.796  0.804 0.653  0.630 0.493  0.441 0.342  0.261 0.179  0.071 0.027  -0.115 -0.130  -0.294 -0.293  -0.496 -0.428  -0.669 -0.599  -0.841 -0.771
3#apa#apa13#app1345/Z  -0.849 0.996  -0.714 0.996  -0.597 1.039  -0.472 1.066  -0.365 1.132  -0.231 1.135  -0.102 1.160  0.022 1.205  0.158 1.205  0.293 1.205  0.428 1.205  0.537 1.142  0.632 1.047  0.683 0.933  0.683 0.798  0.645 0.679  0.573 0.566  0.494 0.459  0.426 0.343  0.327 0.261  0.219 0.183  0.123 0.088  0.020 0.003  -0.097 -0.063  -0.192 -0.158  -0.305 -0.229  -0.412 -0.309  -0.508 -0.404  -0.603 -0.500  -0.714 -0.573  -0.824 -0.650  -0.870 -0.766  -0.918 -0.881  -0.874 -0.998  -0.750 -1.023  -0.615 -1.023  -0.490 -0.983  -0.361 -0.954  -0.233 -0.925  -0.108 -0.884  0.027 -0.884  0.155 -0.845  0.280 -0.795  0.406 -0.745  0.534 -0.715  0.659 -0.675  0.794 -0.675  0.929 -0.675  1.055 -0.699  1.101 -0.815
3#apa#apa13#app1345/A  0.125 1.399  0.125 1.317  0.025 1.076  -0.067 0.815  -0.127 0.543  -0.234 0.282  -0.360 0.029  -0.474 -0.226  -0.552 -0.476  -0.674 -0.726  -0.774 -0.967  -0.759 -1.147  -0.678 -0.876  -0.597 -0.606  -0.515 -0.335  -0.434 -0.065  -0.353 0.206  -0.272 0.476  -0.191 0.747  -0.110 1.017  -0.028 1.288  0.053 1.558  0.156 1.799  0.325 1.685  0.325 1.402  0.325 1.120  0.325 0.838  0.325 0.555  0.337 0.276  0.424 0.014  0.424 -0.269  0.524 -0.527  0.604 -0.777  0.704 -1.038  0.824 -1.276  0.907 -1.486  0.672 -1.329  0.437 -1.172  0.202 -1.016  -0.033 -0.859  -0.268 -0.702  -0.503 -0.546  -0.738 -0.389  -0.755 -0.298  -0.472 -0.298  -0.199 -0.240  0.077 -0.198  0.359 -0.198  0.641 -0.198  0.924 -0.198
3#apa#apa13#app1345/P  -0.232 0.227  -0.207 0.039  -0.160 -0.148  -0.144 -0.338  -0.144 -0.530  -0.144 -0.722  -0.144 -0.914  -0.144 -1.105  -0.144 -1.297  -0.165 -1.395  -0.245 -1.221  -0.325 -1.046  -0.405 -0.872  -0.485 -0.697  -0.565 -0.523  -0.645 -0.348  -0.725 -0.174  -0.805 0.001  -0.885 0.175  -0.965 0.350  -1.045 0.524  -1.074 0.666  -0.969 0.754  -0.814 0.842  -0.622 0.842  -0.446 0.910  -0.262 0.949  -0.080 1.010  0.111 1.017  0.303 1.017  0.495 1.017  0.687 1.017  0.879 1.017  1.034 0.929  1.211 0.866  1.260 0.704  1.260 0.512  1.260 0.320  1.215 0.139  1.105 -0.015  0.969 -0.151  0.833 -0.287  0.665 -0.377  0.512 -0.475  0.326 -0.503  0.148 -0.562  -0.044 -0.562  -0.236 -0.562  -0.422 -0.548  -0.583 -0.475
3#apa#apa13#app1345/*  0.011 0.936  0.099 0.785  0.099 0.547  0.099 0.309  0.099 0.071  0.099 -0.167  0.099 -0.405  0.099 -0.643  0.099 -0.881  0.186 -1.083  0.129 -1.210  -0.066 -1.074  -0.261 -0.937  -0.456 -0.801  -0.651 -0.664  -0.846 -0.528  -1.041 -0.391  -1.236 -0.255  -1.431 -0.118  -1.618 -0.081  -1.458 -0.114  -1.220 -0.114  -0.988 -0.089  -0.765 -0.026  -0.530 -0.003  -0.303 0.061  -0.065 0.061  0.173 0.061  0.400 0.132  0.635 0.149  0.873 0.149  1.080 0.195  1.172 0.415  1.263 0.635  1.355 0.854  1.446 1.074  1.487 1.099  1.317 0.933  1.091 0.858  0.915 0.702  0.710 0.585  0.542 0.416  0.345 0.283  0.129 0.188  -0.070 0.068  -0.251 -0.085  -0.446 -0.221  -0.614 -0.389  -0.782 -0.558  -0.951 -0.726
3#apa#apa13#app1345/,  -0.407 1.697  -0.407 1.616  -0.407 1.534  -0.359 1.472  -0.302 1.415  -0.244 1.357  -0.229 1.282  -0.229 1.200  -0.229 1.119  -0.229 1.037  -0.207 0.965  -0.150 0.907  -0.092 0.849  -0.051 0.785  -0.051 0.703  -0.051 0.622  -0.051 0.540  -0.051 0.459  0.003 0.400  0.060 0.342  0.118 0.284  0.126 0.206  0.126 0.125  0.126 0.043  0.126 -0.038  0.167 -0.079  0.249 -0.079  0.304 -0.105  0.304 -0.187  0.304 -0.268  0.304 -0.350  0.304 -0.431  0.304 -0.513  0.304 -0.595  0.304 -0.676  0.304 -0.758  0.304 -0.839  0.304 -0.921  0.279 -0.992  0.222 -1.050  0.164 -1.107  0.106 -1.165  0.049 -1.223  -0.009 -1.280  -0.073 -1.323  -0.154 -1.323  -0.234 -1.328  -0.291 -1.385  -0.349 -1.443  -0.407 -1.500
3#apa#apa13#app1345/*  0.193 0.988  0.193 0.697  0.245 0.415  0.276 0.129  0.276 -0.161  0.276 -0.452  0.276 -0.743  0.324 -1.022  0.245 -1.122  -0.017 -0.997  -0.280 -0.872  -0.542 -0.746  -0.804 -0.621  -1.066 -0.495  -1.328 -0.370  -1.517 -0.261  -1.226 -0.261  -0.936 -0.261  -0.645 -0.261  -0.365 -0.197  -0.077 -0.178  0.213 -0.178  0.502 -0.163  0.784 -0.095  1.075 -0.095  1.366 -0.095  1.566 -0.073  1.306 0.057  1.046 0.187  0.786 0.316  0.526 0.446  0.266 0.576  0.006 0.706  -0.254 0.836  -0.514 0.966  -0.774 1.096  -1.034 1.226  -1.143 1.321  -1.008 1.083  -0.836 0.851  -0.664 0.620  -0.534 0.360  -0.364 0.129  -0.124 -0.028  0.082 -0.233  0.348 -0.341  0.564 -0.530  0.837 -0.623  1.118 -0.687  1.359 -0.844
3#apa#apa13#app1345/K  -1.079 1.344  -0.983 1.217  -0.983 0.994  -0.888 0.810  -0.806 0.606  -0.792 0.387  -0.721 0.175  -0.696 -0.044  -0.696 -0.267  -0.696 -0.490  -0.632 -0.698  -0.601 -0.914  -0.470 -1.083  -0.336 -1.026  -0.218 -0.837  -0.100 -0.648  0.018 -0.459  0.137 -0.270  0.255 -0.080  0.373 0.109  0.491 0.298  0.610 0.487  0.728 0.676  0.846 0.865  0.964 1.055  1.018 1.049  0.841 0.917  0.634 0.857  0.457 0.725  0.258 0.625  0.048 0.568  -0.151 0.469  -0.343 0.358  -0.529 0.268  -0.709 0.142  -0.827 0.005  -0.821 -0.091  -0.693 -0.186  -0.484 -0.245  -0.309 -0.378  -0.086 -0.378  0.097 -0.474  0.303 -0.516  0.504 -0.569  0.708 -0.649  0.900 -0.731  1.092 -0.841  1.292 -0.941  1.472 -1.048  1.600 -1.143
3#apa#apa13#app1345/A  0.017 1.508  0.124 1.333  -0.012 1.101  -0.089 0.833  -0.183 0.574  -0.309 0.322  -0.435 0.071  -0.560 -0.181  -0.686 -0.432  -0.812 -0.683  -0.846 -0.954  -0.942 -1.196  -0.835 -1.370  -0.767 -1.097  -0.699 -0.824  -0.631 -0.552  -0.563 -0.279  -0.494 -0.006  -0.426 0.267  -0.358 0.539  -0.290 0.812  -0.222 1.085  -0.153 1.358  -0.089 1.598  0.017 1.424  0.231 1.275  0.368 1.051  0.444 0.801  0.520 0.532  0.550 0.256  0.569 -0.021  0.657 -0.281  0.764 -0.537  0.826 -0.793  0.949 -1.023  1.073 -1.253  0.960 -1.270  0.742 -1.092  0.523 -0.915  0.305 -0.738  0.087 -0.561  -0.131 -0.383  -0.349 -0.206  -0.567 -0.029  -0.411 0.016  -0.130 0.016  0.151 0.016  0.432 0.016  0.705 -0.036  0.977 -0.091
