3#apa#apa14#app1401/s  -0.583 1.252  -0.659 1.176  -0.753 1.146  -0.795 1.081  -0.862 1.040  -0.901 0.972  -0.901 0.865  -0.831 0.828  -0.724 0.828  -0.616 0.828  -0.509 0.828  -0.402 0.828  -0.295 0.828  -0.188 0.828  -0.104 0.773  -0.019 0.711  0.082 0.677  0.184 0.643  0.287 0.616  0.387 0.600  0.463 0.524  0.538 0.449  0.583 0.360  0.583 0.253  0.616 0.159  0.689 0.082  0.689 -0.025  0.689 -0.132  0.689 -0.239  0.689 -0.346  0.689 -0.453  0.689 -0.560  0.689 -0.667  0.683 -0.773  0.635 -0.869  0.587 -0.965  0.485 -0.973  0.407 -1.043  0.315 -1.079  0.207 -1.079  0.100 -1.079  -0.007 -1.079  -0.114 -1.079  -0.221 -1.079  -0.328 -1.079  -0.416 -1.034  -0.498 -0.973  -0.593 -0.953  -0.641 -0.857  -0.689 -0.761
3#apa#apa14#app1401/c  0.524 1.221  0.524 1.087  0.524 0.953  0.524 0.819  0.524 0.684  0.524 0.550  0.524 0.416  0.524 0.282  0.524 0.175  0.524 0.310  0.524 0.444  0.480 0.559  0.407 0.663  0.407 0.798  0.343 0.868  0.209 0.868  0.171 0.965  0.058 0.986  -0.073 0.977  -0.168 0.883  -0.296 0.868  -0.392 0.776  -0.487 0.681  -0.535 0.567  -0.572 0.442  -0.632 0.321  -0.715 0.218  -0.809 0.123  -0.889 0.021  -0.889 -0.113  -0.889 -0.247  -0.889 -0.381  -0.889 -0.515  -0.842 -0.638  -0.782 -0.759  -0.661 -0.780  -0.564 -0.870  -0.451 -0.940  -0.331 -1.000  -0.201 -1.016  -0.079 -1.068  0.041 -1.128  0.174 -1.134  0.308 -1.134  0.442 -1.134  0.576 -1.134  0.711 -1.134  0.845 -1.134  0.979 -1.134  1.113 -1.134
3#apa#apa14#app1401/r  -0.560 -0.003  -0.560 -0.129  -0.560 -0.254  -0.495 -0.314  -0.404 -0.348  -0.404 -0.473  -0.404 -0.598  -0.404 -0.724  -0.355 -0.828  -0.267 -0.917  -0.249 -1.034  -0.200 -1.139  -0.112 -1.227  -0.094 -1.345  -0.094 -1.330  -0.123 -1.216  -0.211 -1.128  -0.249 -1.019  -0.249 -0.894  -0.257 -0.772  -0.345 -0.683  -0.404 -0.583  -0.404 -0.458  -0.404 -0.333  -0.404 -0.208  -0.404 -0.083  -0.404 0.042  -0.404 0.167  -0.404 0.292  -0.404 0.417  -0.404 0.542  -0.404 0.667  -0.384 0.772  -0.259 0.772  -0.168 0.854  -0.074 0.927  0.051 0.927  0.176 0.927  0.301 0.927  0.427 0.927  0.552 0.927  0.677 0.927  0.802 0.927  0.927 0.927  1.052 0.927  1.177 0.927  1.302 0.927  1.390 0.839  1.487 0.772  1.613 0.772
3#apa#apa14#app1401/e  -0.638 -0.411  -0.477 -0.411  -0.316 -0.411  -0.155 -0.411  -0.144 -0.262  0.002 -0.246  0.021 -0.105  0.159 -0.082  0.280 0.013  0.350 0.145  0.391 0.289  0.505 0.402  0.515 0.559  0.616 0.678  0.680 0.813  0.680 0.973  0.680 1.134  0.621 1.236  0.460 1.236  0.299 1.236  0.138 1.236  -0.023 1.236  -0.172 1.208  -0.286 1.094  -0.399 0.980  -0.513 0.867  -0.627 0.753  -0.638 0.597  -0.738 0.477  -0.803 0.343  -0.803 0.182  -0.803 0.022  -0.803 -0.139  -0.803 -0.300  -0.803 -0.461  -0.770 -0.608  -0.656 -0.722  -0.543 -0.836  -0.410 -0.905  -0.251 -0.919  -0.095 -0.958  0.061 -0.997  0.217 -1.036  0.374 -1.070  0.534 -1.070  0.695 -1.070  0.856 -1.070  1.017 -1.070  1.178 -1.070  1.339 -1.070
3#apa#apa14#app1401/a  0.137 0.049  0.286 0.168  0.376 0.277  0.495 0.427  0.495 0.625  0.435 0.763  0.356 0.883  0.256 0.982  0.084 1.028  -0.093 1.117  -0.291 1.121  -0.480 1.099  -0.638 1.002  -0.795 0.902  -0.936 0.762  -1.076 0.622  -1.172 0.463  -1.236 0.280  -1.291 0.095  -1.291 -0.104  -1.291 -0.302  -1.172 -0.451  -1.069 -0.546  -0.920 -0.665  -0.722 -0.665  -0.523 -0.665  -0.325 -0.665  -0.136 -0.624  0.041 -0.535  0.218 -0.446  0.367 -0.317  0.507 -0.177  0.614 -0.023  0.608 0.174  0.495 0.325  0.378 0.406  0.179 0.406  0.137 0.250  0.137 0.051  0.137 -0.147  0.164 -0.334  0.304 -0.475  0.444 -0.615  0.585 -0.755  0.725 -0.896  0.920 -0.903  1.115 -0.916  1.293 -1.005  1.487 -1.023  1.685 -1.023
3#apa#apa14#app1401/m  -1.360 0.539  -1.261 0.480  -1.261 0.322  -1.261 0.163  -1.261 0.005  -1.190 -0.123  -1.163 -0.270  -1.083 -0.348  -1.035 -0.418  -0.923 -0.306  -0.867 -0.171  -0.867 -0.013  -0.797 0.116  -0.755 0.257  -0.670 0.379  -0.601 0.509  -0.489 0.621  -0.472 0.504  -0.472 0.345  -0.433 0.204  -0.374 0.070  -0.374 -0.088  -0.374 -0.246  -0.318 -0.348  -0.258 -0.447  -0.100 -0.447  0.018 -0.350  0.144 -0.298  0.215 -0.156  0.286 -0.015  0.316 0.136  0.415 0.253  0.464 0.391  0.576 0.503  0.618 0.643  0.737 0.736  0.809 0.650  0.908 0.533  0.908 0.375  0.908 0.217  0.908 0.059  0.941 -0.086  1.036 -0.210  1.105 -0.352  1.150 -0.491  1.262 -0.603  1.373 -0.715  1.485 -0.827  1.637 -0.841  1.795 -0.841
3#apa#apa14#app1401/e  -0.385 -0.353  -0.238 -0.353  -0.131 -0.256  -0.027 -0.152  0.077 -0.048  0.089 0.095  0.143 0.229  0.209 0.361  0.290 0.481  0.395 0.585  0.405 0.728  0.405 0.875  0.405 1.023  0.334 1.140  0.222 1.227  0.075 1.227  -0.072 1.226  -0.204 1.160  -0.335 1.094  -0.450 1.005  -0.550 0.898  -0.616 0.766  -0.682 0.634  -0.805 0.595  -0.859 0.503  -0.859 0.355  -0.859 0.208  -0.859 0.061  -0.859 -0.086  -0.859 -0.234  -0.859 -0.381  -0.843 -0.518  -0.712 -0.584  -0.580 -0.650  -0.468 -0.743  -0.355 -0.826  -0.208 -0.826  -0.061 -0.826  0.086 -0.826  0.234 -0.826  0.381 -0.826  0.528 -0.826  0.675 -0.826  0.822 -0.826  0.970 -0.826  1.117 -0.826  1.264 -0.826  1.405 -0.800  1.537 -0.734  1.669 -0.668
3#apa#apa14#app1401/d  0.016 1.944  0.066 1.842  0.117 1.742  0.166 1.639  0.219 1.541  0.219 1.389  0.219 1.237  0.219 1.085  0.219 0.933  0.219 0.781  0.219 0.629  0.238 0.482  0.306 0.346  0.321 0.198  0.321 0.046  0.403 -0.072  0.423 -0.215  0.473 -0.346  0.525 -0.477  0.525 -0.370  0.525 -0.218  0.525 -0.066  0.525 0.086  0.468 0.224  0.373 0.315  0.221 0.315  0.069 0.315  -0.083 0.315  -0.188 0.269  -0.257 0.145  -0.364 0.038  -0.471 -0.070  -0.579 -0.177  -0.686 -0.284  -0.758 -0.417  -0.826 -0.553  -0.894 -0.689  -0.901 -0.839  -0.901 -0.991  -0.868 -1.110  -0.716 -1.110  -0.564 -1.110  -0.412 -1.110  -0.261 -1.110  -0.109 -1.110  0.043 -1.110  0.195 -1.110  0.347 -1.110  0.491 -1.076  0.626 -1.008
3#apa#apa14#app1401/a  0.360 0.315  0.360 0.472  0.331 0.618  0.218 0.725  0.086 0.751  0.040 0.862  -0.117 0.862  -0.274 0.862  -0.400 0.786  -0.532 0.725  -0.690 0.725  -0.734 0.612  -0.828 0.494  -0.968 0.452  -1.091 0.368  -1.144 0.233  -1.217 0.106  -1.281 -0.025  -1.281 -0.182  -1.281 -0.339  -1.153 -0.369  -1.132 -0.505  -0.975 -0.505  -0.818 -0.505  -0.660 -0.505  -0.503 -0.505  -0.346 -0.505  -0.228 -0.410  -0.117 -0.298  0.013 -0.232  0.145 -0.173  0.257 -0.062  0.360 0.053  0.360 0.210  0.307 0.315  0.223 0.242  0.289 0.112  0.360 -0.016  0.415 -0.151  0.526 -0.262  0.639 -0.369  0.794 -0.381  0.934 -0.451  1.079 -0.505  1.233 -0.523  1.382 -0.573  1.532 -0.623  1.686 -0.642  1.843 -0.642  2.000 -0.642
3#apa#apa14#app1401/t  0.385 1.733  0.385 1.553  0.385 1.374  0.385 1.194  0.385 1.015  0.385 0.835  0.385 0.656  0.385 0.476  0.385 0.296  0.385 0.117  0.385 -0.063  0.385 -0.242  0.385 -0.422  0.385 -0.601  0.385 -0.781  0.385 -0.960  0.461 -1.108  0.516 -1.265  0.535 -1.426  0.598 -1.383  0.463 -1.264  0.328 -1.146  0.193 -1.028  0.058 -0.910  -0.077 -0.791  -0.212 -0.673  -0.348 -0.555  -0.483 -0.437  -0.618 -0.319  -0.753 -0.200  -0.888 -0.082  -1.023 0.036  -1.158 0.154  -1.293 0.273  -1.428 0.391  -1.318 0.417  -1.138 0.417  -0.959 0.417  -0.779 0.417  -0.599 0.417  -0.420 0.417  -0.240 0.417  -0.061 0.417  0.119 0.417  0.289 0.361  0.459 0.304  0.636 0.285  0.815 0.285  0.995 0.285  1.174 0.285
3#apa#apa14#app1401/h  -0.393 1.805  -0.393 1.859  -0.393 1.698  -0.393 1.536  -0.393 1.374  -0.393 1.212  -0.393 1.050  -0.393 0.888  -0.393 0.726  -0.465 0.581  -0.501 0.428  -0.501 0.266  -0.501 0.104  -0.501 -0.058  -0.501 -0.220  -0.501 -0.382  -0.501 -0.543  -0.501 -0.705  -0.443 -0.843  -0.393 -0.984  -0.355 -0.893  -0.285 -0.801  -0.285 -0.640  -0.285 -0.478  -0.285 -0.316  -0.220 -0.181  -0.177 -0.037  -0.144 0.111  -0.069 0.242  -0.069 0.404  -0.030 0.550  0.039 0.683  0.147 0.715  0.147 0.553  0.200 0.404  0.255 0.255  0.255 0.093  0.321 -0.053  0.363 -0.205  0.449 -0.332  0.471 -0.484  0.525 -0.624  0.579 -0.764  0.704 -0.848  0.822 -0.947  0.894 -1.092  1.004 -1.210  1.150 -1.248  1.280 -1.325  1.442 -1.325
