3#apa#apa14#app1473/1  -0.146 1.409  -0.146 1.482  -0.146 1.555  -0.146 1.537  -0.146 1.463  -0.146 1.390  -0.146 1.317  -0.146 1.244  -0.146 1.171  -0.146 1.097  -0.129 1.028  -0.096 0.963  -0.063 0.897  -0.031 0.832  0.002 0.766  0.028 0.699  0.028 0.626  0.028 0.553  0.028 0.480  0.028 0.406  0.028 0.333  0.028 0.260  0.028 0.187  0.028 0.114  0.028 0.040  0.028 -0.033  0.028 -0.106  0.028 -0.179  0.028 -0.252  0.028 -0.326  0.028 -0.399  0.028 -0.472  0.028 -0.545  0.028 -0.618  0.028 -0.692  0.028 -0.765  0.028 -0.838  0.028 -0.911  0.028 -0.984  0.028 -1.058  0.028 -1.131  0.028 -1.204  0.028 -1.277  0.028 -1.350  0.066 -1.408  0.118 -1.460  0.169 -1.511  0.202 -1.517  0.202 -1.443  0.202 -1.370
3#apa#apa14#app1473/0  -0.163 1.086  -0.260 1.184  -0.357 1.281  -0.423 1.184  -0.485 1.060  -0.546 0.937  -0.575 0.806  -0.575 0.668  -0.575 0.531  -0.575 0.393  -0.575 0.255  -0.575 0.117  -0.609 -0.012  -0.671 -0.136  -0.732 -0.259  -0.772 -0.384  -0.728 -0.514  -0.685 -0.645  -0.641 -0.776  -0.598 -0.906  -0.529 -1.021  -0.431 -1.119  -0.319 -1.181  -0.181 -1.181  -0.044 -1.181  0.094 -1.181  0.232 -1.181  0.370 -1.181  0.479 -1.135  0.541 -1.012  0.602 -0.889  0.662 -0.765  0.662 -0.627  0.662 -0.489  0.664 -0.352  0.707 -0.221  0.751 -0.090  0.794 0.040  0.838 0.171  0.849 0.299  0.788 0.423  0.726 0.546  0.665 0.669  0.569 0.768  0.471 0.865  0.352 0.932  0.229 0.994  0.106 1.055  -0.025 1.086  -0.163 1.086
3#apa#apa14#app1473/0  -0.485 1.175  -0.575 1.085  -0.665 0.995  -0.677 0.872  -0.677 0.744  -0.677 0.616  -0.677 0.488  -0.677 0.360  -0.677 0.233  -0.677 0.105  -0.677 -0.023  -0.677 -0.151  -0.677 -0.279  -0.677 -0.406  -0.677 -0.534  -0.677 -0.662  -0.661 -0.786  -0.603 -0.900  -0.546 -1.015  -0.489 -1.129  -0.367 -1.138  -0.239 -1.138  -0.111 -1.138  0.017 -1.138  0.144 -1.138  0.272 -1.138  0.337 -1.037  0.395 -0.922  0.452 -0.808  0.509 -0.694  0.566 -0.579  0.623 -0.465  0.677 -0.349  0.708 -0.225  0.739 -0.101  0.770 0.023  0.801 0.147  0.832 0.271  0.863 0.395  0.865 0.522  0.827 0.635  0.737 0.725  0.647 0.815  0.556 0.906  0.466 0.996  0.376 1.086  0.285 1.175  0.157 1.175  0.029 1.175  -0.099 1.175
3#apa#apa14#app1473/%  -0.606 0.742  -0.738 0.874  -0.844 0.944  -0.918 0.787  -1.050 0.655  -1.082 0.482  -1.019 0.321  -0.861 0.300  -0.683 0.359  -0.606 0.489  -0.487 0.627  -0.487 0.814  -0.626 0.861  -0.639 0.880  -0.457 0.921  -0.274 0.961  -0.092 1.002  0.090 1.042  0.273 1.083  0.269 1.178  0.228 1.090  0.228 0.903  0.228 0.716  0.228 0.529  0.228 0.343  0.228 0.156  0.205 -0.026  0.132 -0.198  0.058 -0.370  -0.015 -0.541  -0.089 -0.713  -0.129 -0.892  -0.153 -1.069  -0.196 -1.164  -0.025 -1.105  0.137 -1.012  0.299 -0.919  0.461 -0.827  0.623 -0.734  0.639 -0.622  0.586 -0.680  0.506 -0.848  0.467 -1.025  0.515 -1.164  0.696 -1.127  0.873 -1.068  1.023 -0.965  1.057 -0.796  0.973 -0.629  0.824 -0.568
3#apa#apa14#app1473/o  0.890 0.620  0.789 0.721  0.689 0.821  0.588 0.921  0.488 1.022  0.387 1.122  0.255 1.146  0.113 1.146  -0.029 1.146  -0.162 1.137  -0.162 0.995  -0.183 0.862  -0.284 0.761  -0.384 0.661  -0.485 0.560  -0.585 0.460  -0.685 0.359  -0.732 0.225  -0.776 0.091  -0.821 -0.044  -0.866 -0.179  -0.911 -0.314  -0.950 -0.449  -0.950 -0.591  -0.923 -0.722  -0.822 -0.822  -0.722 -0.923  -0.622 -1.023  -0.521 -1.124  -0.419 -1.220  -0.277 -1.220  -0.135 -1.220  0.007 -1.220  0.135 -1.186  0.235 -1.086  0.336 -0.985  0.436 -0.885  0.537 -0.784  0.627 -0.679  0.627 -0.537  0.627 -0.395  0.627 -0.253  0.627 -0.111  0.627 0.031  0.627 0.173  0.627 0.315  0.627 0.457  0.627 0.599  0.627 0.741  0.627 0.883
3#apa#apa14#app1473/f  0.600 1.515  0.489 1.626  0.351 1.668  0.195 1.668  0.039 1.668  -0.070 1.580  -0.157 1.450  -0.244 1.320  -0.334 1.193  -0.444 1.083  -0.470 0.938  -0.470 0.781  -0.470 0.625  -0.399 0.491  -0.312 0.361  -0.225 0.231  -0.144 0.098  -0.074 -0.041  0.000 -0.178  0.111 -0.288  0.221 -0.398  0.318 -0.519  0.387 -0.658  0.447 -0.800  0.447 -0.956  0.447 -1.112  0.447 -1.269  0.447 -1.425  0.407 -1.541  0.273 -1.503  0.197 -1.367  0.121 -1.231  0.046 -1.094  -0.030 -0.958  -0.106 -0.821  -0.182 -0.685  -0.258 -0.548  -0.333 -0.412  -0.409 -0.275  -0.501 -0.166  -0.623 -0.132  -0.586 -0.013  -0.430 -0.013  -0.274 -0.013  -0.118 -0.013  0.039 -0.013  0.195 -0.013  0.351 -0.013  0.489 0.030  0.600 0.140
3#apa#apa14#app1473/#  -0.308 1.042  -0.483 1.054  -0.483 0.644  -0.501 0.235  -0.569 -0.170  -0.636 -0.574  -0.658 -0.983  -0.658 -1.393  -0.642 -1.719  -0.490 -1.338  -0.337 -0.957  -0.185 -0.576  -0.033 -0.195  0.120 0.186  0.272 0.567  0.424 0.948  0.577 1.328  0.729 1.709  0.623 1.386  0.567 0.985  0.567 0.575  0.567 0.164  0.520 -0.241  0.440 -0.643  0.392 -1.049  0.342 -1.409  0.015 -1.207  -0.275 -0.917  -0.565 -0.627  -0.855 -0.337  -1.145 -0.047  -1.022 0.247  -0.655 0.431  -0.269 0.559  0.133 0.640  0.531 0.738  0.920 0.867  1.267 0.804  0.996 0.567  0.624 0.395  0.252 0.223  -0.121 0.051  -0.493 -0.121  -0.866 -0.293  -0.756 -0.359  -0.345 -0.359  0.065 -0.359  0.462 -0.277  0.857 -0.184  1.092 -0.009
3#apa#apa14#app1473/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa14#app1473/s  0.434 0.297  0.434 0.443  0.434 0.589  0.434 0.735  0.434 0.881  0.393 0.987  0.247 0.987  0.101 0.987  -0.045 0.987  -0.191 0.987  -0.337 0.987  -0.483 0.987  -0.614 0.923  -0.745 0.858  -0.876 0.793  -0.994 0.710  -1.097 0.607  -1.154 0.503  -1.050 0.400  -0.947 0.297  -0.801 0.297  -0.655 0.297  -0.509 0.297  -0.376 0.241  -0.245 0.176  -0.114 0.111  0.021 0.067  0.167 0.067  0.313 0.067  0.460 0.067  0.606 0.067  0.726 0.004  0.829 -0.099  0.894 -0.218  0.894 -0.364  0.894 -0.511  0.894 -0.657  0.894 -0.803  0.809 -0.896  0.678 -0.962  0.547 -1.027  0.415 -1.090  0.277 -1.136  0.138 -1.182  -0.000 -1.228  -0.139 -1.275  -0.279 -1.314  -0.425 -1.314  -0.571 -1.314  -0.717 -1.314
3#apa#apa14#app1473/  -0.660 -1.454  -0.710 -1.404  -0.759 -1.355  -0.766 -1.287  -0.753 -1.221  -0.714 -1.163  -0.675 -1.104  -0.636 -1.046  -0.597 -0.987  -0.558 -0.929  -0.515 -0.873  -0.471 -0.818  -0.427 -0.764  -0.383 -0.709  -0.339 -0.654  -0.295 -0.599  -0.251 -0.544  -0.207 -0.489  -0.163 -0.434  -0.123 -0.377  -0.101 -0.310  -0.079 -0.244  -0.057 -0.177  -0.035 -0.110  -0.009 -0.045  0.023 0.018  0.054 0.081  0.086 0.144  0.117 0.206  0.149 0.269  0.180 0.332  0.211 0.395  0.243 0.458  0.274 0.521  0.307 0.583  0.343 0.643  0.379 0.704  0.415 0.764  0.452 0.824  0.488 0.885  0.524 0.945  0.560 1.005  0.596 1.065  0.630 1.127  0.662 1.190  0.693 1.253  0.724 1.316  0.724 1.386  0.724 1.456  0.724 1.527
3#apa#apa14#app1473/0  0.091 0.940  -0.022 0.883  -0.136 0.826  -0.254 0.787  -0.377 0.778  -0.467 0.688  -0.557 0.598  -0.647 0.508  -0.737 0.418  -0.827 0.328  -0.828 0.202  -0.828 0.074  -0.828 -0.053  -0.828 -0.180  -0.828 -0.307  -0.828 -0.434  -0.828 -0.561  -0.797 -0.683  -0.757 -0.804  -0.717 -0.925  -0.677 -1.045  -0.567 -1.105  -0.453 -1.162  -0.339 -1.190  -0.225 -1.133  -0.112 -1.076  -0.002 -1.012  0.103 -0.941  0.209 -0.871  0.315 -0.800  0.410 -0.720  0.467 -0.606  0.524 -0.493  0.581 -0.379  0.637 -0.265  0.694 -0.152  0.779 -0.058  0.857 0.037  0.857 0.164  0.857 0.291  0.857 0.418  0.857 0.546  0.857 0.673  0.851 0.798  0.794 0.912  0.738 1.026  0.667 1.130  0.577 1.220  0.487 1.310  0.398 1.399
