3#apa#apa19#app1992/!  -0.061 1.748  -0.061 1.674  -0.061 1.599  -0.061 1.525  -0.061 1.451  -0.061 1.377  -0.061 1.303  -0.061 1.228  -0.061 1.154  -0.061 1.080  -0.061 1.006  -0.061 0.931  -0.061 0.857  -0.061 0.783  -0.061 0.709  -0.061 0.634  -0.061 0.560  -0.061 0.486  -0.061 0.412  -0.061 0.338  -0.061 0.263  -0.061 0.189  -0.061 0.115  -0.061 0.041  -0.061 -0.034  -0.061 -0.108  -0.061 -0.182  -0.061 -0.256  -0.038 -0.308  0.036 -0.308  0.098 -0.321  0.098 -0.395  0.098 -0.469  0.098 -0.543  0.098 -0.618  0.098 -0.692  0.098 -0.766  0.098 -0.840  0.098 -0.915  0.098 -0.989  0.098 -1.063  0.098 -1.137  0.098 -1.212  0.098 -1.286  0.098 -1.360  0.098 -1.434  0.098 -1.508  0.088 -1.573  0.014 -1.573  -0.061 -1.573
3#apa#apa19#app1992/@  0.389 0.077  0.180 0.239  0.065 0.401  -0.212 0.401  -0.327 0.239  -0.442 0.077  -0.584 -0.058  -0.584 -0.335  -0.440 -0.553  -0.171 -0.572  0.065 -0.531  0.221 -0.410  0.227 -0.139  0.385 0.072  0.389 0.348  0.227 0.340  0.103 0.115  0.065 -0.147  0.065 -0.424  0.065 -0.701  0.309 -0.734  0.586 -0.734  0.863 -0.734  1.038 -0.632  1.191 -0.419  1.363 -0.213  1.363 0.064  1.290 0.311  1.094 0.507  1.013 0.751  0.793 0.888  0.574 1.028  0.373 1.212  0.096 1.212  -0.181 1.212  -0.458 1.212  -0.690 1.105  -0.908 1.013  -1.015 0.781  -1.159 0.548  -1.232 0.288  -1.232 0.011  -1.232 -0.266  -1.138 -0.504  -0.942 -0.700  -0.746 -0.896  -0.550 -1.092  -0.327 -1.221  -0.050 -1.221  0.227 -1.221
3#apa#apa19#app1992/#  -0.243 1.148  -0.243 0.775  -0.243 0.402  -0.243 0.028  -0.243 -0.345  -0.243 -0.718  -0.327 -1.057  -0.508 -1.355  -0.508 -1.728  -0.416 -1.446  -0.314 -1.087  -0.211 -0.728  -0.108 -0.369  -0.006 -0.010  0.097 0.349  0.199 0.708  0.302 1.067  0.404 1.426  0.507 1.785  0.552 1.735  0.589 1.377  0.817 1.098  0.817 0.725  0.817 0.352  0.817 -0.022  0.817 -0.395  0.817 -0.768  0.817 -1.142  0.595 -1.071  0.296 -0.847  -0.002 -0.623  -0.301 -0.399  -0.600 -0.175  -0.898 0.049  -1.197 0.273  -1.063 0.353  -0.792 0.600  -0.426 0.618  -0.053 0.618  0.321 0.618  0.694 0.618  0.609 0.479  0.299 0.272  -0.012 0.065  -0.323 -0.142  -0.633 -0.349  -0.773 -0.647  -0.459 -0.707  -0.086 -0.707  0.287 -0.707
3#apa#apa19#app1992/$  0.758 0.361  0.551 0.540  0.234 0.706  -0.147 0.719  -0.470 0.567  -0.328 0.361  -0.126 0.169  0.191 0.002  0.398 -0.177  0.598 -0.376  0.758 -0.695  0.758 -1.082  0.544 -1.254  0.157 -1.254  -0.229 -1.254  -0.616 -1.254  -0.823 -1.074  -1.008 -0.799  -0.902 -0.428  -0.795 -0.056  -0.689 0.316  -0.583 0.687  -0.477 1.059  -0.371 1.430  -0.308 1.427  -0.138 1.111  -0.138 0.724  -0.138 0.338  -0.138 -0.048  -0.138 -0.435  -0.138 -0.821  -0.138 -1.208  -0.121 -1.273  -0.078 -0.889  -0.035 -0.505  0.007 -0.121  0.050 0.263  0.093 0.647  0.135 1.031  0.178 1.416  0.220 1.791  0.243 1.414  0.400 1.093  0.400 0.706  0.400 0.320  0.400 -0.067  0.400 -0.453  0.400 -0.839  0.400 -1.226  0.400 -1.612
3#apa#apa19#app1992/%  -0.783 0.990  -1.005 0.990  -1.179 0.875  -1.243 0.717  -1.243 0.495  -1.215 0.301  -0.993 0.301  -0.771 0.301  -0.553 0.305  -0.474 0.494  -0.438 0.701  -0.553 0.875  -0.660 0.990  -0.454 0.990  -0.232 0.990  -0.010 0.990  0.164 1.105  0.387 1.105  0.597 1.094  0.594 0.873  0.437 0.716  0.363 0.524  0.239 0.339  0.137 0.148  0.035 -0.031  -0.018 -0.239  -0.117 -0.437  -0.208 -0.638  -0.219 -0.849  -0.323 -0.967  -0.323 -1.189  -0.190 -1.023  -0.054 -0.848  0.083 -0.672  0.219 -0.497  0.355 -0.322  0.466 -0.159  0.359 -0.274  0.252 -0.389  0.252 -0.611  0.252 -0.833  0.367 -1.008  0.518 -1.079  0.740 -1.079  0.962 -1.079  1.146 -0.989  1.172 -0.778  1.172 -0.556  1.049 -0.389  0.942 -0.274
3#apa#apa19#app1992/^  -1.202 -1.204  -1.078 -1.204  -0.955 -1.204  -0.832 -1.204  -0.782 -1.130  -0.782 -1.007  -0.782 -0.884  -0.782 -0.760  -0.782 -0.637  -0.782 -0.513  -0.782 -0.390  -0.782 -0.267  -0.782 -0.143  -0.782 -0.020  -0.733 0.054  -0.609 0.054  -0.486 0.054  -0.363 0.054  -0.363 0.177  -0.363 0.301  -0.363 0.424  -0.363 0.547  -0.363 0.671  -0.363 0.794  -0.338 0.892  -0.215 0.892  -0.091 0.892  0.032 0.892  0.156 0.892  0.279 0.892  0.402 0.892  0.476 0.842  0.476 0.719  0.476 0.596  0.476 0.473  0.600 0.473  0.723 0.473  0.846 0.473  0.895 0.398  0.895 0.275  0.895 0.152  0.895 0.028  0.895 -0.095  0.895 -0.219  0.895 -0.342  0.965 -0.436  1.053 -0.523  1.140 -0.611  1.227 -0.698  1.314 -0.785
3#apa#apa19#app1992/&  0.359 2.130  0.359 1.918  0.359 1.706  0.359 1.494  0.359 1.283  0.359 1.071  0.283 0.877  0.188 0.687  0.093 0.497  0.084 0.288  0.084 0.076  0.084 -0.136  0.084 -0.348  0.084 -0.560  0.189 -0.729  0.338 -0.878  0.359 -1.082  0.359 -1.294  0.359 -1.393  0.359 -1.182  0.359 -0.970  0.359 -0.758  0.324 -0.554  0.229 -0.364  0.134 -0.175  -0.014 -0.073  -0.192 -0.038  -0.192 0.174  -0.375 0.203  -0.552 0.287  -0.702 0.437  -0.897 0.478  -1.109 0.478  -1.293 0.451  -1.293 0.239  -1.293 0.027  -1.181 -0.073  -0.983 -0.107  -0.834 -0.257  -0.659 -0.348  -0.447 -0.348  -0.235 -0.348  -0.023 -0.348  0.189 -0.348  0.401 -0.348  0.613 -0.348  0.825 -0.348  1.037 -0.348  1.249 -0.348  1.460 -0.348
3#apa#apa19#app1992/*  0.497 1.610  0.497 1.264  0.497 0.917  0.497 0.571  0.493 0.226  0.248 -0.019  0.152 -0.326  0.152 -0.672  0.152 -1.019  -0.021 -1.021  -0.298 -0.813  -0.575 -0.605  -0.852 -0.397  -1.129 -0.189  -1.005 -0.115  -0.659 -0.115  -0.312 -0.115  0.034 -0.115  0.381 -0.115  0.727 -0.115  1.074 -0.115  1.083 0.094  0.928 0.404  0.732 0.466  0.483 0.230  0.137 0.230  -0.193 0.214  -0.211 -0.115  -0.552 -0.129  -0.797 -0.374  -0.883 -0.685  -1.109 -0.805  -1.228 -1.033  -1.191 -0.924  -1.134 -0.582  -1.077 -0.240  -1.020 0.101  -0.963 0.443  -0.906 0.785  -0.674 0.920  -0.350 0.826  -0.040 0.671  0.284 0.575  0.497 0.441  0.632 0.230  0.979 0.230  1.187 0.092  1.327 -0.115  1.632 -0.215  1.877 -0.460
3#apa#apa19#app1992/(  0.703 1.232  0.619 1.232  0.535 1.232  0.451 1.232  0.367 1.232  0.284 1.232  0.200 1.232  0.131 1.195  0.072 1.136  0.060 1.057  0.016 1.017  -0.047 0.996  -0.047 0.913  -0.120 0.874  -0.195 0.836  -0.261 0.793  -0.261 0.710  -0.311 0.646  -0.368 0.586  -0.368 0.503  -0.368 0.419  -0.368 0.335  -0.368 0.251  -0.368 0.167  -0.368 0.083  -0.368 -0.000  -0.368 -0.084  -0.368 -0.168  -0.368 -0.252  -0.347 -0.332  -0.320 -0.412  -0.294 -0.491  -0.267 -0.571  -0.215 -0.634  -0.156 -0.694  -0.154 -0.777  -0.128 -0.854  -0.091 -0.929  -0.053 -1.004  0.002 -1.066  0.062 -1.125  0.137 -1.162  0.212 -1.200  0.288 -1.231  0.372 -1.231  0.434 -1.284  0.494 -1.343  0.553 -1.402  0.619 -1.445  0.703 -1.445
3#apa#apa19#app1992/)  -0.791 1.146  -0.791 1.226  -0.746 1.261  -0.666 1.261  -0.586 1.261  -0.561 1.207  -0.542 1.146  -0.462 1.146  -0.388 1.118  -0.317 1.082  -0.245 1.046  -0.194 0.990  -0.159 0.918  -0.123 0.847  -0.080 0.780  -0.023 0.724  0.033 0.667  0.090 0.611  0.131 0.548  0.131 0.468  0.131 0.388  0.153 0.317  0.210 0.261  0.259 0.199  0.294 0.127  0.330 0.056  0.361 -0.017  0.361 -0.097  0.361 -0.177  0.361 -0.257  0.361 -0.337  0.361 -0.417  0.361 -0.497  0.361 -0.577  0.361 -0.657  0.361 -0.737  0.359 -0.816  0.323 -0.888  0.287 -0.959  0.252 -1.031  0.198 -1.090  0.142 -1.146  0.131 -1.221  0.110 -1.293  0.054 -1.350  -0.010 -1.388  -0.090 -1.388  -0.100 -1.458  -0.135 -1.503  -0.215 -1.503
3#apa#apa19#app1992/`  -1.009 1.177  -1.009 1.101  -1.009 1.024  -1.009 0.948  -1.009 0.872  -1.009 0.795  -1.009 0.719  -1.009 0.642  -1.009 0.566  -0.964 0.535  -0.887 0.535  -0.811 0.535  -0.734 0.535  -0.658 0.535  -0.581 0.535  -0.505 0.535  -0.428 0.535  -0.356 0.525  -0.302 0.471  -0.248 0.416  -0.194 0.362  -0.140 0.308  -0.086 0.254  -0.032 0.200  0.022 0.146  0.076 0.092  0.130 0.038  0.184 -0.016  0.239 -0.070  0.293 -0.124  0.347 -0.178  0.401 -0.232  0.455 -0.286  0.509 -0.340  0.563 -0.394  0.617 -0.448  0.671 -0.503  0.725 -0.557  0.779 -0.611  0.833 -0.665  0.887 -0.719  0.919 -0.782  0.919 -0.858  0.919 -0.935  0.919 -1.011  0.919 -1.088  0.919 -1.164  0.919 -1.241  0.919 -1.317  0.919 -1.394
