3#apa#apa20#app2005/[  0.664 0.927  0.737 0.927  0.664 0.969  0.664 1.082  0.582 1.113  0.561 1.206  0.447 1.206  0.334 1.206  0.220 1.206  0.106 1.206  -0.001 1.192  -0.082 1.113  -0.194 1.103  -0.295 1.052  -0.389 0.990  -0.451 0.902  -0.406 0.834  -0.358 0.768  -0.358 0.654  -0.358 0.541  -0.358 0.427  -0.358 0.313  -0.358 0.200  -0.358 0.086  -0.358 -0.028  -0.358 -0.141  -0.358 -0.255  -0.358 -0.369  -0.358 -0.482  -0.358 -0.596  -0.319 -0.693  -0.265 -0.785  -0.265 -0.898  -0.265 -1.012  -0.265 -1.126  -0.294 -1.211  -0.358 -1.163  -0.309 -1.069  -0.214 -1.025  -0.172 -0.953  -0.080 -0.932  0.034 -0.932  0.148 -0.932  0.261 -0.932  0.375 -0.932  0.489 -0.932  0.602 -0.932  0.716 -0.932  0.830 -0.932  0.850 -1.025
3#apa#apa20#app2005/(  0.564 1.402  0.482 1.402  0.400 1.402  0.318 1.402  0.246 1.380  0.188 1.322  0.169 1.247  0.142 1.177  0.084 1.119  0.026 1.061  -0.032 1.003  -0.090 0.945  -0.140 0.882  -0.177 0.809  -0.213 0.735  -0.264 0.672  -0.322 0.615  -0.324 0.533  -0.324 0.451  -0.356 0.383  -0.414 0.325  -0.423 0.247  -0.423 0.165  -0.423 0.083  -0.423 0.001  -0.423 -0.081  -0.423 -0.163  -0.423 -0.245  -0.423 -0.327  -0.398 -0.398  -0.340 -0.456  -0.297 -0.525  -0.261 -0.599  -0.224 -0.671  -0.166 -0.729  -0.108 -0.787  -0.050 -0.845  0.008 -0.903  0.066 -0.961  0.124 -1.019  0.182 -1.077  0.240 -1.135  0.310 -1.163  0.389 -1.174  0.462 -1.211  0.536 -1.247  0.614 -1.262  0.696 -1.262  0.778 -1.262  0.860 -1.262
3#apa#apa20#app2005/1  -0.149 1.041  -0.149 1.116  -0.149 1.192  -0.149 1.268  -0.149 1.344  -0.149 1.420  -0.149 1.393  -0.149 1.317  -0.149 1.241  -0.149 1.165  -0.149 1.089  -0.130 1.021  -0.077 0.968  -0.023 0.914  0.031 0.861  0.053 0.794  0.053 0.718  0.053 0.642  0.053 0.566  0.053 0.490  0.053 0.414  0.053 0.339  0.053 0.263  0.053 0.187  0.053 0.111  0.053 0.035  0.053 -0.041  0.053 -0.116  0.053 -0.192  0.053 -0.268  0.053 -0.344  0.053 -0.420  0.053 -0.496  0.053 -0.572  0.053 -0.647  0.053 -0.723  0.053 -0.799  0.053 -0.875  0.053 -0.951  0.053 -1.027  0.053 -1.103  0.053 -1.178  0.053 -1.254  0.053 -1.330  0.053 -1.406  0.053 -1.482  0.053 -1.558  0.053 -1.633  0.053 -1.709  0.053 -1.785
3#apa#apa20#app2005/)  -0.938 1.119  -0.938 1.199  -0.870 1.210  -0.790 1.210  -0.710 1.210  -0.640 1.186  -0.583 1.130  -0.508 1.119  -0.443 1.081  -0.386 1.026  -0.314 0.990  -0.243 0.954  -0.179 0.908  -0.122 0.852  -0.066 0.795  -0.012 0.736  0.032 0.669  0.076 0.603  0.121 0.536  0.164 0.469  0.200 0.397  0.235 0.326  0.271 0.254  0.307 0.183  0.342 0.111  0.342 0.031  0.342 -0.049  0.384 -0.111  0.433 -0.171  0.433 -0.251  0.433 -0.331  0.433 -0.411  0.433 -0.491  0.433 -0.571  0.433 -0.651  0.433 -0.731  0.426 -0.808  0.369 -0.864  0.342 -0.933  0.321 -1.004  0.264 -1.061  0.208 -1.117  0.151 -1.174  0.095 -1.230  0.038 -1.287  -0.019 -1.343  -0.075 -1.400  -0.138 -1.440  -0.218 -1.440  -0.298 -1.440
3#apa#apa20#app2005/(  0.439 1.345  0.439 1.423  0.375 1.437  0.297 1.437  0.229 1.411  0.174 1.356  0.119 1.300  0.063 1.245  0.008 1.190  -0.021 1.124  -0.032 1.048  -0.067 0.978  -0.101 0.908  -0.113 0.833  -0.125 0.757  -0.150 0.682  -0.175 0.608  -0.199 0.534  -0.232 0.463  -0.267 0.393  -0.298 0.322  -0.298 0.244  -0.298 0.166  -0.298 0.088  -0.298 0.010  -0.298 -0.069  -0.298 -0.147  -0.298 -0.225  -0.298 -0.303  -0.298 -0.381  -0.298 -0.460  -0.298 -0.538  -0.286 -0.613  -0.251 -0.683  -0.216 -0.753  -0.166 -0.813  -0.111 -0.868  -0.056 -0.923  -0.001 -0.978  0.055 -1.034  0.110 -1.089  0.165 -1.144  0.221 -1.200  0.284 -1.234  0.358 -1.245  0.413 -1.300  0.481 -1.326  0.559 -1.326  0.637 -1.326  0.715 -1.326
3#apa#apa20#app2005/2  -0.468 1.063  -0.584 1.063  -0.628 1.135  -0.602 1.224  -0.486 1.224  -0.369 1.224  -0.253 1.224  -0.137 1.224  -0.021 1.224  0.072 1.168  0.154 1.085  0.261 1.063  0.366 1.035  0.448 0.953  0.530 0.871  0.612 0.788  0.659 0.692  0.659 0.576  0.659 0.459  0.606 0.365  0.523 0.283  0.441 0.201  0.359 0.119  0.337 0.012  0.309 -0.093  0.226 -0.175  0.131 -0.225  0.015 -0.225  -0.089 -0.277  -0.193 -0.329  -0.297 -0.381  -0.307 -0.491  -0.367 -0.547  -0.479 -0.558  -0.561 -0.640  -0.628 -0.729  -0.628 -0.845  -0.628 -0.961  -0.581 -1.030  -0.465 -1.031  -0.361 -1.083  -0.257 -1.135  -0.153 -1.187  -0.038 -1.191  0.078 -1.191  0.195 -1.191  0.311 -1.191  0.427 -1.191  0.543 -1.191  0.659 -1.191
3#apa#apa20#app2005/)  -0.421 1.236  -0.421 1.314  -0.498 1.315  -0.499 1.391  -0.423 1.393  -0.421 1.317  -0.387 1.248  -0.352 1.178  -0.293 1.133  -0.224 1.099  -0.186 1.044  -0.186 0.967  -0.162 0.899  -0.107 0.844  -0.052 0.789  -0.030 0.721  -0.030 0.643  0.002 0.579  0.057 0.524  0.112 0.469  0.127 0.397  0.127 0.319  0.145 0.245  0.169 0.171  0.194 0.097  0.205 0.021  0.205 -0.056  0.223 -0.130  0.258 -0.199  0.283 -0.271  0.283 -0.349  0.283 -0.426  0.283 -0.504  0.283 -0.582  0.283 -0.659  0.283 -0.737  0.283 -0.815  0.276 -0.890  0.241 -0.960  0.206 -1.029  0.172 -1.099  0.137 -1.168  0.127 -1.244  0.088 -1.305  0.033 -1.360  -0.022 -1.415  -0.077 -1.470  -0.132 -1.525  -0.187 -1.580  -0.264 -1.580
3#apa#apa20#app2005/(  0.539 1.380  0.461 1.380  0.443 1.319  0.399 1.284  0.321 1.284  0.244 1.278  0.189 1.222  0.124 1.188  0.049 1.179  -0.007 1.123  -0.062 1.068  -0.118 1.012  -0.135 0.940  -0.151 0.865  -0.187 0.795  -0.222 0.724  -0.257 0.654  -0.292 0.583  -0.327 0.513  -0.327 0.434  -0.327 0.355  -0.327 0.276  -0.327 0.198  -0.327 0.119  -0.327 0.040  -0.327 -0.039  -0.327 -0.118  -0.327 -0.196  -0.327 -0.275  -0.327 -0.354  -0.271 -0.409  -0.221 -0.469  -0.186 -0.540  -0.150 -0.610  -0.115 -0.681  -0.080 -0.751  -0.045 -0.821  -0.038 -0.899  -0.005 -0.964  0.051 -1.020  0.106 -1.075  0.162 -1.131  0.218 -1.187  0.273 -1.242  0.329 -1.298  0.385 -1.354  0.440 -1.409  0.518 -1.412  0.580 -1.453  0.636 -1.508
3#apa#apa20#app2005/3  -0.967 1.319  -0.847 1.319  -0.726 1.319  -0.606 1.319  -0.488 1.313  -0.403 1.228  -0.310 1.161  -0.189 1.161  -0.080 1.112  0.027 1.058  0.135 1.004  0.255 1.003  0.296 0.923  0.296 0.803  0.293 0.684  0.208 0.599  0.119 0.519  0.011 0.465  -0.097 0.411  -0.178 0.341  -0.178 0.220  -0.291 0.213  -0.389 0.160  -0.474 0.074  -0.400 0.055  -0.335 -0.001  -0.317 -0.103  -0.197 -0.103  -0.076 -0.103  0.025 -0.148  0.111 -0.233  0.196 -0.318  0.281 -0.404  0.366 -0.489  0.451 -0.574  0.454 -0.693  0.533 -0.735  0.612 -0.776  0.612 -0.897  0.612 -1.017  0.551 -1.112  0.466 -1.197  0.454 -1.313  0.387 -1.367  0.267 -1.367  0.146 -1.367  0.026 -1.367  -0.095 -1.367  -0.215 -1.367  -0.335 -1.367
3#apa#apa20#app2005/)  -0.559 1.315  -0.559 1.393  -0.499 1.410  -0.422 1.410  -0.351 1.393  -0.297 1.339  -0.273 1.271  -0.254 1.201  -0.200 1.146  -0.145 1.091  -0.090 1.036  -0.035 0.982  0.016 0.925  0.041 0.851  0.065 0.777  0.090 0.704  0.116 0.631  0.151 0.562  0.186 0.493  0.204 0.419  0.204 0.342  0.205 0.264  0.239 0.195  0.274 0.126  0.299 0.054  0.299 -0.023  0.299 -0.101  0.299 -0.178  0.299 -0.256  0.299 -0.333  0.299 -0.411  0.299 -0.489  0.299 -0.566  0.276 -0.638  0.242 -0.708  0.207 -0.777  0.204 -0.854  0.180 -0.926  0.146 -0.995  0.111 -1.064  0.036 -1.069  -0.025 -1.108  -0.080 -1.162  -0.135 -1.217  -0.190 -1.272  -0.244 -1.327  -0.299 -1.382  -0.354 -1.437  -0.409 -1.491  -0.464 -1.546
3#apa#apa20#app2005/(  0.498 1.211  0.575 1.211  0.593 1.271  0.550 1.306  0.472 1.306  0.395 1.302  0.326 1.267  0.256 1.233  0.192 1.190  0.137 1.135  0.083 1.080  0.028 1.026  -0.009 0.957  -0.044 0.888  -0.072 0.817  -0.072 0.739  -0.105 0.669  -0.140 0.600  -0.175 0.531  -0.209 0.461  -0.244 0.392  -0.262 0.318  -0.262 0.240  -0.262 0.163  -0.262 0.085  -0.262 0.007  -0.262 -0.070  -0.262 -0.148  -0.262 -0.226  -0.262 -0.303  -0.262 -0.381  -0.262 -0.459  -0.262 -0.536  -0.262 -0.614  -0.260 -0.691  -0.225 -0.761  -0.191 -0.830  -0.150 -0.895  -0.095 -0.950  -0.072 -1.018  -0.072 -1.096  -0.064 -1.170  -0.009 -1.225  0.046 -1.280  0.100 -1.335  0.155 -1.390  0.210 -1.445  0.265 -1.500  0.325 -1.542  0.403 -1.542
