3#apa#apa20#app2011/@  0.509 -0.313  0.509 -0.007  0.387 0.176  0.221 0.341  -0.052 0.420  -0.306 0.298  -0.447 0.074  -0.589 -0.173  -0.589 -0.478  -0.429 -0.717  -0.158 -0.801  0.110 -0.711  0.352 -0.557  0.492 -0.330  0.509 -0.032  0.440 0.245  0.279 0.420  0.021 0.372  -0.101 0.189  -0.101 -0.117  0.063 -0.354  0.335 -0.435  0.640 -0.435  0.946 -0.435  1.177 -0.255  1.364 -0.027  1.364 0.278  1.162 0.500  1.009 0.719  0.765 0.896  0.494 1.034  0.197 1.108  -0.103 1.152  -0.408 1.152  -0.713 1.152  -0.999 1.069  -1.240 0.888  -1.444 0.708  -1.444 0.403  -1.444 0.098  -1.380 -0.200  -1.277 -0.480  -1.024 -0.644  -0.751 -0.781  -0.478 -0.918  -0.174 -0.923  0.132 -0.923  0.437 -0.923  0.743 -0.923  0.997 -0.801
3#apa#apa20#app2011/1  -0.017 0.764  -0.017 0.847  -0.017 0.930  -0.017 1.013  -0.025 1.093  -0.084 1.152  -0.142 1.211  -0.178 1.279  -0.178 1.362  -0.178 1.371  -0.178 1.287  -0.178 1.204  -0.178 1.121  -0.178 1.038  -0.178 0.955  -0.178 0.872  -0.178 0.788  -0.178 0.705  -0.178 0.622  -0.150 0.546  -0.113 0.471  -0.076 0.397  -0.038 0.323  -0.017 0.244  -0.017 0.161  -0.017 0.078  -0.017 -0.005  -0.017 -0.088  -0.017 -0.171  -0.017 -0.255  -0.017 -0.338  -0.017 -0.421  -0.017 -0.504  0.027 -0.569  0.086 -0.628  0.144 -0.687  0.144 -0.770  0.144 -0.853  0.144 -0.936  0.144 -1.019  0.144 -1.103  0.144 -1.186  0.144 -1.269  0.154 -1.350  0.191 -1.424  0.228 -1.498  0.265 -1.573  0.302 -1.647  0.305 -1.730  0.305 -1.813
3#apa#apa20#app2011/2  -0.740 0.805  -0.740 0.917  -0.740 1.028  -0.672 1.110  -0.581 1.160  -0.470 1.160  -0.359 1.160  -0.248 1.160  -0.137 1.160  -0.027 1.157  0.051 1.078  0.147 1.042  0.243 1.005  0.322 0.926  0.432 0.924  0.443 0.823  0.536 0.805  0.561 0.720  0.561 0.608  0.561 0.497  0.515 0.405  0.439 0.325  0.389 0.226  0.340 0.126  0.255 0.061  0.156 0.012  0.063 -0.047  -0.015 -0.126  -0.094 -0.204  -0.173 -0.283  -0.251 -0.361  -0.330 -0.440  -0.385 -0.528  -0.403 -0.632  -0.482 -0.710  -0.504 -0.812  -0.504 -0.923  -0.457 -1.015  -0.379 -1.094  -0.300 -1.172  -0.202 -1.205  -0.091 -1.205  0.020 -1.205  0.131 -1.205  0.242 -1.205  0.353 -1.205  0.464 -1.205  0.575 -1.205  0.686 -1.205  0.798 -1.205
3#apa#apa20#app2011/:  -0.139 0.919  -0.201 0.980  -0.262 1.042  -0.324 1.103  -0.385 1.165  -0.447 1.226  -0.508 1.288  -0.570 1.349  -0.547 1.326  -0.485 1.265  -0.424 1.203  -0.363 1.141  -0.334 1.059  -0.304 0.978  -0.274 0.896  -0.244 0.814  -0.215 0.733  -0.185 0.651  -0.155 0.569  -0.126 0.487  -0.096 0.406  -0.066 0.324  -0.036 0.242  -0.007 0.160  0.023 0.079  0.053 -0.003  0.082 -0.085  0.112 -0.167  0.142 -0.248  0.172 -0.330  0.201 -0.412  0.231 -0.494  0.261 -0.575  0.291 -0.657  0.320 -0.739  0.350 -0.821  0.380 -0.902  0.409 -0.984  0.439 -1.066  0.469 -1.148  0.499 -1.229  0.528 -1.311  0.470 -1.331  0.383 -1.331  0.296 -1.331  0.209 -1.331  0.122 -1.331  0.086 -1.280  0.086 -1.193  0.086 -1.106
3#apa#apa20#app2011/3  -0.814 0.692  -0.831 0.815  -0.937 0.849  -0.937 0.988  -0.871 1.061  -0.814 1.144  -0.714 1.184  -0.575 1.184  -0.435 1.184  -0.296 1.184  -0.157 1.184  -0.017 1.184  0.100 1.130  0.199 1.032  0.292 0.931  0.292 0.791  0.292 0.652  0.292 0.512  0.259 0.381  0.197 0.256  0.099 0.166  -0.025 0.104  -0.135 0.020  -0.233 -0.079  -0.336 -0.168  -0.467 -0.189  -0.565 -0.288  -0.433 -0.291  -0.293 -0.291  -0.154 -0.291  -0.014 -0.291  0.125 -0.291  0.265 -0.291  0.404 -0.291  0.543 -0.291  0.661 -0.313  0.688 -0.441  0.784 -0.541  0.784 -0.680  0.784 -0.820  0.745 -0.943  0.641 -1.028  0.512 -1.054  0.415 -1.153  0.402 -1.287  0.303 -1.386  0.168 -1.397  0.070 -1.496  -0.060 -1.519  -0.200 -1.519
3#apa#apa20#app2011/4  -0.949 0.628  -0.949 0.803  -0.949 0.978  -1.078 1.024  -1.082 0.854  -1.082 0.679  -1.082 0.504  -1.082 0.329  -1.082 0.154  -1.082 -0.021  -1.082 -0.196  -1.009 -0.298  -0.949 -0.414  -0.791 -0.431  -0.616 -0.431  -0.441 -0.431  -0.266 -0.431  -0.091 -0.431  0.052 -0.506  0.204 -0.563  0.379 -0.563  0.514 -0.515  0.542 -0.343  0.571 -0.170  0.600 0.002  0.629 0.175  0.657 0.348  0.686 0.520  0.715 0.693  0.744 0.865  0.770 1.038  0.714 1.157  0.638 1.058  0.506 1.015  0.506 0.840  0.506 0.665  0.506 0.490  0.506 0.315  0.465 0.150  0.387 -0.007  0.373 -0.179  0.373 -0.354  0.373 -0.529  0.373 -0.704  0.373 -0.879  0.373 -1.054  0.373 -1.229  0.373 -1.404  0.373 -1.579  0.506 -1.621
3#apa#apa20#app2011/:  0.110 1.090  0.033 1.128  -0.044 1.167  -0.121 1.205  -0.198 1.244  -0.224 1.314  -0.224 1.400  -0.224 1.362  -0.224 1.275  -0.157 1.257  -0.070 1.257  -0.053 1.184  -0.047 1.098  -0.042 1.012  -0.037 0.926  -0.031 0.840  -0.026 0.754  -0.020 0.668  -0.015 0.582  -0.010 0.496  -0.004 0.410  0.001 0.324  0.006 0.238  0.012 0.153  0.017 0.067  0.023 -0.019  0.028 -0.105  0.033 -0.191  0.039 -0.277  0.044 -0.363  0.049 -0.449  0.055 -0.535  0.060 -0.621  0.066 -0.707  0.071 -0.793  0.076 -0.879  0.082 -0.965  0.087 -1.051  0.092 -1.137  0.098 -1.223  0.103 -1.309  0.109 -1.395  0.045 -1.416  -0.042 -1.416  -0.057 -1.345  -0.057 -1.259  0.018 -1.249  0.105 -1.249  0.191 -1.249  0.277 -1.249
3#apa#apa20#app2011/5  -0.692 0.763  -0.773 0.763  -0.635 0.705  -0.521 0.591  -0.407 0.477  -0.292 0.363  -0.166 0.279  -0.004 0.279  0.121 0.192  0.205 0.056  0.276 -0.089  0.307 -0.237  0.397 -0.362  0.450 -0.501  0.517 -0.634  0.517 -0.796  0.471 -0.950  0.420 -1.103  0.335 -1.235  0.198 -1.294  0.036 -1.294  -0.125 -1.294  -0.287 -1.294  -0.448 -1.294  -0.610 -1.294  -0.671 -1.218  -0.628 -1.062  -0.585 -0.907  -0.541 -0.751  -0.498 -0.596  -0.455 -0.440  -0.412 -0.284  -0.369 -0.129  -0.325 0.027  -0.282 0.182  -0.239 0.338  -0.196 0.493  -0.153 0.649  -0.109 0.804  -0.087 0.963  -0.087 1.124  0.073 1.125  0.234 1.125  0.396 1.125  0.557 1.125  0.718 1.125  0.880 1.125  1.041 1.125  1.203 1.125  1.243 1.004
3#apa#apa20#app2011/6  0.254 1.415  0.111 1.446  -0.011 1.527  -0.167 1.527  -0.309 1.471  -0.443 1.393  -0.553 1.282  -0.657 1.168  -0.726 1.028  -0.758 0.880  -0.815 0.737  -0.870 0.594  -0.870 0.439  -0.870 0.283  -0.870 0.127  -0.870 -0.029  -0.773 -0.144  -0.758 -0.294  -0.699 -0.414  -0.559 -0.483  -0.463 -0.602  -0.376 -0.731  -0.275 -0.834  -0.128 -0.868  0.012 -0.938  0.166 -0.946  0.321 -0.946  0.477 -0.946  0.629 -0.928  0.768 -0.858  0.918 -0.834  0.952 -0.698  1.041 -0.579  1.041 -0.424  1.041 -0.268  1.041 -0.112  1.041 0.044  0.907 0.066  0.751 0.066  0.595 0.066  0.439 0.066  0.284 0.066  0.132 0.056  0.029 -0.058  -0.025 -0.159  -0.083 -0.257  -0.083 -0.413  -0.083 -0.569  -0.001 -0.691  0.142 -0.722
3#apa#apa20#app2011/_  -1.048 -0.456  -1.107 -0.397  -1.167 -0.338  -1.226 -0.279  -1.308 -0.276  -1.392 -0.276  -1.407 -0.208  -1.407 -0.124  -1.351 -0.097  -1.268 -0.097  -1.184 -0.097  -1.100 -0.097  -1.017 -0.097  -0.933 -0.097  -0.849 -0.097  -0.766 -0.097  -0.682 -0.097  -0.598 -0.097  -0.515 -0.097  -0.454 -0.041  -0.395 0.018  -0.336 0.077  -0.255 0.083  -0.171 0.083  -0.087 0.083  -0.004 0.083  0.080 0.083  0.164 0.083  0.247 0.083  0.331 0.083  0.414 0.083  0.498 0.083  0.582 0.083  0.665 0.083  0.749 0.083  0.833 0.083  0.916 0.083  1.000 0.083  1.084 0.083  1.167 0.083  1.251 0.083  1.334 0.083  1.418 0.083  1.465 0.119  1.465 0.203  1.440 0.262  1.357 0.262  1.273 0.262  1.190 0.262  1.106 0.262
3#apa#apa20#app2011/J  0.406 0.569  0.406 0.416  0.506 0.364  0.506 0.212  0.514 0.063  0.606 -0.051  0.658 -0.182  0.732 -0.310  0.781 -0.454  0.805 -0.602  0.895 -0.717  0.905 -0.865  0.840 -0.991  0.702 -1.026  0.550 -1.026  0.398 -1.026  0.264 -0.983  0.135 -0.926  -0.017 -0.926  -0.169 -0.926  -0.313 -0.905  -0.432 -0.826  -0.584 -0.826  -0.637 -0.727  -0.690 -0.826  -0.602 -0.775  -0.636 -0.627  -0.670 -0.479  -0.704 -0.331  -0.739 -0.182  -0.773 -0.034  -0.807 0.114  -0.841 0.262  -0.875 0.411  -0.889 0.561  -0.889 0.713  -0.889 0.865  -0.754 0.903  -0.628 0.967  -0.476 0.967  -0.324 0.967  -0.172 0.967  -0.019 0.967  0.133 0.967  0.285 0.967  0.399 1.059  0.548 1.067  0.700 1.067  0.852 1.067  1.004 1.067
