3#apb#apb02#app0241/D  -0.244 0.708  -0.274 0.926  -0.346 1.007  -0.362 0.788  -0.344 0.569  -0.303 0.352  -0.275 0.133  -0.246 -0.085  -0.211 -0.303  -0.189 -0.522  -0.173 -0.742  -0.157 -0.962  -0.135 -1.181  -0.159 -1.052  -0.237 -0.847  -0.323 -0.645  -0.410 -0.442  -0.497 -0.239  -0.583 -0.036  -0.670 0.167  -0.757 0.369  -0.843 0.572  -0.998 0.693  -1.218 0.708  -1.062 0.781  -0.848 0.834  -0.631 0.871  -0.413 0.907  -0.193 0.912  0.027 0.912  0.247 0.895  0.467 0.874  0.678 0.812  0.886 0.740  1.066 0.614  1.203 0.449  1.286 0.248  1.304 0.028  1.261 -0.185  1.184 -0.390  1.070 -0.579  0.936 -0.754  0.791 -0.920  0.626 -1.063  0.428 -1.148  0.211 -1.138  0.009 -1.056  -0.168 -0.925  -0.306 -0.782  -0.108 -0.872
3#apb#apb02#app0241/o  -0.329 -0.210  -0.312 -0.040  -0.271 0.124  -0.227 0.288  -0.177 0.451  -0.236 0.603  -0.347 0.700  -0.487 0.606  -0.618 0.499  -0.732 0.373  -0.839 0.241  -0.931 0.098  -1.018 -0.048  -1.072 -0.209  -1.096 -0.374  -1.080 -0.543  -0.984 -0.682  -0.876 -0.811  -0.722 -0.883  -0.568 -0.955  -0.402 -0.991  -0.235 -1.024  -0.068 -1.046  0.100 -1.021  0.268 -0.996  0.429 -0.947  0.583 -0.875  0.737 -0.802  0.872 -0.699  1.007 -0.595  1.103 -0.457  1.189 -0.311  1.233 -0.147  1.256 0.019  1.232 0.188  1.195 0.353  1.137 0.513  1.033 0.645  0.918 0.770  0.755 0.820  0.592 0.864  0.423 0.889  0.257 0.889  0.095 0.838  -0.068 0.786  -0.232 0.743  -0.398 0.704  -0.557 0.650  -0.703 0.562  -0.829 0.450
3#apb#apb02#app0241/r  -0.644 -0.026  -0.626 0.139  -0.607 0.304  -0.586 0.469  -0.639 0.625  -0.686 0.784  -0.705 0.948  -0.705 1.114  -0.763 1.267  -0.778 1.117  -0.734 0.957  -0.692 0.796  -0.654 0.634  -0.616 0.472  -0.574 0.311  -0.515 0.156  -0.455 0.001  -0.389 -0.152  -0.319 -0.303  -0.249 -0.453  -0.157 -0.591  -0.065 -0.730  0.018 -0.874  0.087 -1.025  0.157 -1.176  0.231 -1.324  0.297 -1.476  0.321 -1.640  0.300 -1.506  0.273 -1.342  0.244 -1.179  0.215 -1.015  0.191 -0.851  0.170 -0.686  0.149 -0.521  0.147 -0.355  0.159 -0.189  0.171 -0.023  0.219 0.136  0.266 0.295  0.302 0.458  0.370 0.604  0.478 0.730  0.618 0.816  0.776 0.862  0.939 0.864  1.093 0.805  1.222 0.701  1.334 0.584  1.408 0.487
3#apb#apb02#app0241/o  -0.096 0.172  -0.096 0.320  -0.096 0.468  -0.184 0.573  -0.316 0.572  -0.423 0.474  -0.521 0.364  -0.625 0.259  -0.726 0.151  -0.811 0.030  -0.887 -0.096  -0.942 -0.233  -0.976 -0.376  -0.999 -0.522  -0.981 -0.665  -0.938 -0.806  -0.853 -0.916  -0.729 -0.995  -0.594 -1.050  -0.449 -1.081  -0.305 -1.111  -0.162 -1.106  -0.020 -1.064  0.122 -1.022  0.255 -0.959  0.386 -0.890  0.516 -0.821  0.633 -0.731  0.747 -0.637  0.844 -0.529  0.918 -0.401  0.991 -0.272  1.024 -0.129  1.053 0.016  1.048 0.160  1.015 0.304  0.968 0.444  0.907 0.578  0.822 0.697  0.723 0.807  0.608 0.897  0.481 0.972  0.345 1.024  0.199 1.043  0.052 1.060  -0.095 1.051  -0.243 1.041  -0.389 1.018  -0.534 0.991  -0.666 0.924
3#apb#apb02#app0241/t  0.163 1.188  0.136 1.350  0.100 1.509  0.076 1.669  -0.007 1.811  -0.069 1.844  -0.111 1.686  -0.145 1.526  -0.136 1.363  -0.127 1.199  -0.091 1.040  -0.053 0.880  -0.015 0.721  0.016 0.560  0.046 0.399  0.076 0.238  0.108 0.077  0.141 -0.084  0.174 -0.244  0.206 -0.405  0.231 -0.567  0.256 -0.729  0.280 -0.891  0.300 -1.054  0.319 -1.216  0.335 -1.379  0.414 -1.511  0.288 -1.427  0.203 -1.288  0.153 -1.134  0.072 -1.001  -0.044 -0.885  -0.160 -0.769  -0.275 -0.653  -0.391 -0.537  -0.507 -0.421  -0.623 -0.305  -0.739 -0.189  -0.872 -0.095  -0.777 -0.093  -0.618 -0.133  -0.458 -0.166  -0.295 -0.173  -0.131 -0.179  0.031 -0.197  0.191 -0.233  0.352 -0.261  0.516 -0.261  0.680 -0.261  0.781 -0.319
3#apb#apb02#app0241/h  -0.873 1.530  -0.930 1.638  -0.930 1.486  -0.917 1.336  -0.886 1.188  -0.855 1.041  -0.818 0.894  -0.782 0.747  -0.745 0.600  -0.697 0.457  -0.648 0.314  -0.598 0.171  -0.557 0.026  -0.517 -0.120  -0.478 -0.266  -0.437 -0.411  -0.393 -0.556  -0.350 -0.701  -0.301 -0.844  -0.250 -0.986  -0.194 -1.127  -0.132 -1.264  -0.131 -1.152  -0.113 -1.002  -0.094 -0.852  -0.061 -0.705  -0.028 -0.557  0.005 -0.410  0.035 -0.261  0.065 -0.113  0.101 0.033  0.143 0.179  0.181 0.325  0.226 0.468  0.313 0.591  0.412 0.699  0.554 0.690  0.672 0.601  0.755 0.475  0.806 0.333  0.854 0.190  0.902 0.046  0.931 -0.101  0.952 -0.251  0.952 -0.402  0.952 -0.553  0.952 -0.705  0.970 -0.855  0.993 -0.999  0.990 -0.866
3#apb#apb02#app0241/y  -0.722 0.825  -0.708 0.967  -0.733 1.107  -0.803 1.017  -0.848 0.881  -0.874 0.742  -0.874 0.599  -0.855 0.458  -0.808 0.326  -0.723 0.214  -0.597 0.157  -0.457 0.165  -0.320 0.205  -0.215 0.302  -0.114 0.402  -0.022 0.511  0.050 0.634  0.110 0.763  0.153 0.899  0.181 1.039  0.189 1.181  0.175 1.158  0.192 1.017  0.228 0.879  0.278 0.745  0.336 0.615  0.400 0.487  0.452 0.354  0.501 0.220  0.542 0.083  0.580 -0.055  0.605 -0.195  0.629 -0.336  0.642 -0.478  0.655 -0.621  0.664 -0.763  0.672 -0.906  0.664 -1.048  0.638 -1.187  0.575 -1.312  0.455 -1.389  0.323 -1.444  0.182 -1.454  0.044 -1.432  -0.078 -1.362  -0.171 -1.253  -0.242 -1.131  -0.298 -1.000  -0.328 -0.862  -0.322 -0.722
3#apb#apb02#app0241/E  -0.429 0.462  -0.424 0.755  -0.445 1.048  -0.494 0.844  -0.522 0.551  -0.505 0.258  -0.472 -0.034  -0.404 -0.318  -0.295 -0.591  -0.167 -0.853  -0.083 -0.926  -0.164 -0.643  -0.232 -0.357  -0.300 -0.071  -0.368 0.215  -0.437 0.501  -0.505 0.787  -0.621 1.012  -0.823 1.174  -0.531 1.201  -0.239 1.222  0.055 1.231  0.346 1.271  0.640 1.266  0.933 1.269  0.865 1.124  0.635 0.942  0.441 0.721  0.246 0.501  0.052 0.280  -0.143 0.059  -0.359 -0.124  -0.648 -0.152  -0.440 -0.236  -0.149 -0.266  0.145 -0.266  0.434 -0.217  0.718 -0.176  0.646 -0.390  0.482 -0.635  0.318 -0.879  0.154 -1.123  -0.009 -1.367  -0.157 -1.401  -0.178 -1.313  0.114 -1.333  0.408 -1.333  0.695 -1.272  0.979 -1.199  1.236 -1.220
3#apb#apb02#app0241/m  -1.340 0.388  -1.340 0.570  -1.360 0.584  -1.348 0.403  -1.310 0.225  -1.259 0.050  -1.194 -0.120  -1.126 -0.289  -1.049 -0.454  -0.947 -0.605  -0.818 -0.711  -0.763 -0.638  -0.721 -0.461  -0.695 -0.281  -0.683 -0.099  -0.659 0.082  -0.631 0.262  -0.588 0.439  -0.509 0.601  -0.374 0.717  -0.195 0.711  -0.079 0.570  0.027 0.422  0.106 0.259  0.160 0.085  0.216 -0.088  0.264 -0.264  0.308 -0.441  0.356 -0.617  0.381 -0.797  0.378 -0.759  0.342 -0.598  0.337 -0.441  0.272 -0.283  0.265 -0.101  0.314 0.072  0.398 0.233  0.503 0.382  0.610 0.530  0.741 0.654  0.921 0.640  1.080 0.551  1.195 0.419  1.272 0.254  1.337 0.084  1.382 -0.092  1.411 -0.272  1.447 -0.451  1.484 -0.629  1.484 -0.695
3#apb#apb02#app0241/m  -1.311 -0.276  -1.283 -0.104  -1.274 0.071  -1.244 0.242  -1.191 0.407  -1.121 0.392  -1.103 0.217  -1.089 0.043  -1.052 -0.128  -1.002 -0.295  -0.948 -0.462  -0.916 -0.634  -0.819 -0.769  -0.796 -0.631  -0.764 -0.459  -0.751 -0.285  -0.707 -0.116  -0.655 0.051  -0.605 0.219  -0.521 0.370  -0.400 0.497  -0.258 0.596  -0.111 0.566  -0.008 0.425  0.071 0.268  0.143 0.109  0.209 -0.054  0.264 -0.220  0.313 -0.388  0.353 -0.558  0.413 -0.720  0.418 -0.674  0.418 -0.499  0.422 -0.324  0.437 -0.150  0.505 0.004  0.557 0.172  0.597 0.342  0.681 0.493  0.760 0.647  0.906 0.743  1.057 0.701  1.176 0.574  1.248 0.414  1.341 0.266  1.419 0.109  1.490 -0.051  1.528 -0.222  1.582 -0.379  1.621 -0.540
3#apb#apb02#app0241/a  -0.101 0.170  0.000 0.287  0.053 0.448  0.057 0.616  0.031 0.784  -0.032 0.940  -0.183 1.013  -0.347 0.970  -0.502 0.905  -0.651 0.823  -0.784 0.717  -0.912 0.605  -1.032 0.485  -1.133 0.348  -1.211 0.201  -1.250 0.035  -1.245 -0.132  -1.217 -0.300  -1.136 -0.449  -1.019 -0.560  -0.864 -0.631  -0.695 -0.646  -0.530 -0.627  -0.376 -0.559  -0.238 -0.459  -0.131 -0.331  -0.041 -0.186  0.019 -0.029  0.068 0.134  0.082 0.303  0.089 0.473  0.089 0.643  0.052 0.504  0.046 0.334  0.048 0.164  0.092 0.000  0.143 -0.160  0.259 -0.284  0.375 -0.409  0.518 -0.496  0.672 -0.568  0.827 -0.636  0.994 -0.671  1.160 -0.706  1.325 -0.687  1.490 -0.646  1.653 -0.596  1.806 -0.526  1.862 -0.377  1.820 -0.231
