3#apb#apb02#app0246/P  -0.239 0.283  -0.225 0.495  -0.207 0.430  -0.174 0.218  -0.160 0.004  -0.148 -0.210  -0.130 -0.423  -0.101 -0.636  -0.080 -0.849  -0.063 -1.063  -0.034 -1.276  0.002 -1.487  0.053 -1.695  0.103 -1.747  0.080 -1.536  0.015 -1.332  -0.050 -1.127  -0.115 -0.923  -0.180 -0.718  -0.245 -0.514  -0.310 -0.309  -0.374 -0.105  -0.439 0.100  -0.504 0.304  -0.612 0.467  -0.814 0.538  -1.020 0.530  -1.067 0.601  -0.881 0.707  -0.692 0.809  -0.502 0.907  -0.304 0.991  -0.107 1.076  0.096 1.145  0.299 1.213  0.512 1.242  0.724 1.249  0.928 1.193  1.074 1.046  1.115 0.836  1.068 0.626  0.994 0.426  0.902 0.232  0.780 0.056  0.629 -0.095  0.461 -0.227  0.275 -0.330  0.065 -0.374  -0.146 -0.393  -0.256 -0.354
3#apb#apb02#app0246/e  -0.095 -0.198  -0.210 -0.103  -0.344 -0.026  -0.503 0.027  -0.604 0.134  -0.523 0.078  -0.350 0.058  -0.178 0.044  -0.004 0.039  0.168 0.028  0.337 -0.007  0.505 0.035  0.676 0.061  0.808 0.169  0.869 0.326  0.912 0.494  0.896 0.662  0.850 0.829  0.776 0.985  0.682 1.131  0.560 1.242  0.392 1.283  0.219 1.295  0.056 1.246  -0.095 1.164  -0.234 1.060  -0.357 0.938  -0.478 0.814  -0.565 0.664  -0.652 0.514  -0.734 0.361  -0.809 0.206  -0.833 0.035  -0.860 -0.137  -0.894 -0.307  -0.869 -0.476  -0.830 -0.645  -0.742 -0.794  -0.634 -0.925  -0.495 -1.029  -0.347 -1.113  -0.178 -1.155  -0.010 -1.193  0.164 -1.193  0.337 -1.193  0.506 -1.159  0.673 -1.115  0.843 -1.079  1.013 -1.047  1.185 -1.027
3#apb#apb02#app0246/g  -0.051 0.840  -0.073 0.994  -0.141 1.129  -0.270 1.188  -0.413 1.130  -0.527 1.027  -0.627 0.908  -0.718 0.784  -0.761 0.640  -0.746 0.487  -0.662 0.360  -0.533 0.281  -0.386 0.245  -0.231 0.245  -0.081 0.280  0.053 0.350  0.164 0.457  0.246 0.586  0.279 0.737  0.256 0.889  0.187 1.027  0.099 1.154  0.031 1.060  -0.011 0.917  0.004 0.764  0.054 0.618  0.123 0.479  0.195 0.342  0.267 0.205  0.330 0.064  0.394 -0.077  0.461 -0.217  0.519 -0.360  0.562 -0.509  0.599 -0.659  0.631 -0.811  0.655 -0.964  0.664 -1.118  0.650 -1.272  0.576 -1.403  0.452 -1.490  0.297 -1.490  0.147 -1.456  -0.002 -1.413  -0.137 -1.339  -0.272 -1.263  -0.401 -1.177  -0.526 -1.086  -0.669 -1.028  -0.660 -1.053
3#apb#apb02#app0246/g  0.196 0.747  0.182 0.908  0.173 1.053  0.070 1.176  -0.062 1.267  -0.225 1.267  -0.375 1.206  -0.508 1.112  -0.610 0.989  -0.685 0.844  -0.754 0.696  -0.782 0.535  -0.736 0.381  -0.619 0.272  -0.463 0.231  -0.302 0.217  -0.139 0.227  0.005 0.304  0.143 0.390  0.239 0.517  0.280 0.674  0.239 0.830  0.197 0.987  0.096 0.937  0.083 0.775  0.108 0.613  0.155 0.457  0.209 0.303  0.266 0.150  0.317 -0.005  0.376 -0.157  0.442 -0.307  0.499 -0.460  0.555 -0.613  0.613 -0.766  0.681 -0.914  0.712 -1.074  0.708 -1.235  0.635 -1.380  0.511 -1.476  0.351 -1.491  0.192 -1.458  0.039 -1.404  -0.106 -1.327  -0.240 -1.235  -0.370 -1.136  -0.512 -1.058  -0.645 -0.972  -0.630 -0.853  -0.511 -0.741
3#apb#apb02#app0246/y  -0.748 0.936  -0.737 1.108  -0.772 1.274  -0.795 1.157  -0.774 0.987  -0.715 0.826  -0.624 0.681  -0.492 0.571  -0.336 0.523  -0.183 0.596  -0.069 0.722  0.002 0.878  0.025 1.048  0.016 1.219  -0.018 1.292  0.020 1.125  0.077 0.962  0.150 0.807  0.234 0.656  0.311 0.502  0.384 0.346  0.448 0.186  0.500 0.022  0.549 -0.143  0.601 -0.308  0.643 -0.475  0.674 -0.644  0.693 -0.815  0.705 -0.987  0.687 -1.158  0.629 -1.320  0.528 -1.457  0.383 -1.550  0.215 -1.541  0.049 -1.499  -0.100 -1.418  -0.214 -1.289  -0.321 -1.155  -0.386 -0.996  -0.437 -0.831  -0.445 -0.663  -0.411 -0.495  -0.354 -0.333  -0.281 -0.177  -0.201 -0.024  -0.103 0.116  0.024 0.229  0.191 0.267  0.338 0.189  0.439 0.052
3#apb#apb02#app0246/S  0.395 1.029  0.416 1.143  0.369 1.253  0.305 1.343  0.188 1.368  0.070 1.348  -0.041 1.304  -0.139 1.234  -0.238 1.164  -0.342 1.102  -0.446 1.040  -0.529 0.953  -0.608 0.861  -0.678 0.763  -0.737 0.657  -0.793 0.551  -0.811 0.431  -0.807 0.314  -0.765 0.200  -0.668 0.134  -0.562 0.075  -0.450 0.036  -0.330 0.018  -0.210 -0.001  -0.091 -0.020  0.027 -0.047  0.145 -0.075  0.263 -0.102  0.378 -0.139  0.491 -0.181  0.604 -0.225  0.697 -0.301  0.781 -0.386  0.830 -0.496  0.832 -0.617  0.803 -0.731  0.747 -0.839  0.678 -0.938  0.591 -1.019  0.489 -1.084  0.375 -1.121  0.257 -1.151  0.139 -1.176  0.020 -1.193  -0.101 -1.203  -0.222 -1.192  -0.337 -1.158  -0.393 -1.078  -0.333 -0.973  -0.261 -0.876
3#apb#apb02#app0246/u  -0.855 0.092  -0.855 0.217  -0.888 0.338  -0.915 0.460  -0.933 0.584  -0.910 0.707  -0.905 0.822  -0.847 0.713  -0.820 0.590  -0.795 0.468  -0.772 0.344  -0.750 0.221  -0.721 0.099  -0.693 -0.023  -0.663 -0.145  -0.626 -0.265  -0.589 -0.384  -0.552 -0.504  -0.512 -0.623  -0.472 -0.742  -0.413 -0.851  -0.347 -0.958  -0.258 -1.044  -0.159 -1.118  -0.034 -1.133  0.085 -1.118  0.197 -1.062  0.307 -1.004  0.401 -0.920  0.494 -0.836  0.578 -0.746  0.637 -0.635  0.696 -0.524  0.755 -0.414  0.796 -0.296  0.831 -0.176  0.865 -0.055  0.883 0.068  0.892 0.193  0.901 0.318  0.886 0.442  0.861 0.565  0.837 0.687  0.798 0.806  0.746 0.920  0.695 1.034  0.622 1.136  0.555 1.241  0.484 1.319  0.484 1.194
3#apb#apb02#app0246/e  -0.678 -0.109  -0.758 0.012  -0.903 0.065  -0.824 -0.039  -0.661 -0.090  -0.497 -0.082  -0.332 -0.040  -0.165 -0.006  -0.007 0.060  0.152 0.120  0.314 0.174  0.430 0.298  0.541 0.427  0.637 0.568  0.670 0.729  0.639 0.896  0.550 1.039  0.426 1.154  0.270 1.209  0.106 1.188  -0.051 1.123  -0.186 1.020  -0.320 0.913  -0.445 0.798  -0.566 0.677  -0.685 0.555  -0.782 0.415  -0.878 0.274  -0.945 0.118  -1.002 -0.042  -1.016 -0.209  -0.982 -0.373  -0.896 -0.520  -0.773 -0.630  -0.625 -0.714  -0.466 -0.773  -0.302 -0.819  -0.135 -0.848  0.036 -0.857  0.206 -0.865  0.377 -0.865  0.547 -0.865  0.716 -0.847  0.883 -0.812  1.050 -0.775  1.214 -0.731  1.367 -0.663  1.493 -0.549  1.625 -0.440  1.630 -0.273
3#apb#apb02#app0246/S  0.616 0.830  0.702 0.920  0.718 1.041  0.628 1.130  0.497 1.161  0.365 1.195  0.230 1.208  0.098 1.178  -0.030 1.134  -0.152 1.073  -0.276 1.019  -0.403 0.970  -0.517 0.897  -0.627 0.817  -0.735 0.734  -0.814 0.624  -0.870 0.500  -0.881 0.366  -0.822 0.253  -0.701 0.192  -0.569 0.158  -0.437 0.126  -0.304 0.099  -0.169 0.081  -0.034 0.063  0.098 0.035  0.228 -0.006  0.357 -0.047  0.484 -0.098  0.610 -0.149  0.734 -0.205  0.831 -0.294  0.887 -0.413  0.889 -0.548  0.840 -0.672  0.751 -0.771  0.639 -0.849  0.525 -0.923  0.404 -0.981  0.272 -1.012  0.139 -1.041  0.004 -1.062  -0.130 -1.083  -0.266 -1.085  -0.402 -1.088  -0.534 -1.118  -0.668 -1.135  -0.791 -1.168  -0.742 -1.086  -0.672 -0.970
3#apb#apb02#app0246/h  -0.384 0.965  -0.412 1.117  -0.457 1.265  -0.516 1.409  -0.579 1.551  -0.655 1.655  -0.651 1.499  -0.635 1.345  -0.620 1.190  -0.591 1.038  -0.562 0.885  -0.533 0.733  -0.506 0.580  -0.479 0.427  -0.451 0.274  -0.416 0.123  -0.381 -0.029  -0.347 -0.180  -0.318 -0.333  -0.288 -0.485  -0.258 -0.638  -0.226 -0.790  -0.196 -0.942  -0.170 -1.095  -0.127 -1.243  -0.139 -1.126  -0.149 -0.971  -0.149 -0.816  -0.143 -0.661  -0.125 -0.506  -0.104 -0.352  -0.081 -0.199  -0.019 -0.058  0.059 0.076  0.160 0.194  0.267 0.304  0.412 0.358  0.555 0.323  0.665 0.219  0.730 0.080  0.775 -0.068  0.797 -0.222  0.818 -0.376  0.837 -0.530  0.852 -0.685  0.864 -0.840  0.878 -0.994  0.937 -1.136  1.017 -1.239  1.043 -1.095
3#apb#apb02#app0246/i  -0.050 0.098  -0.068 0.222  -0.099 0.343  -0.162 0.371  -0.150 0.248  -0.150 0.122  -0.144 -0.003  -0.136 -0.129  -0.128 -0.254  -0.098 -0.375  -0.056 -0.493  -0.013 -0.612  0.034 -0.728  0.084 -0.844  0.133 -0.959  0.181 -1.076  0.227 -1.192  0.298 -1.293  0.381 -1.386  0.457 -1.467  0.422 -1.370  0.445 -1.251  0.506 -1.141  0.529 -1.029  0.483 -0.912  0.436 -0.795  0.389 -0.679  0.343 -0.562  0.296 -0.445  0.249 -0.328  0.203 -0.212  0.156 -0.095  0.109 0.022  0.063 0.138  0.016 0.255  -0.031 0.372  -0.077 0.488  -0.124 0.605  -0.171 0.722  -0.217 0.838  -0.264 0.955  -0.311 1.072  -0.357 1.189  -0.404 1.305  -0.451 1.422  -0.498 1.539  -0.544 1.655  -0.591 1.772  -0.575 1.894  -0.572 1.985
